"var","categoria","Agustín Rossi por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","En blanco","No sabe"
"P11","Sergio Massa  por el Frente de Todos",0.7,0.036,0.181,0.166
"P11","Facundo Manes por Juntos por el Cambio",0.03,0.054,0.05,0.076
"P11","Gerardo Morales por Juntos por el Cambio",0.008,0.022,0.032,0.041
"P11","Al candidato del Frente de Izquierda",0.064,0.009,0.068,0.076
"P11","En blanco",0.02,0.003,0.076,0.015
"P11","No sabe",0.058,0.019,0.045,0.183
"P12","Agustín Rossi  por el Frente de Todos",0.673,0.029,0.073,0.07
"P12","Patricia Bullrich por Juntos por el Cambio",0.029,0.432,0.064,0.08
"P12","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.153,0.084,0.077
"P12","Facundo Manes por Juntos por el Cambio",0.029,0.036,0.033,0.052
"P12","Gerardo Morales",0.01,0.033,0.034,0.04
"P12","Javier Milei por la Libertad Avanza",0.063,0.289,0.448,0.332
"P12","Al candidato del Frente de Izquierda",0.046,0.003,0.078,0.039
"P12","En blanco",0.026,0.005,0.117,0.014
"P12","No sabe",0.089,0.02,0.069,0.296
"P16","Daniel Scioli  por el Frente de Todos",0.576,0.059,0.156,0.138
"P16","Patricia Bullrich por Juntos por el Cambio",0.108,0.394,0.06,0.077
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.051,0.148,0.075,0.083
"P16","Facundo Manes por Juntos por el Cambio",0.049,0.067,0.046,0.069
"P16","Gerardo Morales",0.015,0.041,0.04,0.055
"P16","Javier Milei por la Libertad Avanza",0.043,0.266,0.384,0.275
"P16","Al candidato del Frente de Izquierda",0.051,0.003,0.079,0.032
"P16","En blanco",0.027,0.005,0.106,0.025
"P16","No sabe",0.08,0.017,0.054,0.246
"P17","Axel Kicillof por el Frente de Todos",0.831,0.01,0.137,0.132
"P17","Patricia Bullrich por Juntos por el Cambio",0.012,0.478,0.056,0.073
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.158,0.074,0.081
"P17","Javier Milei por la Libertad Avanza",0.036,0.311,0.487,0.369
"P17","Al candidato del Frente de Izquierda",0.028,0.006,0.063,0.023
"P17","En blanco",0.015,0.014,0.114,0.026
"P17","No sabe",0.051,0.023,0.069,0.296
"P18","Sergio Massa  por el Frente de Todos",0.787,0.019,0.126,0.147
"P18","Patricia Bullrich por Juntos por el Cambio",0.021,0.591,0.061,0.071
"P18","Javier Milei por la Libertad Avanza",0.045,0.33,0.514,0.376
"P18","Al candidato del Frente de Izquierda",0.057,0.008,0.073,0.036
"P18","En blanco",0.021,0.013,0.16,0.022
"P18","No sabe",0.069,0.039,0.066,0.348
"P21","Daniel Scioli  por el Frente de Todos",0.667,0.075,0.168,0.162
"P21","Patricia Bullrich por Juntos por el Cambio",0.089,0.545,0.105,0.071
"P21","Javier Milei por la Libertad Avanza",0.088,0.326,0.413,0.339
"P21","Al candidato del Frente de Izquierda",0.056,0.006,0.084,0.038
"P21","En blanco",0.026,0.014,0.162,0.026
"P21","No sabe",0.074,0.034,0.068,0.364
"P22","Sergio Massa  por el Frente de Todos",0.755,0.043,0.126,0.145
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.043,0.383,0.101,0.086
"P22","Javier Milei por la Libertad Avanza",0.06,0.422,0.493,0.384
"P22","Al candidato del Frente de Izquierda",0.055,0.009,0.076,0.027
"P22","En blanco",0.026,0.051,0.139,0.021
"P22","No sabe",0.061,0.092,0.065,0.337
"P25","Agustín Rossi  por el Frente de Todos",0.742,0.051,0.082,0.072
"P25","Patricia Bullrich por Juntos por el Cambio",0.048,0.574,0.088,0.107
"P25","Javier Milei por la Libertad Avanza",0.071,0.31,0.467,0.343
"P25","Al candidato del Frente de Izquierda",0.049,0.006,0.086,0.031
"P25","En blanco",0.026,0.017,0.206,0.032
"P25","No sabe",0.064,0.042,0.071,0.415
"P26","Axel Kicillof por el Frente de Todos",0.788,0.046,0.157,0.151
"P26","Patricia Bullrich por Juntos por el Cambio",0.047,0.575,0.081,0.081
"P26","Javier Milei por la Libertad Avanza",0.064,0.326,0.47,0.365
"P26","Al candidato del Frente de Izquierda",0.031,0.008,0.078,0.041
"P26","En blanco",0.026,0.015,0.165,0.016
"P26","No sabe",0.044,0.03,0.049,0.346
"P29","Sergio Massa por el Frente de Todos",0.871,0.023,0.159,0.153
"P29","Patricia Bullrich por Juntos por el Cambio",0.034,0.901,0.154,0.135
"P29","En blanco",0.049,0.041,0.563,0.07
"P29","No sabe",0.046,0.035,0.124,0.642
"P30","Sergio Massa por el Frente de Todos",0.876,0.032,0.15,0.166
"P30","Javier Milei por la Libertad Avanza",0.048,0.699,0.456,0.368
"P30","En blanco",0.034,0.137,0.34,0.048
"P30","No sabe",0.042,0.132,0.054,0.418
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.226,0.406,0.115,0.129
"P31","Javier Milei por la Libertad Avanza",0.065,0.491,0.535,0.379
"P31","En blanco",0.508,0.051,0.318,0.054
"P31","No sabe",0.201,0.052,0.032,0.438
"P32","Javier Milei por la Libertad Avanza",0.096,0.338,0.394,0.32
"P32","Patricia Bullrich por Juntos por el Cambio",0.062,0.638,0.181,0.165
"P32","En blanco",0.656,0.01,0.399,0.058
"P32","No sabe",0.186,0.014,0.026,0.457
"P33","Sergio Massa por el Frente de Todos",0.842,0.057,0.163,0.169
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.019,0.709,0.103,0.096
"P33","En blanco",0.095,0.157,0.709,0.061
"P33","No sabe",0.044,0.077,0.025,0.674
"P35","Daniel Scioli por el Frente de Todos",0.895,0.016,0.144,0.142
"P35","Patricia Bullrich por Juntos por el Cambio",0.029,0.964,0.146,0.158
"P35","En blanco",0.046,0.009,0.689,0.062
"P35","No sabe",0.03,0.011,0.021,0.638
"P36","Lo votaría",0.517,0.104,0.171,0.161
"P36","Puede que lo vote",0.346,0.109,0.11,0.117
"P36","Nunca lo votaría",0.073,0.756,0.662,0.44
"P36","No sabe",0.064,0.031,0.057,0.282
"P37","Lo votaría",0.085,0.6,0.102,0.094
"P37","Puede que lo vote",0.071,0.274,0.17,0.173
"P37","Nunca lo votaría",0.821,0.105,0.665,0.499
"P37","No sabe",0.023,0.021,0.063,0.234
"P38","Lo votaría",0.047,0.41,0.439,0.356
"P38","Puede que lo vote",0.039,0.318,0.098,0.073
"P38","Nunca lo votaría",0.891,0.227,0.433,0.407
"P38","No sabe",0.023,0.045,0.03,0.164
"P39","Lo votaría",0.035,0.336,0.129,0.11
"P39","Puede que lo vote",0.086,0.35,0.129,0.153
"P39","Nunca lo votaría",0.839,0.27,0.697,0.53
"P39","No sabe",0.04,0.044,0.045,0.207
"P40","Lo votaría",0.466,0.071,0.1,0.087
"P40","Puede que lo vote",0.284,0.085,0.118,0.127
"P40","Nunca lo votaría",0.214,0.816,0.737,0.573
"P40","No sabe",0.036,0.028,0.045,0.213
"P41","Lo votaría",0.549,0.017,0.036,0.028
"P41","Puede que lo vote",0.324,0.031,0.08,0.12
"P41","Nunca lo votaría",0.092,0.918,0.819,0.604
"P41","No sabe",0.035,0.034,0.065,0.248
"P42","Lo votaría",0.131,0.104,0.068,0.087
"P42","Puede que lo vote",0.251,0.275,0.136,0.143
"P42","Nunca lo votaría",0.527,0.543,0.718,0.519
"P42","No sabe",0.091,0.078,0.078,0.251
"P43","Lo votaría",0.721,0.027,0.134,0.131
"P43","Puede que lo vote",0.134,0.045,0.085,0.105
"P43","Nunca lo votaría",0.117,0.907,0.739,0.592
"P43","No sabe",0.028,0.021,0.042,0.172
"P44","Si",0.642,0.582,0.535,0.495
"P44","No",0.358,0.418,0.465,0.505
