"var","categoria","Sergio Massa  por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P34","Patricia Bullrich por Juntos por el Cambio",0.079,0.833,0.598,0.132,0.448,0.399
"P34","En blanco",0.073,0.069,0.219,0.338,0.382,0.09
"P34","No sabe",0.066,0.046,0.135,0.093,0.046,0.362
"P35","Daniel Scioli por el Frente de Todos",0.821,0.057,0.056,0.434,0.15,0.174
"P35","Patricia Bullrich por Juntos por el Cambio",0.077,0.845,0.66,0.145,0.493,0.448
"P35","En blanco",0.057,0.055,0.183,0.35,0.315,0.086
"P35","No sabe",0.045,0.043,0.101,0.071,0.042,0.292
"P36","Lo votaría",0.571,0.137,0.112,0.089,0.109,0.078
"P36","Puede que lo vote",0.303,0.131,0.096,0.261,0.13,0.181
"P36","Nunca lo votaría",0.079,0.694,0.738,0.49,0.668,0.517
"P36","No sabe",0.047,0.038,0.054,0.16,0.093,0.224
"P37","Lo votaría",0.117,0.598,0.323,0.094,0.409,0.365
"P37","Puede que lo vote",0.061,0.202,0.35,0.077,0.083,0.095
"P37","Nunca lo votaría",0.789,0.176,0.263,0.793,0.465,0.409
"P37","No sabe",0.033,0.024,0.064,0.036,0.043,0.131
"P38","Lo votaría",0.054,0.189,0.72,0.064,0.092,0.092
"P38","Puede que lo vote",0.055,0.348,0.186,0.085,0.198,0.169
"P38","Nunca lo votaría",0.856,0.406,0.073,0.826,0.652,0.571
"P38","No sabe",0.035,0.057,0.021,0.025,0.058,0.168
"P39","Lo votaría",0.045,0.572,0.149,0.05,0.062,0.085
"P39","Puede que lo vote",0.113,0.296,0.261,0.135,0.202,0.275
"P39","Nunca lo votaría",0.793,0.115,0.528,0.771,0.663,0.46
"P39","No sabe",0.049,0.017,0.062,0.044,0.073,0.18
"P40","Lo votaría",0.476,0.127,0.04,0.121,0.074,0.106
"P40","Puede que lo vote",0.255,0.108,0.073,0.26,0.114,0.185
"P40","Nunca lo votaría",0.236,0.738,0.838,0.518,0.747,0.552
"P40","No sabe",0.033,0.027,0.049,0.101,0.065,0.157
"P41","Lo votaría",0.491,0.04,0.028,0.18,0.074,0.083
"P41","Puede que lo vote",0.29,0.047,0.036,0.287,0.107,0.133
"P41","Nunca lo votaría",0.167,0.882,0.88,0.459,0.749,0.607
"P41","No sabe",0.052,0.031,0.056,0.074,0.07,0.177
"P42","Lo votaría",0.119,0.145,0.071,0.13,0.088,0.09
"P42","Puede que lo vote",0.244,0.311,0.196,0.199,0.167,0.208
"P42","Nunca lo votaría",0.531,0.472,0.647,0.602,0.657,0.49
"P42","No sabe",0.106,0.072,0.086,0.069,0.088,0.212
"P43","Lo votaría",0.672,0.056,0.038,0.39,0.165,0.188
"P43","Puede que lo vote",0.127,0.054,0.047,0.145,0.084,0.113
"P43","Nunca lo votaría",0.163,0.868,0.878,0.415,0.7,0.586
"P43","No sabe",0.038,0.022,0.037,0.05,0.051,0.113
"P44","Si",0.645,0.588,0.559,0.557,0.496,0.532
"P44","No",0.355,0.412,0.441,0.443,0.504,0.468
