"var","categoria","Daniel Scioli  por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P32","Javier Milei por la Libertad Avanza",0.146,0.129,0.679,0.135,0.084,0.098
"P32","Patricia Bullrich por Juntos por el Cambio",0.133,0.783,0.242,0.085,0.143,0.162
"P32","En blanco",0.539,0.057,0.05,0.623,0.688,0.255
"P32","No sabe",0.182,0.031,0.029,0.157,0.085,0.485
"P33","Sergio Massa por el Frente de Todos",0.706,0.098,0.141,0.374,0.176,0.264
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.117,0.684,0.33,0.118,0.26,0.225
"P33","En blanco",0.114,0.138,0.348,0.354,0.514,0.104
"P33","No sabe",0.063,0.08,0.181,0.154,0.05,0.407
"P34","Agustín Rossi por el Frente de Todos",0.69,0.077,0.084,0.426,0.171,0.222
"P34","Patricia Bullrich por Juntos por el Cambio",0.139,0.845,0.554,0.091,0.16,0.181
"P34","En blanco",0.097,0.051,0.22,0.358,0.595,0.114
"P34","No sabe",0.074,0.027,0.142,0.125,0.074,0.483
"P35","Daniel Scioli por el Frente de Todos",0.763,0.078,0.085,0.433,0.169,0.206
"P35","Patricia Bullrich por Juntos por el Cambio",0.15,0.877,0.608,0.122,0.16,0.199
"P35","En blanco",0.054,0.027,0.198,0.349,0.595,0.138
"P35","No sabe",0.033,0.018,0.109,0.096,0.076,0.457
"P36","Lo votaría",0.532,0.124,0.116,0.1,0.152,0.161
"P36","Puede que lo vote",0.271,0.126,0.121,0.278,0.145,0.179
"P36","Nunca lo votaría",0.149,0.719,0.703,0.435,0.605,0.383
"P36","No sabe",0.048,0.031,0.06,0.187,0.098,0.277
"P37","Lo votaría",0.142,0.711,0.235,0.061,0.1,0.085
"P37","Puede que lo vote",0.083,0.133,0.396,0.073,0.131,0.156
"P37","Nunca lo votaría",0.74,0.142,0.31,0.801,0.693,0.558
"P37","No sabe",0.035,0.014,0.059,0.065,0.076,0.201
"P38","Lo votaría",0.13,0.217,0.739,0.039,0.049,0.045
"P38","Puede que lo vote",0.075,0.361,0.136,0.083,0.13,0.093
"P38","Nunca lo votaría",0.761,0.36,0.107,0.835,0.777,0.695
"P38","No sabe",0.034,0.062,0.018,0.043,0.044,0.167
"P39","Lo votaría",0.082,0.361,0.164,0.058,0.193,0.149
"P39","Puede que lo vote",0.13,0.338,0.238,0.16,0.121,0.143
"P39","Nunca lo votaría",0.746,0.259,0.538,0.704,0.62,0.522
"P39","No sabe",0.042,0.042,0.06,0.078,0.066,0.186
"P40","Lo votaría",0.504,0.072,0.062,0.108,0.09,0.071
"P40","Puede que lo vote",0.238,0.084,0.089,0.269,0.154,0.236
"P40","Nunca lo votaría",0.233,0.814,0.801,0.516,0.694,0.476
"P40","No sabe",0.025,0.03,0.048,0.107,0.062,0.217
"P41","Lo votaría",0.454,0.05,0.046,0.175,0.084,0.095
"P41","Puede que lo vote",0.25,0.049,0.055,0.278,0.141,0.184
"P41","Nunca lo votaría",0.246,0.869,0.843,0.443,0.702,0.501
"P41","No sabe",0.05,0.032,0.056,0.104,0.073,0.22
"P42","Lo votaría",0.108,0.123,0.069,0.142,0.115,0.114
"P42","Puede que lo vote",0.21,0.307,0.198,0.224,0.161,0.193
"P42","Nunca lo votaría",0.585,0.497,0.642,0.54,0.624,0.445
"P42","No sabe",0.097,0.073,0.091,0.094,0.1,0.248
"P43","Lo votaría",0.61,0.076,0.056,0.349,0.198,0.27
"P43","Puede que lo vote",0.111,0.046,0.06,0.174,0.131,0.118
"P43","Nunca lo votaría",0.246,0.855,0.844,0.419,0.615,0.47
"P43","No sabe",0.033,0.023,0.04,0.058,0.056,0.142
"P44","Si",0.632,0.571,0.565,0.563,0.506,0.555
"P44","No",0.368,0.429,0.435,0.437,0.494,0.445
