"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P34","Muy mala",0.187,0.234,0.177,0.287,0.609,0
"P34","No sabe",0.017,0.011,0.009,0.002,0.005,0.667
"P36","Muy buena",0.293,0.169,0.106,0.138,0.193,0.061
"P36","Buena",0.087,0.258,0.095,0.093,0.031,0
"P36","Ni buena ni mala",0.215,0.248,0.499,0.187,0.111,0.115
"P36","Mala",0.132,0.119,0.12,0.279,0.048,0
"P36","Muy mala",0.248,0.19,0.136,0.287,0.617,0
"P36","No sabe",0.025,0.016,0.044,0.016,0,0.824
"P37","Muy buena",0.143,0.114,0.112,0.064,0.05,0.104
"P37","Buena",0.152,0.212,0.204,0.146,0.121,0
"P37","Ni buena ni mala",0.359,0.37,0.349,0.336,0.187,0.056
"P37","Mala",0.116,0.125,0.171,0.272,0.118,0.021
"P37","Muy mala",0.144,0.119,0.086,0.156,0.501,0
"P37","No sabe",0.086,0.06,0.078,0.026,0.023,0.819
"P38","Muy buena",0.045,0.051,0.07,0.064,0.036,0.042
"P38","Buena",0.123,0.163,0.122,0.114,0.076,0
"P38","Ni buena ni mala",0.379,0.409,0.422,0.257,0.213,0
"P38","Mala",0.128,0.12,0.088,0.247,0.064,0
"P38","Muy mala",0.126,0.124,0.127,0.254,0.58,0.061
"P38","No sabe",0.199,0.133,0.171,0.064,0.031,0.897
"P39","Muy buena",0.108,0.09,0.093,0.067,0.046,0.036
"P39","Buena",0.115,0.161,0.148,0.103,0.058,0
"P39","Ni buena ni mala",0.409,0.406,0.447,0.347,0.308,0.17
"P39","Mala",0.103,0.095,0.108,0.252,0.142,0
"P39","Muy mala",0.118,0.146,0.07,0.19,0.389,0.022
"P39","No sabe",0.147,0.102,0.134,0.041,0.057,0.772
"P42","A Rodrigo De Loredo por Juntos por el Cambio",0.291,0.479,0.498,0.43,0.294,0.175
"P42","A Daniel Passerini por Hacemos por Cordoba",0.587,0.288,0.215,0.149,0.212,0.123
"P42","Al candidato del frente de todos",0.032,0.064,0.104,0.14,0.195,0.025
"P42","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.023,0.055,0.096,0.05,0.048,0
"P42","A  Juan Pablo Quinteros por Encuentro Vecinal",0.008,0.037,0.021,0.122,0.048,0
"P42","Al candidato del frente de izquierda",0.006,0.009,0.017,0.037,0.105,0
"P42","Votaría en blanco",0.022,0.004,0.004,0.021,0.03,0
"P42","No sabe",0.031,0.064,0.045,0.051,0.068,0.677
"P44","A Luis Juez por Juntos por el Cambio",0.204,0.367,0.453,0.316,0.326,0.074
"P44","A Daniel Passerini por Hacemos por Cordoba",0.608,0.341,0.25,0.167,0.183,0.082
"P44","Al candidato del frente de todos",0.023,0.038,0.063,0.136,0.145,0.142
"P44","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.052,0.086,0.05,0.105,0.064,0.56
"P44","A  Juan Pablo Quinteros por Encuentro Vecinal",0.03,0.054,0.068,0.108,0.058,0
"P44","Al candidato del frente de izquierda",0.011,0.014,0.013,0.04,0.14,0
"P44","Votaría en blanco",0.015,0.021,0.014,0.028,0.046,0
"P44","No sabe",0.057,0.079,0.089,0.1,0.038,0.142
"P46","Lo votaría",0.264,0.396,0.476,0.379,0.363,0.048
"P46","Puede que lo vote",0.235,0.271,0.213,0.162,0.13,0.236
