"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P37","Neutra",0.275,0.435,0.234,0.246
"P37","Negativa",0.18,0.274,0.633,0.109
"P37","No sabe",0.013,0.018,0.018,0.48
"P38","Positiva",0.502,0.127,0.064,0.045
"P38","Neutra",0.286,0.539,0.183,0.156
"P38","Negativa",0.137,0.274,0.689,0.082
"P38","No sabe",0.075,0.06,0.064,0.717
"P42","A Rodrigo De Loredo por Juntos por el Cambio",0.463,0.485,0.299,0.256
"P42","A Daniel Passerini por Hacemos por Cordoba",0.27,0.298,0.289,0.302
"P42","Al candidato del frente de todos",0.077,0.094,0.13,0.109
"P42","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.039,0.036,0.081,0.077
"P42","A  Juan Pablo Quinteros por Encuentro Vecinal",0.064,0.022,0.065,0.037
"P42","Al candidato del frente de izquierda",0.022,0.017,0.065,0.007
"P42","Votaría en blanco",0.018,0.01,0.024,0.006
"P42","No sabe",0.047,0.038,0.047,0.206
"P44","A Luis Juez por Juntos por el Cambio",0.385,0.363,0.298,0.204
"P44","A Daniel Passerini por Hacemos por Cordoba",0.295,0.331,0.263,0.405
"P44","Al candidato del frente de todos",0.04,0.068,0.132,0.042
"P44","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.066,0.066,0.087,0.118
"P44","A  Juan Pablo Quinteros por Encuentro Vecinal",0.102,0.047,0.067,0.026
"P44","Al candidato del frente de izquierda",0.034,0.035,0.065,0
"P44","Votaría en blanco",0.016,0.014,0.039,0.028
"P44","No sabe",0.062,0.076,0.049,0.177
"P46","Lo votaría",0.505,0.394,0.289,0.264
"P46","Puede que lo vote",0.269,0.225,0.145,0.172
"P46","Nunca lo votaría",0.218,0.373,0.559,0.437
"P46","No sabe",0.008,0.008,0.007,0.127
"P47","Lo votaría",0.311,0.305,0.265,0.351
"P47","Puede que lo vote",0.196,0.19,0.148,0.182
"P47","Nunca lo votaría",0.48,0.497,0.585,0.32
"P47","No sabe",0.013,0.008,0.002,0.147
"P48","Lo votaría",0.375,0.281,0.272,0.167
"P48","Puede que lo vote",0.225,0.22,0.118,0.212
"P48","Nunca lo votaría",0.394,0.492,0.609,0.473
"P48","No sabe",0.006,0.007,0.001,0.148
"P49","Lo votaría",0.185,0.105,0.107,0.052
"P49","Puede que lo vote",0.292,0.278,0.166,0.24
"P49","Nunca lo votaría",0.508,0.605,0.721,0.521
"P49","No sabe",0.015,0.012,0.006,0.187
"P50","Lo votaría",0.089,0.085,0.135,0.082
"P50","Puede que lo vote",0.133,0.214,0.216,0.214
"P50","Nunca lo votaría",0.771,0.692,0.643,0.533
"P50","No sabe",0.007,0.009,0.006,0.171
"P51","Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio",0.563,0.413,0.327,0.306
"P51","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.254,0.334,0.287,0.409
"P51","A los candidatos a gobernador e intendente del Frente de Todos",0.033,0.073,0.192,0.013
"P51","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.045,0.058,0.076,0.026
"P51","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.058,0.05,0.023,0.035
"P51","A los candidatos a gobernador e intendente del Frente de Izquierda",0.015,0.023,0.041,0.014
"P51","Votaría en blanco",0.005,0.017,0.024,0
"P51","No sabe",0.027,0.032,0.03,0.197
"P52","Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio",0.483,0.373,0.25,0.316
"P52","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.255,0.346,0.268,0.379
"P52","A los candidatos a gobernador e intendente del Frente de Todos",0.034,0.062,0.208,0.025
"P52","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.052,0.073,0.083,0.032
"P52","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.079,0.064,0.039,0.024
"P52","A los candidatos a gobernador e intendente del Frente de Izquierda",0.013,0.008,0.046,0.029
"P52","Votaría en blanco",0.013,0.021,0.027,0
"P52","No sabe",0.071,0.053,0.079,0.195
