"var","categoria","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba","A los candidatos  a gobernador y vicegobernador del Frente de Todos","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba","A los candidatos a gobernador y vicegobernador del Frente de Izquierda","Votaría en blanco","No sabe"
"P31","Mala",0.082,0.214,0.103,0.177,0.206,0.069,0.061,0.218
"P31","Muy mala",0.138,0.425,0.712,0.245,0.401,0.813,0.295,0.289
"P31","No sabe",0.003,0.019,0.019,0.008,0.009,0,0.049,0.02
"P32","Muy buena",0.164,0.062,0.013,0.017,0.058,0.031,0.06,0.147
"P32","Buena",0.352,0.117,0.019,0.158,0.141,0.021,0.27,0.178
"P32","Ni buena ni mala",0.284,0.248,0.092,0.312,0.396,0.062,0.319,0.328
"P32","Mala",0.101,0.213,0.152,0.187,0.1,0.14,0.073,0.095
"P32","Muy mala",0.084,0.309,0.691,0.273,0.295,0.746,0.228,0.218
"P32","No sabe",0.015,0.051,0.033,0.053,0.01,0,0.05,0.034
"P33","Muy buena",0.05,0.063,0.135,0.004,0.058,0.045,0,0.036
"P33","Buena",0.069,0.24,0.297,0.029,0.139,0.064,0.081,0.128
"P33","Ni buena ni mala",0.088,0.279,0.262,0.159,0.072,0.208,0.195,0.176
"P33","Mala",0.204,0.182,0.127,0.128,0.177,0.129,0.174,0.257
"P33","Muy mala",0.567,0.194,0.151,0.637,0.545,0.554,0.472,0.366
"P33","No sabe",0.022,0.042,0.028,0.043,0.009,0,0.078,0.037
"P34","Muy buena",0.544,0.133,0.028,0.255,0.237,0.031,0.235,0.149
"P34","Buena",0.2,0.102,0.047,0.282,0.264,0.02,0.167,0.186
"P34","Ni buena ni mala",0.084,0.179,0.04,0.229,0.074,0.031,0.042,0.305
"P34","Mala",0.062,0.158,0.131,0.102,0.17,0.145,0.164,0.137
"P34","Muy mala",0.105,0.391,0.754,0.12,0.245,0.773,0.313,0.187
"P34","No sabe",0.005,0.037,0,0.012,0.01,0,0.079,0.036
"P35","Muy buena",0.145,0.418,0.064,0.093,0.057,0.059,0.08,0.099
"P35","Buena",0.19,0.225,0.135,0.172,0.226,0.022,0.179,0.195
"P35","Ni buena ni mala",0.315,0.146,0.167,0.279,0.25,0.03,0.118,0.334
"P35","Mala",0.172,0.104,0.33,0.23,0.349,0.344,0.242,0.197
"P35","Muy mala",0.175,0.091,0.301,0.175,0.108,0.545,0.331,0.146
"P35","No sabe",0.003,0.016,0.003,0.051,0.01,0,0.05,0.029
"P36","Muy buena",0.181,0.113,0.03,0.558,0.124,0.033,0.094,0.096
"P36","Buena",0.122,0.111,0.037,0.128,0.052,0.021,0.101,0.191
"P36","Ni buena ni mala",0.383,0.229,0.069,0.206,0.329,0,0.18,0.261
"P36","Mala",0.141,0.145,0.075,0.047,0.267,0.081,0.322,0.18
"P36","Muy mala",0.147,0.371,0.789,0.018,0.176,0.865,0.253,0.166
"P36","No sabe",0.026,0.031,0,0.043,0.052,0,0.05,0.106
"P37","Muy buena",0.193,0.057,0.014,0.046,0.124,0.021,0,0.072
"P37","Buena",0.268,0.094,0.053,0.144,0.279,0.078,0.149,0.142
"P37","Ni buena ni mala",0.264,0.409,0.196,0.36,0.38,0.171,0.315,0.333
"P37","Mala",0.137,0.147,0.268,0.121,0.141,0.15,0.289,0.187
"P37","Muy mala",0.114,0.169,0.449,0.253,0.066,0.58,0.195,0.112
"P37","No sabe",0.024,0.124,0.02,0.076,0.01,0,0.052,0.154
"P38","Muy buena",0.103,0.033,0.015,0.015,0.089,0,0.011,0.031
"P38","Buena",0.211,0.065,0.025,0.034,0.197,0.032,0.144,0.122
"P38","Ni buena ni mala",0.359,0.369,0.201,0.352,0.404,0.054,0.241,0.352
"P38","Mala",0.11,0.127,0.121,0.12,0.158,0.161,0.228,0.137
"P38","Muy mala",0.141,0.208,0.611,0.287,0.085,0.664,0.271,0.09
"P38","No sabe",0.076,0.198,0.027,0.192,0.067,0.089,0.105,0.268
"P39","Muy buena",0.133,0.059,0.034,0.045,0.15,0.051,0.022,0.053
"P39","Buena",0.177,0.097,0.07,0.041,0.106,0.035,0.146,0.118
"P39","Ni buena ni mala",0.389,0.427,0.259,0.463,0.35,0.155,0.239,0.39
"P39","Mala",0.15,0.085,0.179,0.128,0.252,0.181,0.233,0.128
"P39","Muy mala",0.072,0.177,0.412,0.263,0.101,0.534,0.242,0.09
"P39","No sabe",0.079,0.155,0.046,0.06,0.041,0.044,0.118,0.221
"P42","A Rodrigo De Loredo por Juntos por el Cambio",0.761,0.139,0.032,0.38,0.241,0.072,0.333,0.434
"P42","A Daniel Passerini por Hacemos por Cordoba",0.103,0.675,0.248,0.121,0.126,0.11,0.177,0.139
"P42","Al candidato del frente de todos",0.048,0.077,0.65,0.019,0.019,0.013,0,0.076
"P42","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.01,0.01,0,0.454,0.033,0,0.015,0.069
"P42","A  Juan Pablo Quinteros por Encuentro Vecinal",0.024,0.032,0.022,0.005,0.518,0.013,0.103,0.013
"P42","Al candidato del frente de izquierda",0.004,0.008,0.01,0,0.009,0.732,0.087,0.015
"P42","Votaría en blanco",0.008,0.014,0.009,0,0,0.034,0.172,0.005
"P42","No sabe",0.042,0.045,0.029,0.021,0.054,0.026,0.113,0.249
"P44","A Luis Juez por Juntos por el Cambio",0.707,0.096,0.049,0.27,0.126,0.012,0.277,0.169
"P44","A Daniel Passerini por Hacemos por Cordoba",0.118,0.75,0.203,0.058,0.107,0.152,0.192,0.203
"P44","Al candidato del frente de todos",0.017,0.048,0.685,0,0,0.013,0,0
"P44","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.041,0.014,0.004,0.509,0.022,0,0.089,0.119
"P44","A  Juan Pablo Quinteros por Encuentro Vecinal",0.059,0.019,0.009,0.016,0.674,0.013,0.076,0.043
"P44","Al candidato del frente de izquierda",0.005,0.014,0.029,0,0.014,0.75,0.041,0.072
"P44","Votaría en blanco",0.013,0.016,0.007,0.013,0.019,0,0.282,0.026
"P44","No sabe",0.04,0.043,0.014,0.134,0.038,0.06,0.043,0.368
"P46","Lo votaría",0.744,0.091,0.033,0.344,0.263,0.049,0.226,0.29
"P46","Puede que lo vote",0.178,0.214,0.069,0.36,0.254,0.098,0.249,0.289
"P46","Nunca lo votaría",0.069,0.673,0.898,0.283,0.455,0.83,0.47,0.357
"P46","No sabe",0.009,0.022,0,0.013,0.028,0.023,0.055,0.064
"P47","Lo votaría",0.186,0.615,0.199,0.074,0.141,0.073,0.107,0.231
"P47","Puede que lo vote",0.128,0.231,0.279,0.135,0.162,0.213,0.118,0.16
"P47","Nunca lo votaría",0.674,0.128,0.522,0.774,0.669,0.693,0.72,0.569
"P47","No sabe",0.012,0.026,0,0.017,0.028,0.021,0.055,0.04
"P48","Lo votaría",0.519,0.126,0.123,0.195,0.155,0.11,0.334,0.2
"P48","Puede que lo vote",0.271,0.122,0.108,0.276,0.144,0.063,0.074,0.177
"P48","Nunca lo votaría",0.2,0.726,0.769,0.523,0.673,0.806,0.535,0.583
"P48","No sabe",0.01,0.026,0,0.006,0.028,0.021,0.057,0.04
"P49","Lo votaría",0.193,0.058,0,0.075,0.453,0.047,0.089,0.03
"P49","Puede que lo vote",0.245,0.208,0.226,0.317,0.298,0.045,0.272,0.341
"P49","Nunca lo votaría",0.55,0.701,0.763,0.594,0.214,0.853,0.552,0.576
"P49","No sabe",0.012,0.033,0.011,0.014,0.035,0.055,0.087,0.053
"P50","Lo votaría",0.05,0.177,0.255,0.025,0.091,0,0.05,0.048
"P50","Puede que lo vote",0.106,0.334,0.317,0.111,0.104,0.169,0.116,0.199
"P50","Nunca lo votaría",0.838,0.464,0.417,0.857,0.77,0.784,0.746,0.696
"P50","No sabe",0.006,0.025,0.011,0.007,0.035,0.047,0.088,0.057
"P51","Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio",0.819,0.048,0.024,0.394,0.317,0.05,0.438,0.366
"P51","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.077,0.874,0.101,0.032,0.078,0.114,0.207,0.118
"P51","A los candidatos a gobernador e intendente del Frente de Todos",0.01,0.032,0.846,0,0,0.056,0,0.032
"P51","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.02,0.011,0.015,0.509,0.049,0,0,0.079
"P51","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.027,0.016,0.005,0.057,0.523,0,0,0.04
"P51","A los candidatos a gobernador e intendente del Frente de Izquierda",0.01,0.009,0,0,0,0.672,0.05,0.022
"P51","Votaría en blanco",0.015,0.004,0,0,0.017,0.042,0.14,0.023
"P51","No sabe",0.022,0.006,0.009,0.008,0.016,0.066,0.165,0.32
"P52","Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio",0.8,0.032,0.057,0.198,0.134,0.022,0.216,0.136
"P52","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.072,0.87,0.098,0.061,0.065,0.115,0.097,0.144
"P52","A los candidatos a gobernador e intendente del Frente de Todos",0.013,0.053,0.786,0,0.02,0.086,0,0.024
"P52","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.021,0,0.011,0.686,0,0,0.042,0.08
"P52","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.037,0.012,0.029,0.047,0.748,0,0.027,0.046
"P52","A los candidatos a gobernador e intendente del Frente de Izquierda",0.005,0.005,0,0,0,0.735,0.035,0
"P52","Votaría en blanco",0.013,0.004,0,0,0.017,0.042,0.241,0.032
"P52","No sabe",0.039,0.024,0.019,0.008,0.016,0,0.342,0.538
