"var","categoria","Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba","A los candidatos a gobernador e intendente del Frente de Todos","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba","A los candidatos a gobernador e intendente del Frente de Izquierda","Votaría en blanco","No sabe"
"P10","A Gerardo Morales",0.033,0,0,0,0,0.132,0.083,0.066
"P11","A Juntos por el Cambio",0.731,0.09,0.025,0.084,0.193,0.064,0.317,0.16
"P11","Al Frente de Todos",0.048,0.137,0.781,0.008,0.069,0.155,0.089,0.044
"P11","A Hacemos por Córdoba",0.068,0.663,0.058,0.154,0.044,0.08,0,0.173
"P11","A los liberales libertarios de Milei",0.061,0.04,0.058,0.622,0.133,0.072,0.041,0.072
"P11","A Encuentro Vecinal Córdoba",0.022,0.011,0,0.013,0.396,0,0,0.039
"P11","Al Frente de Izquierda",0.019,0.012,0.022,0,0,0.531,0.135,0.071
"P11","No sabe",0.051,0.047,0.056,0.119,0.165,0.098,0.418,0.441
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.614,0.201,1,0.859,0.948,1,0.852,0.795
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.361,0.155,0,0.141,0.052,0,0,0.098
"P12","No sabe",0.025,0.644,0,0,0,0,0.148,0.107
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.724,0.067,0.033,0.174,0.258,0.065,0.308,0.344
"P13","A Martín Llaryora por Hacemos por Córdoba",0.051,0.877,0.084,0.188,0.122,0.033,0,0.146
"P13","Al candidato del Frente de Todos",0.023,0.024,0.869,0.008,0,0.048,0.172,0.02
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.046,0.006,0,0.611,0.041,0,0,0.015
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.033,0.007,0,0.019,0.532,0.021,0.041,0.015
"P13","Al candidato del Frente de Izquierda",0.012,0.005,0.008,0,0,0.589,0,0.063
"P13","Votaría en blanco",0.045,0.002,0,0,0,0.075,0.273,0.049
"P13","No sabe",0.066,0.012,0.006,0,0.047,0.169,0.206,0.348
"P15","A Luis Juez por Juntos por el Cambio",0.779,0.111,0.031,0.032,0.02,0.101,0.083,0.119
"P15","A Martín Llaryora por Hacemos por Córdoba",0.104,0.83,0.127,0.258,0.169,0.057,0,0.18
"P15","Al candidato del Frente de Todos",0,0.025,0.792,0.008,0.011,0.048,0,0
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.041,0.013,0.026,0.645,0.077,0,0.064,0.06
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.029,0.003,0,0.044,0.675,0,0.121,0.04
"P15","Al candidato del Frente de Izquierda",0.008,0.005,0.008,0.013,0,0.55,0,0.063
"P15","Votaría en blanco",0.014,0.002,0.006,0,0.015,0.075,0.424,0.067
"P15","No sabe",0.025,0.011,0.01,0,0.033,0.169,0.308,0.471
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.89,0.077,0.012,0.059,0.136,0.137,0,0.08
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.052,0.772,0.103,0.12,0.116,0.054,0,0.132
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.002,0.058,0.822,0,0,0.048,0.083,0.02
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.018,0.008,0.038,0.681,0.081,0,0.064,0.04
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.01,0.013,0,0.011,0.588,0,0.09,0.026
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.004,0.013,0.014,0,0,0.574,0.066,0.063
"P17","Votaría en blanco",0.002,0.021,0,0.095,0.02,0.075,0.395,0.078
"P17","No sabe",0.022,0.038,0.011,0.034,0.059,0.112,0.302,0.561
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.746,0.064,0.024,0.108,0.286,0.119,0.246,0.228
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.033,0.79,0.074,0.135,0.104,0.033,0.083,0.083
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.009,0.059,0.866,0,0,0.048,0,0.02
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.085,0.005,0.011,0.614,0,0,0,0.015
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.028,0.013,0,0.024,0.555,0.053,0.041,0
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.007,0.021,0.014,0,0,0.613,0.066,0.087
"P18","Votaría en blanco",0.021,0.017,0,0,0,0.075,0.368,0.103
"P18","No sabe",0.071,0.031,0.011,0.119,0.055,0.059,0.196,0.464
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.849,0.044,0.025,0.048,0.09,0.065,0.064,0.131
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.034,0.81,0.081,0.043,0.162,0.097,0.069,0.05
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.001,0.052,0.843,0.008,0,0,0.066,0.02
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.058,0.008,0,0.782,0.074,0,0,0.04
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.016,0.009,0,0.024,0.607,0,0.09,0.014
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0,0.003,0.04,0,0,0.704,0.067,0.063
"P19","Votaría en blanco",0.025,0.031,0.011,0,0,0.075,0.486,0.127
"P19","No sabe",0.017,0.043,0,0.095,0.067,0.059,0.158,0.555
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.752,0.095,0.038,0.128,0.245,0.139,0.359,0.196
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.032,0.793,0.093,0.051,0.104,0.097,0.069,0.038
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.005,0.032,0.831,0.025,0.012,0,0,0.02
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.074,0.008,0,0.669,0.104,0,0,0.015
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.029,0.009,0,0.032,0.468,0,0.041,0.014
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.003,0.009,0.014,0,0,0.63,0.066,0.038
"P20","Votaría en blanco",0.042,0.027,0,0,0,0.075,0.358,0.151
"P20","No sabe",0.063,0.027,0.024,0.095,0.067,0.059,0.107,0.528
"P21","Lo votaría",0.568,0.187,0.05,0.169,0.332,0.086,0.214,0.21
"P21","Puede que lo vote",0.28,0.15,0.051,0.273,0.331,0,0.135,0.239
"P21","Nunca lo votaría",0.152,0.663,0.881,0.558,0.337,0.914,0.651,0.383
"P21","No sabe",0,0,0.018,0,0,0,0,0.168
"P22","Lo votaría",0.108,0.676,0.153,0.12,0.093,0.062,0,0.183
"P22","Puede que lo vote",0.157,0.212,0.312,0.255,0.323,0.266,0.129,0.253
"P22","Nunca lo votaría",0.735,0.112,0.517,0.625,0.584,0.672,0.871,0.396
"P22","No sabe",0,0,0.018,0,0,0,0,0.168
"P23","Lo votaría",0.622,0.125,0.117,0.053,0.069,0.033,0.083,0.068
"P23","Puede que lo vote",0.216,0.11,0.081,0.229,0.164,0.062,0.031,0.15
"P23","Nunca lo votaría",0.162,0.765,0.784,0.718,0.767,0.905,0.886,0.575
"P23","No sabe",0,0,0.018,0,0,0,0,0.207
"P24","Lo votaría",0.066,0.135,0.494,0.066,0.012,0.089,0.04,0.043
"P24","Puede que lo vote",0.083,0.201,0.258,0.104,0.178,0.415,0,0.106
"P24","Nunca lo votaría",0.851,0.662,0.23,0.83,0.81,0.496,0.96,0.62
"P24","No sabe",0,0.002,0.018,0,0,0,0,0.231
"P25","Muy buena",0.459,0.065,0.089,0.184,0.179,0.041,0.143,0.086
"P25","Buena",0.229,0.156,0.078,0.132,0.247,0.045,0.072,0.343
"P25","Ni buena ni mala",0.274,0.356,0.075,0.385,0.417,0.154,0.216,0.122
"P25","Mala",0.022,0.234,0.237,0.085,0.065,0.173,0.14,0.146
"P25","Muy mala",0.01,0.177,0.515,0.214,0.057,0.528,0.429,0.107
"P25","No sabe",0.006,0.012,0.006,0,0.035,0.059,0,0.196
"P26","Muy buena",0.489,0.047,0.033,0.092,0.038,0.137,0.083,0.073
"P26","Buena",0.322,0.05,0.036,0.141,0.141,0.021,0,0.138
"P26","Ni buena ni mala",0.141,0.186,0.045,0.221,0.235,0,0.072,0.139
"P26","Mala",0.02,0.288,0.146,0.246,0.444,0.121,0.246,0.188
"P26","Muy mala",0.028,0.404,0.734,0.3,0.142,0.703,0.599,0.242
"P26","No sabe",0,0.025,0.006,0,0,0.018,0,0.22
"P27","Muy buena",0.078,0.522,0.147,0.031,0.08,0.113,0,0.049
"P27","Buena",0.154,0.267,0.217,0.245,0.203,0.109,0.04,0.14
"P27","Ni buena ni mala",0.301,0.13,0.209,0.2,0.206,0.198,0.197,0.249
"P27","Mala",0.286,0.04,0.234,0.276,0.384,0.178,0.457,0.225
"P27","Muy mala",0.18,0.041,0.182,0.248,0.127,0.384,0.306,0.141
"P27","No sabe",0.001,0,0.011,0,0,0.018,0,0.196
"P28","Muy buena",0.151,0.119,0.051,0.183,0.49,0.059,0.031,0.06
"P28","Buena",0.207,0.12,0.106,0.105,0.273,0.021,0.09,0.148
"P28","Ni buena ni mala",0.395,0.477,0.198,0.279,0.18,0.248,0.16,0.282
"P28","Mala",0.082,0.092,0.153,0.251,0.057,0.079,0.255,0.174
"P28","Muy mala",0.094,0.139,0.41,0.148,0,0.593,0.329,0.092
"P28","No sabe",0.071,0.053,0.082,0.034,0,0,0.135,0.244
"P29","Muy buena",0.021,0.047,0.12,0.011,0.038,0.096,0,0.035
"P29","Buena",0.04,0.251,0.334,0.01,0.062,0.143,0,0
"P29","Ni buena ni mala",0.087,0.185,0.299,0.045,0.09,0.272,0.13,0.121
"P29","Mala",0.111,0.283,0.125,0.187,0.101,0.138,0.207,0.227
"P29","Muy mala",0.717,0.218,0.122,0.747,0.709,0.351,0.663,0.421
"P29","No sabe",0.024,0.016,0,0,0,0,0,0.196
"P30","Muy buena",0.006,0.337,0.809,0,0.041,0.312,0.129,0.068
"P30","Buena",0.021,0.158,0.055,0.011,0.015,0.137,0.066,0.095
"P30","Ni buena ni mala",0.033,0.075,0.028,0.043,0.034,0.143,0.108,0.035
"P30","Mala",0.091,0.135,0.075,0.07,0.101,0.033,0.069,0.161
"P30","Muy mala",0.845,0.284,0.033,0.865,0.809,0.375,0.628,0.445
"P30","No sabe",0.004,0.011,0,0.011,0,0,0,0.196
"P31","Muy buena",0.343,0.072,0.043,0.076,0.082,0,0.1,0.074
"P31","Buena",0.274,0.152,0.042,0.222,0.143,0.08,0.184,0.159
"P31","Ni buena ni mala",0.125,0.068,0.02,0.226,0.255,0.072,0.13,0.159
"P31","Mala",0.105,0.251,0.083,0.102,0.169,0.024,0.104,0.119
"P31","Muy mala",0.151,0.452,0.804,0.374,0.351,0.824,0.482,0.293
"P31","No sabe",0.002,0.005,0.008,0,0,0,0,0.196
"P32","Muy buena",0.18,0.059,0.032,0.023,0.119,0,0.109,0.036
"P32","Buena",0.356,0.125,0.031,0.142,0.161,0.062,0.122,0.164
"P32","Ni buena ni mala",0.277,0.217,0.051,0.315,0.426,0.088,0.294,0.259
"P32","Mala",0.102,0.241,0.128,0.143,0.166,0.11,0.1,0.095
"P32","Muy mala",0.071,0.338,0.748,0.377,0.128,0.722,0.375,0.25
"P32","No sabe",0.014,0.02,0.01,0,0,0.018,0,0.196
"P33","Muy buena",0.034,0.096,0.097,0,0.045,0.047,0.069,0
"P33","Buena",0.079,0.26,0.334,0.011,0.041,0.053,0.083,0.144
"P33","Ni buena ni mala",0.053,0.213,0.323,0.082,0.089,0.351,0.155,0.103
"P33","Mala",0.175,0.198,0.086,0.18,0.223,0.051,0.248,0.185
"P33","Muy mala",0.654,0.218,0.15,0.727,0.602,0.498,0.445,0.372
"P33","No sabe",0.005,0.015,0.01,0,0,0,0,0.196
"P34","Muy buena",0.542,0.166,0.035,0.311,0.29,0.043,0.117,0.165
"P34","Buena",0.221,0.071,0.043,0.129,0.196,0.06,0.129,0.171
"P34","Ni buena ni mala",0.072,0.164,0.038,0.247,0.095,0,0.035,0.116
"P34","Mala",0.056,0.196,0.079,0.124,0.052,0.116,0.226,0.057
"P34","Muy mala",0.107,0.396,0.805,0.189,0.367,0.781,0.493,0.28
"P34","No sabe",0.002,0.007,0,0,0,0,0,0.211
"P35","Muy buena",0.09,0.422,0.056,0.139,0.107,0.105,0,0.097
"P35","Buena",0.21,0.238,0.142,0.209,0.293,0.039,0.25,0.149
"P35","Ni buena ni mala",0.302,0.108,0.163,0.129,0.194,0.137,0.04,0.139
"P35","Mala",0.237,0.104,0.309,0.317,0.245,0.293,0.277,0.275
"P35","Muy mala",0.159,0.121,0.33,0.206,0.15,0.426,0.433,0.144
"P35","No sabe",0.002,0.007,0,0,0.011,0,0,0.196
"P36","Muy buena",0.18,0.075,0,0.596,0.114,0.08,0,0.05
"P36","Buena",0.142,0.082,0.06,0.218,0.213,0.046,0.064,0.124
"P36","Ni buena ni mala",0.358,0.225,0.033,0.092,0.351,0,0.239,0.148
"P36","Mala",0.166,0.177,0.051,0.073,0.122,0.024,0.209,0.197
"P36","Muy mala",0.126,0.433,0.856,0.021,0.2,0.832,0.488,0.246
"P36","No sabe",0.028,0.008,0,0,0,0.018,0,0.235
"P37","Muy buena",0.179,0.045,0.026,0.082,0.226,0.124,0.069,0.118
"P37","Buena",0.285,0.092,0.061,0.183,0.152,0.039,0.152,0.174
"P37","Ni buena ni mala",0.331,0.388,0.171,0.211,0.313,0.083,0.237,0.235
"P37","Mala",0.104,0.195,0.213,0.309,0.185,0.1,0.346,0.118
"P37","Muy mala",0.076,0.218,0.519,0.19,0.124,0.613,0.196,0.135
"P37","No sabe",0.025,0.062,0.01,0.025,0,0.041,0,0.22
"P38","Muy buena",0.106,0.022,0.026,0.035,0.051,0.021,0.117,0.049
"P38","Buena",0.242,0.073,0.012,0.054,0.174,0,0.089,0.141
"P38","Ni buena ni mala",0.365,0.362,0.173,0.301,0.321,0.018,0.182,0.16
"P38","Mala",0.108,0.191,0.113,0.249,0.188,0.162,0.279,0.119
"P38","Muy mala",0.108,0.221,0.666,0.278,0.153,0.621,0.333,0.242
"P38","No sabe",0.071,0.131,0.01,0.083,0.113,0.178,0,0.289
"P39","Muy buena",0.13,0.056,0.043,0.07,0.113,0.039,0.048,0.068
"P39","Buena",0.177,0.129,0.033,0.103,0.195,0.093,0.031,0.074
"P39","Ni buena ni mala",0.381,0.414,0.284,0.377,0.451,0.329,0.42,0.288
"P39","Mala",0.146,0.16,0.154,0.218,0.087,0.113,0.322,0.087
"P39","Muy mala",0.109,0.14,0.476,0.198,0.091,0.385,0.179,0.135
"P39","No sabe",0.057,0.101,0.01,0.034,0.063,0.041,0,0.348
"P42","A Rodrigo De Loredo por Juntos por el Cambio",0.817,0.146,0.046,0.311,0.281,0.086,0.322,0.244
"P42","A Daniel Passerini por Hacemos por Cordoba",0.059,0.76,0.167,0.1,0.18,0.053,0.207,0.1
"P42","Al candidato del frente de todos",0.036,0.037,0.735,0.053,0.059,0.024,0,0.024
"P42","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.017,0.012,0,0.512,0.065,0,0,0.011
"P42","A  Juan Pablo Quinteros por Encuentro Vecinal",0.037,0.016,0.026,0.013,0.367,0.024,0,0.021
"P42","Al candidato del frente de izquierda",0.001,0,0.006,0,0.013,0.738,0.175,0
"P42","Votaría en blanco",0.006,0.011,0.006,0,0,0.057,0.296,0.037
"P42","No sabe",0.027,0.018,0.014,0.011,0.035,0.018,0,0.563
"P44","A Luis Juez por Juntos por el Cambio",0.72,0.121,0.036,0.083,0.025,0.041,0.083,0.166
"P44","A Daniel Passerini por Hacemos por Cordoba",0.086,0.79,0.173,0.136,0.15,0.024,0.066,0.099
"P44","Al candidato del frente de todos",0.011,0.033,0.721,0,0.035,0.025,0,0
"P44","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.035,0.002,0,0.734,0.073,0,0.105,0.267
"P44","A  Juan Pablo Quinteros por Encuentro Vecinal",0.051,0.018,0.011,0.011,0.628,0.076,0,0.079
"P44","Al candidato del frente de izquierda",0.006,0.006,0.029,0.013,0,0.718,0.066,0
"P44","Votaría en blanco",0.011,0.006,0.009,0,0.039,0,0.644,0.014
"P44","No sabe",0.08,0.024,0.021,0.023,0.05,0.116,0.036,0.375
"P46","Lo votaría",0.754,0.133,0.031,0.235,0.382,0.086,0.225,0.191
"P46","Puede que lo vote",0.197,0.179,0.088,0.342,0.311,0,0.124,0.237
"P46","Nunca lo votaría",0.049,0.688,0.881,0.423,0.307,0.914,0.651,0.341
"P46","No sabe",0,0,0,0,0,0,0,0.231
"P47","Lo votaría",0.14,0.684,0.173,0.053,0.123,0.065,0.04,0.148
"P47","Puede que lo vote",0.124,0.165,0.354,0.277,0.377,0.139,0.304,0.211
"P47","Nunca lo votaría",0.736,0.151,0.473,0.67,0.5,0.796,0.656,0.41
"P47","No sabe",0,0,0,0,0,0,0,0.231
"P48","Lo votaría",0.546,0.127,0.067,0.058,0.015,0.136,0.123,0.048
"P48","Puede que lo vote",0.297,0.09,0.127,0.198,0.212,0.08,0.031,0.173
"P48","Nunca lo votaría",0.157,0.783,0.806,0.744,0.773,0.784,0.846,0.548
"P48","No sabe",0,0,0,0,0,0,0,0.231
"P49","Lo votaría",0.178,0.033,0.034,0.116,0.448,0.081,0.04,0.114
"P49","Puede que lo vote",0.253,0.267,0.218,0.276,0.312,0.154,0.27,0.246
"P49","Nunca lo votaría",0.569,0.7,0.748,0.608,0.24,0.765,0.69,0.409
"P49","No sabe",0,0,0,0,0,0,0,0.231
"P50","Lo votaría",0.027,0.17,0.283,0.052,0.126,0,0.069,0.059
"P50","Puede que lo vote",0.104,0.324,0.371,0.067,0.141,0.186,0.237,0.155
"P50","Nunca lo votaría",0.869,0.506,0.346,0.881,0.733,0.814,0.694,0.555
"P50","No sabe",0,0,0,0,0,0,0,0.231
"P52","Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio",0.783,0.022,0.036,0.118,0.163,0.085,0.189,0.067
"P52","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.017,0.931,0.061,0.017,0.025,0,0.048,0.011
"P52","A los candidatos a gobernador e intendente del Frente de Todos",0.019,0.014,0.878,0.013,0.011,0,0,0.021
"P52","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.048,0.003,0.011,0.797,0.02,0,0,0
"P52","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.048,0.006,0.014,0.011,0.734,0.071,0,0
"P52","A los candidatos a gobernador e intendente del Frente de Izquierda",0.005,0,0,0,0,0.747,0,0.026
"P52","Votaría en blanco",0.018,0,0,0,0,0.057,0.674,0
"P52","No sabe",0.062,0.024,0,0.044,0.047,0.04,0.089,0.875
