"var","categoria","No alcanzan para cubrir las necesidades básicas familiares","Solo alcanzan para cubrir las necesidades básicas familiares","No alcanzan para cubrir los gastos totales de la familia","Alcanzan para cubrir los gastos totales de la familia","Tenemos un pequeño excedente, pero es excepcional","Tenemos un pequeño excedente habitual que ahorramos o invertimos","Tenemos un gran excedente pero es excepcional","Tenemos un gran excedente habitual que ahorramos o invertimos","No sabe"
"P16","A Martín Maximiliano Diaz por Avanza libertad",0.041,0.029,0.031,0.021,0.223,0.099,0,0.073,0
"P16","A Domingo Palma por “Vamos con vos""",0.042,0.053,0.061,0.029,0,0.143,0,0,0
"P16","A Juan Domingo Ochoa por Union Celeste y Blanco",0.003,0.03,0.016,0,0,0,0,0,0
"P16","A Gustavo Javier Marchesani por Vocación Social",0.002,0,0.003,0,0,0,0,0,0
"P16","A Claudio Alejandro Ferrari por Republicano Federal",0,0,0.044,0,0,0,0,0,0.087
"P16","Votaría en blanco o anularía",0.066,0.063,0.026,0.018,0,0,0.093,0,0.113
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.388,0.356,0.323,0.295,0.283,0.242,0.734,0.058,0.756
"P18","Victoria Tolosa Paz por el Frente de todos",0.392,0.395,0.434,0.637,0.531,0.545,0.173,0.203,0.049
"P18","Nicolás del Caño por el Frente de Izquierda",0.026,0.035,0.037,0.042,0.186,0,0,0,0
"P18","José Luis Espert por “Avanza Libertad”",0.073,0.07,0.027,0.007,0,0.069,0,0.073,0
"P18","Florencio Randazzo por “Vamos con vos”",0.024,0.011,0.109,0.015,0,0,0,0,0
"P18","Cynthia Hotton por “+Valores”",0.002,0.009,0.038,0,0,0,0,0,0
"P18","Ninguna en particular",0.038,0.086,0.018,0,0,0.029,0.036,0,0.109
"P18","No sabe",0.057,0.038,0.014,0.004,0,0.115,0.057,0.666,0.086
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.445,0.325,0.248,0.479,0.643,0.519,0.803,0.026,0.354
"P19","Victoria Tolosa Paz por el Frente de todos",0.397,0.513,0.436,0.331,0.111,0.481,0.104,0.058,0.412
"P19","Nicolás del Caño por el Frente de Izquierda",0.012,0.004,0.071,0,0.052,0,0,0,0
"P19","José Luis Espert por “Avanza Libertad”",0.019,0.037,0.052,0.04,0,0,0,0,0
"P19","Florencio Randazzo por “Vamos con vos”",0.011,0.007,0.081,0.006,0.112,0,0,0,0
"P19","Cynthia Hotton por “+Valores”",0.003,0,0.012,0.101,0,0,0,0,0
"P19","Ninguna en particular",0.067,0.073,0.037,0.038,0.082,0,0.093,0,0.084
"P19","No sabe",0.046,0.041,0.063,0.005,0,0,0,0.916,0.15
"P21","Muy buena",0.236,0.121,0.128,0.186,0.129,0.104,0.068,0.028,0.413
"P21","Buena",0.141,0.243,0.242,0.286,0.402,0.269,0.075,0,0.049
"P21","Ni buena ni mala",0.194,0.122,0.32,0.158,0.191,0.078,0.062,0.707,0
"P21","Mala",0.151,0.15,0.029,0.187,0,0.206,0,0.235,0
"P21","Muy mala",0.259,0.322,0.27,0.179,0.278,0.343,0.795,0.03,0.413
"P21","No sabe",0.019,0.042,0.011,0.004,0,0,0,0,0.125
"P22","Muy buena",0.304,0.315,0.349,0.475,0.53,0.305,0.077,0.519,0.457
"P22","Buena",0.107,0.101,0.169,0.082,0,0.118,0,0.029,0
"P22","Ni buena ni mala",0.093,0.103,0.099,0.015,0.081,0.177,0.04,0.182,0.045
"P22","Mala",0.085,0.047,0.056,0.211,0.075,0.026,0,0.209,0
"P22","Muy mala",0.407,0.408,0.314,0.213,0.314,0.345,0.883,0.061,0.371
"P22","No sabe",0.004,0.026,0.013,0.004,0,0.029,0,0,0.127
"P23","Muy buena",0.157,0.102,0.09,0.078,0.09,0.033,0,0,0.39
"P23","Buena",0.118,0.181,0.174,0.297,0.087,0.251,0,0.212,0
"P23","Ni buena ni mala",0.223,0.236,0.239,0.333,0.53,0.225,0.077,0.131,0
"P23","Mala",0.139,0.124,0.16,0.109,0.157,0.026,0,0,0.238
"P23","Muy mala",0.34,0.304,0.33,0.164,0.136,0.344,0.923,0.11,0.372
"P23","No sabe",0.023,0.053,0.007,0.019,0,0.121,0,0.547,0
"P24","Muy buena",0.09,0.06,0.07,0.021,0.11,0,0.746,0,0.345
"P24","Buena",0.126,0.174,0.105,0.262,0.084,0.242,0,0,0.039
"P24","Ni buena ni mala",0.18,0.175,0.102,0.078,0.176,0.04,0,0.159,0.263
"P24","Mala",0.172,0.239,0.164,0.152,0.16,0.207,0.065,0.213,0.133
"P24","Muy mala",0.418,0.323,0.543,0.479,0.47,0.511,0.189,0.628,0.094
"P24","No sabe",0.014,0.029,0.016,0.008,0,0,0,0,0.126
"P25","Muy buena",0.246,0.141,0.126,0.171,0.203,0.214,0.771,0.126,0.272
"P25","Buena",0.147,0.207,0.18,0.148,0.083,0.086,0,0.028,0.199
"P25","Ni buena ni mala",0.19,0.194,0.13,0.272,0.08,0.369,0.059,0.107,0.414
"P25","Mala",0.119,0.166,0.183,0.085,0.331,0.066,0,0.186,0.066
"P25","Muy mala",0.264,0.226,0.375,0.291,0.303,0.265,0.17,0.553,0.049
"P25","No sabe",0.034,0.066,0.006,0.033,0,0,0,0,0
