"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P23_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.325,0.483,0.494,0.357,0.505,0.332
"P23_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.021,0,0.218,0.328,0.068,0.236
"P23_imputada","El candidato del Frente de Izquierda",0.154,0.179,0.006,0.106,0,0
"P23_imputada","En blanco",0.028,0.034,0.017,0,0,0.005
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.557,0.49,0.251,0.215,0.185,0.357
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.113,0.164,0.4,0.347,0.442,0.261
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.309,0.316,0.317,0.328,0.161,0.27
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.015,0.028,0.015,0.005,0.101,0.047
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.002,0.002,0.01,0.085,0.091,0.065
"PRESIDENTE_imputada","En blanco",0.004,0,0.007,0.02,0.02,0
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.573,0.471,0.223,0.261,0.189,0.361
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.111,0.219,0.46,0.343,0.437,0.26
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.294,0.273,0.276,0.303,0.151,0.243
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.018,0.031,0.027,0.052,0.111,0.047
"GOBERNADOR_imputada","En blanco",0.004,0.006,0.014,0.041,0.112,0.089
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.542,0.474,0.255,0.239,0.226,0.425
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.166,0.236,0.43,0.335,0.434,0.291
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.231,0.216,0.287,0.345,0.149,0.215
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.05,0.06,0.015,0.052,0.101,0
"INTENDENTE_imputada","En blanco",0.011,0.014,0.013,0.029,0.09,0.069
