"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro país","En blanco","No sabe"
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.019,0.32,0.32,0.332,0.171,0.209,0.271
"P29","No sabe",0.028,0.004,0.002,0.005,0,0,0.066
"P30","Si",0.745,0.796,0.786,0.745,0.671,0.832,0.715
"P30","No",0.255,0.204,0.214,0.255,0.329,0.168,0.285
"P31","Sergio Massa",0.795,0.212,0.147,0.212,0.372,0.121,0.329
"P31","Patria Bullrich",0.04,0.629,0.135,0.1,0.305,0.114,0.13
"P31","Javier Milei",0.042,0.069,0.566,0.345,0.127,0.085,0.279
"P31","Myriam Bregman",0.105,0.018,0.043,0.313,0.121,0.034,0.097
"P31","Juan Schiaretti",0.018,0.072,0.109,0.03,0.075,0.646,0.165
"P32","Ha aumentado significativamente",0.195,0.053,0.067,0.035,0.301,0.078,0.061
"P32","Ha aumentado ligeramente",0.236,0.163,0.177,0.05,0.295,0,0.045
"P32","Se mantiene igual",0.29,0.235,0.204,0.387,0.221,0.185,0.424
"P32","Ha disminuido ligeramente",0.14,0.266,0.194,0.066,0,0.444,0.118
"P32","Ha disminuido significativamente",0.139,0.283,0.358,0.462,0.183,0.293,0.352
"P33","No, ninguna dificultad",0.465,0.187,0.259,0.301,0.353,0.203,0.146
"P33","Alguna dificultad ocasional",0.33,0.29,0.3,0.239,0.367,0.476,0.232
"P33","Sí, dificultades frecuentes",0.205,0.523,0.441,0.46,0.28,0.321,0.622
"P34","Sí, absolutamente",0.745,0.277,0.319,0.561,0.237,0.206,0.524
"P34","Sí, en cierta medida",0.227,0.436,0.324,0.224,0.47,0.479,0.244
"P34","No, en absoluto",0.028,0.287,0.357,0.215,0.293,0.315,0.232
"P35","Reducir la inflación",0.47,0.465,0.252,0.576,0.011,0.296,0.482
"P35","Implementar reformas fiscales",0.131,0.064,0.131,0.108,0.386,0,0.042
"P35","Establecer políticas de control de precios",0.283,0.09,0.05,0.019,0.184,0.052,0.069
"P35","Reducir el gasto público",0.07,0.334,0.526,0.277,0.28,0.652,0.367
"P35","Estimular la inversión extranjera",0.018,0.047,0.032,0.01,0.139,0,0.023
"P35","Aumentar los subsidios a los servicios públicos",0.028,0,0.009,0.01,0,0,0.017
"P36","Muy positiva",0.413,0.142,0.177,0.136,0,0.125,0.218
"P36","Positiva",0.282,0.127,0.084,0.168,0.203,0.119,0.092
"P36","Neutral",0.139,0.345,0.368,0.196,0.39,0.08,0.175
"P36","Algo negativa",0.04,0.127,0.144,0.187,0.182,0.048,0.155
"P36","Negativa",0.012,0.122,0.109,0.165,0.225,0.149,0.151
"P36","No sabe",0.114,0.137,0.118,0.148,0,0.479,0.209
"P37","Muy positiva",0.694,0.163,0.245,0.561,0.188,0.125,0.13
"P37","Positiva",0.179,0.235,0.183,0.046,0.127,0.192,0.279
"P37","Neutral",0.061,0.33,0.281,0.165,0.4,0.195,0.086
"P37","Algo negativa",0.036,0.134,0.111,0.201,0.175,0,0.104
"P37","Negativa",0.003,0.098,0.157,0.027,0.099,0,0.21
"P37","No sabe",0.027,0.04,0.023,0,0.011,0.488,0.191
"P38","Muy positiva",0.47,0.096,0.154,0.079,0.01,0.127,0.135
"P38","Positiva",0.319,0.096,0.12,0.081,0.012,0.074,0.284
"P38","Neutral",0.159,0.406,0.364,0.107,0.2,0.608,0.124
"P38","Algo negativa",0.006,0.105,0.087,0.398,0.255,0,0.071
"P38","Negativa",0.003,0.196,0.212,0.055,0.523,0.151,0.263
"P38","No sabe",0.043,0.101,0.063,0.28,0,0.04,0.123
"P39","Muy positiva",0.61,0.225,0.479,0.196,0.261,0.313,0.472
"P39","Positiva",0.206,0.169,0.197,0.507,0.13,0.6,0.172
"P39","Neutral",0.131,0.243,0.183,0.121,0.29,0.048,0.205
"P39","Algo negativa",0.023,0.198,0.042,0,0.191,0,0.066
"P39","Negativa",0.004,0.14,0.096,0.118,0.128,0,0.022
"P39","No sabe",0.026,0.025,0.003,0.058,0,0.039,0.063
"P40","Muy positiva",0.58,0.169,0.269,0.435,0.272,0.149,0.14
"P40","Positiva",0.182,0.259,0.147,0.077,0.303,0.179,0.359
"P40","Neutral",0.128,0.243,0.363,0.257,0.299,0.512,0.118
"P40","Algo negativa",0.053,0.162,0.094,0.043,0,0,0.028
"P40","Negativa",0.009,0.088,0.049,0.127,0.126,0.112,0.198
"P40","No sabe",0.048,0.079,0.078,0.061,0,0.048,0.157
"P41","Lo votaría",0.88,0.08,0.09,0.256,0.009,0.075,0.19
"P41","Puede que lo vote",0.056,0.052,0.094,0.088,0.196,0.125,0.161
"P41","Nunca lo votaría",0.063,0.824,0.769,0.575,0.795,0.8,0.534
"P41","No sabe",0.001,0.044,0.047,0.081,0,0,0.115
"P42","Lo votaría",0.149,0.703,0.109,0.025,0.111,0.073,0.117
"P42","Puede que lo vote",0.044,0.152,0.264,0.333,0.199,0.041,0.044
"P42","Nunca lo votaría",0.788,0.139,0.556,0.602,0.69,0.358,0.682
"P42","No sabe",0.019,0.006,0.071,0.04,0,0.528,0.157
"P43","Lo votaría",0.049,0.142,0.869,0.176,0.342,0.045,0.266
"P43","Puede que lo vote",0.024,0.264,0.065,0.156,0.339,0.114,0.05
"P43","Nunca lo votaría",0.923,0.553,0.063,0.668,0.319,0.312,0.546
"P43","No sabe",0.004,0.041,0.003,0,0,0.529,0.138
"P44","Si",0.474,0.347,0.521,0.148,0,0.128,0.369
"P44","No",0.526,0.653,0.479,0.852,1,0.872,0.631
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.68,0.262,0.1,0.119,0.013,0.022,0.211
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.065,0.592,0.202,0.149,0.248,0.098,0.12
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.23,0.125,0.662,0.251,0.589,0.023,0.103
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.001,0,0.034,0.426,0,0.237,0.006
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.014,0.011,0,0.048,0.15,0.259,0.112
"PRESIDENTE","En blanco",0.009,0.004,0,0.007,0,0.308,0
"PRESIDENTE","No sabe",0.001,0.006,0.002,0,0,0.053,0.448
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.661,0.24,0.14,0.224,0.012,0.369,0.12
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.05,0.577,0.271,0.056,0.2,0.09,0.087
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.267,0.135,0.535,0.164,0.614,0,0.169
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.003,0.002,0.047,0.532,0,0,0.012
"GOBERNADOR","En blanco",0.015,0.015,0.002,0.024,0.143,0.46,0.054
"GOBERNADOR","No sabe",0.004,0.031,0.005,0,0.031,0.081,0.558
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria.",0.607,0.283,0.18,0.314,0.011,0.104,0.159
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.074,0.594,0.321,0.114,0.201,0.318,0.143
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.245,0.087,0.432,0.147,0.612,0,0.101
"INTENDENTE","El candidato del Frente de Izquierda",0.035,0.01,0.037,0.401,0,0,0.006
"INTENDENTE","En blanco",0.011,0.016,0,0.024,0.144,0.526,0.026
"INTENDENTE","No sabe",0.028,0.01,0.03,0,0.032,0.052,0.565
"CORTA_PRESIDENTE","Si",0.129,0.222,0.209,0.249,0.082,0.506,0.198
"CORTA_PRESIDENTE","No",0.871,0.778,0.791,0.751,0.918,0.494,0.802
"CORTA_GOBERNADOR","Si",0.131,0.248,0.262,0.334,0.092,0.604,0.277
"CORTA_GOBERNADOR","No",0.869,0.752,0.738,0.666,0.908,0.396,0.723
"CORTA_INTENDENTE","Si",0.174,0.252,0.33,0.46,0.092,0.542,0.28
"CORTA_INTENDENTE","No",0.826,0.748,0.67,0.54,0.908,0.458,0.72
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.633,0.33,0.072,0.094,0,0.037,0.395
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.06,0.561,0.311,0.121,0.19,0.046,0.344
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.303,0.095,0.576,0.191,0.577,0.242,0.193
"P13_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0,0.034,0.574,0,0,0.04
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.01,0,0.02,0.222,0.193,0.023
"P13_imputada","En blanco",0.004,0.004,0.007,0,0.011,0.482,0.005
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.788,0.123,0.119,0.078,0.12,0.041,0.364
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.109,0.675,0.092,0.238,0.668,0.117,0.318
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.03,0.195,0.784,0.229,0.113,0.048,0.118
"P17_imputada","Los candidatos a presidente de la Izquierda",0.005,0,0.005,0.391,0,0.591,0.014
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.052,0.007,0,0.054,0.099,0.037,0.186
"P17_imputada","En blanco",0.016,0,0,0.01,0,0.166,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.706,0.059,0.207,0.308,0.12,0.884,0.291
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.044,0.684,0.252,0.085,0.254,0.116,0.312
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.19,0.247,0.504,0.057,0.626,0,0.237
"P20_imputada","El candidato a gobernador de la Izquierda",0.013,0.004,0.031,0.55,0,0,0.059
"P20_imputada","En blanco",0.047,0.006,0.006,0,0,0,0.101
"P23_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.558,0.149,0.307,0.508,0.122,0.149,0.285
"P23_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.154,0.724,0.377,0.194,0.737,0.738,0.452
"P23_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.112,0.089,0.313,0.019,0.141,0,0.239
"P23_imputada","El candidato del Frente de Izquierda",0.138,0.028,0.003,0.279,0,0,0.024
"P23_imputada","En blanco",0.038,0.01,0,0,0,0.113,0
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.681,0.262,0.1,0.119,0.013,0.045,0.368
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.065,0.598,0.203,0.149,0.248,0.128,0.336
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.23,0.125,0.662,0.251,0.589,0.023,0.168
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.001,0,0.035,0.426,0,0.237,0.006
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.014,0.011,0,0.048,0.15,0.259,0.122
"PRESIDENTE_imputada","En blanco",0.009,0.004,0,0.007,0,0.308,0
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.661,0.24,0.14,0.224,0.012,0.421,0.343
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.051,0.603,0.273,0.056,0.199,0.119,0.335
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.27,0.14,0.538,0.164,0.646,0,0.229
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.003,0.002,0.047,0.532,0,0,0.029
"GOBERNADOR_imputada","En blanco",0.015,0.015,0.002,0.024,0.143,0.46,0.064
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.625,0.283,0.18,0.314,0.011,0.104,0.326
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.078,0.602,0.323,0.114,0.233,0.37,0.414
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.251,0.089,0.46,0.147,0.612,0,0.225
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.035,0.01,0.037,0.401,0,0,0.009
"INTENDENTE_imputada","En blanco",0.011,0.016,0,0.024,0.144,0.526,0.026
