"var","categoria","Fernando Moreira a intendente por Unión por la Patria.","Mauricio D’Alessandro a intendente por Juntos por el Cambio","Hernán Sardella a intendente por la Libertad Avanza","El candidato del Frente de Izquierda","En blanco","No sabe"
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.103,0.189,0.275,0.012,0.133,0.083
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.399,0.153,0.161,0.481,0.135,0.175
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.108,0.056,0,0.4,0,0.162
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.024,0.011,0,0.088,0.328,0
"P26","No sabe",0.089,0.03,0.006,0.017,0,0.343
"P27","Totalmente seguro.",0.707,0.659,0.809,0.371,0.655,0.55
"P27","Bastante seguro",0.135,0.167,0.191,0.529,0.055,0.272
"P27","Algo seguro",0.102,0.165,0,0.1,0.085,0.091
"P27","Para nada seguro",0.056,0.009,0,0,0.205,0.087
"P28","Tiene Decidido que va a ir a votar.",0.872,0.952,0.982,0.867,0.857,0.89
"P28","Tiene dudas sobre si va a ir a  votar",0.126,0.015,0.018,0,0.056,0.088
"P28","Tiene Decidido que no va a ir a votar",0.002,0.033,0,0.133,0.087,0.022
"P29","No estaba enterado del tema",0.268,0.108,0.513,0.16,0,0.358
"P29","Un tema de la vida privada de él",0.191,0.029,0.036,0.245,0.243,0.314
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.308,0.258,0.161,0.385,0.421,0.117
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.152,0.25,0.169,0.132,0.336,0.06
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.066,0.353,0.121,0.078,0,0.113
"P29","No sabe",0.015,0.002,0,0,0,0.038
"P30","Si",0.761,0.861,0.701,0.731,0.796,0.841
"P30","No",0.239,0.139,0.299,0.269,0.204,0.159
"P31","Sergio Massa",0.461,0.225,0.367,0.713,0.463,0.557
"P31","Patria Bullrich",0.147,0.53,0.304,0,0,0.031
"P31","Javier Milei",0.151,0.14,0.221,0.008,0.2,0.274
"P31","Myriam Bregman",0.157,0.014,0.108,0.139,0,0.076
"P31","Juan Schiaretti",0.084,0.091,0,0.14,0.337,0.062
"P32","Ha aumentado significativamente",0.118,0.02,0.198,0.255,0.046,0.299
"P32","Ha aumentado ligeramente",0.148,0.108,0.163,0.049,0.536,0
"P32","Se mantiene igual",0.417,0.178,0.313,0.049,0.094,0.075
"P32","Ha disminuido ligeramente",0.141,0.347,0.085,0.046,0.255,0.079
"P32","Ha disminuido significativamente",0.176,0.347,0.241,0.601,0.069,0.547
"P33","No, ninguna dificultad",0.342,0.132,0.307,0.691,0.339,0.202
"P33","Alguna dificultad ocasional",0.308,0.317,0.309,0.006,0.475,0.202
"P33","Sí, dificultades frecuentes",0.35,0.551,0.384,0.303,0.186,0.596
"P34","Sí, absolutamente",0.606,0.242,0.283,0.769,0.575,0.358
"P34","Sí, en cierta medida",0.301,0.47,0.35,0.231,0.312,0.609
"P34","No, en absoluto",0.093,0.288,0.367,0,0.113,0.033
"P35","Reducir la inflación",0.491,0.483,0.287,0.472,0.265,0.221
"P35","Implementar reformas fiscales",0.048,0.058,0.056,0,0,0.518
"P35","Establecer políticas de control de precios",0.27,0.117,0.106,0.288,0.377,0.198
"P35","Reducir el gasto público",0.151,0.308,0.505,0.24,0.358,0.032
"P35","Estimular la inversión extranjera",0.04,0.034,0.017,0,0,0
"P35","Aumentar los subsidios a los servicios públicos",0,0,0.029,0,0,0.031
"P36","Muy positiva",0.292,0.143,0.038,0.398,0.333,0.24
"P36","Positiva",0.178,0.233,0,0.425,0.36,0
"P36","Neutral",0.232,0.348,0.539,0.023,0.268,0.141
"P36","Algo negativa",0.075,0.105,0.334,0.154,0,0
"P36","Negativa",0.046,0.048,0.022,0,0,0.019
"P36","No sabe",0.177,0.123,0.067,0,0.039,0.6
"P37","Muy positiva",0.568,0.129,0.033,0.529,0.451,0.275
"P37","Positiva",0.242,0.142,0.313,0.471,0.297,0.15
"P37","Neutral",0.118,0.373,0.427,0,0.068,0.047
"P37","Algo negativa",0.006,0.211,0.015,0,0.184,0
"P37","Negativa",0.012,0.1,0.08,0,0,0.494
"P37","No sabe",0.054,0.045,0.132,0,0,0.034
"P38","Muy positiva",0.393,0.031,0.183,0.546,0.511,0.229
"P38","Positiva",0.193,0.063,0.048,0.085,0.191,0.146
"P38","Neutral",0.177,0.428,0.419,0,0.111,0.098
"P38","Algo negativa",0.018,0.247,0.049,0,0,0.013
"P38","Negativa",0.022,0.146,0.182,0.369,0,0.017
"P38","No sabe",0.197,0.085,0.119,0,0.187,0.497
"P39","Muy positiva",0.504,0.252,0.273,0.518,0.667,0.686
"P39","Positiva",0.217,0.138,0.217,0.11,0.333,0.052
"P39","Neutral",0.219,0.218,0.305,0,0,0.12
"P39","Algo negativa",0.004,0.23,0.038,0.364,0,0.088
"P39","Negativa",0.017,0.132,0.167,0.008,0,0.035
"P39","No sabe",0.039,0.03,0,0,0,0.019
"P40","Muy positiva",0.564,0.146,0.106,0.145,0.812,0.232
"P40","Positiva",0.119,0.228,0.327,0.034,0.075,0.054
"P40","Neutral",0.162,0.286,0.384,0.042,0.07,0.108
"P40","Algo negativa",0.016,0.183,0.023,0.771,0,0
"P40","Negativa",0.066,0.086,0.16,0.008,0.043,0.036
"P40","No sabe",0.073,0.071,0,0,0,0.57
"P41","Lo votaría",0.597,0.033,0.257,0.557,0.743,0.291
"P41","Puede que lo vote",0.106,0.048,0,0.057,0,0.072
"P41","Nunca lo votaría",0.214,0.889,0.743,0.386,0.257,0.108
"P41","No sabe",0.083,0.03,0,0,0,0.529
"P42","Lo votaría",0.201,0.574,0.372,0.014,0.301,0.065
"P42","Puede que lo vote",0.221,0.203,0.163,0.361,0.07,0.014
"P42","Nunca lo votaría",0.56,0.211,0.465,0.625,0.629,0.393
"P42","No sabe",0.018,0.012,0,0,0,0.528
"P43","Lo votaría",0.195,0.292,0.462,0.008,0,0.488
"P43","Puede que lo vote",0.073,0.319,0.236,0.014,0.362,0.037
"P43","Nunca lo votaría",0.727,0.375,0.27,0.978,0.449,0.401
"P43","No sabe",0.005,0.014,0.032,0,0.189,0.074
"P44","Si",0.449,0.439,0.302,0.19,0.629,0.249
"P44","No",0.551,0.561,0.698,0.81,0.371,0.751
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.516,0.103,0.227,0.603,0.644,0.461
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.169,0.504,0.27,0.145,0.3,0.084
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.191,0.337,0.383,0.15,0.056,0.148
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.1,0.037,0,0.035,0,0
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.014,0.011,0.12,0.057,0,0.137
"PRESIDENTE","En blanco",0.008,0.002,0,0.01,0,0.034
"PRESIDENTE","No sabe",0.002,0.006,0,0,0,0.136
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.543,0.119,0.131,0.612,0.655,0.281
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.154,0.507,0.326,0.144,0.262,0.014
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.114,0.305,0.533,0,0,0.373
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.097,0.003,0,0.244,0,0
"GOBERNADOR","En blanco",0.054,0.016,0,0,0.083,0
"GOBERNADOR","No sabe",0.038,0.05,0.01,0,0,0.332
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria.",1,0,0,0,0,0
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0,1,0,0,0,0
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0,0,1,0,0,0
"INTENDENTE","El candidato del Frente de Izquierda",0,0,0,1,0,0
"INTENDENTE","En blanco",0,0,0,0,1,0
"INTENDENTE","No sabe",0,0,0,0,0,1
"CORTA_PRESIDENTE","Si",0.466,0.498,0.617,0.267,0.483,0.448
"CORTA_PRESIDENTE","No",0.534,0.502,0.383,0.733,0.517,0.552
"CORTA_GOBERNADOR","Si",0.61,0.565,0.428,0.074,0.456,0.464
"CORTA_GOBERNADOR","No",0.39,0.435,0.572,0.926,0.544,0.536
"CORTA_INTENDENTE","Si",0.628,0.466,0.699,0.795,0.823,0.664
"CORTA_INTENDENTE","No",0.372,0.534,0.301,0.205,0.177,0.336
