"var","categoria","No, ninguna dificultad","Alguna dificultad ocasional","Sí, dificultades frecuentes"
"P42","Nunca lo votaría",0.67,0.536,0.43
"P42","No sabe",0.023,0.046,0.037
"P43","Lo votaría",0.19,0.199,0.298
"P43","Puede que lo vote",0.048,0.142,0.168
"P43","Nunca lo votaría",0.749,0.611,0.516
"P43","No sabe",0.013,0.048,0.018
"P44","Si",0.474,0.365,0.381
"P44","No",0.526,0.635,0.619
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.521,0.392,0.265
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.115,0.233,0.339
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.27,0.309,0.309
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.026,0.028,0.031
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.053,0.019,0.005
"PRESIDENTE","En blanco",0.007,0,0.013
"PRESIDENTE","No sabe",0.008,0.019,0.038
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.538,0.394,0.239
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.127,0.236,0.352
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.237,0.281,0.295
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.04,0.038,0.033
"GOBERNADOR","En blanco",0.037,0.024,0.026
"GOBERNADOR","No sabe",0.021,0.027,0.055
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria.",0.467,0.419,0.29
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.146,0.264,0.359
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.248,0.242,0.242
"INTENDENTE","El candidato del Frente de Izquierda",0.085,0.023,0.029
"INTENDENTE","En blanco",0.043,0.022,0.018
"INTENDENTE","No sabe",0.011,0.03,0.062
"CORTA_PRESIDENTE","Si",0.133,0.124,0.169
"CORTA_PRESIDENTE","No",0.867,0.876,0.831
"CORTA_GOBERNADOR","Si",0.113,0.146,0.17
"CORTA_GOBERNADOR","No",0.887,0.854,0.83
"CORTA_INTENDENTE","Si",0.186,0.183,0.199
"CORTA_INTENDENTE","No",0.814,0.817,0.801
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.518,0.404,0.291
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.121,0.247,0.347
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.28,0.306,0.306
"P13_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.039,0.028,0.032
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.035,0.015,0.006
"P13_imputada","En blanco",0.007,0,0.018
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.603,0.259,0.154
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.108,0.357,0.461
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.183,0.344,0.318
"P17_imputada","Los candidatos a presidente de la Izquierda",0.009,0.014,0.062
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.089,0.026,0.002
"P17_imputada","En blanco",0.008,0,0.003
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.701,0.282,0.083
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.18,0.354,0.533
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.078,0.273,0.286
"P20_imputada","El candidato a gobernador de la Izquierda",0.041,0.059,0.064
"P20_imputada","En blanco",0,0.032,0.034
"P23_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.404,0.376,0.264
"P23_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.216,0.468,0.505
"P23_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.127,0.128,0.159
"P23_imputada","El candidato del Frente de Izquierda",0.235,0.002,0.066
"P23_imputada","En blanco",0.018,0.026,0.006
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.522,0.404,0.274
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.12,0.237,0.359
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.271,0.31,0.318
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.027,0.028,0.031
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.053,0.021,0.005
"PRESIDENTE_imputada","En blanco",0.007,0,0.013
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.542,0.406,0.25
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.143,0.246,0.379
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.239,0.285,0.311
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.04,0.038,0.033
"GOBERNADOR_imputada","En blanco",0.036,0.025,0.027
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.471,0.437,0.302
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.153,0.276,0.383
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.248,0.242,0.269
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.085,0.023,0.029
"INTENDENTE_imputada","En blanco",0.043,0.022,0.017
