"var","categoria","Ha aumentado significativamente","Ha aumentado ligeramente","Se mantiene igual","Ha disminuido ligeramente","Ha disminuido significativamente"
"GOBERNADOR","En blanco",0.07,0.004,0.029,0.046,0.01
"GOBERNADOR","No sabe",0.007,0.007,0.024,0.041,0.076
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria.",0.496,0.404,0.465,0.344,0.252
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.085,0.2,0.199,0.403,0.379
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.269,0.331,0.255,0.173,0.194
"INTENDENTE","El candidato del Frente de Izquierda",0.052,0.044,0.039,0.009,0.076
"INTENDENTE","En blanco",0.057,0.019,0.024,0.041,0.009
"INTENDENTE","No sabe",0.041,0.002,0.018,0.03,0.09
"CORTA_PRESIDENTE","Si",0.165,0.103,0.152,0.19,0.128
"CORTA_PRESIDENTE","No",0.835,0.897,0.848,0.81,0.872
"CORTA_GOBERNADOR","Si",0.119,0.091,0.157,0.178,0.189
"CORTA_GOBERNADOR","No",0.881,0.909,0.843,0.822,0.811
"CORTA_INTENDENTE","Si",0.233,0.14,0.198,0.164,0.231
"CORTA_INTENDENTE","No",0.767,0.86,0.802,0.836,0.769
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.559,0.365,0.443,0.42,0.266
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.128,0.183,0.191,0.328,0.375
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.256,0.4,0.302,0.218,0.283
"P13_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.046,0.035,0.002,0.057
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.053,0.006,0.017,0.023,0.004
"P13_imputada","En blanco",0.004,0,0.012,0.009,0.015
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.55,0.361,0.431,0.184,0.217
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.045,0.365,0.295,0.453,0.362
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.206,0.215,0.234,0.356,0.327
"P17_imputada","Los candidatos a presidente de la Izquierda",0,0.042,0.008,0,0.084
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.199,0.017,0.02,0.007,0.006
"P17_imputada","En blanco",0,0,0.012,0,0.004
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.886,0.236,0.438,0.133,0.177
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.053,0.313,0.297,0.734,0.277
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.018,0.395,0.172,0.099,0.4
"P20_imputada","El candidato a gobernador de la Izquierda",0,0.056,0.049,0,0.131
"P20_imputada","En blanco",0.043,0,0.044,0.034,0.015
"P23_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.457,0.376,0.533,0.22,0.193
"P23_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.136,0.357,0.297,0.691,0.481
"P23_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.199,0.146,0.145,0.045,0.156
"P23_imputada","El candidato del Frente de Izquierda",0.2,0.034,0.017,0.019,0.166
"P23_imputada","En blanco",0.008,0.087,0.008,0.025,0.004
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.549,0.391,0.459,0.36,0.27
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.074,0.208,0.197,0.329,0.367
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.273,0.349,0.278,0.274,0.309
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0,0.044,0.035,0.002,0.042
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.1,0.008,0.021,0.026,0.003
"PRESIDENTE_imputada","En blanco",0.004,0,0.01,0.009,0.009
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.628,0.366,0.462,0.341,0.254
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.076,0.197,0.198,0.421,0.352
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.226,0.385,0.266,0.189,0.318
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0,0.048,0.045,0.002,0.063
"GOBERNADOR_imputada","En blanco",0.07,0.004,0.029,0.047,0.013
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.522,0.404,0.48,0.366,0.262
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.1,0.201,0.2,0.412,0.423
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.269,0.331,0.257,0.172,0.231
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.052,0.044,0.039,0.009,0.076
"INTENDENTE_imputada","En blanco",0.057,0.02,0.024,0.041,0.008
