"var","categoria","Sergio Massa","Patria Bullrich","Javier Milei","Myriam Bregman","Juan Schiaretti"
"P23","Hernán Sardella a intendente por la Libertad Avanza",0.104,0.11,0.154,0.141,0
"P23","El candidato del Frente de Izquierda",0.141,0,0.004,0.127,0.122
"P23","En blanco",0.026,0,0.028,0,0.085
"P23","No sabe",0.116,0.008,0.142,0.074,0.058
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.226,0.463,0.764,0.103,0.45
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.225,0.314,0.115,0.17,0.226
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.369,0.155,0.059,0.445,0.137
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.096,0.01,0.046,0.21,0.016
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.023,0.016,0,0.05,0.042
"P26","No sabe",0.061,0.042,0.016,0.022,0.129
"P27","Totalmente seguro.",0.77,0.69,0.789,0.67,0.51
"P27","Bastante seguro",0.129,0.166,0.118,0.125,0.307
"P27","Algo seguro",0.086,0.107,0.039,0.135,0.071
"P27","Para nada seguro",0.015,0.037,0.054,0.07,0.112
"P28","Tiene Decidido que va a ir a votar.",0.931,0.924,0.928,0.824,0.772
"P28","Tiene dudas sobre si va a ir a  votar",0.033,0.065,0.072,0.152,0.158
"P28","Tiene Decidido que no va a ir a votar",0.036,0.011,0,0.024,0.07
"P29","No estaba enterado del tema",0.267,0.106,0.14,0.033,0.101
"P29","Un tema de la vida privada de él",0.163,0.035,0.052,0.109,0.181
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.451,0.243,0.115,0.483,0.133
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.053,0.293,0.226,0.25,0.341
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.039,0.316,0.459,0.098,0.244
"P29","No sabe",0.027,0.007,0.008,0.027,0
"P30","Si",0.801,0.697,0.768,0.746,0.775
"P30","No",0.199,0.303,0.232,0.254,0.225
"P32","Ha aumentado significativamente",0.249,0.044,0,0,0.017
"P32","Ha aumentado ligeramente",0.176,0.252,0.124,0.244,0.13
"P32","Se mantiene igual",0.299,0.216,0.297,0.262,0.157
"P32","Ha disminuido ligeramente",0.121,0.227,0.215,0.207,0.271
"P32","Ha disminuido significativamente",0.155,0.261,0.364,0.287,0.425
"P33","No, ninguna dificultad",0.465,0.189,0.269,0.252,0.08
"P33","Alguna dificultad ocasional",0.271,0.378,0.257,0.397,0.323
"P33","Sí, dificultades frecuentes",0.264,0.433,0.474,0.351,0.597
"P34","Sí, absolutamente",0.68,0.3,0.389,0.548,0.218
"P34","Sí, en cierta medida",0.241,0.441,0.211,0.44,0.465
"P34","No, en absoluto",0.079,0.259,0.4,0.012,0.317
"P35","Reducir la inflación",0.487,0.401,0.259,0.52,0.323
"P35","Implementar reformas fiscales",0.13,0.084,0.063,0.204,0.157
"P35","Establecer políticas de control de precios",0.276,0.084,0.053,0.079,0.066
"P35","Reducir el gasto público",0.07,0.346,0.606,0.144,0.418
"P35","Estimular la inversión extranjera",0.014,0.075,0.01,0.048,0.036
"P35","Aumentar los subsidios a los servicios públicos",0.023,0.01,0.009,0.005,0
"P36","Muy positiva",0.43,0.087,0.156,0.224,0.074
"P36","Positiva",0.219,0.192,0.109,0.221,0.106
"P36","Neutral",0.128,0.336,0.329,0.289,0.438
"P36","Algo negativa",0.056,0.161,0.146,0.053,0.079
"P36","Negativa",0.036,0.098,0.148,0.075,0.16
"P36","No sabe",0.131,0.126,0.112,0.138,0.143
"P37","Muy positiva",0.643,0.16,0.228,0.464,0.186
"P37","Positiva",0.158,0.215,0.255,0.205,0.181
"P37","Neutral",0.127,0.356,0.165,0.156,0.175
"P37","Algo negativa",0.013,0.123,0.169,0.072,0.273
"P37","Negativa",0.023,0.102,0.163,0.051,0.044
"P37","No sabe",0.036,0.044,0.02,0.052,0.141
"P38","Muy positiva",0.465,0.073,0.117,0.2,0.048
"P38","Positiva",0.229,0.145,0.107,0.357,0.241
"P38","Neutral",0.166,0.395,0.329,0.211,0.362
"P38","Algo negativa",0.025,0.098,0.13,0.058,0.163
"P38","Negativa",0.058,0.187,0.24,0.067,0.157
"P38","No sabe",0.057,0.102,0.077,0.107,0.029
"P39","Muy positiva",0.611,0.193,0.469,0.322,0.238
"P39","Positiva",0.158,0.196,0.288,0.308,0.17
"P39","Neutral",0.117,0.311,0.09,0.293,0.264
"P39","Algo negativa",0.045,0.158,0.052,0.027,0.244
"P39","Negativa",0.046,0.115,0.098,0,0.034
"P39","No sabe",0.023,0.027,0.003,0.05,0.05
"P40","Muy positiva",0.564,0.162,0.168,0.557,0.154
"P40","Positiva",0.207,0.252,0.194,0.094,0.235
"P40","Neutral",0.088,0.328,0.367,0.232,0.179
"P40","Algo negativa",0.048,0.109,0.08,0,0.383
"P40","Negativa",0.036,0.074,0.13,0,0
"P40","No sabe",0.057,0.075,0.061,0.117,0.049
"P41","Lo votaría",0.791,0.076,0.052,0.592,0.086
"P41","Puede que lo vote",0.072,0.045,0.077,0.077,0.175
"P41","Nunca lo votaría",0.134,0.844,0.814,0.216,0.732
"P41","No sabe",0.003,0.035,0.057,0.115,0.007
"P42","Lo votaría",0.201,0.658,0.111,0.098,0.397
"P42","Puede que lo vote",0.037,0.136,0.268,0.225,0.184
"P42","Nunca lo votaría",0.741,0.203,0.563,0.638,0.233
"P42","No sabe",0.021,0.003,0.058,0.039,0.186
"P43","Lo votaría",0.095,0.119,0.772,0.122,0.136
"P43","Puede que lo vote",0.04,0.295,0.107,0.018,0.199
"P43","Nunca lo votaría",0.86,0.545,0.117,0.837,0.473
"P43","No sabe",0.005,0.041,0.004,0.023,0.192
"P44","Si",0.467,0.328,0.427,0.321,0.289
"P44","No",0.533,0.672,0.573,0.679,0.711
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.603,0.248,0.116,0.427,0.11
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.092,0.506,0.244,0.118,0.402
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.262,0.209,0.552,0.22,0.193
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.005,0.002,0.035,0.152,0.103
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.021,0.019,0.007,0.029,0.097
"PRESIDENTE","En blanco",0.005,0.008,0.005,0.005,0.024
"PRESIDENTE","No sabe",0.012,0.008,0.041,0.049,0.071
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.593,0.259,0.107,0.389,0.074
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.068,0.51,0.33,0.103,0.417
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.292,0.175,0.437,0.244,0.183
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.015,0.004,0.053,0.158,0.103
"GOBERNADOR","En blanco",0.017,0.023,0.016,0.024,0.143
"GOBERNADOR","No sabe",0.015,0.029,0.057,0.082,0.08
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria.",0.532,0.278,0.16,0.495,0.174
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.123,0.528,0.348,0.094,0.311
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.244,0.164,0.362,0.223,0.147
"INTENDENTE","El candidato del Frente de Izquierda",0.045,0,0.036,0.102,0.145
"INTENDENTE","En blanco",0.015,0.022,0.012,0.024,0.152
"INTENDENTE","No sabe",0.041,0.008,0.082,0.062,0.071
"CORTA_PRESIDENTE","Si",0.135,0.218,0.089,0.085,0.192
"CORTA_PRESIDENTE","No",0.865,0.782,0.911,0.915,0.808
"CORTA_GOBERNADOR","Si",0.137,0.214,0.149,0.113,0.211
"CORTA_GOBERNADOR","No",0.863,0.786,0.851,0.887,0.789
"CORTA_INTENDENTE","Si",0.174,0.221,0.228,0.193,0.249
"CORTA_INTENDENTE","No",0.826,0.779,0.772,0.807,0.751
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.578,0.303,0.116,0.468,0.163
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.126,0.459,0.345,0.091,0.311
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.271,0.209,0.494,0.247,0.28
"P13_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.014,0.001,0.035,0.157,0.103
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.005,0.017,0.004,0.037,0.101
"P13_imputada","En blanco",0.006,0.011,0.006,0,0.042
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.637,0.077,0.137,0.378,0.162
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.132,0.68,0.032,0.149,0.718
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.168,0.223,0.795,0.145,0.11
"P17_imputada","Los candidatos a presidente de la Izquierda",0.004,0.008,0,0.303,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.059,0.008,0.019,0.015,0.01
"P17_imputada","En blanco",0,0.004,0.017,0.01,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.601,0.104,0.111,0.261,0.119
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.056,0.72,0.338,0.094,0.735
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.28,0.166,0.423,0.31,0.074
"P20_imputada","El candidato a gobernador de la Izquierda",0.04,0.008,0.069,0.32,0
"P20_imputada","En blanco",0.023,0.002,0.059,0.015,0.072
"P23_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.42,0.152,0.314,0.587,0.328
"P23_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.266,0.733,0.393,0.145,0.465
"P23_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.147,0.115,0.262,0.141,0
"P23_imputada","El candidato del Frente de Izquierda",0.141,0,0.003,0.127,0.122
"P23_imputada","En blanco",0.026,0,0.028,0,0.085
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.611,0.248,0.116,0.471,0.116
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.096,0.512,0.282,0.119,0.418
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.263,0.209,0.552,0.224,0.242
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.005,0.003,0.035,0.152,0.103
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.021,0.019,0.01,0.029,0.097
"PRESIDENTE_imputada","En blanco",0.004,0.009,0.005,0.005,0.024
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.602,0.262,0.107,0.434,0.086
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.072,0.537,0.383,0.103,0.437
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.294,0.174,0.44,0.276,0.225
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.015,0.004,0.054,0.158,0.103
"GOBERNADOR_imputada","En blanco",0.017,0.023,0.016,0.029,0.149
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.551,0.278,0.165,0.535,0.186
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.131,0.534,0.391,0.117,0.327
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.257,0.166,0.396,0.223,0.19
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.046,0,0.036,0.101,0.145
"INTENDENTE_imputada","En blanco",0.015,0.022,0.012,0.024,0.152
