"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","Los candidatos a presidente, gobernador e intendente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.105,0.621,0.313,0.021,0.229,0.063,0.24
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.141,0.257,0.515,0.036,0,0,0.287
"P19_imputada","El candidato a gobernador de la Izquierda",0.009,0,0.042,0.163,0.365,0,0.025
"P19_imputada","En blanco",0,0.012,0.004,0.081,0.219,0.507,0.333
"P22_imputada","Gustavo Menéndez a intendente por Unión por la Patria",0.504,0.152,0.221,0.165,0.167,0.864,0.151
"P22_imputada","Zencich a intendente por Juntos por el Cambio",0.136,0.664,0.321,0.029,0,0.086,0
"P22_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.073,0.076,0.325,0.045,0.111,0,0.203
"P22_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.147,0.081,0.115,0.756,0.261,0.05,0.285
"P22_imputada","El candidato a intendente de la Izquierda",0.082,0.018,0.018,0.005,0.327,0,0
"P22_imputada","En blanco",0.058,0.009,0,0,0.134,0,0.361
"P25","Totalmente seguro",0.628,0.636,0.716,0.574,0.239,0.177,0.164
"P25","Bastante seguro",0.177,0.188,0.2,0.053,0.313,0.485,0.015
"P25","Algo seguro",0.108,0.101,0.051,0.081,0.164,0,0.034
"P25","Para nada seguro",0.087,0.075,0.033,0.292,0.284,0.338,0.787
"P26","Tiene Decidido que va a ir a votar",0.878,0.861,0.907,0.91,0.729,0.63,0.408
"P26","Tiene dudas sobre si va a ir a  votar",0.077,0.078,0.058,0.019,0.139,0.37,0.238
"P26","Tiene Decidido que no va a ir a votar",0.045,0.061,0.035,0.071,0.132,0,0.354
"P27","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.232,0.57,0.711,0.346,0.455,0.221,0.256
"P27","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.102,0.184,0.108,0.003,0.112,0.069,0.008
"P27","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.467,0.141,0.075,0.317,0.079,0.048,0.108
"P27","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.098,0.051,0.025,0.316,0.081,0.585,0.049
"P27","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.021,0,0.025,0.008,0.226,0,0.048
"P27","No sabe",0.08,0.054,0.056,0.01,0.047,0.077,0.531
"P28","Lo votaría",0.743,0.115,0.12,0.184,0.177,0.256,0.121
"P28","Puede que lo vote",0.127,0.084,0.024,0.236,0.601,0.064,0.072
"P28","Nunca lo votaría",0.058,0.734,0.834,0.334,0.153,0.603,0.515
"P28","No sabe",0.072,0.067,0.022,0.246,0.069,0.077,0.292
"P29","Lo votaría",0.099,0.75,0.108,0.171,0.192,0,0
"P29","Puede que lo vote",0.041,0.085,0.266,0.205,0.326,0.036,0.004
"P29","Nunca lo votaría",0.783,0.137,0.522,0.519,0.383,0.945,0.6
"P29","No sabe",0.077,0.028,0.104,0.105,0.099,0.019,0.396
"P30","Lo votaría",0.046,0.11,0.794,0.211,0.221,0,0
"P30","Puede que lo vote",0.067,0.239,0.097,0.199,0.272,0,0.009
"P30","Nunca lo votaría",0.8,0.606,0.104,0.515,0.474,1,0.577
"P30","No sabe",0.087,0.045,0.005,0.075,0.033,0,0.414
"P31","Lo votaría",0.09,0.219,0.217,0.786,0.228,0,0.019
"P31","Puede que lo vote",0.067,0.189,0.105,0.164,0.199,0.036,0.037
"P31","Nunca lo votaría",0.743,0.495,0.606,0.05,0.484,0.964,0.688
"P31","No sabe",0.1,0.097,0.072,0,0.089,0,0.256
"P32","Si",0.431,0.357,0.372,0.376,0.469,0.137,0.091
"P32","No",0.569,0.643,0.628,0.624,0.531,0.863,0.909
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria",0.921,0.089,0.047,0.479,0.231,0.018,0.091
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.033,0.831,0.085,0.049,0.007,0,0.042
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.036,0.077,0.868,0.038,0.044,0,0.113
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.005,0.003,0,0.079,0.688,0,0.215
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0.111,0.03,0.982,0.017
"PRESIDENTE_imputada","En blanco",0.005,0,0,0.244,0,0,0.522
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.902,0.055,0.049,0.519,0.118,0.311,0.074
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.038,0.807,0.128,0.015,0.163,0.053,0.157
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.056,0.132,0.8,0.028,0,0,0.189
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.004,0,0.021,0.129,0.58,0,0.019
"GOBERNADOR_imputada","En blanco",0,0.006,0.002,0.309,0.139,0.636,0.561
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria",0.805,0.067,0.087,0.128,0.095,0.624,0.085
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.054,0.842,0.137,0.023,0,0.092,0
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.029,0.041,0.715,0.031,0.061,0,0.117
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.056,0.038,0.054,0.816,0.183,0.043,0.174
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0.035,0.007,0.007,0.002,0.58,0,0
"INTENDENTE_imputada","En blanco",0.021,0.005,0,0,0.081,0.241,0.624
