"var","categoria","Positiva","Neutra","Negativa","No lo conozco","No sabe"
"P19","Positiva",0.305,0.24,0.196,0.368,0.172
"P19","Neutra",0.304,0.499,0.21,0.151,0.054
"P19","Negativa",0.298,0.228,0.555,0.199,0.028
"P19","No lo conozco",0.079,0.028,0.032,0.255,0.254
"P19","No sabe",0.014,0.005,0.007,0.027,0.492
"P20","Positiva",0.263,0.165,0.15,0.16,0.046
"P20","Neutra",0.328,0.568,0.229,0.219,0.019
"P20","Negativa",0.248,0.13,0.497,0.085,0
"P20","No lo conozco",0.117,0.12,0.101,0.485,0.399
"P20","No sabe",0.044,0.017,0.023,0.051,0.536
"P21","Positiva",0.229,0.138,0.207,0.233,0
"P21","Neutra",0.273,0.504,0.161,0.105,0.033
"P21","Negativa",0.362,0.222,0.553,0.1,0.021
"P21","No lo conozco",0.127,0.12,0.065,0.52,0.292
"P21","No sabe",0.009,0.016,0.014,0.042,0.654
"P22","Positiva",0.245,0.054,0.07,0.139,0
"P22","Neutra",0.325,0.656,0.122,0.088,0.01
"P22","Negativa",0.292,0.131,0.673,0.072,0
"P22","No lo conozco",0.125,0.156,0.116,0.652,0.313
"P22","No sabe",0.013,0.003,0.019,0.049,0.677
"P24","Positiva",0.311,0.197,0.145,0.143,0
"P24","Neutra",0.338,0.513,0.124,0.062,0.076
"P24","Negativa",0.195,0.05,0.577,0.007,0
"P24","No lo conozco",0.142,0.228,0.147,0.726,0.149
"P24","No sabe",0.014,0.012,0.007,0.062,0.775
"P25","Positiva",0.27,0.077,0.077,0.151,0
"P25","Neutra",0.279,0.573,0.194,0.052,0.026
"P25","Negativa",0.216,0.034,0.546,0.101,0
"P25","No lo conozco",0.198,0.302,0.167,0.617,0.456
"P25","No sabe",0.037,0.014,0.016,0.079,0.518
"P26","Positiva",0.209,0.079,0.063,0.068,0
"P26","Neutra",0.314,0.559,0.192,0.119,0.058
"P26","Negativa",0.24,0.095,0.525,0.039,0
"P26","No lo conozco",0.202,0.231,0.208,0.678,0.391
"P26","No sabe",0.035,0.036,0.012,0.096,0.551
"P27","Positiva",0.189,0.025,0.04,0.053,0
"P27","Neutra",0.314,0.512,0.142,0.028,0.027
"P27","Negativa",0.199,0.06,0.484,0,0
"P27","No lo conozco",0.273,0.377,0.295,0.835,0.354
"P27","No sabe",0.025,0.026,0.039,0.084,0.619
"P28","Positiva",0.201,0.078,0.116,0.065,0
"P28","Neutra",0.315,0.483,0.124,0.039,0
"P28","Negativa",0.272,0.15,0.559,0.064,0.029
"P28","No lo conozco",0.186,0.268,0.18,0.707,0.39
"P28","No sabe",0.026,0.021,0.021,0.125,0.581
