"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P23","Ni buena ni mala",0.043,0.254,0.504,0.156,0.112,0.272,0.107
"P23","Mala",0.103,0.142,0.129,0.452,0.1,0.125,0.056
"P23","Muy mala",0.2,0.192,0.031,0.103,0.56,0.1,0.079
"P23","No lo conozco",0.124,0.017,0.015,0.019,0.023,0.268,0.242
"P23","No sabe",0,0,0,0.006,0,0.051,0.385
"P24","Muy buena",0.412,0.124,0.1,0.068,0.078,0.073,0.081
"P24","Buena",0.157,0.343,0.101,0.075,0.106,0.057,0
"P24","Ni buena ni mala",0.017,0.224,0.599,0.212,0.169,0.153,0.051
"P24","Mala",0.078,0.078,0.067,0.493,0.099,0.056,0
"P24","Muy mala",0.152,0.139,0.06,0.09,0.43,0.055,0.048
"P24","No lo conozco",0.15,0.078,0.071,0.054,0.115,0.571,0.285
"P24","No sabe",0.034,0.014,0.002,0.008,0.003,0.035,0.535
"P25","Muy buena",0.361,0.084,0.02,0.024,0.059,0.046,0.091
"P25","Buena",0.172,0.376,0.076,0.011,0.055,0.046,0.007
"P25","Ni buena ni mala",0.024,0.249,0.688,0.194,0.161,0.162,0.084
"P25","Mala",0.065,0.101,0.073,0.571,0.088,0.041,0.019
"P25","Muy mala",0.213,0.099,0.033,0.086,0.467,0.036,0
"P25","No lo conozco",0.147,0.081,0.08,0.106,0.167,0.658,0.224
"P25","No sabe",0.018,0.01,0.03,0.008,0.003,0.011,0.575
"P26","Muy buena",0.434,0.051,0.007,0.038,0.008,0.008,0
"P26","Buena",0.147,0.33,0.046,0.034,0.059,0.055,0.029
"P26","Ni buena ni mala",0.02,0.321,0.732,0.208,0.149,0.101,0.244
"P26","Mala",0.026,0.048,0.081,0.549,0.102,0.048,0.019
"P26","Muy mala",0.225,0.13,0.026,0.082,0.527,0.044,0
"P26","No lo conozco",0.115,0.114,0.092,0.061,0.141,0.713,0.127
"P26","No sabe",0.033,0.006,0.016,0.028,0.014,0.031,0.581
"P27","Muy buena",0.343,0.2,0,0.007,0.011,0,0.084
"P27","Buena",0.147,0.305,0.022,0.013,0.017,0,0.007
"P27","Ni buena ni mala",0.029,0.153,0.757,0.172,0.145,0.047,0.019
"P27","Mala",0.035,0.162,0.049,0.585,0.063,0.001,0
"P27","Muy mala",0.167,0.019,0.012,0.046,0.552,0.006,0
"P27","No lo conozco",0.261,0.139,0.149,0.155,0.173,0.915,0.257
"P27","No sabe",0.018,0.022,0.011,0.022,0.039,0.031,0.633
