"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P16","Nunca lo votaría",0.57,0.451,0.678,0.736,0.785,0.404,0.201
"P16","No sabe",0.106,0.266,0.195,0.115,0.071,0.416,0.799
"P17","Muy buena",0.231,0.109,0.185,0.316,0.158,0.223,0.021
"P17","Buena",0.192,0.229,0.143,0.076,0.066,0.065,0.26
"P17","Ni buena ni mala",0.224,0.316,0.422,0.291,0.16,0.099,0.066
"P17","Mala",0.1,0.135,0.064,0.255,0.21,0.088,0.028
"P17","Muy mala",0.193,0.088,0.09,0.041,0.297,0.065,0.011
"P17","No lo conozco",0.057,0.113,0.081,0.018,0.109,0.46,0.119
"P17","No sabe",0.003,0.01,0.015,0.003,0,0,0.495
"P18","Muy buena",0.441,0.277,0.219,0.236,0.122,0.068,0.077
"P18","Buena",0.134,0.328,0.202,0.136,0.075,0.095,0.169
"P18","Ni buena ni mala",0.18,0.213,0.396,0.202,0.167,0.086,0.032
"P18","Mala",0.042,0.098,0.092,0.332,0.101,0.014,0
"P18","Muy mala",0.139,0.02,0.049,0.068,0.517,0.139,0.011
"P18","No lo conozco",0.035,0.056,0.028,0.024,0.016,0.468,0
"P18","No sabe",0.029,0.008,0.014,0.002,0.002,0.13,0.711
"P20","Muy buena",0.292,0.018,0.04,0.049,0.073,0.02,0
"P20","Buena",0.067,0.288,0.089,0.097,0.089,0.07,0
"P20","Ni buena ni mala",0.307,0.296,0.583,0.252,0.173,0.044,0.059
"P20","Mala",0.041,0.078,0.111,0.489,0.05,0.072,0
"P20","Muy mala",0.104,0.065,0.049,0.047,0.48,0.005,0
"P20","No lo conozco",0.168,0.219,0.113,0.05,0.131,0.691,0.046
"P20","No sabe",0.021,0.036,0.015,0.016,0.004,0.098,0.895
"P21","Muy buena",0.219,0.029,0.038,0.069,0.13,0.084,0
"P21","Buena",0.081,0.241,0.079,0.076,0.122,0.071,0.021
"P21","Ni buena ni mala",0.213,0.224,0.509,0.219,0.111,0.06,0.022
"P21","Mala",0.115,0.167,0.146,0.431,0.071,0.025,0.072
"P21","Muy mala",0.186,0.084,0.098,0.127,0.493,0.126,0.078
"P21","No lo conozco",0.152,0.25,0.111,0.066,0.059,0.594,0.068
"P21","No sabe",0.034,0.005,0.019,0.012,0.014,0.04,0.739
"P22","Muy buena",0.153,0.046,0.028,0.018,0.032,0.049,0
"P22","Buena",0.083,0.192,0.057,0.047,0.033,0.045,0.014
"P22","Ni buena ni mala",0.23,0.372,0.543,0.282,0.093,0.069,0.099
"P22","Mala",0.141,0.106,0.132,0.499,0.168,0.008,0
"P22","Muy mala",0.133,0.039,0.068,0.077,0.543,0.065,0.048
"P22","No lo conozco",0.206,0.242,0.155,0.063,0.128,0.721,0.078
"P22","No sabe",0.054,0.003,0.017,0.014,0.003,0.043,0.761
"P23","Muy buena",0.14,0.065,0.176,0.167,0.147,0.079,0
"P23","Buena",0.133,0.305,0.094,0.092,0.058,0.197,0.13
"P23","Ni buena ni mala",0.185,0.326,0.445,0.258,0.093,0.1,0.047
"P23","Mala",0.123,0.153,0.119,0.373,0.1,0.082,0.075
"P23","Muy mala",0.173,0.037,0.104,0.074,0.501,0.051,0
"P23","No lo conozco",0.199,0.114,0.055,0.032,0.099,0.368,0.106
"P23","No sabe",0.047,0,0.007,0.004,0.002,0.123,0.642
"P24","Muy buena",0.216,0.072,0.102,0.101,0.048,0.057,0
"P24","Buena",0.1,0.231,0.115,0.079,0.029,0.06,0
"P24","Ni buena ni mala",0.194,0.337,0.461,0.219,0.13,0.09,0.172
"P24","Mala",0.095,0.051,0.075,0.355,0.129,0.025,0.013
"P24","Muy mala",0.108,0.01,0.072,0.089,0.4,0.058,0
"P24","No lo conozco",0.218,0.294,0.164,0.143,0.262,0.614,0.078
"P24","No sabe",0.069,0.005,0.011,0.014,0.002,0.096,0.737
"P25","Muy buena",0.29,0.019,0.04,0.002,0.009,0.025,0
"P25","Buena",0.137,0.254,0.05,0.023,0.021,0.052,0
"P25","Ni buena ni mala",0.191,0.338,0.49,0.304,0.138,0.071,0.029
"P25","Mala",0.09,0.08,0.089,0.422,0.089,0.013,0
"P25","Muy mala",0.082,0.013,0.035,0.076,0.449,0.075,0
"P25","No lo conozco",0.192,0.29,0.259,0.161,0.288,0.696,0.086
"P25","No sabe",0.018,0.006,0.037,0.012,0.006,0.068,0.885
"P26","Muy buena",0.126,0,0.007,0.029,0.024,0.054,0
"P26","Buena",0.089,0.177,0.044,0.079,0.029,0.078,0
"P26","Ni buena ni mala",0.303,0.311,0.497,0.323,0.144,0.04,0.013
"P26","Mala",0.034,0.092,0.13,0.378,0.079,0.012,0
"P26","Muy mala",0.144,0.045,0.077,0.059,0.415,0.022,0
"P26","No lo conozco",0.29,0.34,0.216,0.103,0.286,0.709,0.113
"P26","No sabe",0.014,0.035,0.029,0.029,0.023,0.085,0.874
"P27","Muy buena",0.177,0.011,0.018,0.002,0.026,0,0
"P27","Buena",0.06,0.138,0.022,0.013,0.006,0.056,0
"P27","Ni buena ni mala",0.171,0.292,0.451,0.346,0.078,0.063,0.013
"P27","Mala",0.086,0.068,0.106,0.358,0.052,0,0
"P27","Muy mala",0.064,0.021,0.029,0.079,0.417,0.007,0
"P27","No lo conozco",0.411,0.467,0.333,0.187,0.382,0.769,0.112
"P27","No sabe",0.031,0.003,0.041,0.015,0.039,0.105,0.875
"P28","Muy buena",0.167,0.017,0.009,0.009,0.049,0.078,0
"P28","Buena",0.109,0.199,0.067,0.049,0.016,0.076,0
"P28","Ni buena ni mala",0.221,0.322,0.425,0.269,0.055,0.02,0.163
"P28","Mala",0.066,0.085,0.122,0.409,0.121,0.013,0.043
"P28","Muy mala",0.093,0.037,0.103,0.133,0.484,0.021,0.016
"P28","No lo conozco",0.289,0.312,0.252,0.118,0.26,0.661,0.013
"P28","No sabe",0.055,0.028,0.022,0.013,0.015,0.131,0.765
