"var","categoria","Positiva","Neutra","Negativa","No lo conozco","No sabe"
"P15","No sabe",0.023,0.16,0.049,0.199,0.577
"P16","Lo votaría",0.396,0.039,0.087,0.045,0.013
"P16","Puede que lo vote",0.244,0.104,0.105,0.087,0.01
"P16","Nunca lo votaría",0.309,0.678,0.769,0.62,0.384
"P16","No sabe",0.051,0.179,0.039,0.248,0.593
"P17","Positiva",0.663,0.357,0.268,0.279,0.295
"P17","Neutra",0.11,0.455,0.215,0.253,0.131
"P17","Negativa",0.137,0.161,0.506,0.275,0.094
"P17","No lo conozco",0.09,0.025,0.011,0.18,0.293
"P17","No sabe",0,0.002,0,0.013,0.187
"P18","Positiva",0.698,0.394,0.384,0.342,0.173
"P18","Neutra",0.065,0.396,0.102,0.256,0.235
"P18","Negativa",0.18,0.191,0.514,0.225,0.121
"P18","No lo conozco",0.057,0.018,0,0.139,0.028
"P18","No sabe",0,0.001,0,0.038,0.443
"P19","Positiva",0.677,0.216,0.139,0.304,0.083
"P19","Neutra",0.16,0.5,0.179,0.271,0.218
"P19","Negativa",0.106,0.266,0.68,0.26,0.161
"P19","No lo conozco",0.057,0.017,0.002,0.157,0.14
"P19","No sabe",0,0.001,0,0.008,0.398
"P20","Positiva",0.797,0.161,0.096,0.141,0.032
"P20","Neutra",0.122,0.656,0.205,0.268,0.127
"P20","Negativa",0.026,0.162,0.674,0.188,0.111
"P20","No lo conozco",0.038,0.016,0.016,0.361,0.272
"P20","No sabe",0.017,0.005,0.009,0.042,0.458
"P21","Positiva",0.698,0.148,0.13,0.165,0.1
"P21","Neutra",0.209,0.605,0.137,0.16,0.115
"P21","Negativa",0.076,0.215,0.723,0.289,0.165
"P21","No lo conozco",0.017,0.028,0.004,0.372,0.114
"P21","No sabe",0,0.004,0.006,0.014,0.506
"P22","Positiva",0.644,0.072,0.06,0.058,0.057
"P22","Neutra",0.121,0.708,0.103,0.228,0.104
"P22","Negativa",0.216,0.189,0.833,0.209,0.168
"P22","No lo conozco",0.019,0.027,0.004,0.482,0.174
"P22","No sabe",0,0.004,0,0.023,0.497
"P23","Positiva",0.659,0.302,0.23,0.192,0.113
"P23","Neutra",0.093,0.514,0.072,0.277,0.124
"P23","Negativa",0.174,0.17,0.698,0.26,0.222
"P23","No lo conozco",0.074,0.011,0,0.237,0.156
"P23","No sabe",0,0.003,0,0.034,0.385
"P24","Positiva",0.633,0.189,0.143,0.157,0.132
"P24","Neutra",0.144,0.66,0.109,0.151,0.097
"P24","Negativa",0.149,0.117,0.717,0.131,0.053
"P24","No lo conozco",0.017,0.034,0.029,0.53,0.259
"P24","No sabe",0.057,0,0.002,0.031,0.459
"P25","Positiva",0.766,0.096,0.044,0.109,0.04
"P25","Neutra",0.054,0.789,0.111,0.137,0.067
"P25","Negativa",0.12,0.097,0.802,0.097,0.064
"P25","No lo conozco",0.06,0.018,0.024,0.643,0.217
"P25","No sabe",0,0,0.019,0.014,0.612
"P26","Positiva",0.729,0.062,0.032,0.063,0.053
"P26","Neutra",0.176,0.803,0.139,0.124,0.056
"P26","Negativa",0.062,0.117,0.809,0.12,0.041
"P26","No lo conozco",0.033,0.016,0.014,0.66,0.182
"P26","No sabe",0,0.002,0.006,0.033,0.668
"P28","Positiva",0.769,0.048,0.097,0.06,0.044
"P28","Neutra",0.074,0.723,0.069,0.105,0.048
"P28","Negativa",0.096,0.179,0.825,0.136,0.166
"P28","No lo conozco",0,0.046,0.009,0.662,0.147
"P28","No sabe",0.061,0.004,0,0.037,0.595
