"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P23","No lo conozco",0.186,0.093,0.031,0.002,0.049,0.368,0.132
"P23","No sabe",0,0,0.001,0,0,0.059,0.618
"P24","Muy buena",0.403,0.15,0.101,0.043,0.084,0.085,0
"P24","Buena",0.059,0.377,0.115,0.084,0.092,0.021,0.019
"P24","Ni buena ni mala",0.156,0.238,0.601,0.195,0.085,0.079,0.062
"P24","Mala",0.024,0.063,0.05,0.484,0.075,0.033,0
"P24","Muy mala",0.079,0.068,0.037,0.094,0.5,0.031,0.066
"P24","No lo conozco",0.166,0.104,0.093,0.087,0.157,0.694,0.272
"P24","No sabe",0.113,0,0.003,0.013,0.007,0.057,0.581
"P25","Muy buena",0.516,0.08,0.009,0.004,0.066,0.068,0.03
"P25","Buena",0.009,0.371,0.091,0.029,0.078,0.025,0.009
"P25","Ni buena ni mala",0.104,0.164,0.649,0.204,0.153,0.069,0.1
"P25","Mala",0.059,0.024,0.07,0.561,0.035,0.016,0
"P25","Muy mala",0.166,0.081,0.029,0.083,0.501,0.004,0
"P25","No lo conozco",0.131,0.198,0.146,0.117,0.151,0.777,0.152
"P25","No sabe",0.015,0.082,0.006,0.002,0.016,0.041,0.709
"P26","Muy buena",0.424,0.036,0.009,0.023,0.008,0.009,0
"P26","Buena",0.065,0.367,0.05,0.071,0.083,0.02,0.012
"P26","Ni buena ni mala",0.176,0.33,0.624,0.225,0.131,0.092,0.196
"P26","Mala",0.015,0.028,0.09,0.494,0.056,0.023,0
"P26","Muy mala",0.137,0.099,0.048,0.084,0.529,0.015,0
"P26","No lo conozco",0.154,0.14,0.151,0.085,0.18,0.78,0.122
"P26","No sabe",0.029,0,0.028,0.018,0.013,0.061,0.67
"P27","Muy buena",0.54,0.038,0.004,0.026,0.002,0.007,0
"P27","Buena",0.008,0.336,0.025,0.022,0.044,0,0
"P27","Ni buena ni mala",0.102,0.255,0.61,0.186,0.108,0.037,0.025
"P27","Mala",0.009,0.086,0.05,0.516,0.041,0,0
"P27","Muy mala",0.111,0.048,0.024,0.036,0.505,0.005,0
"P27","No lo conozco",0.215,0.194,0.268,0.196,0.26,0.901,0.223
"P27","No sabe",0.015,0.043,0.019,0.018,0.04,0.05,0.752
"P28","Muy buena",0.558,0.17,0,0.017,0.01,0.008,0
"P28","Buena",0.207,0.449,0.056,0.078,0.035,0.006,0
"P28","Ni buena ni mala",0.06,0.247,0.593,0.166,0.037,0.09,0
"P28","Mala",0.009,0.043,0.102,0.5,0.115,0.009,0.027
"P28","Muy mala",0.039,0.013,0.06,0.103,0.648,0.048,0
"P28","No lo conozco",0.028,0.078,0.181,0.128,0.151,0.766,0.193
"P28","No sabe",0.099,0,0.008,0.008,0.004,0.073,0.78
