"var","categoria","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR","A Carlos Eguía por Cumplir con el apoyo de Javier Milei","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño","No sabe"
"P16","Nunca lo votaría",0.696,0.673,0.62,0.471,0.683,0.352,0.482
"P16","No sabe",0.149,0.144,0.203,0.225,0.179,0,0.46
"P17","Muy buena",0.548,0.081,0.066,0.09,0.027,0.093,0.04
"P17","Buena",0.231,0.083,0.096,0.137,0.091,0.196,0.078
"P17","Ni buena ni mala",0.16,0.306,0.413,0.372,0.338,0.063,0.256
"P17","Mala",0.024,0.22,0.101,0.171,0.223,0.134,0.157
"P17","Muy mala",0.02,0.172,0.165,0.15,0.143,0.451,0.102
"P17","No lo conozco",0.017,0.109,0.124,0.08,0.152,0.063,0.294
"P17","No sabe",0,0.029,0.035,0,0.026,0,0.073
"P18","Muy buena",0.121,0.523,0.083,0.166,0.087,0.104,0.058
"P18","Buena",0.159,0.249,0.106,0.117,0.131,0.05,0.097
"P18","Ni buena ni mala",0.269,0.109,0.373,0.334,0.221,0.261,0.288
"P18","Mala",0.181,0.019,0.137,0.189,0.2,0.116,0.087
"P18","Muy mala",0.173,0.062,0.147,0.133,0.267,0.422,0.126
"P18","No lo conozco",0.045,0.014,0.117,0.061,0.074,0.047,0.181
"P18","No sabe",0.052,0.024,0.037,0,0.02,0,0.163
"P19","Muy buena",0.064,0.164,0.415,0.114,0.04,0.15,0.061
"P19","Buena",0.059,0.163,0.231,0.052,0.096,0.112,0.11
"P19","Ni buena ni mala",0.359,0.324,0.227,0.285,0.219,0.063,0.257
"P19","Mala",0.255,0.161,0.046,0.247,0.197,0.097,0.069
"P19","Muy mala",0.148,0.12,0.023,0.23,0.361,0.493,0.208
"P19","No lo conozco",0.087,0.05,0.033,0.069,0.078,0.085,0.186
"P19","No sabe",0.028,0.018,0.025,0.003,0.009,0,0.109
"P20","Muy buena",0.018,0.065,0.11,0.358,0.048,0,0.016
"P20","Buena",0.07,0.143,0.05,0.287,0.077,0.063,0.049
"P20","Ni buena ni mala",0.37,0.357,0.345,0.207,0.315,0.076,0.289
"P20","Mala",0.224,0.142,0.134,0.07,0.158,0.126,0.041
"P20","Muy mala",0.098,0.109,0.198,0.034,0.17,0.516,0.116
"P20","No lo conozco",0.176,0.148,0.134,0.014,0.2,0.219,0.334
"P20","No sabe",0.044,0.036,0.029,0.03,0.032,0,0.155
"P21","Muy buena",0.032,0.082,0.054,0.115,0.329,0,0
"P21","Buena",0.052,0.105,0.035,0.194,0.229,0.098,0.091
"P21","Ni buena ni mala",0.309,0.267,0.316,0.335,0.226,0.029,0.152
"P21","Mala",0.257,0.216,0.161,0.092,0.024,0.114,0.07
"P21","Muy mala",0.16,0.188,0.25,0.13,0.079,0.564,0.208
"P21","No lo conozco",0.154,0.118,0.14,0.129,0.097,0.195,0.331
"P21","No sabe",0.036,0.024,0.044,0.005,0.016,0,0.148
"P22","Muy buena",0.008,0.063,0.059,0.047,0.036,0.371,0.018
"P22","Buena",0.056,0.085,0.061,0.148,0.032,0.185,0
"P22","Ni buena ni mala",0.353,0.32,0.366,0.318,0.286,0.055,0.193
"P22","Mala",0.233,0.212,0.115,0.14,0.247,0.038,0.1
"P22","Muy mala",0.126,0.132,0.162,0.2,0.239,0.187,0.129
"P22","No lo conozco",0.184,0.167,0.18,0.125,0.156,0.164,0.42
"P22","No sabe",0.04,0.021,0.057,0.022,0.004,0,0.14
"P23","Muy buena",0.339,0.075,0.073,0.104,0.02,0.061,0.035
"P23","Buena",0.185,0.089,0.115,0.16,0.114,0.051,0.092
"P23","Ni buena ni mala",0.256,0.296,0.349,0.328,0.196,0.104,0.182
"P23","Mala",0.095,0.213,0.139,0.142,0.238,0.158,0.159
"P23","Muy mala",0.043,0.211,0.15,0.159,0.25,0.461,0.155
"P23","No lo conozco",0.033,0.1,0.152,0.1,0.175,0.015,0.264
"P23","No sabe",0.049,0.016,0.022,0.007,0.007,0.15,0.113
"P24","Muy buena",0.044,0.246,0.021,0.048,0.05,0.013,0.046
"P24","Buena",0.087,0.166,0.074,0.082,0.096,0.053,0.009
"P24","Ni buena ni mala",0.337,0.248,0.338,0.378,0.2,0.052,0.168
"P24","Mala",0.166,0.094,0.094,0.105,0.229,0.076,0.083
"P24","Muy mala",0.127,0.075,0.108,0.138,0.195,0.464,0.094
"P24","No lo conozco",0.197,0.138,0.334,0.233,0.218,0.159,0.494
"P24","No sabe",0.042,0.033,0.031,0.016,0.012,0.183,0.106
"P25","Muy buena",0.027,0.099,0.141,0.051,0.007,0.013,0
"P25","Buena",0.062,0.094,0.108,0.135,0.035,0.054,0.015
"P25","Ni buena ni mala",0.327,0.316,0.33,0.346,0.242,0.101,0.185
"P25","Mala",0.192,0.143,0.055,0.07,0.23,0.064,0.065
"P25","Muy mala",0.099,0.079,0.146,0.149,0.168,0.452,0.066
"P25","No lo conozco",0.263,0.249,0.191,0.173,0.304,0.316,0.487
"P25","No sabe",0.03,0.02,0.029,0.076,0.014,0,0.182
"P26","Muy buena",0.001,0.036,0.057,0.128,0.025,0,0
"P26","Buena",0.031,0.096,0.015,0.248,0.074,0.054,0.003
"P26","Ni buena ni mala",0.348,0.334,0.343,0.319,0.258,0.077,0.222
"P26","Mala",0.197,0.152,0.048,0.047,0.228,0.016,0.038
"P26","Muy mala",0.088,0.113,0.243,0.107,0.12,0.56,0.08
"P26","No lo conozco",0.293,0.243,0.254,0.13,0.253,0.279,0.443
"P26","No sabe",0.042,0.026,0.04,0.021,0.042,0.014,0.214
"P27","Muy buena",0.001,0.055,0.058,0.085,0.043,0.012,0
"P27","Buena",0.028,0.041,0,0.134,0.05,0.054,0
"P27","Ni buena ni mala",0.342,0.266,0.326,0.31,0.213,0.101,0.121
"P27","Mala",0.154,0.15,0.061,0.122,0.118,0.016,0.067
"P27","Muy mala",0.076,0.08,0.087,0.057,0.213,0.525,0.083
"P27","No lo conozco",0.345,0.382,0.437,0.28,0.342,0.267,0.469
"P27","No sabe",0.054,0.026,0.031,0.012,0.021,0.025,0.26
"P28","Muy buena",0.014,0.048,0.058,0.097,0.007,0.333,0
"P28","Buena",0.018,0.125,0.107,0.121,0.052,0.164,0.013
"P28","Ni buena ni mala",0.35,0.267,0.331,0.245,0.139,0.046,0.112
"P28","Mala",0.2,0.155,0.094,0.079,0.188,0,0.134
"P28","Muy mala",0.098,0.153,0.163,0.146,0.315,0.229,0.127
"P28","No lo conozco",0.271,0.221,0.203,0.296,0.281,0.228,0.407
"P28","No sabe",0.049,0.031,0.044,0.016,0.018,0,0.207
