"var","categoria","Positiva","Neutra","Negativa","No lo conozco","No sabe"
"P14","Puede que lo vote",0.392,0.143,0.065,0.082,0.076
"P14","Nunca lo votaría",0.139,0.643,0.859,0.545,0.352
"P14","No sabe",0.071,0.183,0.038,0.341,0.572
"P15","Lo votaría",0.274,0.111,0.141,0.052,0.039
"P15","Puede que lo vote",0.247,0.141,0.077,0.131,0.089
"P15","Nunca lo votaría",0.356,0.569,0.737,0.5,0.333
"P15","No sabe",0.123,0.179,0.045,0.317,0.539
"P16","Lo votaría",0.171,0.037,0.092,0.037,0.021
"P16","Puede que lo vote",0.173,0.081,0.101,0.103,0.026
"P16","Nunca lo votaría",0.553,0.673,0.748,0.533,0.308
"P16","No sabe",0.103,0.209,0.059,0.327,0.645
"P17","Positiva",0.385,0.345,0.311,0.312,0.26
"P17","Neutra",0.227,0.466,0.198,0.116,0.189
"P17","Negativa",0.306,0.144,0.47,0.168,0.096
"P17","No lo conozco",0.073,0.041,0.014,0.398,0.152
"P17","No sabe",0.009,0.004,0.007,0.006,0.303
"P18","Positiva",0.567,0.409,0.318,0.325,0.293
"P18","Neutra",0.186,0.414,0.122,0.168,0.076
"P18","Negativa",0.205,0.155,0.544,0.179,0.069
"P18","No lo conozco",0.039,0.017,0.015,0.24,0.115
"P18","No sabe",0.003,0.005,0.001,0.088,0.447
"P19","Positiva",0.465,0.236,0.134,0.291,0.148
"P19","Neutra",0.206,0.523,0.171,0.197,0.09
"P19","Negativa",0.291,0.226,0.673,0.185,0.073
"P19","No lo conozco",0.038,0.01,0.022,0.319,0.159
"P19","No sabe",0,0.005,0,0.008,0.53
"P21","Positiva",0.498,0.149,0.104,0.112,0.027
"P21","Neutra",0.231,0.585,0.066,0.076,0.051
"P21","Negativa",0.22,0.187,0.795,0.157,0.124
"P21","No lo conozco",0.051,0.069,0.032,0.605,0.242
"P21","No sabe",0,0.01,0.003,0.05,0.556
"P22","Positiva",0.295,0.062,0.099,0.083,0.021
"P22","Neutra",0.251,0.608,0.161,0.08,0.108
"P22","Negativa",0.35,0.218,0.673,0.119,0.027
"P22","No lo conozco",0.098,0.102,0.061,0.677,0.278
"P22","No sabe",0.006,0.01,0.006,0.041,0.566
"P23","Positiva",0.385,0.258,0.245,0.191,0.24
"P23","Neutra",0.244,0.45,0.129,0.195,0.091
"P23","Negativa",0.265,0.218,0.591,0.197,0.147
"P23","No lo conozco",0.097,0.072,0.035,0.326,0.115
"P23","No sabe",0.009,0.002,0,0.091,0.407
"P24","Positiva",0.319,0.183,0.188,0.135,0.1
"P24","Neutra",0.29,0.501,0.132,0.085,0.125
"P24","Negativa",0.171,0.147,0.557,0.097,0.083
"P24","No lo conozco",0.193,0.159,0.114,0.613,0.248
"P24","No sabe",0.027,0.01,0.009,0.07,0.444
"P25","Positiva",0.318,0.091,0.096,0.108,0.035
"P25","Neutra",0.306,0.537,0.178,0.056,0.043
"P25","Negativa",0.17,0.141,0.582,0.085,0.064
"P25","No lo conozco",0.178,0.215,0.138,0.705,0.298
"P25","No sabe",0.028,0.016,0.006,0.046,0.56
"P26","Positiva",0.443,0.035,0.04,0.01,0
"P26","Neutra",0.304,0.599,0.148,0.05,0.123
"P26","Negativa",0.142,0.155,0.632,0.061,0.064
"P26","No lo conozco",0.097,0.184,0.163,0.821,0.223
"P26","No sabe",0.014,0.027,0.017,0.058,0.59
"P27","Positiva",0.333,0.027,0.007,0.018,0.027
"P27","Neutra",0.244,0.524,0.16,0.028,0.028
"P27","Negativa",0.121,0.136,0.556,0.023,0.043
"P27","No lo conozco",0.292,0.292,0.254,0.834,0.339
"P27","No sabe",0.01,0.021,0.023,0.097,0.563
"P28","Positiva",0.294,0.065,0.112,0.064,0.044
"P28","Neutra",0.21,0.477,0.154,0.068,0.116
"P28","Negativa",0.256,0.212,0.608,0.101,0.041
"P28","No lo conozco",0.2,0.222,0.121,0.709,0.241
"P28","No sabe",0.04,0.024,0.005,0.058,0.558
