"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P20","Buena",0.117,0.213,0.096,0.093,0.043,0.078,0
"P20","Ni buena ni mala",0.326,0.358,0.576,0.244,0.141,0.088,0.044
"P20","Mala",0.162,0.117,0.086,0.398,0.131,0.047,0.01
"P20","Muy mala",0.096,0.056,0.057,0.12,0.447,0.017,0
"P20","No lo conozco",0.134,0.145,0.121,0.07,0.144,0.645,0.38
"P20","No sabe",0.033,0.039,0.015,0.015,0.01,0.088,0.551
"P21","Muy buena",0.144,0.062,0.035,0.092,0.124,0.048,0.007
"P21","Buena",0.114,0.16,0.069,0.093,0.111,0.094,0.024
"P21","Ni buena ni mala",0.276,0.248,0.494,0.203,0.122,0.067,0.025
"P21","Mala",0.186,0.276,0.108,0.342,0.079,0.042,0.053
"P21","Muy mala",0.153,0.127,0.106,0.152,0.491,0.104,0.056
"P21","No lo conozco",0.111,0.105,0.158,0.107,0.067,0.591,0.335
"P21","No sabe",0.016,0.022,0.03,0.011,0.006,0.054,0.5
"P22","Muy buena",0.106,0.016,0.015,0.026,0.082,0,0.018
"P22","Buena",0.09,0.172,0.036,0.031,0.037,0.039,0
"P22","Ni buena ni mala",0.273,0.392,0.543,0.258,0.086,0.132,0.095
"P22","Mala",0.222,0.203,0.119,0.443,0.146,0.021,0
"P22","Muy mala",0.119,0.071,0.081,0.099,0.511,0.073,0.026
"P22","No lo conozco",0.174,0.114,0.169,0.143,0.138,0.686,0.362
"P22","No sabe",0.016,0.032,0.037,0,0,0.049,0.499
"P23","Muy buena",0.141,0.133,0.101,0.18,0.246,0.02,0.034
"P23","Buena",0.107,0.201,0.12,0.175,0.025,0.151,0.194
"P23","Ni buena ni mala",0.267,0.336,0.474,0.158,0.06,0.133,0.082
"P23","Mala",0.198,0.18,0.099,0.362,0.101,0.062,0.054
"P23","Muy mala",0.18,0.069,0.095,0.088,0.448,0.067,0.009
"P23","No lo conozco",0.097,0.048,0.082,0.028,0.12,0.519,0.157
"P23","No sabe",0.01,0.033,0.029,0.009,0,0.048,0.47
"P24","Muy buena",0.33,0.091,0.015,0,0.01,0.02,0.069
"P24","Buena",0.147,0.223,0.02,0.12,0.046,0.066,0
"P24","Ni buena ni mala",0.198,0.372,0.551,0.174,0.079,0.053,0.104
"P24","Mala",0.133,0.076,0.055,0.387,0.15,0.062,0
"P24","Muy mala",0.075,0.027,0.065,0.096,0.461,0.074,0
"P24","No lo conozco",0.105,0.17,0.267,0.214,0.225,0.706,0.319
"P24","No sabe",0.012,0.041,0.027,0.009,0.029,0.019,0.508
"P25","Muy buena",0.126,0.015,0.023,0.011,0.103,0.044,0.028
"P25","Buena",0.102,0.149,0.049,0.086,0.009,0.096,0.008
"P25","Ni buena ni mala",0.276,0.402,0.468,0.275,0.128,0.057,0.044
"P25","Mala",0.182,0.102,0.076,0.344,0.138,0,0
"P25","Muy mala",0.088,0.049,0.055,0.071,0.422,0.026,0
"P25","No lo conozco",0.211,0.222,0.297,0.21,0.198,0.732,0.383
"P25","No sabe",0.015,0.061,0.032,0.003,0.002,0.045,0.537
"P26","Muy buena",0.078,0.017,0.01,0.022,0.047,0,0
"P26","Buena",0.092,0.143,0.045,0.077,0.029,0.066,0
"P26","Ni buena ni mala",0.268,0.395,0.498,0.308,0.18,0.056,0.008
"P26","Mala",0.181,0.137,0.087,0.308,0.096,0,0
"P26","Muy mala",0.124,0.07,0.069,0.106,0.378,0.032,0
"P26","No lo conozco",0.243,0.185,0.244,0.165,0.258,0.771,0.446
"P26","No sabe",0.014,0.053,0.047,0.014,0.012,0.075,0.546
"P27","Muy buena",0.1,0.036,0.001,0,0.047,0,0
"P27","Buena",0.049,0.082,0.019,0.05,0.003,0.068,0
"P27","Ni buena ni mala",0.257,0.313,0.441,0.302,0.111,0.077,0.008
"P27","Mala",0.162,0.17,0.046,0.309,0.08,0,0
"P27","Muy mala",0.09,0.021,0.049,0.071,0.382,0,0
"P27","No lo conozco",0.321,0.345,0.389,0.262,0.338,0.829,0.358
"P27","No sabe",0.021,0.033,0.055,0.006,0.039,0.026,0.634
"P28","Muy buena",0.099,0.007,0.015,0.035,0.063,0.021,0.019
"P28","Buena",0.11,0.191,0.036,0.034,0.009,0.103,0
"P28","Ni buena ni mala",0.253,0.311,0.376,0.274,0.1,0.135,0.125
"P28","Mala",0.181,0.144,0.119,0.296,0.126,0.021,0.028
"P28","Muy mala",0.144,0.063,0.098,0.138,0.449,0.038,0.009
"P28","No lo conozco",0.204,0.219,0.317,0.207,0.209,0.655,0.326
"P28","No sabe",0.009,0.065,0.039,0.016,0.044,0.027,0.493
