"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P21","Ni buena ni mala",0.121,0.231,0.581,0.178,0.073,0.126,0.104
"P21","Mala",0.083,0.079,0.112,0.587,0.092,0.11,0.025
"P21","Muy mala",0.01,0.103,0.089,0.069,0.721,0.125,0.13
"P21","No lo conozco",0.015,0.02,0.055,0.007,0.017,0.471,0.216
"P21","No sabe",0,0,0.014,0.007,0,0.023,0.466
"P22","Muy buena",0.623,0.044,0.027,0.005,0.051,0.027,0.026
"P22","Buena",0.066,0.308,0.063,0.012,0.045,0.031,0
"P22","Ni buena ni mala",0.087,0.219,0.628,0.211,0.115,0.176,0.166
"P22","Mala",0.125,0.181,0.131,0.67,0.117,0.057,0.061
"P22","Muy mala",0.041,0.186,0.067,0.067,0.648,0.106,0.039
"P22","No lo conozco",0.058,0.056,0.06,0.035,0.024,0.586,0.237
"P22","No sabe",0,0.006,0.024,0,0,0.017,0.471
"P23","Muy buena",0.428,0.112,0.141,0.209,0.168,0.081,0.032
"P23","Buena",0.103,0.409,0.123,0.057,0.042,0.115,0.143
"P23","Ni buena ni mala",0.107,0.251,0.487,0.123,0.07,0.232,0.187
"P23","Mala",0.111,0.062,0.106,0.559,0.117,0.122,0
"P23","Muy mala",0.069,0.146,0.095,0.052,0.57,0.128,0.077
"P23","No lo conozco",0.182,0.02,0.041,0,0.033,0.272,0.196
"P23","No sabe",0,0,0.007,0,0,0.05,0.365
"P24","Muy buena",0.418,0.103,0.096,0.077,0.094,0.071,0.085
"P24","Buena",0.075,0.384,0.083,0.127,0.078,0.057,0.021
"P24","Ni buena ni mala",0.122,0.273,0.567,0.149,0.075,0.141,0.142
"P24","Mala",0.106,0.037,0.079,0.526,0.098,0.05,0.008
"P24","Muy mala",0.048,0.115,0.065,0.096,0.55,0.045,0.007
"P24","No lo conozco",0.231,0.082,0.097,0.023,0.098,0.592,0.259
"P24","No sabe",0,0.006,0.013,0.002,0.007,0.044,0.478
"P25","Muy buena",0.555,0.085,0.042,0,0.083,0.041,0
"P25","Buena",0,0.496,0.058,0.01,0.046,0.052,0.013
"P25","Ni buena ni mala",0.087,0.188,0.706,0.192,0.057,0.091,0.069
"P25","Mala",0.053,0.046,0.067,0.693,0.052,0.037,0.024
"P25","Muy mala",0.169,0.036,0.026,0.038,0.681,0.026,0.017
"P25","No lo conozco",0.136,0.134,0.079,0.055,0.075,0.752,0.225
"P25","No sabe",0,0.015,0.022,0.012,0.006,0.001,0.652
"P27","Muy buena",0.568,0.039,0.025,0,0.033,0.01,0
"P27","Buena",0.055,0.434,0.018,0.003,0,0,0
"P27","Ni buena ni mala",0.068,0.204,0.699,0.149,0.088,0.016,0.011
"P27","Mala",0.064,0.05,0.084,0.634,0.032,0,0
"P27","Muy mala",0,0.022,0.017,0.065,0.643,0.012,0.025
"P27","No lo conozco",0.245,0.209,0.147,0.138,0.197,0.923,0.237
"P27","No sabe",0,0.042,0.01,0.011,0.007,0.039,0.727
"P28","Muy buena",0.555,0.087,0.003,0.008,0.073,0.019,0.028
"P28","Buena",0.114,0.34,0.079,0.026,0.074,0.033,0.008
"P28","Ni buena ni mala",0.058,0.161,0.613,0.152,0.051,0.09,0.08
"P28","Mala",0.169,0.068,0.101,0.598,0.093,0.034,0.083
"P28","Muy mala",0.038,0.125,0.075,0.115,0.621,0.083,0.043
"P28","No lo conozco",0.066,0.199,0.087,0.094,0.088,0.716,0.161
"P28","No sabe",0,0.02,0.042,0.007,0,0.025,0.597
