"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P13","Puede que lo vote",0,0.313,0.148,0.105,0.103,0.142,0.14
"P13","Nunca lo votaría",0.326,0.327,0.65,0.704,0.782,0.478,0.208
"P13","No sabe",0.07,0.045,0.059,0.049,0.021,0.193,0.492
"P14","Lo votaría",0.687,0.193,0.052,0.155,0.047,0.074,0.011
"P14","Puede que lo vote",0.14,0.532,0.175,0.064,0.087,0.16,0.136
"P14","Nunca lo votaría",0.173,0.22,0.628,0.716,0.819,0.541,0.29
"P14","No sabe",0,0.055,0.145,0.065,0.047,0.225,0.563
"P15","Lo votaría",0.808,0.225,0.081,0.194,0.145,0.097,0.018
"P15","Puede que lo vote",0.149,0.538,0.147,0.05,0.086,0.156,0.136
"P15","Nunca lo votaría",0.035,0.2,0.612,0.69,0.741,0.548,0.269
"P15","No sabe",0.008,0.037,0.16,0.066,0.028,0.199,0.577
"P16","Lo votaría",0.664,0.146,0.039,0.09,0.083,0.045,0.013
"P16","Puede que lo vote",0.071,0.406,0.104,0.111,0.097,0.087,0.01
"P16","Nunca lo votaría",0.17,0.438,0.678,0.753,0.789,0.62,0.384
"P16","No sabe",0.095,0.01,0.179,0.046,0.031,0.248,0.593
"P17","Muy buena",0.443,0.323,0.222,0.234,0.135,0.149,0.084
"P17","Buena",0.196,0.363,0.135,0.109,0.046,0.13,0.211
"P17","Ni buena ni mala",0.08,0.138,0.455,0.26,0.162,0.253,0.131
"P17","Mala",0.026,0.008,0.105,0.255,0.24,0.13,0.069
"P17","Muy mala",0.186,0.058,0.056,0.142,0.394,0.145,0.025
"P17","No lo conozco",0.069,0.11,0.025,0,0.023,0.18,0.293
"P17","No sabe",0,0,0.002,0,0,0.013,0.187
"P18","Muy buena",0.633,0.288,0.215,0.301,0.196,0.197,0.083
"P18","Buena",0.154,0.329,0.179,0.216,0.031,0.145,0.09
"P18","Ni buena ni mala",0.009,0.116,0.396,0.091,0.115,0.256,0.235
"P18","Mala",0,0.145,0.126,0.289,0.078,0.081,0.012
"P18","Muy mala",0.204,0.012,0.065,0.103,0.58,0.144,0.109
"P18","No lo conozco",0,0.11,0.018,0,0,0.139,0.028
"P18","No sabe",0,0,0.001,0,0,0.038,0.443
"P19","Muy buena",0.688,0.215,0.089,0.098,0.086,0.155,0.077
"P19","Buena",0.035,0.421,0.127,0.066,0.024,0.149,0.006
"P19","Ni buena ni mala",0.147,0.171,0.5,0.26,0.083,0.271,0.218
"P19","Mala",0.009,0.056,0.218,0.504,0.131,0.087,0.045
"P19","Muy mala",0.121,0.027,0.048,0.072,0.671,0.173,0.116
"P19","No lo conozco",0,0.11,0.017,0,0.005,0.157,0.14
"P19","No sabe",0,0,0.001,0,0,0.008,0.398
"P20","Muy buena",0.722,0.203,0.046,0.073,0.012,0.059,0
"P20","Buena",0.045,0.625,0.115,0.066,0.032,0.082,0.032
"P20","Ni buena ni mala",0.117,0.126,0.656,0.282,0.115,0.268,0.127
"P20","Mala",0.012,0.038,0.13,0.489,0.107,0.091,0.09
"P20","Muy mala",0,0,0.032,0.072,0.7,0.097,0.021
"P20","No lo conozco",0.069,0.008,0.016,0.006,0.029,0.361,0.272
"P20","No sabe",0.035,0,0.005,0.012,0.005,0.042,0.458
"P21","Muy buena",0.529,0.072,0.056,0.05,0.097,0.098,0
"P21","Buena",0.035,0.75,0.092,0.059,0.057,0.067,0.1
"P21","Ni buena ni mala",0.283,0.141,0.605,0.185,0.081,0.16,0.115
"P21","Mala",0.118,0.037,0.14,0.557,0.047,0.119,0.084
"P21","Muy mala",0,0,0.075,0.134,0.713,0.17,0.081
"P21","No lo conozco",0.035,0,0.028,0.003,0.005,0.372,0.114
"P21","No sabe",0,0,0.004,0.012,0,0.014,0.506
"P22","Muy buena",0.725,0.01,0.018,0.003,0.052,0.028,0.013
"P22","Buena",0.062,0.502,0.054,0.041,0.027,0.03,0.044
"P22","Ni buena ni mala",0.035,0.201,0.708,0.131,0.071,0.228,0.104
"P22","Mala",0.13,0.105,0.125,0.772,0.063,0.097,0.056
"P22","Muy mala",0.008,0.182,0.064,0.053,0.778,0.112,0.112
"P22","No lo conozco",0.04,0,0.027,0,0.009,0.482,0.174
"P22","No sabe",0,0,0.004,0,0,0.023,0.497
"P23","Muy buena",0.451,0.042,0.165,0.227,0.112,0.092,0.039
"P23","Buena",0.2,0.624,0.137,0.047,0.067,0.1,0.074
"P23","Ni buena ni mala",0.049,0.134,0.514,0.099,0.041,0.277,0.124
"P23","Mala",0.126,0.018,0.117,0.563,0.066,0.133,0.043
"P23","Muy mala",0.02,0.182,0.053,0.064,0.714,0.127,0.179
"P23","No lo conozco",0.154,0,0.011,0,0,0.237,0.156
"P23","No sabe",0,0,0.003,0,0,0.034,0.385
"P24","Muy buena",0.468,0.022,0.088,0.08,0.072,0.089,0.092
"P24","Buena",0.069,0.699,0.101,0.069,0.065,0.068,0.04
"P24","Ni buena ni mala",0.125,0.161,0.66,0.152,0.059,0.151,0.097
"P24","Mala",0.158,0.008,0.064,0.642,0.068,0.055,0
"P24","Muy mala",0.026,0.11,0.053,0.055,0.672,0.076,0.053
"P24","No lo conozco",0.036,0,0.034,0.002,0.059,0.53,0.259
"P24","No sabe",0.118,0,0,0,0.005,0.031,0.459
"P25","Muy buena",0.664,0.009,0.034,0.011,0.037,0.051,0.034
"P25","Buena",0.035,0.817,0.062,0.01,0.033,0.058,0.006
"P25","Ni buena ni mala",0,0.105,0.789,0.149,0.066,0.137,0.067
"P25","Mala",0.082,0.01,0.078,0.759,0.07,0.029,0.054
"P25","Muy mala",0.144,0.012,0.019,0.036,0.742,0.068,0.01
"P25","No lo conozco",0.075,0.047,0.018,0,0.052,0.643,0.217
"P25","No sabe",0,0,0,0.035,0,0.014,0.612
"P26","Muy buena",0.521,0.047,0.008,0.017,0,0.022,0
"P26","Buena",0.078,0.802,0.054,0.03,0.015,0.041,0.053
"P26","Ni buena ni mala",0.214,0.141,0.803,0.215,0.051,0.124,0.056
"P26","Mala",0,0.01,0.074,0.704,0.085,0.051,0.025
"P26","Muy mala",0.118,0,0.043,0.034,0.806,0.069,0.016
"P26","No lo conozco",0.069,0,0.016,0,0.031,0.66,0.182
"P26","No sabe",0,0,0.002,0,0.012,0.033,0.668
"P28","Muy buena",0.4,0.158,0.005,0.012,0.068,0.031,0.014
"P28","Buena",0.408,0.575,0.043,0.099,0.013,0.029,0.03
"P28","Ni buena ni mala",0,0.142,0.723,0.102,0.03,0.105,0.048
"P28","Mala",0.026,0.049,0.095,0.704,0.065,0.063,0.058
"P28","Muy mala",0.048,0.067,0.084,0.079,0.809,0.073,0.108
"P28","No lo conozco",0,0,0.046,0.004,0.015,0.662,0.147
"P28","No sabe",0.118,0.009,0.004,0,0,0.037,0.595
