"var","categoria","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR","A Carlos Eguía por Cumplir con el apoyo de Javier Milei","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño"
"P21","Buena",0.05,0.105,0.059,0.178,0.215,0.088
"P21","Ni buena ni mala",0.299,0.255,0.296,0.322,0.206,0.026
"P21","Mala",0.234,0.211,0.142,0.1,0.023,0.103
"P21","Muy mala",0.178,0.194,0.231,0.119,0.087,0.522
"P21","No lo conozco",0.172,0.134,0.15,0.158,0.135,0.219
"P21","No sabe",0.04,0.024,0.076,0.018,0.053,0.042
"P22","Muy buena",0.009,0.06,0.061,0.043,0.031,0.335
"P22","Buena",0.049,0.08,0.053,0.136,0.027,0.167
"P22","Ni buena ni mala",0.35,0.307,0.329,0.306,0.256,0.094
"P22","Mala",0.216,0.212,0.102,0.143,0.221,0.034
"P22","Muy mala",0.131,0.13,0.178,0.184,0.203,0.181
"P22","No lo conozco",0.206,0.19,0.198,0.145,0.217,0.148
"P22","No sabe",0.039,0.021,0.079,0.043,0.045,0.041
"P23","Muy buena",0.302,0.075,0.073,0.096,0.017,0.055
"P23","Buena",0.175,0.096,0.1,0.148,0.114,0.046
"P23","Ni buena ni mala",0.251,0.286,0.314,0.316,0.209,0.094
"P23","Mala",0.096,0.21,0.152,0.172,0.211,0.143
"P23","Muy mala",0.062,0.199,0.186,0.147,0.215,0.428
"P23","No lo conozco",0.066,0.115,0.131,0.105,0.203,0.057
"P23","No sabe",0.048,0.019,0.044,0.016,0.031,0.177
"P24","Muy buena",0.054,0.231,0.018,0.044,0.043,0.012
"P24","Buena",0.079,0.157,0.064,0.075,0.081,0.047
"P24","Ni buena ni mala",0.325,0.243,0.314,0.358,0.183,0.047
"P24","Mala",0.15,0.098,0.084,0.138,0.194,0.069
"P24","Muy mala",0.128,0.073,0.12,0.127,0.165,0.43
"P24","No lo conozco",0.224,0.158,0.362,0.243,0.285,0.188
"P24","No sabe",0.04,0.04,0.038,0.015,0.049,0.207
"P25","Muy buena",0.023,0.093,0.121,0.047,0.005,0.011
"P25","Buena",0.06,0.089,0.093,0.125,0.03,0.049
"P25","Ni buena ni mala",0.324,0.307,0.306,0.318,0.219,0.091
"P25","Mala",0.171,0.143,0.051,0.08,0.204,0.058
"P25","Muy mala",0.102,0.077,0.135,0.137,0.142,0.419
"P25","No lo conozco",0.279,0.262,0.239,0.21,0.349,0.329
"P25","No sabe",0.041,0.029,0.055,0.083,0.051,0.043
"P26","Muy buena",0.001,0.034,0.049,0.118,0.021,0
"P26","Buena",0.027,0.091,0.013,0.228,0.062,0.048
"P26","Ni buena ni mala",0.339,0.331,0.322,0.309,0.24,0.069
"P26","Mala",0.177,0.143,0.044,0.058,0.196,0.014
"P26","Muy mala",0.097,0.109,0.218,0.098,0.101,0.518
"P26","No lo conozco",0.305,0.253,0.287,0.146,0.305,0.295
"P26","No sabe",0.054,0.039,0.067,0.043,0.075,0.056
"P27","Muy buena",0.001,0.052,0.05,0.078,0.037,0.011
"P27","Buena",0.024,0.039,0,0.123,0.042,0.049
"P27","Ni buena ni mala",0.325,0.254,0.289,0.286,0.199,0.091
"P27","Mala",0.139,0.151,0.055,0.127,0.104,0.014
"P27","Muy mala",0.088,0.078,0.084,0.053,0.18,0.486
"P27","No lo conozco",0.361,0.388,0.42,0.298,0.379,0.283
"P27","No sabe",0.062,0.038,0.102,0.035,0.059,0.066
"P28","Muy buena",0.012,0.045,0.05,0.09,0.006,0.3
"P28","Buena",0.019,0.118,0.093,0.112,0.044,0.147
"P28","Ni buena ni mala",0.332,0.26,0.285,0.227,0.117,0.087
"P28","Mala",0.19,0.16,0.084,0.09,0.183,0
"P28","Muy mala",0.108,0.147,0.182,0.136,0.263,0.219
"P28","No lo conozco",0.28,0.228,0.237,0.306,0.331,0.205
"P28","No sabe",0.059,0.042,0.069,0.039,0.056,0.042
