"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior"
"Marcos Koopmann","No lo conozco",0.105,0.089,0.121,0.111,0.087,0.107,0.162,0.102,0.125,0.072,0.108,0.102
"Marcos Koopmann","No sabe",0.023,0.023,0.022,0.022,0.019,0.034,0.018,0.018,0.03,0.014,0.023,0.023
"Jorge Taylor","Positiva",0.104,0.106,0.101,0.149,0.058,0.095,0.174,0.127,0.093,0.094,0.096,0.11
"Jorge Taylor","Neutra",0.31,0.3,0.321,0.288,0.309,0.335,0.341,0.352,0.277,0.321,0.31,0.311
"Jorge Taylor","Negativa",0.264,0.337,0.192,0.245,0.301,0.246,0.195,0.232,0.246,0.337,0.257,0.269
"Jorge Taylor","No lo conozco",0.269,0.198,0.34,0.284,0.272,0.279,0.196,0.232,0.323,0.217,0.288,0.255
"Jorge Taylor","No sabe",0.053,0.059,0.046,0.034,0.06,0.045,0.094,0.057,0.061,0.031,0.049,0.055
"“Rolo” Figueroa","Positiva",0.388,0.403,0.372,0.426,0.354,0.41,0.361,0.319,0.445,0.367,0.348,0.419
"“Rolo” Figueroa","Neutra",0.238,0.228,0.247,0.178,0.274,0.229,0.288,0.246,0.222,0.257,0.248,0.23
"“Rolo” Figueroa","Negativa",0.267,0.305,0.231,0.288,0.257,0.28,0.228,0.294,0.222,0.319,0.302,0.239
"“Rolo” Figueroa","No lo conozco",0.063,0.039,0.087,0.065,0.069,0.042,0.075,0.089,0.058,0.039,0.073,0.055
"“Rolo” Figueroa","No sabe",0.044,0.025,0.063,0.043,0.046,0.039,0.048,0.052,0.053,0.018,0.029,0.057
"Pablo Cervi","Positiva",0.183,0.192,0.174,0.181,0.149,0.198,0.306,0.216,0.148,0.21,0.192,0.177
"Pablo Cervi","Neutra",0.327,0.313,0.34,0.26,0.369,0.365,0.274,0.316,0.337,0.32,0.293,0.354
"Pablo Cervi","Negativa",0.274,0.311,0.238,0.297,0.282,0.246,0.226,0.239,0.257,0.351,0.299,0.254
"Pablo Cervi","No lo conozco",0.168,0.135,0.201,0.224,0.15,0.155,0.101,0.181,0.194,0.103,0.18,0.158
"Pablo Cervi","No sabe",0.048,0.049,0.047,0.038,0.05,0.036,0.093,0.048,0.064,0.016,0.036,0.057
"Raúl Godoy","Positiva",0.119,0.126,0.112,0.217,0.078,0.08,0.068,0.135,0.115,0.106,0.122,0.116
"Raúl Godoy","Neutra",0.258,0.239,0.276,0.167,0.26,0.354,0.34,0.262,0.239,0.288,0.237,0.275
"Raúl Godoy","Negativa",0.305,0.371,0.241,0.276,0.354,0.304,0.188,0.274,0.288,0.377,0.339,0.278
"Raúl Godoy","No lo conozco",0.266,0.217,0.314,0.29,0.258,0.224,0.308,0.266,0.298,0.205,0.259,0.271
"Raúl Godoy","No sabe",0.052,0.047,0.057,0.05,0.05,0.038,0.096,0.063,0.06,0.024,0.043,0.06
"Ana Pechén","Positiva",0.266,0.259,0.273,0.248,0.256,0.241,0.413,0.292,0.248,0.267,0.274,0.259
"Ana Pechén","Neutra",0.267,0.249,0.284,0.2,0.269,0.377,0.252,0.217,0.304,0.261,0.253,0.278
"Ana Pechén","Negativa",0.32,0.356,0.285,0.324,0.355,0.301,0.196,0.293,0.291,0.408,0.308,0.329
"Ana Pechén","No lo conozco",0.11,0.099,0.121,0.175,0.082,0.065,0.117,0.181,0.091,0.056,0.141,0.086
"Ana Pechén","No sabe",0.037,0.037,0.037,0.053,0.038,0.016,0.022,0.017,0.066,0.008,0.024,0.048
"Patricia Jure","Positiva",0.116,0.117,0.115,0.181,0.091,0.082,0.085,0.148,0.105,0.093,0.127,0.105
"Patricia Jure","Neutra",0.311,0.3,0.322,0.209,0.324,0.412,0.369,0.313,0.306,0.318,0.289,0.328
"Patricia Jure","Negativa",0.34,0.397,0.284,0.359,0.345,0.334,0.272,0.286,0.332,0.425,0.354,0.329
"Patricia Jure","No lo conozco",0.193,0.143,0.242,0.212,0.194,0.153,0.215,0.211,0.206,0.147,0.203,0.186
"Patricia Jure","No sabe",0.04,0.043,0.037,0.039,0.046,0.019,0.059,0.042,0.051,0.017,0.027,0.052
"Ramón Rioseco","Positiva",0.254,0.265,0.244,0.28,0.234,0.256,0.259,0.315,0.221,0.24,0.263,0.247
"Ramón Rioseco","Neutra",0.294,0.267,0.319,0.248,0.305,0.333,0.312,0.278,0.327,0.251,0.285,0.301
"Ramón Rioseco","Negativa",0.346,0.39,0.304,0.347,0.372,0.303,0.316,0.294,0.322,0.458,0.342,0.35
"Ramón Rioseco","No lo conozco",0.078,0.047,0.107,0.087,0.072,0.083,0.061,0.091,0.09,0.039,0.086,0.071
"Ramón Rioseco","No sabe",0.028,0.031,0.026,0.038,0.017,0.025,0.052,0.022,0.04,0.012,0.024,0.031
"Carlos Eguía","Positiva",0.187,0.233,0.144,0.237,0.17,0.159,0.165,0.243,0.156,0.176,0.203,0.175
"Carlos Eguía","Neutra",0.268,0.243,0.292,0.213,0.272,0.337,0.283,0.285,0.261,0.258,0.223,0.305
"Carlos Eguía","Negativa",0.353,0.378,0.327,0.33,0.36,0.38,0.336,0.272,0.347,0.465,0.388,0.323
"Carlos Eguía","No lo conozco",0.153,0.099,0.205,0.181,0.153,0.113,0.146,0.173,0.176,0.084,0.164,0.144
"Carlos Eguía","No sabe",0.039,0.047,0.032,0.039,0.045,0.011,0.07,0.027,0.06,0.017,0.022,0.053
