"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.034,0.005,0.036,0.036
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.01,0.004,0.021,0.018
"P24","Otros",0.013,0.009,0.103,0.032
"P24","En blanco",0.01,0.009,0.091,0.027
"P24","No sabe",0.013,0.016,0.024,0.219
"P25","Totalmente seguro",0.666,0.648,0.654,0.395
"P25","Bastante seguro",0.163,0.206,0.136,0.088
"P25","Algo seguro",0.105,0.092,0.08,0.161
"P25","Para nada seguro",0.066,0.054,0.13,0.356
"P26","Tiene Decidido que va a ir a votar",0.924,0.908,0.857,0.82
"P26","Tiene dudas sobre si va a ir a  votar",0.051,0.066,0.117,0.111
"P26","Tiene Decidido que no va a ir a votar",0.025,0.026,0.026,0.069
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.816,0.013,0.18,0.154
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.054,0.66,0.072,0.125
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.028,0.257,0.377,0.233
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.052,0.003,0.114,0.018
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.016,0.015,0.042,0.081
"P31","Otros",0.023,0.028,0.099,0.068
"P31","En blanco",0.004,0.01,0.072,0.025
"P31","No sabe",0.007,0.014,0.044,0.296
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.834,0.004,0.184,0.145
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.066,0.536,0.117,0.238
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.029,0.322,0.355,0.22
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.034,0.001,0.099,0.012
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.011,0.014,0.043,0.033
"P32","Otros",0.01,0.05,0.088,0.069
"P32","En blanco",0.004,0.029,0.089,0.012
"P32","No sabe",0.012,0.044,0.025,0.271
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.17,0.675,0.092,0.16
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.069,0.284,0.41,0.164
"P34","En blanco",0.606,0.026,0.438,0.101
"P34","No sabe",0.155,0.015,0.06,0.575
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.874,0.039,0.167,0.103
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.068,0.693,0.168,0.193
"P35","En blanco",0.038,0.163,0.626,0.053
"P35","No sabe",0.02,0.105,0.039,0.651
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.184,0.475,0.125,0.164
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.071,0.397,0.308,0.175
"P36","En blanco",0.574,0.061,0.527,0.033
"P36","No sabe",0.171,0.067,0.04,0.628
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.881,0.058,0.194,0.153
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.049,0.583,0.355,0.2
"P37","En blanco",0.048,0.194,0.39,0.077
"P37","No sabe",0.022,0.165,0.061,0.57
"P45","Lo votaría",0.826,0.042,0.161,0.109
"P45","Puede que lo vote",0.085,0.117,0.084,0.123
"P45","Nunca lo votaría",0.06,0.821,0.691,0.498
"P45","No sabe",0.029,0.02,0.064,0.27
"P46","Lo votaría",0.527,0.031,0.207,0.102
"P46","Puede que lo vote",0.243,0.019,0.125,0.1
"P46","Nunca lo votaría",0.174,0.938,0.597,0.587
"P46","No sabe",0.056,0.012,0.071,0.211
"P47","Lo votaría",0.103,0.623,0.09,0.127
"P47","Puede que lo vote",0.052,0.227,0.145,0.17
"P47","Nunca lo votaría",0.828,0.138,0.709,0.464
"P47","No sabe",0.017,0.012,0.056,0.239
"P48","Lo votaría",0.091,0.462,0.078,0.185
"P48","Puede que lo vote",0.04,0.293,0.117,0.209
"P48","Nunca lo votaría",0.818,0.203,0.777,0.374
"P48","No sabe",0.051,0.042,0.028,0.232
"P49","Lo votaría",0.063,0.375,0.287,0.258
"P49","Puede que lo vote",0.056,0.255,0.096,0.059
"P49","Nunca lo votaría",0.862,0.334,0.587,0.43
"P49","No sabe",0.019,0.036,0.03,0.253
"P50","Lo votaría",0.103,0.036,0.172,0.064
"P50","Puede que lo vote",0.312,0.045,0.151,0.114
"P50","Nunca lo votaría",0.517,0.902,0.635,0.579
"P50","No sabe",0.068,0.017,0.042,0.243
"P51","Lo votaría",0.048,0.019,0.017,0.066
"P51","Puede que lo vote",0.163,0.135,0.096,0.134
"P51","Nunca lo votaría",0.721,0.79,0.824,0.575
"P51","No sabe",0.068,0.056,0.063,0.225
"P52","Si",0.548,0.486,0.478,0.402
"P52","No",0.452,0.514,0.522,0.598
