"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P49","Lo votaría",0.216,0.69,0.029,0.043
"P49","Puede que lo vote",0.26,0.162,0.032,0.07
"P49","Nunca lo votaría",0.474,0.147,0.924,0.725
"P49","No sabe",0.05,0.001,0.015,0.162
"P50","Lo votaría",0.035,0.093,0.116,0.095
"P50","Puede que lo vote",0.074,0.08,0.319,0.193
"P50","Nunca lo votaría",0.866,0.802,0.505,0.531
"P50","No sabe",0.025,0.025,0.06,0.181
"P51","Lo votaría",0.025,0.041,0.027,0.059
"P51","Puede que lo vote",0.14,0.123,0.15,0.158
"P51","Nunca lo votaría",0.769,0.782,0.777,0.594
"P51","No sabe",0.066,0.054,0.046,0.189
"P52","Si",0.491,0.508,0.529,0.464
"P52","No",0.509,0.492,0.471,0.536
