"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.006,0.006,0.004,0.009,0.284,0,0.072,0.007
"P24","Otros",0.012,0.012,0.018,0.055,0,0.183,0.041,0.067
"P24","En blanco",0.006,0.003,0.023,0.01,0.075,0.032,0.281,0.036
"P24","No sabe",0.015,0.018,0.009,0,0.025,0.067,0.064,0.329
"P25","Totalmente seguro",0.679,0.596,0.704,0.46,0.559,0.537,0.622,0.339
"P25","Bastante seguro",0.155,0.249,0.145,0.312,0.159,0.108,0.162,0.156
"P25","Algo seguro",0.097,0.077,0.089,0.173,0.233,0.203,0.069,0.129
"P25","Para nada seguro",0.069,0.078,0.062,0.055,0.049,0.152,0.147,0.376
"P26","Tiene Decidido que va a ir a votar",0.93,0.9,0.896,0.703,0.676,0.944,0.79,0.825
"P26","Tiene dudas sobre si va a ir a  votar",0.057,0.071,0.081,0.214,0.324,0.056,0.146,0.138
"P26","Tiene Decidido que no va a ir a votar",0.013,0.029,0.023,0.083,0,0,0.064,0.037
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.936,0.024,0.017,0.066,0.022,0.047,0.006,0.106
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.015,0.808,0.191,0.041,0.057,0.408,0.436,0.292
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.006,0.038,0.77,0.01,0.169,0.132,0.019,0.054
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.016,0.021,0,0.848,0.088,0.021,0.049,0.01
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.002,0.029,0.006,0.019,0.589,0.004,0.034,0.02
"P31","Otros",0.015,0.052,0.011,0.009,0.013,0.286,0.033,0.019
"P31","En blanco",0.003,0.008,0.003,0,0.02,0.048,0.33,0.05
"P31","No sabe",0.007,0.02,0.002,0.007,0.042,0.054,0.093,0.449
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.909,0.085,0.053,0.513,0.25,0.093,0.065,0.105
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.006,0.817,0.69,0.022,0.356,0.553,0.514,0.431
"P33","En blanco",0.057,0.043,0.186,0.433,0.267,0.239,0.39,0.061
"P33","No sabe",0.028,0.055,0.071,0.032,0.127,0.115,0.031,0.403
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.121,0.8,0.242,0.199,0.217,0.468,0.5,0.426
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.053,0.098,0.73,0.042,0.23,0.105,0.055,0.061
"P34","En blanco",0.655,0.045,0.02,0.681,0.293,0.261,0.354,0.096
"P34","No sabe",0.171,0.057,0.008,0.078,0.26,0.166,0.091,0.417
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.934,0.075,0.065,0.318,0.21,0.096,0.054,0.139
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.012,0.809,0.456,0.047,0.121,0.196,0.148,0.164
"P35","En blanco",0.025,0.052,0.329,0.605,0.364,0.431,0.753,0.136
"P35","No sabe",0.029,0.064,0.15,0.03,0.305,0.277,0.045,0.561
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.142,0.756,0.085,0.198,0.102,0.168,0.116,0.14
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.041,0.123,0.843,0.031,0.186,0.289,0.065,0.171
"P36","En blanco",0.632,0.047,0.038,0.592,0.504,0.297,0.735,0.091
"P36","No sabe",0.185,0.074,0.034,0.179,0.208,0.246,0.084,0.598
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.941,0.111,0.043,0.482,0.295,0.074,0.058,0.152
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.009,0.373,0.902,0.053,0.326,0.301,0.048,0.144
"P37","En blanco",0.028,0.287,0.044,0.333,0.215,0.398,0.709,0.079
"P37","No sabe",0.022,0.229,0.011,0.132,0.164,0.227,0.185,0.625
"P45","Lo votaría",0.9,0.069,0.056,0.211,0.175,0.046,0.059,0.063
"P45","Puede que lo vote",0.045,0.131,0.108,0.194,0.375,0.168,0.127,0.077
"P45","Nunca lo votaría",0.036,0.775,0.81,0.468,0.357,0.729,0.684,0.553
"P45","No sabe",0.019,0.025,0.026,0.127,0.093,0.057,0.13,0.307
"P46","Lo votaría",0.571,0.032,0.043,0.548,0.113,0.144,0.046,0.063
"P46","Puede que lo vote",0.258,0.025,0.029,0.211,0.239,0.14,0.012,0.048
"P46","Nunca lo votaría",0.115,0.924,0.912,0.197,0.491,0.685,0.822,0.635
"P46","No sabe",0.056,0.019,0.016,0.044,0.157,0.031,0.12,0.254
"P47","Lo votaría",0.078,0.644,0.372,0.03,0.096,0.413,0.446,0.398
"P47","Puede que lo vote",0.043,0.156,0.328,0.126,0.123,0.157,0.078,0.149
"P47","Nunca lo votaría",0.862,0.18,0.287,0.836,0.526,0.372,0.356,0.271
"P47","No sabe",0.017,0.02,0.013,0.008,0.255,0.058,0.12,0.182
"P48","Lo votaría",0.035,0.692,0.162,0.108,0,0.149,0.103,0.083
"P48","Puede que lo vote",0.026,0.241,0.331,0.073,0.177,0.227,0.221,0.126
"P48","Nunca lo votaría",0.898,0.045,0.456,0.799,0.646,0.575,0.557,0.396
"P48","No sabe",0.041,0.022,0.051,0.02,0.177,0.049,0.119,0.395
"P49","Lo votaría",0.022,0.192,0.777,0.096,0.172,0.165,0.076,0
"P49","Puede que lo vote",0.03,0.299,0.16,0.01,0.231,0.176,0.138,0.11
"P49","Nunca lo votaría",0.928,0.449,0.06,0.874,0.545,0.561,0.698,0.673
"P49","No sabe",0.02,0.06,0.003,0.02,0.052,0.098,0.088,0.217
"P50","Lo votaría",0.072,0.027,0.089,0.636,0.231,0.08,0,0.051
"P50","Puede que lo vote",0.325,0.067,0.043,0.225,0.071,0.188,0.055,0.07
"P50","Nunca lo votaría",0.537,0.869,0.849,0.139,0.573,0.672,0.763,0.741
"P50","No sabe",0.066,0.037,0.019,0,0.125,0.06,0.182,0.138
"P51","Lo votaría",0.02,0.023,0.034,0.118,0.503,0,0,0.019
"P51","Puede que lo vote",0.158,0.149,0.119,0.122,0.197,0.171,0.013,0.1
"P51","Nunca lo votaría",0.767,0.749,0.811,0.747,0.138,0.773,0.831,0.58
"P51","No sabe",0.055,0.079,0.036,0.013,0.162,0.056,0.156,0.301
"P52","Si",0.535,0.487,0.546,0.641,0.43,0.488,0.509,0.311
"P52","No",0.465,0.513,0.454,0.359,0.57,0.512,0.491,0.689
