"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P15","Otros",0.017,0.013,0.058,0.051
"P15","En blanco",0.001,0.004,0.045,0.015
"P15","No sabe",0.013,0.009,0.008,0.116
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.532,0.04,0.061,0.071
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.205,0.025,0.068,0.02
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.087,0.435,0.413,0.435
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.048,0.163,0.242,0.202
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.044,0.272,0.076,0.052
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.035,0.006,0.02,0.025
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.012,0.008,0.01,0.013
"P24","Otros",0.014,0.022,0.039,0.032
"P24","En blanco",0.011,0.019,0.053,0.015
"P24","No sabe",0.012,0.01,0.018,0.135
"P25","Totalmente seguro",0.658,0.662,0.66,0.476
"P25","Bastante seguro",0.162,0.168,0.196,0.206
"P25","Algo seguro",0.108,0.112,0.061,0.098
"P25","Para nada seguro",0.072,0.058,0.083,0.22
"P26","Tiene Decidido que va a ir a votar",0.927,0.91,0.848,0.854
"P26","Tiene dudas sobre si va a ir a  votar",0.055,0.063,0.108,0.102
"P26","Tiene Decidido que no va a ir a votar",0.018,0.027,0.044,0.044
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.803,0.025,0.056,0.058
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.066,0.421,0.575,0.645
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.029,0.481,0.066,0.006
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.045,0.005,0.08,0.031
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.018,0.025,0.042,0.026
"P31","Otros",0.021,0.033,0.074,0.048
"P31","En blanco",0.006,0.005,0.055,0.026
"P31","No sabe",0.012,0.005,0.052,0.16
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.826,0.009,0.064,0.062
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.081,0.333,0.555,0.543
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.023,0.578,0.061,0.019
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.03,0.004,0.055,0.027
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.013,0.017,0.024,0.022
"P32","Otros",0.007,0.036,0.103,0.072
"P32","En blanco",0.004,0.004,0.116,0.037
"P32","No sabe",0.016,0.019,0.022,0.218
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.859,0.057,0.123,0.067
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.066,0.795,0.581,0.594
"P33","En blanco",0.05,0.109,0.264,0.049
"P33","No sabe",0.025,0.039,0.032,0.29
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.19,0.44,0.577,0.651
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.066,0.525,0.077,0.012
"P34","En blanco",0.59,0.022,0.301,0.027
"P34","No sabe",0.154,0.013,0.045,0.31
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.868,0.041,0.107,0.066
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.069,0.617,0.504,0.477
"P35","En blanco",0.036,0.238,0.34,0.056
"P35","No sabe",0.027,0.104,0.049,0.401
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.209,0.298,0.489,0.445
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.054,0.639,0.069,0.053
"P36","En blanco",0.574,0.039,0.376,0.032
"P36","No sabe",0.163,0.024,0.066,0.47
"P45","Lo votaría",0.798,0.051,0.088,0.095
"P45","Puede que lo vote",0.096,0.11,0.101,0.098
"P45","Nunca lo votaría",0.077,0.822,0.768,0.649
"P45","No sabe",0.029,0.017,0.043,0.158
"P46","Lo votaría",0.527,0.035,0.101,0.06
"P46","Puede que lo vote",0.248,0.029,0.05,0.044
"P46","Nunca lo votaría",0.167,0.919,0.826,0.776
"P46","No sabe",0.058,0.017,0.023,0.12
"P47","Lo votaría",0.113,0.461,0.489,0.577
"P47","Puede que lo vote",0.059,0.277,0.136,0.102
"P47","Nunca lo votaría",0.81,0.233,0.36,0.221
"P47","No sabe",0.018,0.029,0.015,0.1
"P48","Lo votaría",0.074,0.326,0.471,0.462
"P48","Puede que lo vote",0.055,0.32,0.157,0.18
"P48","Nunca lo votaría",0.828,0.321,0.333,0.184
"P48","No sabe",0.043,0.033,0.039,0.174
"P49","Lo votaría",0.032,0.584,0.134,0.089
"P49","Puede que lo vote",0.058,0.297,0.087,0.132
"P49","Nunca lo votaría",0.889,0.103,0.714,0.633
"P49","No sabe",0.021,0.016,0.065,0.146
"P50","Lo votaría",0.076,0.075,0.092,0.065
"P50","Puede que lo vote",0.304,0.077,0.055,0.069
"P50","Nunca lo votaría",0.553,0.834,0.783,0.779
"P50","No sabe",0.067,0.014,0.07,0.087
"P51","Lo votaría",0.026,0.037,0.033,0.04
"P51","Puede que lo vote",0.162,0.14,0.127,0.095
"P51","Nunca lo votaría",0.75,0.774,0.776,0.698
"P51","No sabe",0.062,0.049,0.064,0.167
"P52","Si",0.528,0.536,0.506,0.333
"P52","No",0.472,0.464,0.494,0.667
