"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Alberto Fernández por el Frente de Todos","Mauricio Macri por Juntos por el cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Aún no lo tengo decidido"
"P07","2",0.062,0.017,0.023,0.016,0.032,0.054,0.047,0.034,0.043
"P07","3",0.036,0.15,0.013,0.047,0.048,0.03,0.051,0.112,0.015
"P07","4",0.019,0.014,0.012,0.035,0.02,0.033,0.023,0.022,0.015
"P07","5",0.064,0.092,0.132,0.119,0.115,0.233,0.091,0.014,0.123
"P07","6",0.011,0,0.04,0.034,0.043,0.012,0.031,0,0.044
"P07","7",0.011,0.035,0.047,0.038,0.072,0.059,0.063,0,0.035
"P07","8",0.012,0.013,0.044,0.048,0.051,0.028,0.041,0,0.041
"P07","9",0.217,0.404,0.48,0.396,0.438,0.333,0.462,0.123,0.412
"P09","Del Frente de Todos y el peronismo",0.844,0.651,0.071,0.094,0.028,0.146,0.028,0.057,0.197
"P09","De Juntos por el cambio",0.052,0.022,0.757,0.672,0.669,0.374,0.068,0.024,0.119
"P09","De los Liberales libertarios",0.017,0.071,0.086,0.08,0.208,0.175,0.789,0.02,0.097
"P09","De la Izquierda",0.022,0.053,0.01,0.028,0.004,0.039,0.006,0.804,0.057
"P09","No sabe",0.065,0.203,0.076,0.126,0.091,0.266,0.109,0.095,0.53
"P10","A Alberto Fernández",0.135,0.603,0.559,0.206,0.104,0.239,0.125,0.238,0.123
"P10","A Sergio Massa",0.179,0.196,0.128,0.32,0.569,0.092,0.4,0.139,0.586
"P10","A algún candidato del peronismo",0.107,0.151,0.236,0.258,0.327,0.412,0.282,0.337,0.279
"P10","A algún candidato del kirchnerismo",0.579,0.05,0.077,0.216,0,0.257,0.193,0.286,0.012
"P11","A Alberto Fernández",0.081,0.517,0.398,0.179,0.201,0.239,0.153,0.303,0.117
"P11","A Sergio Massa",0.093,0.204,0.034,0.167,0.324,0.039,0.073,0.139,0.474
"P11","A algún candidato del peronismo",0.066,0.175,0.396,0.552,0.475,0.341,0.545,0.337,0.33
"P11","A Cristina Fernández de Kirchner",0.76,0.104,0.172,0.102,0,0.381,0.229,0.221,0.079
"P12","A Horacio Rodriguez Larreta",0.298,0,0.076,0.723,0.052,0.154,0.122,0.195,0.435
"P12","A Mauricio Macri",0.15,0.733,0.772,0.087,0.096,0.053,0.369,0,0.115
"P12","A Patricia Bullrich",0.025,0,0.137,0.116,0.839,0.065,0.397,0.242,0.19
"P12","A Facundo Manes",0.397,0,0.005,0.047,0.006,0.491,0.112,0.563,0.013
"P12","A Gerardo Morales",0.13,0.267,0.01,0.027,0.007,0.237,0,0,0.247
"P13","Seguro lo votaria",0.211,0,0.181,0.243,0.15,0.111,0.457,0,0.169
"P13","Quizás lo votaría",0.109,0.535,0.369,0.308,0.403,0.508,0.465,0.241,0.429
"P13","Nunca lo votaría",0.68,0.465,0.45,0.449,0.447,0.381,0.078,0.759,0.402
"P14","Lo votaría",0.034,0.047,0.835,0.25,0.432,0.113,0.116,0.006,0.1
"P14","Puede que lo vote",0.022,0.085,0.099,0.333,0.351,0.305,0.326,0.055,0.194
"P14","Nunca lo votaría",0.892,0.795,0.061,0.328,0.158,0.438,0.474,0.726,0.545
"P14","No sabe",0.052,0.073,0.005,0.089,0.059,0.144,0.084,0.213,0.161
"P15","Lo votaría",0.232,0.22,0.059,0.063,0.041,0.039,0.04,0.036,0.155
"P15","Puede que lo vote",0.444,0.312,0.089,0.15,0.087,0.284,0.102,0.154,0.233
"P15","Nunca lo votaría",0.242,0.422,0.798,0.727,0.84,0.522,0.831,0.732,0.466
"P15","No sabe",0.082,0.046,0.054,0.06,0.032,0.155,0.027,0.078,0.146
"P16","Lo votaría",0.246,0.537,0.055,0.043,0.007,0.05,0.02,0.022,0.103
"P16","Puede que lo vote",0.432,0.314,0.029,0.055,0.022,0.077,0.046,0.163,0.12
"P16","Nunca lo votaría",0.238,0.107,0.89,0.833,0.95,0.779,0.919,0.722,0.594
"P16","No sabe",0.084,0.042,0.026,0.069,0.021,0.094,0.015,0.093,0.183
"P17","La votaría",0.864,0.37,0.036,0.044,0.012,0.104,0.014,0.066,0.106
"P17","Puede que la vote",0.103,0.308,0.028,0.062,0.02,0.08,0.054,0.202,0.181
"P17","Nunca la votaría",0.026,0.264,0.919,0.873,0.949,0.737,0.92,0.719,0.598
"P17","No sabe",0.007,0.058,0.017,0.021,0.019,0.079,0.012,0.013,0.115
"P18","Lo votaría",0.064,0.076,0.237,0.623,0.158,0.112,0.029,0.014,0.07
"P18","Puede que lo vote",0.045,0.132,0.409,0.237,0.467,0.453,0.208,0.074,0.192
"P18","Nunca lo votaría",0.848,0.647,0.302,0.109,0.309,0.346,0.724,0.762,0.526
"P18","No sabe",0.043,0.145,0.052,0.031,0.066,0.089,0.039,0.15,0.212
"P19","Lo votaría",0.017,0.057,0.05,0.156,0.058,0.429,0.025,0.014,0.076
"P19","Puede que lo vote",0.143,0.148,0.212,0.329,0.266,0.332,0.174,0.099,0.185
"P19","Nunca lo votaría",0.698,0.581,0.631,0.373,0.583,0.178,0.701,0.759,0.46
"P19","No sabe",0.142,0.214,0.107,0.142,0.093,0.061,0.1,0.128,0.279
"P20","La votaría",0.025,0.047,0.554,0.287,0.824,0.187,0.214,0.023,0.068
"P20","Puede que la vote",0.038,0.028,0.243,0.327,0.11,0.34,0.426,0.085,0.2
"P20","Nunca la votaría",0.889,0.773,0.158,0.307,0.045,0.414,0.332,0.742,0.53
"P20","No sabe",0.048,0.152,0.045,0.079,0.021,0.059,0.028,0.15,0.202
"P21","Lo votaría",0.022,0.045,0.176,0.141,0.217,0.144,0.84,0.076,0.059
"P21","Puede que lo vote",0.036,0.097,0.318,0.312,0.418,0.265,0.106,0.017,0.166
"P21","Nunca lo votaría",0.899,0.796,0.455,0.465,0.304,0.527,0.038,0.9,0.572
"P21","No sabe",0.043,0.062,0.051,0.082,0.061,0.064,0.016,0.007,0.203
"P22","La votaría",0.02,0.038,0.282,0.278,0.212,0.084,0.116,0.056,0.076
"P22","Puede que la vote",0.02,0.085,0.368,0.341,0.377,0.342,0.268,0.145,0.142
"P22","Nunca la votaría",0.903,0.783,0.281,0.344,0.339,0.419,0.552,0.71,0.544
"P22","No sabe",0.057,0.094,0.069,0.037,0.072,0.155,0.064,0.089,0.238
"P23","Lo votaría",0.166,0.16,0.032,0.051,0.016,0.025,0.006,0.035,0.041
"P23","Puede que lo vote",0.433,0.293,0.063,0.106,0.045,0.126,0.068,0.092,0.148
"P23","Nunca lo votaría",0.32,0.5,0.866,0.794,0.913,0.777,0.893,0.774,0.629
"P23","No sabe",0.081,0.047,0.039,0.049,0.026,0.072,0.033,0.099,0.182
"P24","Lo votaría",0.028,0.058,0.066,0.111,0.033,0.095,0.023,0.006,0.052
"P24","Puede que lo vote",0.088,0.058,0.175,0.26,0.275,0.29,0.091,0.13,0.159
"P24","Nunca lo votaría",0.788,0.719,0.678,0.564,0.607,0.472,0.796,0.749,0.504
"P24","No sabe",0.096,0.165,0.081,0.065,0.085,0.143,0.09,0.115,0.285
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.045,0.23,0.753,0.033,0.056,0.029,0,0.042
"P27","Patricia Bullrich por Juntos por el Cambio",0.019,0.047,0.559,0.099,0.836,0.135,0.026,0.009,0.099
"P27","Facundo Manes por Juntos por el Cambio",0.01,0.048,0.012,0.025,0.025,0.521,0.019,0,0.013
"P27","Alberto Fernández por el Frente de Todos",0.243,0.594,0.024,0.033,0.008,0.04,0,0.009,0.034
"P27","Sergio Massa por el Frente de Todos",0.462,0.233,0.025,0.033,0.009,0.059,0.015,0.023,0.12
"P27","Javier Milei por los liberales libertarios",0.017,0,0.086,0.015,0.062,0.048,0.862,0.075,0.039
"P27","Nicolás del Caño por la izquierda",0.029,0.012,0,0,0.01,0.057,0.027,0.714,0.012
"P27","Otros candidatos",0.091,0.017,0.025,0.02,0.008,0.041,0.014,0.085,0.232
"P27","Aún no lo tengo decidido",0.109,0.004,0.039,0.022,0.009,0.043,0.008,0.085,0.409
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.928,0.599,0.037,0.071,0.01,0.086,0.013,0.018,0.091
"P28","Mauricio Macri por Juntos por el Cambio",0.009,0.016,0.868,0.379,0.528,0.162,0.016,0,0.094
"P28","Javier Milei por los liberales libertarios",0.009,0.021,0.062,0.101,0.228,0.235,0.927,0.085,0.058
"P28","Nicolás del Caño por la izquierda",0.005,0.089,0,0.014,0.013,0.052,0.004,0.828,0.072
"P28","Otro candidato",0.019,0.102,0.009,0.233,0.117,0.316,0.008,0.01,0.239
"P28","Aún no lo tengo decidido",0.03,0.173,0.024,0.202,0.104,0.149,0.032,0.059,0.446
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.067,0.103,0.505,0.752,0.382,0.255,0.014,0,0.155
"P30","Alberto Fernández por el Frente de Todos",0.521,0.779,0.044,0.051,0.037,0.069,0.004,0.019,0.054
"P30","Javier Milei por los liberales libertarios",0.022,0.015,0.228,0.068,0.296,0.166,0.951,0,0.043
"P30","Nicolás del Caño por la izquierda",0.042,0.028,0,0.008,0.015,0.083,0.003,0.883,0.002
"P30","Otro candidato",0.174,0.026,0.116,0.041,0.165,0.326,0.006,0.023,0.272
"P30","Aún no lo tengo decidido",0.174,0.049,0.107,0.08,0.105,0.101,0.022,0.075,0.474
"P32","Sergio Massa presidente por el Frente de Todos",0.61,0.499,0.052,0.068,0.016,0.158,0.012,0.016,0.154
"P32","Patricia Bullrich por Juntos por el Cambio",0.039,0.083,0.674,0.471,0.838,0.303,0.07,0.021,0.142
"P32","Javier Milei por los liberales libertarios",0.013,0.015,0.123,0.115,0.093,0.11,0.888,0.07,0.03
"P32","Nicolás del Caño por la izquierda",0.035,0.033,0.018,0.031,0.006,0.061,0,0.805,0.049
"P32","Otro candidato",0.158,0.135,0.06,0.218,0.015,0.282,0.007,0,0.268
"P32","Aún no lo tengo decidido",0.145,0.235,0.073,0.097,0.032,0.086,0.023,0.088,0.357
"P34","Sergio Massa presidente por el Frente de Todos",0.598,0.541,0.066,0.075,0.055,0.178,0.01,0.034,0.232
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.057,0.114,0.56,0.656,0.409,0.282,0.033,0.003,0.099
"P34","Javier Milei por los liberales libertarios",0.033,0.028,0.167,0.087,0.307,0.136,0.926,0.078,0.066
"P34","Nicolás del Caño por la izquierda",0.032,0.04,0.002,0.009,0.008,0.023,0,0.768,0.008
"P34","Otro candidato",0.153,0.124,0.126,0.087,0.151,0.276,0.009,0.043,0.193
"P34","Aún no lo tengo decidido",0.127,0.153,0.079,0.086,0.07,0.105,0.022,0.074,0.402
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.902,0.61,0.065,0.104,0.028,0.15,0.017,0.019,0.081
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.11,0.537,0.702,0.415,0.261,0.021,0.014,0.102
"P36","Javier Milei por los liberales libertarios",0.012,0.02,0.204,0.055,0.344,0.223,0.925,0.072,0.06
"P36","Nicolás del Caño por la izquierda",0.004,0.031,0.003,0.028,0.001,0.059,0.001,0.806,0.026
"P36","Otro candidato",0.02,0.09,0.117,0.065,0.148,0.242,0.013,0.013,0.362
"P36","Aún no lo tengo decidido",0.027,0.139,0.074,0.046,0.064,0.065,0.023,0.076,0.369
"P37","Sergio Massa presidente por el Frente de Todos",0.664,0.629,0.052,0.067,0.015,0.103,0.014,0.035,0.171
"P37","Mauricio Macri por Juntos por el Cambio",0.016,0.089,0.859,0.438,0.569,0.174,0.027,0.011,0.134
"P37","Javier Milei por los liberales libertarios",0.028,0.004,0.049,0.127,0.241,0.264,0.941,0.075,0.095
"P37","Nicolás del Caño por la izquierda",0.021,0.033,0.003,0.017,0.021,0.021,0,0.786,0.003
"P37","Otro candidato",0.161,0.117,0.02,0.219,0.1,0.301,0.006,0,0.245
"P37","Aún no lo tengo decidido",0.11,0.128,0.017,0.132,0.054,0.137,0.012,0.093,0.352
"P38","Alberto Fernández por el Frente de Todos",0.595,0.752,0.044,0.059,0.019,0.094,0.015,0.034,0.093
"P38","Mauricio Macri por Juntos por el Cambio",0.013,0.093,0.858,0.434,0.62,0.181,0.038,0.015,0.093
"P38","Javier Milei por los liberales libertarios",0.028,0.017,0.048,0.121,0.218,0.223,0.913,0.022,0.09
"P38","Nicolás del Caño por la izquierda",0.043,0.046,0.004,0.017,0.014,0.067,0.006,0.788,0.006
"P38","Otro candidato",0.203,0.03,0.004,0.242,0.094,0.348,0.013,0,0.305
"P38","Aún no lo tengo decidido",0.118,0.062,0.042,0.127,0.035,0.087,0.015,0.141,0.413
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.941,0.752,0.073,0.099,0.033,0.162,0.029,0.312,0.171
"P39","Mauricio Macri por Juntos por el Cambio",0.028,0.089,0.908,0.554,0.836,0.416,0.471,0.113,0.228
"P39","No sabe",0.031,0.159,0.019,0.347,0.131,0.422,0.5,0.575,0.601
"P40","Alberto Fernández por el Frente de Todos",0.745,0.825,0.058,0.037,0.009,0.169,0.046,0.269,0.123
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.1,0.74,0.843,0.731,0.571,0.335,0.094,0.278
"P40","No sabe",0.236,0.075,0.202,0.12,0.26,0.26,0.619,0.637,0.599
"P41","Sergio Massa presidente por el Frente de Todos",0.776,0.7,0.056,0.091,0.014,0.18,0.048,0.32,0.2
"P41","Patricia Bullrich por Juntos por el Cambio",0.021,0.076,0.845,0.677,0.921,0.576,0.616,0.03,0.23
"P41","No sabe",0.203,0.224,0.099,0.232,0.065,0.244,0.336,0.65,0.57
"P42","Sergio Massa presidente por el Frente de Todos",0.789,0.768,0.016,0.061,0.038,0.308,0.05,0.305,0.233
"P42","Mauricio Macri por Juntos por el Cambio",0.023,0.082,0.961,0.628,0.863,0.401,0.576,0.031,0.246
"P42","No sabe",0.188,0.15,0.023,0.311,0.099,0.291,0.374,0.664,0.521
"P43","Sergio Massa presidente por el Frente de Todos",0.782,0.701,0.031,0.096,0.013,0.236,0.017,0.349,0.243
"P43","Javier Milei por los liberales libertarios",0.044,0.065,0.509,0.404,0.643,0.369,0.909,0.039,0.209
"P43","No sabe",0.174,0.234,0.46,0.5,0.344,0.395,0.074,0.612,0.548
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.123,0.192,0.399,0.712,0.382,0.531,0.039,0.226,0.202
"P44","Javier Milei por los liberales libertarios",0.051,0.185,0.312,0.141,0.43,0.165,0.932,0.024,0.213
"P44","No sabe",0.826,0.623,0.289,0.147,0.188,0.304,0.029,0.75,0.585
"P45","Muy buena",0.103,0.194,0.018,0.1,0.03,0.039,0.002,0,0.021
"P45","Buena",0.315,0.322,0.025,0.049,0.043,0.066,0.085,0.026,0.024
"P45","Ni buena ni mala",0.411,0.418,0.07,0.115,0.024,0.203,0.045,0.362,0.272
"P45","Mala",0.132,0.036,0.098,0.173,0.101,0.137,0.059,0.221,0.161
"P45","Muy mala",0.024,0.03,0.767,0.542,0.797,0.555,0.809,0.391,0.472
"P45","No sabe",0.015,0,0.022,0.021,0.005,0,0,0,0.05
"P46","Muy buena",0.142,0.307,0.015,0.014,0.001,0.021,0.011,0,0.015
"P46","Buena",0.301,0.328,0.001,0.058,0.013,0.011,0.008,0.071,0.033
"P46","Ni buena ni mala",0.375,0.299,0.086,0.139,0.014,0.18,0.045,0.279,0.298
"P46","Mala",0.135,0.036,0.073,0.175,0.096,0.139,0.07,0.224,0.18
"P46","Muy mala",0.043,0.03,0.823,0.614,0.87,0.549,0.854,0.426,0.426
"P46","No sabe",0.004,0,0.002,0,0.006,0.1,0.012,0,0.048
"P47","Muy buena",0.749,0.34,0.016,0.025,0.001,0.054,0.014,0.07,0.022
"P47","Buena",0.163,0.276,0.001,0.045,0.001,0.063,0.008,0.131,0.03
"P47","Ni buena ni mala",0.065,0.221,0.034,0.069,0.015,0.083,0.038,0.173,0.268
"P47","Mala",0.014,0.101,0.075,0.138,0.073,0.106,0.028,0.252,0.173
"P47","Muy mala",0.007,0.062,0.869,0.721,0.902,0.642,0.912,0.374,0.502
"P47","No sabe",0.002,0,0.005,0.002,0.008,0.052,0,0,0.005
"P48","Muy buena",0.065,0.055,0.551,0.11,0.253,0.041,0.07,0.015,0.045
"P48","Buena",0.027,0.111,0.289,0.293,0.334,0.202,0.162,0.021,0.095
"P48","Ni buena ni mala",0.028,0.167,0.081,0.265,0.213,0.12,0.32,0.065,0.271
"P48","Mala",0.168,0.323,0.014,0.153,0.094,0.328,0.153,0.139,0.247
"P48","Muy mala",0.709,0.344,0.064,0.178,0.103,0.257,0.293,0.735,0.289
"P48","No sabe",0.003,0,0.001,0.001,0.003,0.052,0.002,0.025,0.053
"P49","Muy buena",0.023,0.052,0.257,0.459,0.115,0.096,0.033,0.015,0.053
"P49","Buena",0.019,0.216,0.324,0.303,0.405,0.302,0.131,0.009,0.185
"P49","Ni buena ni mala",0.101,0.252,0.272,0.128,0.336,0.263,0.201,0.132,0.339
"P49","Mala",0.235,0.293,0.071,0.05,0.089,0.174,0.199,0.212,0.206
"P49","Muy mala",0.61,0.171,0.066,0.027,0.049,0.11,0.408,0.632,0.161
"P49","No sabe",0.012,0.016,0.01,0.033,0.006,0.055,0.028,0,0.056
"P50","Muy buena",0.152,0.155,0.06,0.08,0.011,0.046,0.013,0.009,0.091
"P50","Buena",0.369,0.282,0.047,0.076,0.04,0.064,0.04,0.076,0.108
"P50","Ni buena ni mala",0.316,0.369,0.085,0.211,0.107,0.276,0.061,0.319,0.259
"P50","Mala",0.078,0.084,0.155,0.231,0.143,0.232,0.165,0.149,0.172
"P50","Muy mala",0.071,0.1,0.632,0.4,0.686,0.33,0.708,0.407,0.279
"P50","No sabe",0.014,0.01,0.021,0.002,0.013,0.052,0.013,0.04,0.091
"P51","Muy buena",0.018,0.02,0.472,0.26,0.713,0.121,0.227,0.015,0.1
"P51","Buena",0.055,0.099,0.255,0.219,0.193,0.317,0.315,0,0.137
"P51","Ni buena ni mala",0.06,0.153,0.132,0.287,0.022,0.139,0.217,0.19,0.306
"P51","Mala",0.121,0.32,0.028,0.121,0.019,0.104,0.069,0.054,0.104
"P51","Muy mala",0.729,0.398,0.092,0.093,0.047,0.314,0.157,0.741,0.303
"P51","No sabe",0.017,0.01,0.021,0.02,0.006,0.005,0.015,0,0.05
"P52","Muy buena",0.03,0.02,0.148,0.071,0.205,0.072,0.715,0,0.043
"P52","Buena",0.012,0.07,0.241,0.21,0.283,0.13,0.163,0.023,0.132
"P52","Ni buena ni mala",0.075,0.204,0.332,0.415,0.313,0.289,0.06,0.063,0.357
"P52","Mala",0.124,0.291,0.168,0.125,0.116,0.181,0.02,0.096,0.133
"P52","Muy mala",0.736,0.415,0.088,0.154,0.066,0.311,0.041,0.818,0.269
"P52","No sabe",0.023,0,0.023,0.025,0.017,0.017,0.001,0,0.066
"P53","Muy buena",0.014,0,0.333,0.307,0.215,0.181,0.125,0.015,0.112
"P53","Buena",0.008,0.125,0.375,0.243,0.349,0.153,0.162,0.01,0.112
"P53","Ni buena ni mala",0.068,0.217,0.233,0.268,0.285,0.388,0.235,0.151,0.252
"P53","Mala",0.156,0.253,0.027,0.093,0.084,0.065,0.172,0.178,0.182
"P53","Muy mala",0.737,0.389,0.029,0.083,0.062,0.213,0.301,0.63,0.189
"P53","No sabe",0.017,0.016,0.003,0.006,0.005,0,0.005,0.016,0.153
"P54","Muy buena",0.164,0.108,0.036,0.049,0.032,0.003,0.033,0,0.018
"P54","Buena",0.364,0.232,0.054,0.103,0.045,0.065,0.02,0.031,0.034
"P54","Ni buena ni mala",0.313,0.437,0.131,0.221,0.111,0.252,0.094,0.276,0.264
"P54","Mala",0.053,0.104,0.158,0.202,0.18,0.181,0.157,0.196,0.264
"P54","Muy mala",0.093,0.119,0.619,0.422,0.626,0.446,0.673,0.497,0.334
"P54","No sabe",0.013,0,0.002,0.003,0.006,0.053,0.023,0,0.086
"P55","Muy buena",0.042,0.075,0.039,0.104,0.026,0.484,0.047,0,0.05
"P55","Buena",0.156,0.233,0.129,0.218,0.133,0.31,0.053,0.026,0.138
"P55","Ni buena ni mala",0.327,0.399,0.311,0.376,0.34,0.085,0.292,0.346,0.445
"P55","Mala",0.183,0.16,0.165,0.146,0.215,0.084,0.137,0.092,0.12
"P55","Muy mala",0.219,0.045,0.321,0.111,0.231,0.015,0.344,0.471,0.104
"P55","No sabe",0.073,0.088,0.035,0.045,0.055,0.022,0.127,0.065,0.143
"P57","Siempre",0.345,0.194,0.323,0.332,0.229,0.435,0.303,0.358,0.288
"P57","Casi siempre",0.356,0.345,0.395,0.363,0.461,0.32,0.386,0.386,0.378
"P57","Casi nunca",0.195,0.274,0.2,0.221,0.254,0.186,0.188,0.174,0.254
"P57","Nunca, pero esta es una excepción",0.104,0.187,0.082,0.084,0.056,0.059,0.123,0.082,0.08
"P58","Si",0.631,0.546,0.591,0.55,0.594,0.583,0.644,0.738,0.5
"P58","No",0.369,0.454,0.409,0.45,0.406,0.417,0.356,0.262,0.5
