"var","categoria","Alberto Fernández por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P50","Buena",0.374,0.04,0.066,0.075,0.185,0.188
"P50","Ni buena ni mala",0.283,0.093,0.073,0.377,0.358,0.307
"P50","Mala",0.05,0.174,0.154,0.258,0.149,0.174
"P50","Muy mala",0.075,0.643,0.676,0.221,0.224,0.188
"P50","No sabe",0.025,0.015,0.019,0,0.005,0.047
"P51","Muy buena",0.042,0.526,0.316,0.101,0.099,0.085
"P51","Buena",0.062,0.264,0.26,0.077,0.145,0.079
"P51","Ni buena ni mala",0.083,0.084,0.198,0.068,0.189,0.209
"P51","Mala",0.138,0.031,0.064,0.058,0.094,0.207
"P51","Muy mala",0.66,0.076,0.143,0.696,0.469,0.385
"P51","No sabe",0.015,0.019,0.019,0,0.004,0.035
"P52","Muy buena",0.029,0.118,0.633,0.017,0.044,0.003
"P52","Buena",0.031,0.221,0.227,0.012,0.1,0.088
"P52","Ni buena ni mala",0.107,0.385,0.082,0.098,0.243,0.196
"P52","Mala",0.148,0.156,0.024,0.121,0.12,0.178
"P52","Muy mala",0.66,0.101,0.033,0.747,0.481,0.453
"P52","No sabe",0.025,0.019,0.001,0.005,0.012,0.082
"P53","Muy buena",0.02,0.337,0.13,0.028,0.087,0.052
"P53","Buena",0.034,0.343,0.201,0.008,0.106,0.127
"P53","Ni buena ni mala",0.086,0.235,0.275,0.188,0.168,0.248
"P53","Mala",0.157,0.037,0.149,0.296,0.15,0.154
"P53","Muy mala",0.682,0.046,0.233,0.474,0.481,0.337
"P53","No sabe",0.021,0.002,0.012,0.006,0.008,0.082
"P54","Muy buena",0.158,0.045,0.027,0.088,0.063,0.085
"P54","Buena",0.395,0.04,0.021,0.114,0.194,0.17
"P54","Ni buena ni mala",0.289,0.113,0.111,0.36,0.305,0.371
"P54","Mala",0.057,0.175,0.18,0.14,0.147,0.11
"P54","Muy mala",0.086,0.624,0.638,0.298,0.286,0.2
"P54","No sabe",0.015,0.003,0.023,0,0.005,0.064
"P55","Muy buena",0.024,0.057,0.055,0.097,0.114,0.122
"P55","Buena",0.181,0.15,0.067,0.178,0.164,0.181
"P55","Ni buena ni mala",0.339,0.313,0.305,0.313,0.357,0.343
"P55","Mala",0.188,0.179,0.154,0.166,0.15,0.102
"P55","Muy mala",0.184,0.262,0.303,0.239,0.175,0.132
"P55","No sabe",0.084,0.039,0.116,0.007,0.04,0.12
"P57","Siempre",0.333,0.304,0.312,0.351,0.302,0.264
"P57","Casi siempre",0.356,0.436,0.346,0.474,0.344,0.402
"P57","Casi nunca",0.21,0.197,0.222,0.157,0.228,0.24
"P57","Nunca, pero esta es una excepción",0.101,0.063,0.12,0.018,0.126,0.094
"P58","Si",0.627,0.583,0.603,0.695,0.619,0.561
"P58","No",0.373,0.417,0.397,0.305,0.381,0.439
