"var","categoria","Sergio Massa presidente por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P47","Buena",0.154,0.01,0.077
"P47","Ni buena ni mala",0.112,0.01,0.13
"P47","Mala",0.056,0.055,0.1
"P47","Muy mala",0.046,0.91,0.468
"P47","No sabe",0.001,0.008,0.004
"P48","Muy buena",0.067,0.279,0.066
"P48","Buena",0.054,0.29,0.087
"P48","Ni buena ni mala",0.052,0.217,0.175
"P48","Mala",0.199,0.08,0.214
"P48","Muy mala",0.627,0.13,0.438
"P48","No sabe",0.001,0.004,0.02
"P49","Muy buena",0.04,0.185,0.087
"P49","Buena",0.059,0.332,0.082
"P49","Ni buena ni mala",0.133,0.247,0.221
"P49","Mala",0.259,0.088,0.195
"P49","Muy mala",0.503,0.132,0.369
"P49","No sabe",0.006,0.016,0.046
"P50","Muy buena",0.2,0.025,0.024
"P50","Buena",0.399,0.042,0.061
"P50","Ni buena ni mala",0.293,0.086,0.291
"P50","Mala",0.065,0.166,0.191
"P50","Muy mala",0.039,0.671,0.373
"P50","No sabe",0.004,0.01,0.06
"P51","Muy buena",0.033,0.481,0.087
"P51","Buena",0.052,0.305,0.075
"P51","Ni buena ni mala",0.089,0.107,0.26
"P51","Mala",0.141,0.033,0.13
"P51","Muy mala",0.666,0.069,0.406
"P51","No sabe",0.019,0.005,0.042
"P52","Muy buena",0.031,0.286,0.238
"P52","Buena",0.022,0.237,0.113
"P52","Ni buena ni mala",0.101,0.276,0.198
"P52","Mala",0.154,0.109,0.093
"P52","Muy mala",0.669,0.079,0.328
"P52","No sabe",0.023,0.013,0.03
"P53","Muy buena",0.006,0.261,0.104
"P53","Buena",0.046,0.297,0.105
"P53","Ni buena ni mala",0.101,0.266,0.194
"P53","Mala",0.195,0.07,0.148
"P53","Muy mala",0.644,0.098,0.404
"P53","No sabe",0.008,0.008,0.045
"P54","Muy buena",0.166,0.033,0.034
"P54","Buena",0.365,0.036,0.095
"P54","Ni buena ni mala",0.294,0.105,0.311
"P54","Mala",0.075,0.173,0.157
"P54","Muy mala",0.096,0.641,0.363
"P54","No sabe",0.004,0.012,0.04
"P55","Muy buena",0.072,0.062,0.054
"P55","Buena",0.18,0.14,0.092
"P55","Ni buena ni mala",0.356,0.295,0.351
"P55","Mala",0.15,0.175,0.162
"P55","Muy mala",0.185,0.263,0.229
"P55","No sabe",0.057,0.065,0.112
"P57","Siempre",0.349,0.292,0.301
"P57","Casi siempre",0.37,0.418,0.325
"P57","Casi nunca",0.205,0.214,0.215
"P57","Nunca, pero esta es una excepción",0.076,0.076,0.159
"P58","Si",0.627,0.615,0.543
"P58","No",0.373,0.385,0.457
