"var","categoria","Sergio Massa presidente por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P23","Lo votaría",0.168,0.023,0.034
"P23","Puede que lo vote",0.474,0.063,0.103
"P23","Nunca lo votaría",0.287,0.885,0.788
"P23","No sabe",0.071,0.029,0.075
"P24","Lo votaría",0.029,0.037,0.06
"P24","Puede que lo vote",0.109,0.167,0.214
"P24","Nunca lo votaría",0.777,0.712,0.614
"P24","No sabe",0.085,0.084,0.112
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.768,0.029,0.166
"P26","Alberto Fernández por el Frente de Todos",0.075,0.005,0.024
"P26","Mauricio Macri por Juntos por el cambio",0.017,0.187,0.242
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.093,0.165
"P26","Patricia Bullrich por Juntos por el Cambio",0.007,0.245,0.187
"P26","Facundo Manes por Juntos por el Cambio",0.03,0.032,0.048
"P26","Javier Milei por los liberales libertarios",0.011,0.383,0.045
"P26","Nicolás del Caño por la izquierda",0.016,0.001,0.028
"P26","Aún no lo tengo decidido",0.043,0.025,0.095
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.119,0.233
"P27","Patricia Bullrich por Juntos por el Cambio",0.007,0.37,0.343
"P27","Facundo Manes por Juntos por el Cambio",0.029,0.035,0.04
"P27","Alberto Fernández por el Frente de Todos",0.189,0.011,0.099
"P27","Sergio Massa por el Frente de Todos",0.529,0.015,0.048
"P27","Javier Milei por los liberales libertarios",0.009,0.415,0.045
"P27","Nicolás del Caño por la izquierda",0.037,0.008,0.035
"P27","Otros candidatos",0.082,0.016,0.059
"P27","Aún no lo tengo decidido",0.087,0.011,0.098
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.831,0.051,0.162
"P28","Mauricio Macri por Juntos por el Cambio",0.026,0.348,0.433
"P28","Javier Milei por los liberales libertarios",0.005,0.509,0.073
"P28","Nicolás del Caño por la izquierda",0.044,0.006,0.029
"P28","Otro candidato",0.045,0.049,0.146
"P28","Aún no lo tengo decidido",0.049,0.037,0.157
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.106,0.279,0.403
"P30","Alberto Fernández por el Frente de Todos",0.491,0.031,0.128
"P30","Javier Milei por los liberales libertarios",0.025,0.586,0.079
"P30","Nicolás del Caño por la izquierda",0.06,0.012,0.035
"P30","Otro candidato",0.156,0.06,0.169
"P30","Aún no lo tengo decidido",0.162,0.032,0.186
"P32","Sergio Massa presidente por el Frente de Todos",0.694,0.026,0.055
"P32","Patricia Bullrich por Juntos por el Cambio",0.032,0.458,0.472
"P32","Javier Milei por los liberales libertarios",0.017,0.436,0.076
"P32","Nicolás del Caño por la izquierda",0.058,0.011,0.034
"P32","Otro candidato",0.103,0.045,0.195
"P32","Aún no lo tengo decidido",0.096,0.024,0.168
"P34","Sergio Massa presidente por el Frente de Todos",0.699,0.036,0.048
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.066,0.295,0.422
"P34","Javier Milei por los liberales libertarios",0.011,0.583,0.075
"P34","Nicolás del Caño por la izquierda",0.049,0.001,0.028
"P34","Otro candidato",0.09,0.056,0.233
"P34","Aún no lo tengo decidido",0.085,0.029,0.194
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.806,0.055,0.2
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.076,0.271,0.42
"P36","Javier Milei por los liberales libertarios",0.012,0.596,0.069
"P36","Nicolás del Caño por la izquierda",0.034,0.002,0.03
"P36","Otro candidato",0.047,0.043,0.166
"P36","Aún no lo tengo decidido",0.025,0.033,0.115
"P37","Sergio Massa presidente por el Frente de Todos",0.751,0.027,0.059
"P37","Mauricio Macri por Juntos por el Cambio",0.045,0.366,0.458
"P37","Javier Milei por los liberales libertarios",0.009,0.52,0.079
"P37","Nicolás del Caño por la izquierda",0.04,0.01,0.031
"P37","Otro candidato",0.099,0.05,0.209
"P37","Aún no lo tengo decidido",0.056,0.027,0.164
"P38","Alberto Fernández por el Frente de Todos",0.594,0.029,0.105
"P38","Mauricio Macri por Juntos por el Cambio",0.033,0.382,0.464
"P38","Javier Milei por los liberales libertarios",0.02,0.512,0.072
"P38","Nicolás del Caño por la izquierda",0.064,0.009,0.039
"P38","Otro candidato",0.192,0.047,0.167
"P38","Aún no lo tengo decidido",0.097,0.021,0.153
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.889,0.06,0.196
"P39","Mauricio Macri por Juntos por el Cambio",0.05,0.693,0.507
"P39","No sabe",0.061,0.247,0.297
"P40","Alberto Fernández por el Frente de Todos",0.724,0.045,0.15
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.087,0.602,0.498
"P40","No sabe",0.189,0.353,0.352
"P41","Sergio Massa presidente por el Frente de Todos",0.887,0.033,0.075
"P41","Patricia Bullrich por Juntos por el Cambio",0.015,0.804,0.526
"P41","No sabe",0.098,0.163,0.399
"P42","Sergio Massa presidente por el Frente de Todos",0.905,0.04,0.075
"P42","Mauricio Macri por Juntos por el Cambio",0.043,0.78,0.5
"P42","No sabe",0.052,0.18,0.425
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.195,0.225,0.415
"P44","Javier Milei por los liberales libertarios",0.048,0.712,0.065
"P44","No sabe",0.757,0.063,0.52
"P45","Muy buena",0.084,0.028,0.065
"P45","Buena",0.304,0.067,0.062
"P45","Ni buena ni mala",0.41,0.045,0.18
"P45","Mala",0.141,0.088,0.123
"P45","Muy mala",0.049,0.772,0.538
"P45","No sabe",0.012,0,0.032
"P46","Muy buena",0.094,0.021,0.071
"P46","Buena",0.311,0.018,0.038
"P46","Ni buena ni mala",0.408,0.042,0.147
"P46","Mala",0.136,0.089,0.123
"P46","Muy mala",0.049,0.825,0.595
"P46","No sabe",0.002,0.005,0.026
"P47","Muy buena",0.639,0.028,0.133
"P47","Buena",0.151,0.017,0.053
"P47","Ni buena ni mala",0.107,0.023,0.084
"P47","Mala",0.057,0.057,0.084
"P47","Muy mala",0.045,0.872,0.634
"P47","No sabe",0.001,0.003,0.012
"P48","Muy buena",0.066,0.215,0.213
"P48","Buena",0.038,0.261,0.196
"P48","Ni buena ni mala",0.043,0.238,0.162
"P48","Mala",0.187,0.111,0.146
"P48","Muy mala",0.662,0.173,0.266
"P48","No sabe",0.004,0.002,0.017
"P49","Muy buena",0.026,0.129,0.207
"P49","Buena",0.044,0.269,0.252
"P49","Ni buena ni mala",0.141,0.247,0.22
"P49","Mala",0.257,0.131,0.107
"P49","Muy mala",0.527,0.206,0.179
"P49","No sabe",0.005,0.018,0.035
"P50","Muy buena",0.191,0.029,0.03
"P50","Buena",0.393,0.057,0.047
"P50","Ni buena ni mala",0.271,0.087,0.256
"P50","Mala",0.085,0.163,0.168
"P50","Muy mala",0.05,0.654,0.458
"P50","No sabe",0.01,0.01,0.041
"P51","Muy buena",0.022,0.42,0.288
"P51","Buena",0.059,0.261,0.194
"P51","Ni buena ni mala",0.069,0.137,0.192
"P51","Mala",0.14,0.052,0.077
"P51","Muy mala",0.699,0.112,0.229
"P51","No sabe",0.011,0.018,0.02
"P52","Muy buena",0.024,0.424,0.053
"P52","Buena",0.007,0.278,0.099
"P52","Ni buena ni mala",0.087,0.18,0.37
"P52","Mala",0.155,0.058,0.17
"P52","Muy mala",0.71,0.052,0.27
"P52","No sabe",0.017,0.008,0.038
"P53","Muy buena",0.015,0.206,0.215
"P53","Buena",0.023,0.27,0.215
"P53","Ni buena ni mala",0.091,0.261,0.229
"P53","Mala",0.173,0.111,0.089
"P53","Muy mala",0.688,0.147,0.215
"P53","No sabe",0.01,0.005,0.037
"P54","Muy buena",0.164,0.038,0.031
"P54","Buena",0.365,0.049,0.066
"P54","Ni buena ni mala",0.289,0.106,0.261
"P54","Mala",0.074,0.171,0.163
"P54","Muy mala",0.104,0.626,0.444
"P54","No sabe",0.004,0.01,0.035
"P55","Muy buena",0.072,0.058,0.063
"P55","Buena",0.177,0.126,0.129
"P55","Ni buena ni mala",0.366,0.272,0.36
"P55","Mala",0.176,0.171,0.145
"P55","Muy mala",0.161,0.292,0.218
"P55","No sabe",0.048,0.081,0.085
"P57","Siempre",0.332,0.301,0.302
"P57","Casi siempre",0.387,0.414,0.341
"P57","Casi nunca",0.212,0.199,0.228
"P57","Nunca, pero esta es una excepción",0.069,0.086,0.129
"P58","Si",0.619,0.604,0.588
"P58","No",0.381,0.396,0.412
