"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P15","Nunca lo votaría",0.755,0.26,0.842,0.475,0.526,0.413
"P15","No sabe",0.04,0.072,0.038,0.093,0.066,0.142
"P16","Lo votaría",0.035,0.378,0.01,0.074,0.053,0.074
"P16","Puede que lo vote",0.081,0.42,0.04,0.212,0.186,0.199
"P16","Nunca lo votaría",0.844,0.166,0.935,0.594,0.667,0.542
"P16","No sabe",0.04,0.036,0.015,0.12,0.094,0.185
"P17","La votaría",0.084,0.759,0.023,0.249,0.338,0.393
"P17","Puede que la vote",0.045,0.116,0.052,0.236,0.094,0.098
"P17","Nunca la votaría",0.86,0.104,0.913,0.415,0.544,0.413
"P17","No sabe",0.011,0.021,0.012,0.1,0.024,0.096
"P18","Lo votaría",0.431,0.075,0.052,0.039,0.054,0.037
"P18","Puede que lo vote",0.368,0.076,0.265,0.192,0.217,0.233
"P18","Nunca lo votaría",0.165,0.805,0.639,0.619,0.671,0.549
"P18","No sabe",0.036,0.044,0.044,0.15,0.058,0.181
"P19","Lo votaría",0.138,0.019,0.026,0.086,0.097,0.044
"P19","Puede que lo vote",0.304,0.157,0.185,0.197,0.174,0.211
"P19","Nunca lo votaría",0.48,0.673,0.699,0.597,0.623,0.48
"P19","No sabe",0.078,0.151,0.09,0.12,0.106,0.265
"P20","La votaría",0.483,0.066,0.355,0.092,0.287,0.185
"P20","Puede que la vote",0.257,0.055,0.341,0.095,0.111,0.158
"P20","Nunca la votaría",0.222,0.822,0.268,0.738,0.575,0.494
"P20","No sabe",0.038,0.057,0.036,0.075,0.027,0.163
"P21","Lo votaría",0.102,0.018,0.709,0.051,0.037,0.059
"P21","Puede que lo vote",0.323,0.077,0.224,0.105,0.178,0.138
"P21","Nunca lo votaría",0.523,0.838,0.056,0.833,0.733,0.645
"P21","No sabe",0.052,0.067,0.011,0.011,0.052,0.158
"P22","La votaría",0.286,0.035,0.142,0.037,0.057,0.067
"P22","Puede que la vote",0.357,0.056,0.3,0.2,0.187,0.158
"P22","Nunca la votaría",0.315,0.834,0.491,0.661,0.673,0.601
"P22","No sabe",0.042,0.075,0.067,0.102,0.083,0.174
"P23","Lo votaría",0.046,0.206,0.011,0.037,0.073,0.037
"P23","Puede que lo vote",0.095,0.396,0.067,0.304,0.218,0.254
"P23","Nunca lo votaría",0.819,0.339,0.889,0.59,0.635,0.553
"P23","No sabe",0.04,0.059,0.033,0.069,0.074,0.156
"P24","Lo votaría",0.086,0.035,0.012,0.021,0.054,0.032
"P24","Puede que lo vote",0.281,0.101,0.12,0.174,0.155,0.138
"P24","Nunca lo votaría",0.569,0.745,0.787,0.746,0.674,0.613
"P24","No sabe",0.064,0.119,0.081,0.059,0.117,0.217
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.078,0.741,0.023,0.361,0.387,0.386
"P26","Alberto Fernández por el Frente de Todos",0.015,0.139,0.002,0.03,0.007,0.014
"P26","Mauricio Macri por Juntos por el cambio",0.299,0.032,0.124,0.003,0.132,0.121
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.282,0.024,0.023,0.023,0.03,0.058
"P26","Patricia Bullrich por Juntos por el Cambio",0.234,0.028,0.166,0.069,0.195,0.123
"P26","Facundo Manes por Juntos por el Cambio",0.043,0.014,0.026,0.103,0.106,0.033
"P26","Javier Milei por los liberales libertarios",0.01,0.004,0.626,0.018,0.009,0.03
"P26","Nicolás del Caño por la izquierda",0,0.001,0,0.389,0.003,0.008
"P26","Aún no lo tengo decidido",0.039,0.017,0.01,0.004,0.131,0.227
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.388,0.042,0.043,0.023,0.033,0.038
"P27","Patricia Bullrich por Juntos por el Cambio",0.425,0.05,0.225,0.073,0.298,0.194
"P27","Facundo Manes por Juntos por el Cambio",0.039,0.013,0.019,0.07,0.092,0.032
"P27","Alberto Fernández por el Frente de Todos",0.015,0.393,0.003,0.095,0.044,0.073
"P27","Sergio Massa por el Frente de Todos",0.061,0.42,0.016,0.12,0.218,0.232
"P27","Javier Milei por los liberales libertarios",0.014,0.002,0.662,0.053,0.008,0.034
"P27","Nicolás del Caño por la izquierda",0.012,0.004,0.016,0.514,0.012,0.008
"P27","Otros candidatos",0.02,0.04,0.003,0.029,0.238,0.058
"P27","Aún no lo tengo decidido",0.026,0.036,0.013,0.023,0.057,0.331
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.126,0.833,0.031,0.31,0.347,0.384
"P28","Mauricio Macri por Juntos por el Cambio",0.646,0.066,0.147,0.019,0.211,0.161
"P28","Javier Milei por los liberales libertarios",0.054,0.002,0.798,0.053,0.013,0.031
"P28","Nicolás del Caño por la izquierda",0.01,0.014,0,0.572,0.006,0.017
"P28","Otro candidato",0.098,0.029,0.008,0,0.35,0.027
"P28","Aún no lo tengo decidido",0.066,0.056,0.016,0.046,0.073,0.38
"P32","Sergio Massa presidente por el Frente de Todos",0.099,0.677,0.015,0.162,0.191,0.248
"P32","Patricia Bullrich por Juntos por el Cambio",0.698,0.099,0.242,0.112,0.277,0.162
"P32","Javier Milei por los liberales libertarios",0.04,0.006,0.719,0.054,0.011,0.029
"P32","Nicolás del Caño por la izquierda",0.021,0.017,0,0.607,0.01,0.038
"P32","Otro candidato",0.096,0.094,0.013,0.005,0.46,0.043
"P32","Aún no lo tengo decidido",0.046,0.107,0.011,0.06,0.051,0.48
"P34","Sergio Massa presidente por el Frente de Todos",0.118,0.669,0.018,0.153,0.246,0.267
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.749,0.093,0.057,0.097,0.088,0.107
"P34","Javier Milei por los liberales libertarios",0.04,0.022,0.889,0.107,0.028,0.03
"P34","Nicolás del Caño por la izquierda",0.006,0.011,0,0.537,0.027,0.003
"P34","Otro candidato",0.055,0.105,0.016,0.047,0.539,0.109
"P34","Aún no lo tengo decidido",0.032,0.1,0.02,0.059,0.072,0.484
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.134,0.832,0.033,0.375,0.362,0.393
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.749,0.084,0.043,0.061,0.099,0.102
"P36","Javier Milei por los liberales libertarios",0.052,0.018,0.892,0.048,0.046,0.036
"P36","Nicolás del Caño por la izquierda",0.003,0.003,0.006,0.483,0.006,0.01
"P36","Otro candidato",0.042,0.016,0.013,0.029,0.442,0.113
"P36","Aún no lo tengo decidido",0.02,0.047,0.013,0.004,0.045,0.346
"P37","Sergio Massa presidente por el Frente de Todos",0.108,0.703,0.013,0.213,0.229,0.309
"P37","Mauricio Macri por Juntos por el Cambio",0.681,0.066,0.168,0.019,0.205,0.224
"P37","Javier Milei por los liberales libertarios",0.067,0.026,0.786,0.081,0.015,0.058
"P37","Nicolás del Caño por la izquierda",0.009,0.009,0.001,0.546,0.015,0.001
"P37","Otro candidato",0.091,0.104,0.015,0.042,0.441,0.091
"P37","Aún no lo tengo decidido",0.044,0.092,0.017,0.099,0.095,0.317
"P38","Alberto Fernández por el Frente de Todos",0.092,0.81,0.012,0.093,0.097,0.159
"P38","Mauricio Macri por Juntos por el Cambio",0.685,0.078,0.171,0.02,0.233,0.221
"P38","Javier Milei por los liberales libertarios",0.056,0.011,0.78,0.068,0.013,0.037
"P38","Nicolás del Caño por la izquierda",0.012,0.013,0,0.73,0.021,0.007
"P38","Otro candidato",0.11,0.044,0.014,0.07,0.557,0.134
"P38","Aún no lo tengo decidido",0.045,0.044,0.023,0.019,0.079,0.442
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.138,0.869,0.049,0.567,0.415,0.453
"P39","Mauricio Macri por Juntos por el Cambio",0.751,0.078,0.565,0.128,0.373,0.268
"P39","No sabe",0.111,0.053,0.386,0.305,0.212,0.279
"P40","Alberto Fernández por el Frente de Todos",0.092,0.874,0.051,0.321,0.192,0.278
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.857,0.059,0.42,0.182,0.303,0.178
"P40","No sabe",0.051,0.067,0.529,0.497,0.505,0.544
"P41","Sergio Massa presidente por el Frente de Todos",0.115,0.757,0.051,0.486,0.341,0.37
"P41","Patricia Bullrich por Juntos por el Cambio",0.784,0.077,0.695,0.154,0.39,0.232
"P41","No sabe",0.101,0.166,0.254,0.36,0.269,0.398
"P42","Sergio Massa presidente por el Frente de Todos",0.108,0.769,0.054,0.551,0.369,0.38
"P42","Mauricio Macri por Juntos por el Cambio",0.797,0.084,0.656,0.095,0.369,0.241
"P42","No sabe",0.095,0.147,0.29,0.354,0.262,0.379
"P43","Sergio Massa presidente por el Frente de Todos",0.113,0.734,0.026,0.528,0.372,0.404
"P43","Javier Milei por los liberales libertarios",0.441,0.068,0.89,0.161,0.212,0.116
"P43","No sabe",0.446,0.198,0.084,0.311,0.416,0.48
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.671,0.168,0.041,0.248,0.216,0.136
"P44","Javier Milei por los liberales libertarios",0.164,0.064,0.893,0.093,0.132,0.102
"P44","No sabe",0.165,0.768,0.066,0.659,0.652,0.762
"P45","Muy buena",0.061,0.154,0.007,0.008,0.027,0.037
"P45","Buena",0.054,0.354,0.067,0.051,0.115,0.148
"P45","Ni buena ni mala",0.083,0.352,0.063,0.432,0.268,0.302
"P45","Mala",0.124,0.073,0.078,0.16,0.18,0.148
"P45","Muy mala",0.666,0.055,0.784,0.346,0.39,0.326
"P45","No sabe",0.012,0.012,0.001,0.003,0.02,0.039
"P46","Muy buena",0.011,0.249,0.007,0.062,0.007,0.015
"P46","Buena",0.055,0.301,0.011,0.078,0.117,0.132
"P46","Ni buena ni mala",0.095,0.306,0.058,0.288,0.226,0.35
"P46","Mala",0.112,0.076,0.082,0.198,0.181,0.145
"P46","Muy mala",0.725,0.067,0.833,0.306,0.463,0.322
"P46","No sabe",0.002,0.001,0.009,0.068,0.006,0.036
"P47","Muy buena",0.061,0.63,0.023,0.208,0.331,0.371
"P47","Buena",0.028,0.182,0.008,0.144,0.065,0.079
"P47","Ni buena ni mala",0.045,0.077,0.044,0.218,0.068,0.094
"P47","Mala",0.079,0.033,0.047,0.096,0.072,0.111
"P47","Muy mala",0.783,0.077,0.874,0.275,0.462,0.342
"P47","No sabe",0.004,0.001,0.004,0.059,0.002,0.003
"P48","Muy buena",0.317,0.06,0.15,0.019,0.151,0.141
"P48","Buena",0.32,0.061,0.211,0.018,0.116,0.078
"P48","Ni buena ni mala",0.148,0.074,0.279,0.039,0.105,0.144
"P48","Mala",0.07,0.199,0.123,0.308,0.167,0.194
"P48","Muy mala",0.144,0.6,0.236,0.546,0.457,0.421
"P48","No sabe",0.001,0.006,0.001,0.07,0.004,0.022
"P49","Muy buena",0.342,0.038,0.053,0,0.044,0.035
"P49","Buena",0.422,0.072,0.153,0.079,0.124,0.123
"P49","Ni buena ni mala",0.135,0.153,0.271,0.116,0.27,0.289
"P49","Mala",0.032,0.238,0.187,0.36,0.165,0.201
"P49","Muy mala",0.066,0.479,0.31,0.386,0.385,0.316
"P49","No sabe",0.003,0.02,0.026,0.059,0.012,0.036
"P50","Muy buena",0.077,0.142,0.008,0.159,0.08,0.088
"P50","Buena",0.071,0.318,0.072,0.063,0.192,0.213
"P50","Ni buena ni mala",0.144,0.328,0.066,0.277,0.242,0.278
"P50","Mala",0.178,0.078,0.153,0.215,0.139,0.124
"P50","Muy mala",0.515,0.117,0.691,0.227,0.328,0.257
"P50","No sabe",0.015,0.017,0.01,0.059,0.019,0.04
"P51","Muy buena",0.431,0.046,0.353,0.142,0.192,0.173
"P51","Buena",0.257,0.076,0.27,0.008,0.133,0.09
"P51","Ni buena ni mala",0.145,0.096,0.162,0.073,0.117,0.14
"P51","Mala",0.051,0.144,0.057,0.068,0.076,0.145
"P51","Muy mala",0.113,0.631,0.141,0.645,0.459,0.407
"P51","No sabe",0.003,0.007,0.017,0.064,0.023,0.045
"P52","Muy buena",0.093,0.03,0.591,0.063,0.03,0.025
"P52","Buena",0.206,0.026,0.248,0.016,0.086,0.089
"P52","Ni buena ni mala",0.386,0.16,0.09,0.012,0.217,0.216
"P52","Mala",0.146,0.169,0.027,0.145,0.129,0.171
"P52","Muy mala",0.159,0.596,0.042,0.7,0.514,0.431
"P52","No sabe",0.01,0.019,0.002,0.064,0.024,0.068
"P53","Muy buena",0.339,0.02,0.145,0.064,0.076,0.078
"P53","Buena",0.314,0.041,0.216,0.011,0.135,0.146
"P53","Ni buena ni mala",0.196,0.141,0.268,0.128,0.187,0.212
"P53","Mala",0.045,0.155,0.139,0.367,0.128,0.129
"P53","Muy mala",0.104,0.615,0.226,0.419,0.468,0.37
"P53","No sabe",0.002,0.028,0.006,0.011,0.006,0.065
"P54","Muy buena",0.056,0.151,0.036,0.094,0.065,0.064
"P54","Buena",0.097,0.355,0.019,0.109,0.15,0.2
"P54","Ni buena ni mala",0.138,0.284,0.118,0.276,0.305,0.299
"P54","Mala",0.176,0.078,0.16,0.173,0.14,0.109
"P54","Muy mala",0.529,0.116,0.653,0.289,0.334,0.286
"P54","No sabe",0.004,0.016,0.014,0.059,0.006,0.042
"P55","Muy buena",0.08,0.037,0.04,0.132,0.088,0.077
"P55","Buena",0.211,0.172,0.063,0.124,0.115,0.152
"P55","Ni buena ni mala",0.347,0.343,0.279,0.262,0.3,0.394
"P55","Mala",0.167,0.177,0.18,0.178,0.155,0.11
"P55","Muy mala",0.172,0.19,0.336,0.221,0.284,0.151
"P55","No sabe",0.023,0.081,0.102,0.083,0.058,0.116
"P57","Siempre",0.316,0.282,0.308,0.427,0.323,0.299
"P57","Casi siempre",0.426,0.372,0.389,0.379,0.307,0.387
"P57","Casi nunca",0.184,0.245,0.206,0.142,0.273,0.188
"P57","Nunca, pero esta es una excepción",0.074,0.101,0.097,0.052,0.097,0.126
"P58","Si",0.58,0.626,0.602,0.725,0.631,0.561
"P58","No",0.42,0.374,0.398,0.275,0.369,0.439
