"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P15","No sabe",0.073,0.023,0.044,0.172,0.07,0.144
"P16","Lo votaría",0.269,0.007,0.014,0.103,0.1,0.085
"P16","Puede que lo vote",0.427,0.014,0.037,0.22,0.087,0.118
"P16","Nunca lo votaría",0.217,0.96,0.934,0.542,0.767,0.602
"P16","No sabe",0.087,0.019,0.015,0.135,0.046,0.195
"P17","La votaría",0.814,0.013,0.016,0.115,0.068,0.12
"P17","Puede que la vote",0.125,0.016,0.035,0.236,0.102,0.148
"P17","Nunca la votaría",0.048,0.966,0.937,0.476,0.789,0.599
"P17","No sabe",0.013,0.005,0.012,0.173,0.041,0.133
"P18","Lo votaría",0.069,0.303,0.06,0.101,0.239,0.133
"P18","Puede que lo vote",0.056,0.425,0.273,0.12,0.294,0.278
"P18","Nunca lo votaría",0.836,0.24,0.619,0.599,0.408,0.343
"P18","No sabe",0.039,0.032,0.048,0.18,0.059,0.246
"P19","Lo votaría",0.025,0.092,0.037,0.154,0.175,0.063
"P19","Puede que lo vote",0.157,0.256,0.212,0.133,0.267,0.22
"P19","Nunca lo votaría",0.685,0.578,0.651,0.499,0.46,0.394
"P19","No sabe",0.133,0.074,0.1,0.214,0.098,0.323
"P20","La votaría",0.03,0.621,0.323,0.154,0.257,0.216
"P20","Puede que la vote",0.045,0.243,0.376,0.027,0.243,0.2
"P20","Nunca la votaría",0.884,0.116,0.268,0.662,0.435,0.362
"P20","No sabe",0.041,0.02,0.033,0.157,0.065,0.222
"P21","Lo votaría",0.023,0.127,0.772,0.076,0.037,0.092
"P21","Puede que lo vote",0.037,0.386,0.182,0.194,0.257,0.2
"P21","Nunca lo votaría",0.897,0.438,0.032,0.711,0.63,0.483
"P21","No sabe",0.043,0.049,0.014,0.019,0.076,0.225
"P22","La votaría",0.029,0.28,0.132,0.082,0.117,0.096
"P22","Puede que la vote",0.028,0.417,0.287,0.234,0.259,0.189
"P22","Nunca la votaría",0.884,0.261,0.501,0.556,0.538,0.484
"P22","No sabe",0.059,0.042,0.08,0.128,0.086,0.231
"P23","Lo votaría",0.169,0.028,0.01,0.009,0.076,0.025
"P23","Puede que lo vote",0.433,0.053,0.054,0.21,0.135,0.15
"P23","Nunca lo votaría",0.327,0.899,0.893,0.612,0.741,0.644
"P23","No sabe",0.071,0.02,0.043,0.169,0.048,0.181
"P24","Lo votaría",0.033,0.064,0.015,0.003,0.088,0.052
"P24","Puede que lo vote",0.096,0.234,0.137,0.183,0.246,0.195
"P24","Nunca lo votaría",0.776,0.634,0.761,0.566,0.535,0.494
"P24","No sabe",0.095,0.068,0.087,0.248,0.131,0.259
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.847,0.01,0.011,0.056,0.066,0.091
"P26","Alberto Fernández por el Frente de Todos",0.071,0.002,0.003,0.119,0.048,0.069
"P26","Mauricio Macri por Juntos por el cambio",0.018,0.484,0.038,0,0.015,0.037
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.133,0.039,0.046,0.267,0.196
"P26","Patricia Bullrich por Juntos por el Cambio",0.005,0.31,0.148,0.075,0.225,0.17
"P26","Facundo Manes por Juntos por el Cambio",0.012,0.027,0.043,0.08,0.17,0.068
"P26","Javier Milei por los liberales libertarios",0.007,0.011,0.698,0.027,0.018,0.06
"P26","Nicolás del Caño por la izquierda",0.001,0,0.005,0.433,0.002,0.009
"P26","Aún no lo tengo decidido",0.018,0.023,0.015,0.164,0.189,0.3
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.249,0.048,0.056,0.245,0.173
"P27","Patricia Bullrich por Juntos por el Cambio",0.026,0.628,0.149,0.07,0.221,0.177
"P27","Facundo Manes por Juntos por el Cambio",0.017,0.031,0.024,0.08,0.132,0.039
"P27","Alberto Fernández por el Frente de Todos",0.266,0.006,0.005,0.096,0.049,0.123
"P27","Sergio Massa por el Frente de Todos",0.45,0.009,0.011,0.034,0.133,0.078
"P27","Javier Milei por los liberales libertarios",0.01,0.03,0.728,0.013,0.023,0.048
"P27","Nicolás del Caño por la izquierda",0.018,0.007,0.019,0.452,0.012,0.032
"P27","Otros candidatos",0.082,0.015,0.006,0.115,0.15,0.074
"P27","Aún no lo tengo decidido",0.094,0.025,0.01,0.084,0.035,0.256
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.1,0.611,0.056,0.088,0.301,0.177
"P30","Alberto Fernández por el Frente de Todos",0.538,0.051,0.002,0.103,0.073,0.122
"P30","Javier Milei por los liberales libertarios",0.027,0.152,0.911,0.004,0.025,0.048
"P30","Nicolás del Caño por la izquierda",0.033,0.002,0.007,0.698,0,0.017
"P30","Otro candidato",0.143,0.104,0.007,0.027,0.558,0.103
"P30","Aún no lo tengo decidido",0.159,0.08,0.017,0.08,0.043,0.533
"P32","Sergio Massa presidente por el Frente de Todos",0.608,0.034,0.008,0.049,0.176,0.124
"P32","Patricia Bullrich por Juntos por el Cambio",0.046,0.787,0.198,0.098,0.315,0.245
"P32","Javier Milei por los liberales libertarios",0.02,0.076,0.749,0.019,0.037,0.063
"P32","Nicolás del Caño por la izquierda",0.034,0.004,0.006,0.667,0.007,0.036
"P32","Otro candidato",0.146,0.052,0.016,0.145,0.398,0.131
"P32","Aún no lo tengo decidido",0.146,0.047,0.023,0.022,0.067,0.401
"P34","Sergio Massa presidente por el Frente de Todos",0.608,0.054,0.015,0.102,0.172,0.164
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.076,0.623,0.062,0.098,0.32,0.209
"P34","Javier Milei por los liberales libertarios",0.03,0.148,0.881,0.004,0.019,0.073
"P34","Nicolás del Caño por la izquierda",0.025,0.002,0.002,0.56,0.029,0.004
"P34","Otro candidato",0.131,0.112,0.009,0.059,0.411,0.178
"P34","Aún no lo tengo decidido",0.13,0.061,0.031,0.177,0.049,0.372
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.887,0.051,0.006,0.065,0.107,0.179
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.059,0.627,0.054,0.106,0.329,0.193
"P36","Javier Milei por los liberales libertarios",0.007,0.175,0.897,0.016,0.032,0.07
"P36","Nicolás del Caño por la izquierda",0.004,0.003,0.007,0.591,0.01,0.019
"P36","Otro candidato",0.012,0.091,0.015,0.1,0.474,0.187
"P36","Aún no lo tengo decidido",0.031,0.053,0.021,0.122,0.048,0.352
"P37","Sergio Massa presidente por el Frente de Todos",0.667,0.017,0.015,0.06,0.163,0.169
"P37","Mauricio Macri por Juntos por el Cambio",0.029,0.886,0.059,0.097,0.117,0.145
"P37","Javier Milei por los liberales libertarios",0.038,0.053,0.877,0.004,0.052,0.11
"P37","Nicolás del Caño por la izquierda",0.018,0.003,0.008,0.645,0.013,0.002
"P37","Otro candidato",0.153,0.02,0.018,0.049,0.558,0.163
"P37","Aún no lo tengo decidido",0.095,0.021,0.023,0.145,0.097,0.411
"P38","Alberto Fernández por el Frente de Todos",0.633,0.007,0.008,0.13,0.105,0.134
"P38","Mauricio Macri por Juntos por el Cambio",0.025,0.921,0.053,0.012,0.127,0.131
"P38","Javier Milei por los liberales libertarios",0.028,0.035,0.89,0.005,0.043,0.085
"P38","Nicolás del Caño por la izquierda",0.036,0.002,0.003,0.789,0.013,0.005
"P38","Otro candidato",0.174,0.02,0.023,0.03,0.624,0.18
"P38","Aún no lo tengo decidido",0.104,0.015,0.023,0.034,0.088,0.465
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.931,0.044,0.027,0.443,0.123,0.192
"P39","Mauricio Macri por Juntos por el Cambio",0.033,0.945,0.518,0.18,0.362,0.26
"P39","No sabe",0.036,0.011,0.455,0.377,0.515,0.548
"P40","Alberto Fernández por el Frente de Todos",0.751,0.022,0.035,0.276,0.109,0.194
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.051,0.812,0.416,0.265,0.597,0.288
"P40","No sabe",0.198,0.166,0.549,0.459,0.294,0.518
"P41","Sergio Massa presidente por el Frente de Todos",0.762,0.022,0.038,0.382,0.181,0.234
"P41","Patricia Bullrich por Juntos por el Cambio",0.033,0.905,0.682,0.135,0.489,0.353
"P41","No sabe",0.205,0.073,0.28,0.483,0.33,0.413
"P42","Sergio Massa presidente por el Frente de Todos",0.785,0.009,0.053,0.456,0.186,0.207
"P42","Mauricio Macri por Juntos por el Cambio",0.043,0.976,0.613,0.119,0.386,0.265
"P42","No sabe",0.172,0.015,0.334,0.425,0.428,0.528
"P43","Sergio Massa presidente por el Frente de Todos",0.775,0.026,0.006,0.527,0.168,0.186
"P43","Javier Milei por los liberales libertarios",0.07,0.521,0.903,0.109,0.272,0.203
"P43","No sabe",0.155,0.453,0.091,0.364,0.56,0.611
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.141,0.533,0.062,0.24,0.543,0.218
"P44","Javier Milei por los liberales libertarios",0.064,0.273,0.873,0.178,0.154,0.19
"P44","No sabe",0.795,0.194,0.065,0.582,0.303,0.592
"P45","Muy buena",0.089,0.042,0.007,0.027,0.066,0.112
"P45","Buena",0.325,0.022,0.075,0.015,0.052,0.063
"P45","Ni buena ni mala",0.425,0.025,0.059,0.346,0.191,0.18
"P45","Mala",0.127,0.1,0.073,0.142,0.165,0.161
"P45","Muy mala",0.021,0.798,0.785,0.47,0.524,0.423
"P45","No sabe",0.013,0.013,0.001,0,0.002,0.061
"P46","Muy buena",0.147,0.001,0.009,0.007,0.034,0.085
"P46","Buena",0.308,0.002,0.013,0.067,0.042,0.051
"P46","Ni buena ni mala",0.38,0.04,0.054,0.394,0.155,0.19
"P46","Mala",0.113,0.087,0.092,0.121,0.205,0.16
"P46","Muy mala",0.049,0.866,0.822,0.411,0.561,0.438
"P46","No sabe",0.003,0.004,0.01,0,0.003,0.076
"P47","Muy buena",0.709,0.001,0.014,0.036,0.036,0.1
"P47","Buena",0.172,0.001,0.004,0.165,0.054,0.047
"P47","Ni buena ni mala",0.086,0.012,0.038,0.214,0.095,0.174
"P47","Mala",0.021,0.072,0.04,0.114,0.169,0.172
"P47","Muy mala",0.01,0.908,0.902,0.465,0.643,0.481
"P47","No sabe",0.002,0.006,0.002,0.006,0.003,0.026
"P48","Muy buena",0.065,0.453,0.089,0.016,0.033,0.033
"P48","Buena",0.048,0.336,0.204,0.026,0.143,0.138
"P48","Ni buena ni mala",0.052,0.112,0.31,0.139,0.23,0.246
"P48","Mala",0.177,0.022,0.15,0.273,0.242,0.28
"P48","Muy mala",0.653,0.076,0.246,0.532,0.35,0.247
"P48","No sabe",0.005,0.001,0.001,0.014,0.002,0.056
"P49","Muy buena",0.041,0.268,0.051,0.007,0.199,0.097
"P49","Buena",0.043,0.389,0.184,0.135,0.246,0.171
"P49","Ni buena ni mala",0.127,0.224,0.236,0.135,0.279,0.353
"P49","Mala",0.231,0.07,0.173,0.288,0.115,0.166
"P49","Muy mala",0.541,0.043,0.327,0.435,0.156,0.148
"P49","No sabe",0.017,0.006,0.029,0,0.005,0.065
"P50","Muy buena",0.166,0.039,0.013,0.014,0.098,0.029
"P50","Buena",0.365,0.03,0.053,0.08,0.096,0.086
"P50","Ni buena ni mala",0.304,0.088,0.089,0.349,0.272,0.268
"P50","Mala",0.073,0.17,0.157,0.196,0.174,0.226
"P50","Muy mala",0.078,0.661,0.677,0.274,0.36,0.307
"P50","No sabe",0.014,0.012,0.011,0.087,0,0.084
"P51","Muy buena",0.03,0.532,0.32,0.106,0.177,0.253
"P51","Buena",0.065,0.259,0.284,0.107,0.19,0.096
"P51","Ni buena ni mala",0.075,0.095,0.192,0.083,0.269,0.213
"P51","Mala",0.134,0.029,0.064,0.046,0.103,0.143
"P51","Muy mala",0.674,0.073,0.128,0.658,0.261,0.244
"P51","No sabe",0.022,0.012,0.012,0,0,0.051
"P52","Muy buena",0.028,0.122,0.633,0.093,0.035,0.062
"P52","Buena",0.034,0.214,0.221,0,0.159,0.193
"P52","Ni buena ni mala",0.099,0.388,0.089,0.026,0.335,0.304
"P52","Mala",0.125,0.155,0.026,0.173,0.174,0.174
"P52","Muy mala",0.693,0.1,0.03,0.702,0.283,0.194
"P52","No sabe",0.021,0.021,0.001,0.006,0.014,0.073
"P53","Muy buena",0.014,0.346,0.133,0.11,0.163,0.093
"P53","Buena",0.035,0.345,0.209,0.017,0.173,0.181
"P53","Ni buena ni mala",0.086,0.23,0.273,0.168,0.275,0.305
"P53","Mala",0.158,0.039,0.147,0.267,0.134,0.147
"P53","Muy mala",0.688,0.037,0.225,0.429,0.249,0.199
"P53","No sabe",0.019,0.003,0.013,0.009,0.006,0.075
"P54","Muy buena",0.158,0.045,0.028,0.019,0.04,0.007
"P54","Buena",0.354,0.034,0.021,0.121,0.115,0.107
"P54","Ni buena ni mala",0.331,0.101,0.113,0.226,0.258,0.279
"P54","Mala",0.057,0.184,0.17,0.21,0.187,0.166
"P54","Muy mala",0.088,0.634,0.65,0.424,0.4,0.35
"P54","No sabe",0.012,0.002,0.018,0,0,0.091
"P55","Muy buena",0.045,0.047,0.051,0.117,0.166,0.113
"P55","Buena",0.158,0.151,0.076,0.228,0.179,0.176
"P55","Ni buena ni mala",0.359,0.309,0.299,0.235,0.32,0.351
"P55","Mala",0.181,0.186,0.162,0.136,0.111,0.098
"P55","Muy mala",0.184,0.28,0.305,0.249,0.175,0.091
"P55","No sabe",0.073,0.027,0.107,0.035,0.049,0.171
"P57","Siempre",0.345,0.307,0.295,0.289,0.299,0.243
"P57","Casi siempre",0.359,0.42,0.397,0.507,0.352,0.31
"P57","Casi nunca",0.209,0.213,0.203,0.17,0.21,0.259
"P57","Nunca, pero esta es una excepción",0.087,0.06,0.105,0.034,0.139,0.188
"P58","Si",0.611,0.592,0.615,0.604,0.585,0.605
"P58","No",0.389,0.408,0.385,0.396,0.415,0.395
