"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otros candidatos","Aún no lo tengo decidido"
"P32","Sergio Massa presidente por el Frente de Todos",0.061,0.015,0.086,0.506,0.833,0.009,0.088,0.163,0.151
"P32","Patricia Bullrich por Juntos por el Cambio",0.499,0.849,0.278,0.093,0.029,0.088,0.087,0.041,0.056
"P32","Javier Milei por los liberales libertarios",0.15,0.062,0.136,0.003,0.016,0.855,0.162,0.019,0.046
"P32","Nicolás del Caño por la izquierda",0.025,0,0.064,0.03,0.02,0.005,0.61,0.032,0.054
"P32","Otro candidato",0.185,0.027,0.301,0.165,0.051,0.015,0.016,0.602,0.152
"P32","Aún no lo tengo decidido",0.08,0.047,0.135,0.203,0.051,0.028,0.037,0.143,0.541
"P34","Sergio Massa presidente por el Frente de Todos",0.07,0.055,0.102,0.515,0.797,0.01,0.072,0.273,0.15
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.76,0.455,0.361,0.048,0.078,0.013,0.049,0.042,0.1
"P34","Javier Milei por los liberales libertarios",0.046,0.248,0.106,0.036,0.027,0.935,0.175,0.022,0.051
"P34","Nicolás del Caño por la izquierda",0.011,0.001,0.02,0.019,0.003,0.001,0.641,0.033,0.02
"P34","Otro candidato",0.074,0.164,0.28,0.165,0.056,0.007,0.024,0.49,0.158
"P34","Aún no lo tengo decidido",0.039,0.077,0.131,0.217,0.039,0.034,0.039,0.14,0.521
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.118,0.047,0.17,0.83,0.834,0.021,0.283,0.498,0.396
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.743,0.465,0.345,0.048,0.05,0.005,0.03,0.062,0.073
"P36","Javier Milei por los liberales libertarios",0.044,0.273,0.115,0.005,0.031,0.933,0.218,0.017,0.061
"P36","Nicolás del Caño por la izquierda",0.01,0.008,0.062,0.007,0.005,0.001,0.403,0.025,0.028
"P36","Otro candidato",0.05,0.138,0.207,0.029,0.049,0.019,0.045,0.347,0.11
"P36","Aún no lo tengo decidido",0.035,0.069,0.101,0.081,0.031,0.021,0.021,0.051,0.332
"P37","Sergio Massa presidente por el Frente de Todos",0.061,0.016,0.134,0.566,0.863,0.009,0.042,0.182,0.241
"P37","Mauricio Macri por Juntos por el Cambio",0.578,0.675,0.305,0.025,0.012,0.067,0.026,0.135,0.118
"P37","Javier Milei por los liberales libertarios",0.119,0.166,0.1,0.02,0.025,0.897,0.277,0.018,0.062
"P37","Nicolás del Caño por la izquierda",0.015,0.009,0.007,0.016,0.007,0.006,0.549,0.026,0.012
"P37","Otro candidato",0.162,0.083,0.311,0.187,0.056,0.006,0.028,0.485,0.169
"P37","Aún no lo tengo decidido",0.065,0.051,0.143,0.186,0.037,0.015,0.078,0.154,0.398
"P38","Alberto Fernández por el Frente de Todos",0.052,0.013,0.128,0.829,0.672,0.006,0.019,0.138,0.111
"P38","Mauricio Macri por Juntos por el Cambio",0.581,0.737,0.284,0.036,0.014,0.06,0,0.092,0.063
"P38","Javier Milei por los liberales libertarios",0.099,0.134,0.128,0.003,0.038,0.9,0.207,0.009,0.059
"P38","Nicolás del Caño por la izquierda",0.033,0.008,0.071,0.007,0.021,0.003,0.613,0.038,0.025
"P38","Otro candidato",0.174,0.071,0.293,0.025,0.169,0.013,0.112,0.61,0.203
"P38","Aún no lo tengo decidido",0.061,0.037,0.096,0.1,0.086,0.018,0.049,0.113,0.539
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.09,0.039,0.169,0.912,0.878,0.042,0.411,0.556,0.568
"P39","Mauricio Macri por Juntos por el Cambio",0.646,0.871,0.53,0.03,0.042,0.509,0.168,0.191,0.113
"P39","No sabe",0.264,0.09,0.301,0.058,0.08,0.449,0.421,0.253,0.319
"P40","Alberto Fernández por el Frente de Todos",0.049,0.018,0.077,0.935,0.719,0.037,0.369,0.309,0.333
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.851,0.749,0.665,0.013,0.038,0.35,0.079,0.244,0.127
"P40","No sabe",0.1,0.233,0.258,0.052,0.243,0.613,0.552,0.447,0.54
"P41","Sergio Massa presidente por el Frente de Todos",0.098,0.006,0.2,0.68,0.878,0.037,0.324,0.399,0.376
"P41","Patricia Bullrich por Juntos por el Cambio",0.665,0.954,0.562,0.052,0.019,0.636,0.244,0.129,0.085
"P41","No sabe",0.237,0.04,0.238,0.268,0.103,0.327,0.432,0.472,0.539
"P42","Sergio Massa presidente por el Frente de Todos",0.068,0.016,0.222,0.681,0.898,0.057,0.425,0.395,0.36
"P42","Mauricio Macri por Juntos por el Cambio",0.682,0.916,0.512,0.005,0.044,0.604,0.076,0.246,0.14
"P42","No sabe",0.25,0.068,0.266,0.314,0.058,0.339,0.499,0.359,0.5
"P43","Sergio Massa presidente por el Frente de Todos",0.07,0.007,0.241,0.615,0.88,0.013,0.433,0.494,0.427
"P43","Javier Milei por los liberales libertarios",0.393,0.602,0.423,0.055,0.038,0.917,0.141,0.138,0.078
"P43","No sabe",0.537,0.391,0.336,0.33,0.082,0.07,0.426,0.368,0.495
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.763,0.38,0.507,0.058,0.155,0.028,0.199,0.144,0.161
"P44","Javier Milei por los liberales libertarios",0.14,0.401,0.252,0.046,0.059,0.925,0.111,0.164,0.046
"P44","No sabe",0.097,0.219,0.241,0.896,0.786,0.047,0.69,0.692,0.793
"P45","Muy buena",0.103,0.026,0.026,0.192,0.07,0.007,0.018,0.027,0.05
"P45","Buena",0.016,0.039,0.122,0.369,0.311,0.075,0.038,0.121,0.159
"P45","Ni buena ni mala",0.063,0.034,0.115,0.36,0.442,0.068,0.461,0.323,0.346
"P45","Mala",0.201,0.075,0.147,0.026,0.132,0.055,0.207,0.262,0.163
"P45","Muy mala",0.607,0.823,0.59,0.006,0.034,0.795,0.271,0.22,0.238
"P45","No sabe",0.01,0.003,0,0.047,0.011,0,0.005,0.047,0.044
"P46","Muy buena",0.037,0.004,0.01,0.377,0.08,0.01,0.007,0.024,0.025
"P46","Buena",0.014,0.009,0.077,0.376,0.29,0.011,0.081,0.119,0.129
"P46","Ni buena ni mala",0.1,0.018,0.136,0.218,0.433,0.065,0.298,0.367,0.397
"P46","Mala",0.161,0.077,0.16,0.022,0.137,0.063,0.246,0.268,0.166
"P46","Muy mala",0.688,0.889,0.557,0.004,0.06,0.84,0.277,0.21,0.242
"P46","No sabe",0,0.003,0.06,0.003,0,0.011,0.091,0.012,0.041
"P47","Muy buena",0.039,0.001,0.062,0.673,0.67,0.027,0.15,0.386,0.399
"P47","Buena",0.029,0.012,0.087,0.204,0.136,0.003,0.2,0.082,0.096
"P47","Ni buena ni mala",0.035,0.008,0.075,0.057,0.108,0.039,0.134,0.169,0.225
"P47","Mala",0.158,0.06,0.094,0.031,0.039,0.031,0.148,0.098,0.041
"P47","Muy mala",0.739,0.916,0.647,0.035,0.043,0.899,0.288,0.26,0.239
"P47","No sabe",0,0.003,0.035,0,0.004,0.001,0.08,0.005,0
"P48","Muy buena",0.199,0.41,0.051,0.049,0.052,0.097,0.022,0.041,0.092
"P48","Buena",0.316,0.296,0.213,0.025,0.044,0.193,0.016,0.083,0.072
"P48","Ni buena ni mala",0.215,0.153,0.188,0.064,0.043,0.272,0.178,0.187,0.162
"P48","Mala",0.112,0.049,0.295,0.318,0.177,0.152,0.078,0.192,0.128
"P48","Muy mala",0.157,0.091,0.253,0.533,0.682,0.284,0.613,0.487,0.512
"P48","No sabe",0.001,0.001,0,0.011,0.002,0.002,0.093,0.01,0.034
"P49","Muy buena",0.494,0.161,0.062,0.016,0.035,0.032,0.008,0.016,0.038
"P49","Buena",0.34,0.384,0.411,0.073,0.029,0.13,0.03,0.044,0.078
"P49","Ni buena ni mala",0.115,0.315,0.187,0.156,0.114,0.235,0.164,0.257,0.21
"P49","Mala",0.034,0.075,0.174,0.254,0.245,0.189,0.196,0.207,0.258
"P49","Muy mala",0.017,0.051,0.162,0.442,0.573,0.388,0.523,0.476,0.37
"P49","No sabe",0,0.014,0.004,0.059,0.004,0.026,0.079,0,0.046
"P50","Muy buena",0.062,0.027,0.049,0.092,0.263,0.011,0.002,0.01,0.033
"P50","Buena",0.047,0.049,0.1,0.284,0.45,0.048,0.078,0.119,0.127
"P50","Ni buena ni mala",0.215,0.084,0.189,0.387,0.213,0.054,0.324,0.377,0.462
"P50","Mala",0.221,0.139,0.254,0.115,0.017,0.165,0.227,0.267,0.125
"P50","Muy mala",0.455,0.69,0.408,0.082,0.056,0.708,0.267,0.141,0.197
"P50","No sabe",0,0.011,0,0.04,0.001,0.014,0.102,0.086,0.056
"P51","Muy buena",0.267,0.642,0.163,0.037,0.03,0.268,0.09,0.017,0.019
"P51","Buena",0.282,0.232,0.313,0.042,0.052,0.294,0.072,0.105,0.037
"P51","Ni buena ni mala",0.293,0.019,0.185,0.113,0.079,0.198,0.16,0.17,0.215
"P51","Mala",0.068,0.016,0.085,0.216,0.103,0.072,0.079,0.069,0.234
"P51","Muy mala",0.086,0.083,0.254,0.539,0.721,0.153,0.599,0.598,0.459
"P51","No sabe",0.004,0.008,0,0.053,0.015,0.015,0,0.041,0.036
"P52","Muy buena",0.094,0.156,0.052,0.01,0.02,0.72,0.173,0.046,0.005
"P52","Buena",0.172,0.275,0.2,0.012,0.023,0.188,0.031,0.063,0.078
"P52","Ni buena ni mala",0.444,0.339,0.264,0.211,0.067,0.048,0.089,0.128,0.159
"P52","Mala",0.14,0.128,0.161,0.191,0.124,0.019,0.06,0.161,0.194
"P52","Muy mala",0.135,0.092,0.313,0.514,0.744,0.024,0.647,0.558,0.508
"P52","No sabe",0.015,0.01,0.01,0.062,0.022,0.001,0,0.044,0.056
"P53","Muy buena",0.354,0.258,0.199,0.006,0.017,0.136,0.088,0.08,0.013
"P53","Buena",0.275,0.337,0.195,0.021,0.03,0.176,0.04,0.125,0.137
"P53","Ni buena ni mala",0.214,0.286,0.323,0.186,0.074,0.242,0.19,0.092,0.132
"P53","Mala",0.099,0.064,0.094,0.177,0.167,0.151,0.11,0.157,0.117
"P53","Muy mala",0.054,0.052,0.189,0.564,0.703,0.28,0.563,0.54,0.503
"P53","No sabe",0.004,0.003,0,0.046,0.009,0.015,0.009,0.006,0.098
"P54","Muy buena",0.076,0.029,0.041,0.159,0.16,0.022,0.002,0.048,0.09
"P54","Buena",0.057,0.045,0.136,0.294,0.367,0.017,0.044,0.268,0.228
"P54","Ni buena ni mala",0.183,0.11,0.146,0.361,0.311,0.096,0.354,0.344,0.315
"P54","Mala",0.211,0.155,0.206,0.087,0.047,0.181,0.168,0.163,0.086
"P54","Muy mala",0.47,0.658,0.471,0.064,0.112,0.662,0.352,0.177,0.2
"P54","No sabe",0.003,0.003,0,0.035,0.003,0.022,0.08,0,0.081
"P55","Muy buena",0.11,0.025,0.495,0.029,0.024,0.036,0.08,0.096,0.093
"P55","Buena",0.195,0.135,0.335,0.126,0.168,0.061,0.064,0.174,0.15
"P55","Ni buena ni mala",0.386,0.3,0.066,0.344,0.384,0.288,0.424,0.289,0.353
"P55","Mala",0.147,0.219,0.046,0.141,0.177,0.142,0.103,0.144,0.154
"P55","Muy mala",0.128,0.294,0.053,0.162,0.198,0.344,0.287,0.224,0.136
"P55","No sabe",0.034,0.027,0.005,0.198,0.049,0.129,0.042,0.073,0.114
"P57","Siempre",0.36,0.263,0.342,0.263,0.357,0.325,0.333,0.265,0.29
"P57","Casi siempre",0.381,0.429,0.484,0.335,0.317,0.396,0.403,0.326,0.411
"P57","Casi nunca",0.16,0.249,0.12,0.275,0.229,0.172,0.154,0.265,0.187
"P57","Nunca, pero esta es una excepción",0.099,0.059,0.054,0.127,0.097,0.107,0.11,0.144,0.112
"P58","Si",0.612,0.58,0.599,0.666,0.6,0.612,0.767,0.625,0.505
"P58","No",0.388,0.42,0.401,0.334,0.4,0.388,0.233,0.375,0.495
