"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P17","No sabe",0.021,0.007,0.01
"P18","Lo votaría",0.392,0.283,0.318
"P18","Puede que lo vote",0.321,0.437,0.371
"P18","Nunca lo votaría",0.26,0.238,0.285
"P18","No sabe",0.027,0.042,0.026
"P19","Lo votaría",0.146,0.107,0.104
"P19","Puede que lo vote",0.191,0.343,0.273
"P19","Nunca lo votaría",0.549,0.473,0.561
"P19","No sabe",0.114,0.077,0.062
"P20","La votaría",0.52,0.525,0.506
"P20","Puede que la vote",0.207,0.279,0.232
"P20","Nunca la votaría",0.241,0.171,0.233
"P20","No sabe",0.032,0.025,0.029
"P21","Lo votaría",0.408,0.112,0.056
"P21","Puede que lo vote",0.334,0.604,0.136
"P21","Nunca lo votaría",0.234,0.223,0.767
"P21","No sabe",0.024,0.061,0.041
"P22","La votaría",0.331,0.238,0.225
"P22","Puede que la vote",0.299,0.491,0.349
"P22","Nunca la votaría",0.311,0.214,0.384
"P22","No sabe",0.059,0.057,0.042
"P23","Lo votaría",0.071,0.023,0.041
"P23","Puede que lo vote",0.05,0.105,0.081
"P23","Nunca lo votaría",0.834,0.84,0.858
"P23","No sabe",0.045,0.032,0.02
"P24","Lo votaría",0.095,0.075,0.088
"P24","Puede que lo vote",0.258,0.248,0.248
"P24","Nunca lo votaría",0.566,0.596,0.617
"P24","No sabe",0.081,0.081,0.047
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.054,0.014,0.076
"P26","Alberto Fernández por el Frente de Todos",0,0.005,0.003
"P26","Mauricio Macri por Juntos por el cambio",0.319,0.34,0.344
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.251,0.167,0.202
"P26","Patricia Bullrich por Juntos por el Cambio",0.231,0.324,0.298
"P26","Facundo Manes por Juntos por el Cambio",0.029,0.068,0.043
"P26","Javier Milei por los liberales libertarios",0.092,0.049,0.007
"P26","Nicolás del Caño por la izquierda",0,0.001,0.002
"P26","Aún no lo tengo decidido",0.024,0.032,0.025
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.342,0.248,0.298
"P27","Patricia Bullrich por Juntos por el Cambio",0.384,0.59,0.532
"P27","Facundo Manes por Juntos por el Cambio",0.039,0.064,0.044
"P27","Alberto Fernández por el Frente de Todos",0.028,0.003,0.024
"P27","Sergio Massa por el Frente de Todos",0.033,0.01,0.028
"P27","Javier Milei por los liberales libertarios",0.128,0.031,0.018
"P27","Nicolás del Caño por la izquierda",0,0.014,0.005
"P27","Otros candidatos",0.024,0.015,0.025
"P27","Aún no lo tengo decidido",0.022,0.025,0.026
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.048,0.027,0.067
"P28","Mauricio Macri por Juntos por el Cambio",0.496,0.717,0.709
"P28","Javier Milei por los liberales libertarios",0.26,0.101,0.025
"P28","Nicolás del Caño por la izquierda",0.004,0.002,0.012
"P28","Otro candidato",0.095,0.09,0.131
"P28","Aún no lo tengo decidido",0.097,0.063,0.056
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.457,0.589,0.63
"P30","Alberto Fernández por el Frente de Todos",0.033,0.059,0.071
"P30","Javier Milei por los liberales libertarios",0.303,0.177,0.032
"P30","Nicolás del Caño por la izquierda",0.001,0.004,0.019
"P30","Otro candidato",0.098,0.101,0.165
"P30","Aún no lo tengo decidido",0.108,0.07,0.083
"P32","Sergio Massa presidente por el Frente de Todos",0.018,0.05,0.056
"P32","Patricia Bullrich por Juntos por el Cambio",0.502,0.777,0.743
"P32","Javier Milei por los liberales libertarios",0.271,0.065,0.02
"P32","Nicolás del Caño por la izquierda",0.045,0.002,0.021
"P32","Otro candidato",0.101,0.064,0.105
"P32","Aún no lo tengo decidido",0.063,0.042,0.055
"P34","Sergio Massa presidente por el Frente de Todos",0.047,0.068,0.075
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.46,0.575,0.649
"P34","Javier Milei por los liberales libertarios",0.268,0.184,0.029
"P34","Nicolás del Caño por la izquierda",0,0.001,0.016
"P34","Otro candidato",0.132,0.099,0.17
"P34","Aún no lo tengo decidido",0.093,0.073,0.061
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.048,0.074,0.095
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.442,0.555,0.64
"P36","Javier Milei por los liberales libertarios",0.321,0.225,0.036
"P36","Nicolás del Caño por la izquierda",0,0.002,0.015
"P36","Otro candidato",0.13,0.088,0.156
"P36","Aún no lo tengo decidido",0.059,0.056,0.058
"P37","Sergio Massa presidente por el Frente de Todos",0.043,0.023,0.061
"P37","Mauricio Macri por Juntos por el Cambio",0.539,0.708,0.713
"P37","Javier Milei por los liberales libertarios",0.306,0.115,0.018
"P37","Nicolás del Caño por la izquierda",0.003,0.003,0.017
"P37","Otro candidato",0.096,0.098,0.125
"P37","Aún no lo tengo decidido",0.013,0.053,0.066
"P38","Alberto Fernández por el Frente de Todos",0.034,0.017,0.03
"P38","Mauricio Macri por Juntos por el Cambio",0.545,0.747,0.743
"P38","Javier Milei por los liberales libertarios",0.244,0.095,0.018
"P38","Nicolás del Caño por la izquierda",0.031,0.004,0.018
"P38","Otro candidato",0.134,0.094,0.144
"P38","Aún no lo tengo decidido",0.012,0.043,0.047
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.047,0.056,0.098
"P39","Mauricio Macri por Juntos por el Cambio",0.748,0.859,0.79
"P39","No sabe",0.205,0.085,0.112
"P40","Alberto Fernández por el Frente de Todos",0.069,0.035,0.048
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.637,0.81,0.783
"P40","No sabe",0.294,0.155,0.169
"P41","Sergio Massa presidente por el Frente de Todos",0.073,0.018,0.054
"P41","Patricia Bullrich por Juntos por el Cambio",0.679,0.901,0.836
"P41","No sabe",0.248,0.081,0.11
"P42","Sergio Massa presidente por el Frente de Todos",0.011,0.036,0.071
"P42","Mauricio Macri por Juntos por el Cambio",0.837,0.894,0.835
"P42","No sabe",0.152,0.07,0.094
"P43","Sergio Massa presidente por el Frente de Todos",0.012,0.026,0.065
"P43","Javier Milei por los liberales libertarios",0.643,0.664,0.332
"P43","No sabe",0.345,0.31,0.603
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.431,0.51,0.617
"P44","Javier Milei por los liberales libertarios",0.448,0.357,0.103
"P44","No sabe",0.121,0.133,0.28
"P45","Muy buena",0.075,0.041,0.058
"P45","Buena",0.039,0.053,0.009
"P45","Ni buena ni mala",0.084,0.049,0.042
"P45","Mala",0.118,0.077,0.141
"P45","Muy mala",0.652,0.773,0.742
"P45","No sabe",0.032,0.007,0.008
"P46","Muy buena",0.034,0,0.032
"P46","Buena",0,0.004,0.005
"P46","Ni buena ni mala",0.113,0.042,0.029
"P46","Mala",0.157,0.111,0.095
"P46","Muy mala",0.694,0.839,0.837
"P46","No sabe",0.002,0.004,0.002
"P47","Muy buena",0.009,0.01,0.05
"P47","Buena",0.032,0.003,0.005
"P47","Ni buena ni mala",0.069,0.004,0.022
"P47","Mala",0.153,0.075,0.058
"P47","Muy mala",0.737,0.906,0.862
"P47","No sabe",0,0.002,0.003
"P48","Muy buena",0.348,0.358,0.348
"P48","Buena",0.21,0.323,0.302
"P48","Ni buena ni mala",0.152,0.172,0.144
"P48","Mala",0.136,0.051,0.059
"P48","Muy mala",0.154,0.094,0.146
"P48","No sabe",0,0.002,0.001
"P49","Muy buena",0.449,0.194,0.27
"P49","Buena",0.254,0.385,0.383
"P49","Ni buena ni mala",0.117,0.303,0.229
"P49","Mala",0.115,0.063,0.067
"P49","Muy mala",0.03,0.045,0.048
"P49","No sabe",0.035,0.01,0.003
"P50","Muy buena",0.077,0.024,0.061
"P50","Buena",0.018,0.038,0.057
"P50","Ni buena ni mala",0.098,0.107,0.092
"P50","Mala",0.266,0.181,0.151
"P50","Muy mala",0.478,0.65,0.618
"P50","No sabe",0.063,0,0.021
"P51","Muy buena",0.54,0.444,0.467
"P51","Buena",0.164,0.318,0.267
"P51","Ni buena ni mala",0.122,0.12,0.133
"P51","Mala",0.026,0.039,0.046
"P51","Muy mala",0.085,0.074,0.076
"P51","No sabe",0.063,0.005,0.011
"P52","Muy buena",0.308,0.092,0.098
"P52","Buena",0.291,0.283,0.137
"P52","Ni buena ni mala",0.208,0.515,0.299
"P52","Mala",0.082,0.047,0.242
"P52","Muy mala",0.072,0.052,0.213
"P52","No sabe",0.039,0.011,0.011
"P53","Muy buena",0.323,0.318,0.291
"P53","Buena",0.366,0.353,0.309
"P53","Ni buena ni mala",0.218,0.271,0.206
"P53","Mala",0.029,0.034,0.098
"P53","Muy mala",0.052,0.023,0.089
"P53","No sabe",0.012,0.001,0.007
"P54","Muy buena",0.028,0.05,0.049
"P54","Buena",0.044,0.066,0.021
"P54","Ni buena ni mala",0.152,0.127,0.102
"P54","Mala",0.203,0.181,0.168
"P54","Muy mala",0.568,0.575,0.656
"P54","No sabe",0.005,0.001,0.004
"P55","Muy buena",0.069,0.058,0.098
"P55","Buena",0.148,0.171,0.187
"P55","Ni buena ni mala",0.32,0.287,0.289
"P55","Mala",0.159,0.18,0.186
"P55","Muy mala",0.189,0.286,0.223
"P55","No sabe",0.115,0.018,0.017
"P57","Siempre",0.306,0.254,0.306
"P57","Casi siempre",0.345,0.428,0.432
"P57","Casi nunca",0.191,0.277,0.199
"P57","Nunca, pero esta es una excepción",0.158,0.041,0.063
"P58","Si",0.574,0.659,0.575
"P58","No",0.426,0.341,0.425
