"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"CORTA_PRESIDENTE","No",0.813,0.823,0.807,0.656,0.66,0.801
"CORTA_GOBERNADOR","Si",0.327,0.222,0.254,0.19,0.259,0.179
"CORTA_GOBERNADOR","No",0.673,0.778,0.746,0.81,0.741,0.821
"P13_imputada","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.2,0.355,0.597,0.545,0.483,0.279
"P13_imputada","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.323,0.306,0.144,0.143,0.154,0.276
"P13_imputada","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.439,0.269,0.252,0.181,0.208,0.215
"P13_imputada","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.016,0.031,0.003,0.042,0.121,0.027
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.009,0.022,0.003,0,0.034,0.067
"P13_imputada","En blanco",0.013,0.017,0.001,0.089,0,0.136
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.21,0.375,0.686,0.468,0.575,0.235
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.296,0.309,0.142,0.064,0.078,0.184
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.472,0.293,0.166,0.37,0.219,0.402
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.014,0.003,0.003,0.024,0.094,0.017
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.004,0.008,0.003,0,0.034,0.026
"PRESIDENTE_imputada","En blanco",0.004,0.012,0,0.074,0,0.136
"GOBERNADOR_imputada","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.237,0.349,0.678,0.564,0.476,0.245
"GOBERNADOR_imputada","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.466,0.436,0.204,0.06,0.309,0.31
"GOBERNADOR_imputada","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.262,0.187,0.115,0.188,0.107,0.285
"GOBERNADOR_imputada","En blanco",0.035,0.028,0.003,0.188,0.108,0.16
