"var","categoria","Unidos para Cambiar misiones","Juntos Avancemos","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","En blanco","No sabe"
"P23","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.05,0.005,0.014,0.03,0,0.013,0.099
"P23","No sabe",0.044,0.027,0.04,0.047,0.426,0.187,0.19
"P24","Totalmente seguro.",0.705,0.697,0.815,0.923,0.188,0.516,0.231
"P24","Bastante seguro",0.127,0.169,0.13,0.039,0.31,0.139,0.073
"P24","Algo seguro",0.105,0.083,0.025,0.019,0.441,0.129,0.275
"P24","Para nada seguro",0.063,0.051,0.03,0.019,0.061,0.216,0.421
"P25","Tiene Decidido que va a ir a votar.",0.914,0.904,0.91,0.861,0.733,0.922,0.785
"P25","Tiene dudas sobre si va a ir a  votar",0.073,0.069,0.08,0,0.206,0.013,0.078
"P25","Tiene Decidido que no va a ir a votar",0.013,0.027,0.01,0.139,0.061,0.065,0.137
"P26","La votaría",0.888,0.328,0.242,0.292,0.527,0.447,0.391
"P26","Puede que la vote",0.051,0.105,0.061,0.136,0.265,0.12,0.114
"P26","Nunca la votaría",0.051,0.532,0.685,0.501,0.208,0.294,0.304
"P26","No sabe",0.01,0.035,0.012,0.071,0,0.139,0.191
"P27","La votaría",0.266,0.592,0.141,0.019,0.082,0.193,0.12
"P27","Puede que la vote",0.082,0.121,0.283,0.212,0.146,0.067,0.124
"P27","Nunca la votaría",0.631,0.245,0.518,0.758,0.772,0.719,0.418
"P27","No sabe",0.021,0.042,0.058,0.011,0,0.021,0.338
"P28","La votaría",0.078,0.271,0.655,0.431,0.146,0.135,0.236
"P28","Puede que la vote",0.106,0.145,0.127,0.079,0,0.222,0.138
"P28","Nunca la votaría",0.784,0.571,0.161,0.49,0.854,0.628,0.495
"P28","No sabe",0.032,0.013,0.057,0,0,0.015,0.131
"P29","Si",0.495,0.453,0.376,0.493,0.443,0.403,0.175
"P29","No",0.505,0.547,0.624,0.507,0.557,0.597,0.825
"PRESIDENTE","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.711,0.222,0.184,0.314,0,0.288,0.068
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.134,0.589,0.079,0.018,0.01,0.125,0.05
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.129,0.16,0.711,0.421,0.512,0.195,0.315
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.004,0.009,0.009,0.247,0.028,0.01,0.038
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0,0.007,0,0.45,0,0.011
"PRESIDENTE","En blanco",0.001,0.011,0.007,0,0,0.334,0.01
"PRESIDENTE","No sabe",0.021,0.009,0.003,0,0,0.048,0.508
"GOBERNADOR","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.716,0.216,0.233,0.176,0.206,0.227,0.103
"GOBERNADOR","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.139,0.655,0.317,0.333,0.192,0.183,0.22
"GOBERNADOR","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.099,0.118,0.385,0.246,0.287,0.207,0.164
"GOBERNADOR","En blanco",0.008,0.005,0.047,0.2,0.315,0.356,0.039
"GOBERNADOR","No sabe",0.038,0.006,0.018,0.045,0,0.027,0.474
"CORTA_PRESIDENTE","Si",0.154,0.219,0.238,0.255,0.571,0.178,0.391
"CORTA_PRESIDENTE","No",0.846,0.781,0.762,0.745,0.429,0.822,0.609
"CORTA_GOBERNADOR","Si",0.181,0.252,0.408,0.321,0.616,0.467,0.425
"CORTA_GOBERNADOR","No",0.819,0.748,0.592,0.679,0.384,0.533,0.575
"P13_imputada","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.724,0.21,0.134,0.203,0.099,0.277,0.187
"P13_imputada","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.12,0.581,0.16,0.085,0.01,0.128,0.201
"P13_imputada","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.143,0.174,0.675,0.282,0.125,0.181,0.456
"P13_imputada","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.006,0.021,0.012,0.43,0.026,0.009,0.093
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0,0,0.012,0,0.74,0,0.028
"P13_imputada","En blanco",0.007,0.014,0.007,0,0,0.405,0.035
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.732,0.222,0.184,0.314,0,0.293,0.234
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.134,0.598,0.079,0.018,0.01,0.168,0.165
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.129,0.16,0.714,0.421,0.512,0.195,0.495
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.004,0.009,0.009,0.247,0.028,0.01,0.042
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0,0.007,0,0.45,0,0.028
"PRESIDENTE_imputada","En blanco",0.001,0.011,0.007,0,0,0.334,0.036
"GOBERNADOR_imputada","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.746,0.218,0.234,0.187,0.206,0.234,0.226
"GOBERNADOR_imputada","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.147,0.656,0.332,0.366,0.192,0.183,0.397
"GOBERNADOR_imputada","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.099,0.121,0.387,0.247,0.287,0.219,0.291
"GOBERNADOR_imputada","En blanco",0.008,0.005,0.047,0.2,0.315,0.364,0.086
