"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"CORTA_GOBERNADOR","Si",0.262,0.245,0.279
"CORTA_GOBERNADOR","No",0.738,0.755,0.721
"P13_imputada","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.345,0.317,0.575
"P13_imputada","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.276,0.219,0.193
"P13_imputada","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.327,0.391,0.043
"P13_imputada","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.026,0,0
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.008,0.027,0.066
"P13_imputada","En blanco",0.018,0.046,0.123
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.364,0.405,0.48
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.265,0.13,0.12
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.34,0.457,0.211
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.013,0,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.004,0,0.066
"PRESIDENTE_imputada","En blanco",0.014,0.008,0.123
"GOBERNADOR_imputada","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.37,0.382,0.421
"GOBERNADOR_imputada","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.395,0.266,0.331
"GOBERNADOR_imputada","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.195,0.327,0.059
"GOBERNADOR_imputada","En blanco",0.04,0.025,0.189
