"var","categoria","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","En blanco","No sabe"
"P20","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.168,0.696,0.491,0.586,0.272,0.426,0.36
"P20","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.114,0.088,0.241,0.135,0.352,0,0.04
"P20","En blanco",0,0.053,0.028,0.126,0.043,0.396,0.038
"P20","No sabe",0.101,0.016,0.022,0.075,0,0.036,0.441
"P23","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.211,0.481,0.531,0.278,0.236,0.226,0.356
"P23","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.315,0.346,0.247,0.409,0.374,0.24,0.192
"P23","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.314,0.091,0.148,0.026,0.038,0.012,0.066
"P23","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.084,0.023,0.031,0.096,0,0.147,0.059
"P23","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.033,0.008,0.016,0.146,0.066,0,0.106
"P23","No sabe",0.043,0.051,0.027,0.045,0.286,0.375,0.221
"P24","Totalmente seguro.",0.716,0.727,0.764,0.583,0.367,0.348,0.215
"P24","Bastante seguro",0.128,0.176,0.132,0.111,0.307,0.07,0.021
"P24","Algo seguro",0.103,0.058,0.068,0.066,0.266,0.203,0.213
"P24","Para nada seguro",0.053,0.039,0.036,0.24,0.06,0.379,0.551
"P25","Tiene Decidido que va a ir a votar.",0.899,0.925,0.914,1,0.735,0.737,0.709
"P25","Tiene dudas sobre si va a ir a  votar",0.066,0.052,0.082,0,0.204,0.156,0.106
"P25","Tiene Decidido que no va a ir a votar",0.035,0.023,0.004,0,0.061,0.107,0.185
"P26","La votaría",0.857,0.267,0.282,0.139,0.353,0.218,0.286
"P26","Puede que la vote",0.056,0.071,0.105,0.084,0.438,0,0.135
"P26","Nunca la votaría",0.082,0.634,0.58,0.683,0.209,0.495,0.353
"P26","No sabe",0.005,0.028,0.033,0.094,0,0.287,0.226
"P27","La votaría",0.275,0.649,0.124,0.067,0.08,0.064,0.097
"P27","Puede que la vote",0.095,0.13,0.238,0.208,0.406,0,0.199
"P27","Nunca la votaría",0.599,0.209,0.538,0.711,0.514,0.936,0.434
"P27","No sabe",0.031,0.012,0.1,0.014,0,0,0.27
"P28","La votaría",0.144,0.217,0.675,0.328,0.128,0.021,0.063
"P28","Puede que la vote",0.104,0.144,0.11,0.255,0.225,0.305,0.192
"P28","Nunca la votaría",0.715,0.607,0.188,0.417,0.647,0.674,0.566
"P28","No sabe",0.037,0.032,0.027,0,0,0,0.179
"P29","Si",0.52,0.374,0.422,0.459,0.426,0,0.181
"P29","No",0.48,0.626,0.578,0.541,0.574,1,0.819
"PRESIDENTE","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.858,0.097,0.107,0.07,0,0.107,0.014
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.044,0.797,0.049,0,0.018,0.096,0.065
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.079,0.094,0.84,0.198,0.457,0.044,0.21
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0,0,0.596,0,0,0.004
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.005,0,0,0,0.525,0,0
"PRESIDENTE","En blanco",0.001,0,0,0.026,0,0.753,0
"PRESIDENTE","No sabe",0.013,0.012,0.004,0.11,0,0,0.707
"GOBERNADOR","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.865,0.064,0.129,0.048,0.235,0.067,0.064
"GOBERNADOR","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.061,0.859,0.283,0.364,0.184,0.219,0.194
"GOBERNADOR","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.04,0.043,0.554,0.067,0.239,0,0.017
"GOBERNADOR","En blanco",0,0.028,0.017,0.467,0.342,0.699,0.02
"GOBERNADOR","No sabe",0.034,0.006,0.017,0.054,0,0.015,0.705
"CORTA_PRESIDENTE","Si",0.16,0.215,0.206,0.493,0.659,0.353,0.473
"CORTA_PRESIDENTE","No",0.84,0.785,0.794,0.507,0.341,0.647,0.527
"CORTA_GOBERNADOR","Si",0.16,0.167,0.493,0.54,0.699,0.468,0.471
"CORTA_GOBERNADOR","No",0.84,0.833,0.507,0.46,0.301,0.532,0.529
