"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Sergio Massa","Muy buena",0.084,0.082,0.086,0.087,0.076,0.063,0.125,0.079,0.101,0.065,0.087,0.078,0.149,0.048,0.036
"Sergio Massa","Buena",0.155,0.147,0.163,0.21,0.107,0.171,0.188,0.165,0.141,0.165,0.154,0.158,0.3,0.047,0.144
"Sergio Massa","Ni buena ni mala",0.16,0.149,0.17,0.098,0.199,0.155,0.142,0.151,0.159,0.172,0.165,0.15,0.203,0.132,0.182
"Sergio Massa","Mala",0.139,0.138,0.139,0.045,0.16,0.133,0.182,0.157,0.138,0.119,0.138,0.14,0.111,0.164,0.126
"Sergio Massa","Muy mala",0.447,0.474,0.423,0.56,0.437,0.468,0.342,0.419,0.453,0.472,0.448,0.446,0.219,0.607,0.49
"Sergio Massa","No sabe",0.015,0.01,0.019,0,0.021,0.01,0.021,0.029,0.008,0.007,0.008,0.028,0.018,0.002,0.022
"Alberto Fernandez","Muy buena",0.057,0.048,0.064,0.064,0.042,0.055,0.081,0.074,0.051,0.044,0.055,0.061,0.11,0.024,0.032
"Alberto Fernandez","Buena",0.132,0.104,0.157,0.079,0.142,0.151,0.132,0.132,0.13,0.135,0.127,0.141,0.299,0.025,0.108
"Alberto Fernandez","Ni buena ni mala",0.162,0.166,0.159,0.13,0.205,0.143,0.128,0.209,0.125,0.162,0.159,0.169,0.294,0.065,0.141
"Alberto Fernandez","Mala",0.11,0.088,0.13,0.099,0.1,0.101,0.153,0.066,0.141,0.117,0.121,0.089,0.112,0.1,0.2
"Alberto Fernandez","Muy mala",0.528,0.589,0.474,0.606,0.505,0.548,0.484,0.508,0.538,0.539,0.535,0.515,0.175,0.78,0.506
"Alberto Fernandez","No sabe",0.011,0.005,0.016,0.022,0.006,0.002,0.022,0.011,0.015,0.003,0.003,0.025,0.01,0.006,0.013
