"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P26","Patricia Bullrich por Juntos por el Cambio",0.035,0.622,0.091,0.053,0.062,0.049
"P26","Facundo Manes por Juntos por el Cambio",0.027,0.084,0.052,0.047,0.18,0.057
"P26","Wado de Pedro por el Frente de Todos",0.318,0.043,0.006,0.085,0.224,0.137
"P26","Sergio Massa por el Frente de Todos",0.524,0.014,0.002,0.046,0.083,0.12
"P26","Javier Milei por los liberales libertarios",0.015,0.028,0.647,0.022,0.04,0.064
"P26","Nicolás del Caño por la izquierda",0.001,0.002,0.077,0.281,0.021,0
"P26","Otros candidatos",0.008,0.009,0.005,0.141,0.124,0.027
"P26","Aún no lo tengo decidido",0.026,0.021,0.007,0.09,0.168,0.452
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.813,0.079,0.045,0.208,0.369,0.355
"P27","Mauricio Macri por Juntos por el Cambio",0.05,0.671,0.11,0.094,0.066,0.085
"P27","Javier Milei por los liberales libertarios",0.018,0.089,0.797,0.041,0.014,0.034
"P27","Nicolás del Caño por la izquierda",0.02,0.004,0.021,0.532,0.021,0.026
"P27","Otro candidato",0.066,0.097,0.018,0.059,0.45,0.032
"P27","Aún no lo tengo decidido",0.033,0.06,0.009,0.066,0.08,0.468
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.181,0.571,0.079,0.065,0.119,0.154
"P29","Wado de Pedro por el Frente de Todos",0.624,0.12,0.012,0.227,0.208,0.183
"P29","Javier Milei por los liberales libertarios",0.028,0.128,0.871,0.004,0.01,0.042
"P29","Nicolás del Caño por la izquierda",0.024,0.003,0.001,0.526,0.008,0
"P29","Otro candidato",0.067,0.111,0.007,0.065,0.588,0.023
"P29","Aún no lo tengo decidido",0.076,0.067,0.03,0.113,0.067,0.598
"P33","Sergio Massa por el Frente de Todos",0.766,0.113,0.021,0.048,0.054,0.055
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.165,0.592,0.074,0.065,0.137,0.099
"P33","Javier Milei por los liberales libertarios",0.025,0.13,0.873,0.096,0.019,0.035
"P33","Nicolás del Caño por la izquierda",0.006,0.005,0.005,0.714,0.019,0.028
"P33","Otro candidato",0.018,0.106,0.013,0.023,0.734,0.104
"P33","Aún no lo tengo decidido",0.02,0.054,0.014,0.054,0.037,0.679
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.808,0.068,0.047,0.353,0.346,0.319
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.101,0.617,0.072,0.048,0.153,0.11
"P35","Javier Milei por los liberales libertarios",0.014,0.168,0.85,0.025,0.018,0.04
"P35","Nicolás del Caño por la izquierda",0.011,0.001,0,0.356,0.009,0.035
"P35","Otro candidato",0.03,0.106,0.024,0.045,0.449,0.06
"P35","Aún no lo tengo decidido",0.036,0.04,0.007,0.173,0.025,0.436
"P36","Sergio Massa por el Frente de Todos",0.841,0.054,0.013,0.075,0.082,0.147
"P36","Mauricio Macri por Juntos por el Cambio",0.063,0.714,0.099,0.108,0.076,0.106
"P36","Javier Milei por los liberales libertarios",0.021,0.09,0.87,0.03,0.019,0.013
"P36","Nicolás del Caño por la izquierda",0.007,0.003,0.001,0.643,0.01,0.047
"P36","Otro candidato",0.034,0.088,0.015,0.065,0.771,0.078
"P36","Aún no lo tengo decidido",0.034,0.051,0.002,0.079,0.042,0.609
"P37","Wado de Pedro por el Frente de Todos",0.747,0.04,0.007,0.155,0.196,0.227
"P37","Mauricio Macri por Juntos por el Cambio",0.06,0.737,0.101,0.013,0.085,0.12
"P37","Javier Milei por los liberales libertarios",0.014,0.072,0.86,0,0.022,0.024
"P37","Nicolás del Caño por la izquierda",0.012,0.005,0.001,0.737,0.02,0.012
"P37","Otro candidato",0.08,0.109,0.01,0.034,0.598,0.134
"P37","Aún no lo tengo decidido",0.087,0.037,0.021,0.061,0.079,0.483
"P38","Wado de Pedro por el Frente de Todos",0.725,0.025,0.022,0.152,0.237,0.219
"P38","Patricia Bullrich por Juntos por el Cambio",0.062,0.877,0.083,0.009,0.081,0.065
"P38","Javier Milei por los liberales libertarios",0.017,0.024,0.863,0.112,0.019,0.036
"P38","Nicolás del Caño por la izquierda",0.013,0.001,0,0.525,0.026,0.003
"P38","Otro candidato",0.092,0.031,0.016,0.178,0.56,0.098
"P38","Aún no lo tengo decidido",0.091,0.042,0.016,0.024,0.077,0.579
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.792,0.052,0.005,0.259,0.422,0.318
"P39","Patricia Bullrich por Juntos por el Cambio",0.068,0.879,0.076,0.107,0.053,0.087
"P39","Javier Milei por los liberales libertarios",0.008,0.029,0.901,0.04,0.025,0.027
"P39","Nicolás del Caño por la izquierda",0.005,0.001,0,0.419,0.013,0.01
"P39","Otro candidato",0.067,0.014,0.01,0.048,0.468,0.098
"P39","Aún no lo tengo decidido",0.06,0.025,0.008,0.127,0.019,0.46
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.768,0.128,0.061,0.45,0.344,0.423
"P40","Mauricio Macri por Juntos por el Cambio",0.167,0.78,0.471,0.019,0.246,0.225
"P40","No sabe",0.065,0.092,0.468,0.531,0.41,0.352
"P41","Wado de Pedro por el Frente de Todos",0.792,0.046,0.034,0.363,0.262,0.324
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.111,0.753,0.459,0.358,0.232,0.218
"P41","No sabe",0.097,0.201,0.507,0.279,0.506,0.458
"P42","Sergio Massa por el Frente de Todos",0.852,0.05,0.052,0.535,0.161,0.229
"P42","Patricia Bullrich por Juntos por el Cambio",0.079,0.912,0.591,0.03,0.188,0.194
"P42","No sabe",0.069,0.038,0.357,0.435,0.651,0.577
"P43","Sergio Massa por el Frente de Todos",0.884,0.058,0.028,0.442,0.262,0.239
"P43","Mauricio Macri por Juntos por el Cambio",0.072,0.832,0.659,0.048,0.186,0.218
"P43","No sabe",0.044,0.11,0.313,0.51,0.552,0.543
"P44","Sergio Massa por el Frente de Todos",0.885,0.047,0.029,0.543,0.228,0.207
"P44","Javier Milei por los liberales libertarios",0.053,0.528,0.873,0.182,0.083,0.175
"P44","No sabe",0.062,0.425,0.098,0.275,0.689,0.618
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.423,0.335,0.045,0.463,0.244,0.238
"P45","Javier Milei por los liberales libertarios",0.067,0.364,0.878,0.171,0.089,0.105
"P45","No sabe",0.51,0.301,0.077,0.366,0.667,0.657
"P46","Patricia Bullrich por Juntos por el Cambio",0.122,0.866,0.539,0.031,0.161,0.244
"P46","Wado de Pedro por el Frente de Todos",0.653,0.061,0.162,0.501,0.264,0.262
"P46","No sabe",0.225,0.073,0.299,0.468,0.575,0.494
"P47","Patricia Bullrich por Juntos por el Cambio",0.098,0.949,0.654,0.121,0.195,0.196
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.83,0.034,0.048,0.495,0.401,0.431
"P47","No sabe",0.072,0.017,0.298,0.384,0.404,0.373
"P48","Muy buena",0.132,0.112,0.049,0.011,0.081,0.045
"P48","Buena",0.435,0.007,0.052,0.1,0.119,0.139
"P48","Ni buena ni mala",0.224,0.014,0.098,0.517,0.219,0.292
"P48","Mala",0.126,0.07,0.034,0.208,0.199,0.101
"P48","Muy mala",0.07,0.796,0.764,0.14,0.337,0.386
"P48","No sabe",0.013,0.001,0.003,0.024,0.045,0.037
"P49","Muy buena",0.139,0.015,0.011,0.038,0.07,0.044
"P49","Buena",0.357,0.015,0.035,0.106,0.068,0.153
"P49","Ni buena ni mala",0.327,0.024,0.085,0.314,0.206,0.237
"P49","Mala",0.086,0.11,0.037,0.305,0.21,0.153
"P49","Muy mala",0.09,0.83,0.83,0.213,0.407,0.376
"P49","No sabe",0.001,0.006,0.002,0.024,0.039,0.037
"P50","Muy buena",0.605,0.03,0.026,0.189,0.37,0.282
"P50","Buena",0.142,0.015,0.019,0.263,0.05,0.097
"P50","Ni buena ni mala",0.118,0.002,0.075,0.154,0.089,0.123
"P50","Mala",0.039,0.046,0.019,0.094,0.069,0.068
"P50","Muy mala",0.094,0.906,0.861,0.229,0.422,0.391
"P50","No sabe",0.002,0.001,0,0.071,0,0.039
"P51","Muy buena",0.129,0.348,0.114,0.051,0.097,0.096
"P51","Buena",0.057,0.313,0.191,0.032,0.061,0.104
"P51","Ni buena ni mala",0.054,0.159,0.282,0.203,0.122,0.109
"P51","Mala",0.198,0.045,0.162,0.065,0.133,0.19
"P51","Muy mala",0.556,0.133,0.251,0.572,0.587,0.412
"P51","No sabe",0.006,0.002,0,0.077,0,0.089
"P52","Muy buena",0.044,0.307,0.151,0.168,0.08,0.086
"P52","Buena",0.064,0.295,0.165,0.101,0.112,0.139
"P52","Ni buena ni mala",0.126,0.239,0.221,0.011,0.289,0.207
"P52","Mala",0.196,0.079,0.175,0.198,0.11,0.138
"P52","Muy mala",0.55,0.073,0.283,0.498,0.395,0.33
"P52","No sabe",0.02,0.007,0.005,0.024,0.014,0.1
"P53","Muy buena",0.24,0.022,0.037,0.071,0,0.027
"P53","Buena",0.384,0.057,0.043,0.205,0.106,0.087
"P53","Ni buena ni mala",0.212,0.097,0.1,0.154,0.286,0.236
"P53","Mala",0.047,0.147,0.109,0.259,0.179,0.352
"P53","Muy mala",0.095,0.675,0.705,0.287,0.407,0.252
"P53","No sabe",0.022,0.002,0.006,0.024,0.022,0.046
"P54","Muy buena",0.094,0.543,0.191,0.011,0.028,0.044
"P54","Buena",0.08,0.267,0.286,0.053,0.097,0.109
"P54","Ni buena ni mala",0.104,0.061,0.224,0.104,0.246,0.22
"P54","Mala",0.11,0.033,0.084,0.225,0.095,0.223
"P54","Muy mala",0.588,0.094,0.17,0.607,0.534,0.359
"P54","No sabe",0.024,0.002,0.045,0,0,0.045
"P55","Muy buena",0.039,0.156,0.574,0.012,0.003,0.013
"P55","Buena",0.028,0.212,0.284,0.014,0.063,0.073
"P55","Ni buena ni mala",0.102,0.38,0.117,0.296,0.252,0.297
"P55","Mala",0.183,0.128,0.001,0.137,0.175,0.134
"P55","Muy mala",0.618,0.109,0.018,0.541,0.507,0.408
"P55","No sabe",0.03,0.015,0.006,0,0,0.075
"P56","Muy buena",0.026,0.321,0.202,0.163,0.064,0.078
"P56","Buena",0.035,0.359,0.203,0.063,0.111,0.11
"P56","Ni buena ni mala",0.07,0.184,0.213,0.183,0.098,0.208
"P56","Mala",0.205,0.069,0.179,0.042,0.151,0.189
"P56","Muy mala",0.657,0.058,0.193,0.549,0.576,0.335
"P56","No sabe",0.007,0.009,0.01,0,0,0.08
"P57","Muy buena",0.365,0.056,0.045,0.089,0.128,0.141
"P57","Buena",0.257,0.046,0.008,0.204,0.157,0.061
"P57","Ni buena ni mala",0.153,0.132,0.204,0.25,0.19,0.256
"P57","Mala",0.099,0.205,0.156,0.122,0.187,0.173
"P57","Muy mala",0.097,0.529,0.488,0.151,0.304,0.219
"P57","No sabe",0.029,0.032,0.099,0.184,0.034,0.15
"P58","Muy buena",0.092,0.061,0.084,0.206,0.127,0.044
"P58","Buena",0.16,0.191,0.089,0.055,0.269,0.223
"P58","Ni buena ni mala",0.348,0.363,0.384,0.223,0.203,0.391
"P58","Mala",0.148,0.191,0.092,0.177,0.209,0.088
"P58","Muy mala",0.181,0.188,0.288,0.093,0.166,0.138
"P58","No sabe",0.071,0.006,0.063,0.246,0.026,0.116
"P59","Muy buena",0.02,0.064,0.07,0.019,0.066,0.013
"P59","Buena",0.046,0.274,0.056,0.051,0.149,0.073
"P59","Ni buena ni mala",0.255,0.365,0.239,0.251,0.249,0.432
"P59","Mala",0.162,0.109,0.133,0.153,0.077,0.127
"P59","Muy mala",0.414,0.138,0.294,0.253,0.372,0.255
"P59","No sabe",0.103,0.05,0.208,0.273,0.087,0.1
"P60","Siempre",0.309,0.29,0.266,0.266,0.255,0.2
"P60","Casi siempre",0.377,0.387,0.316,0.42,0.378,0.474
"P60","Casi nunca",0.221,0.266,0.263,0.112,0.256,0.293
"P60","Nunca, pero esta es una excepción",0.093,0.057,0.155,0.202,0.111,0.033
"P61","Si",0.62,0.502,0.524,0.395,0.549,0.462
"P61","No",0.38,0.498,0.476,0.605,0.451,0.538
