"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P50","Ni buena ni mala",0.042,0.073,0.055,0.233,0.053,0.15
"P50","Mala",0.047,0.014,0.022,0.147,0.112,0.077
"P50","Muy mala",0.807,0.116,0.86,0.177,0.57,0.495
"P50","No sabe",0.001,0.001,0,0.081,0.01,0.031
"P51","Muy buena",0.358,0.138,0.125,0.024,0.132,0.101
"P51","Buena",0.233,0.084,0.199,0.062,0.205,0.152
"P51","Ni buena ni mala",0.157,0.054,0.263,0.153,0.121,0.134
"P51","Mala",0.066,0.168,0.148,0.113,0.101,0.187
"P51","Muy mala",0.186,0.538,0.265,0.568,0.433,0.377
"P51","No sabe",0,0.018,0,0.08,0.008,0.049
"P52","Muy buena",0.38,0.055,0.094,0,0.076,0.078
"P52","Buena",0.304,0.054,0.155,0.191,0.175,0.134
"P52","Ni buena ni mala",0.153,0.113,0.25,0.079,0.401,0.274
"P52","Mala",0.081,0.177,0.182,0.258,0.099,0.143
"P52","Muy mala",0.07,0.583,0.315,0.472,0.229,0.294
"P52","No sabe",0.012,0.018,0.004,0,0.02,0.077
"P53","Muy buena",0.054,0.17,0.031,0.04,0.047,0.1
"P53","Buena",0.094,0.33,0.067,0.209,0.085,0.121
"P53","Ni buena ni mala",0.098,0.263,0.062,0.258,0.18,0.231
"P53","Mala",0.161,0.102,0.095,0.34,0.188,0.166
"P53","Muy mala",0.578,0.13,0.742,0.153,0.468,0.337
"P53","No sabe",0.015,0.005,0.003,0,0.032,0.045
"P54","Muy buena",0.41,0.097,0.309,0.028,0.214,0.164
"P54","Buena",0.292,0.039,0.223,0.102,0.205,0.153
"P54","Ni buena ni mala",0.098,0.123,0.172,0.2,0.149,0.155
"P54","Mala",0.068,0.107,0.08,0.126,0.093,0.133
"P54","Muy mala",0.114,0.629,0.181,0.544,0.339,0.349
"P54","No sabe",0.018,0.005,0.035,0,0,0.046
"P55","Muy buena",0.093,0.025,0.582,0.044,0.04,0.051
"P55","Buena",0.178,0.039,0.291,0.014,0.068,0.105
"P55","Ni buena ni mala",0.325,0.129,0.102,0.133,0.433,0.354
"P55","Mala",0.196,0.13,0.005,0.107,0.141,0.148
"P55","Muy mala",0.18,0.667,0.015,0.702,0.312,0.267
"P55","No sabe",0.028,0.01,0.005,0,0.006,0.075
"P56","Muy buena",0.33,0.047,0.178,0.076,0.084,0.112
"P56","Buena",0.318,0.045,0.228,0.099,0.202,0.126
"P56","Ni buena ni mala",0.11,0.096,0.21,0.045,0.202,0.263
"P56","Mala",0.12,0.139,0.17,0.048,0.153,0.164
"P56","Muy mala",0.11,0.667,0.208,0.732,0.35,0.272
"P56","No sabe",0.012,0.006,0.006,0,0.009,0.063
"P57","Muy buena",0.074,0.437,0.04,0.055,0.019,0.035
"P57","Buena",0.066,0.269,0.013,0.034,0.085,0.088
"P57","Ni buena ni mala",0.116,0.129,0.18,0.51,0.246,0.272
"P57","Mala",0.248,0.03,0.165,0.136,0.197,0.204
"P57","Muy mala",0.471,0.098,0.534,0.208,0.381,0.238
"P57","No sabe",0.025,0.037,0.068,0.057,0.072,0.163
"P58","Muy buena",0.089,0.087,0.08,0.066,0.103,0.039
"P58","Buena",0.231,0.123,0.076,0.173,0.241,0.235
"P58","Ni buena ni mala",0.367,0.363,0.368,0.235,0.272,0.294
"P58","Mala",0.134,0.2,0.121,0.246,0.149,0.154
"P58","Muy mala",0.158,0.171,0.315,0.116,0.188,0.141
"P58","No sabe",0.021,0.056,0.04,0.164,0.047,0.137
"P59","Muy buena",0.07,0.019,0.057,0.018,0.074,0.013
"P59","Buena",0.25,0.044,0.081,0.103,0.177,0.149
"P59","Ni buena ni mala",0.372,0.216,0.281,0.242,0.277,0.428
"P59","Mala",0.085,0.169,0.151,0.209,0.103,0.11
"P59","Muy mala",0.127,0.484,0.291,0.215,0.283,0.139
"P59","No sabe",0.096,0.068,0.139,0.213,0.086,0.161
"P60","Siempre",0.282,0.298,0.25,0.182,0.271,0.304
"P60","Casi siempre",0.409,0.387,0.378,0.475,0.321,0.33
"P60","Casi nunca",0.216,0.242,0.264,0.205,0.315,0.287
"P60","Nunca, pero esta es una excepción",0.093,0.073,0.108,0.138,0.093,0.079
"P61","Si",0.533,0.62,0.485,0.257,0.513,0.503
"P61","No",0.467,0.38,0.515,0.743,0.487,0.497
