"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P15","Nunca lo votaría",0.522,0.811,0.536
"P15","No sabe",0.041,0.03,0.096
"P16","Lo votaría",0.14,0.016,0.123
"P16","Puede que lo vote",0.228,0.025,0.287
"P16","Nunca lo votaría",0.568,0.948,0.509
"P16","No sabe",0.064,0.011,0.081
"P17","La votaría",0.383,0.021,0.393
"P17","Puede que la vote",0.081,0.03,0.09
"P17","Nunca la votaría",0.517,0.926,0.456
"P17","No sabe",0.019,0.023,0.061
"P18","Lo votaría",0.262,0.105,0.124
"P18","Puede que lo vote",0.23,0.328,0.244
"P18","Nunca lo votaría",0.466,0.512,0.562
"P18","No sabe",0.042,0.055,0.07
"P19","Lo votaría",0.103,0.082,0.051
"P19","Puede que lo vote",0.267,0.293,0.243
"P19","Nunca lo votaría",0.526,0.553,0.552
"P19","No sabe",0.104,0.072,0.154
"P20","La votaría",0.272,0.434,0.174
"P20","Puede que la vote",0.142,0.294,0.151
"P20","Nunca la votaría",0.54,0.227,0.589
"P20","No sabe",0.046,0.045,0.086
"P21","Lo votaría",0.08,0.542,0.037
"P21","Puede que lo vote",0.186,0.295,0.059
"P21","Nunca lo votaría",0.681,0.112,0.798
"P21","No sabe",0.053,0.051,0.106
"P22","La votaría",0.134,0.174,0.081
"P22","Puede que la vote",0.238,0.287,0.179
"P22","Nunca la votaría",0.549,0.448,0.671
"P22","No sabe",0.079,0.091,0.069
"P23","Lo votaría",0.227,0.04,0.191
"P23","Puede que lo vote",0.213,0.085,0.164
"P23","Nunca lo votaría",0.486,0.776,0.532
"P23","No sabe",0.074,0.099,0.113
"P24","Lo votaría",0.076,0.034,0.061
"P24","Puede que lo vote",0.209,0.225,0.146
"P24","Nunca lo votaría",0.584,0.616,0.625
"P24","No sabe",0.131,0.125,0.168
"P25","Mauricio Macri por Juntos por el Cambio",0.153,0.188,0.095
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.148,0.063,0.08
"P25","Patricia Bullrich por Juntos por el Cambio",0.131,0.249,0.131
"P25","Facundo Manes por Juntos por el Cambio",0.039,0.051,0.051
"P25","Alberto Fernández por el Frente de Todos",0.063,0.005,0.036
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.358,0.033,0.438
"P25","Javier Milei por los liberales libertarios",0.012,0.369,0.016
"P25","Nicolás del Caño por la izquierda",0.014,0.003,0.016
"P25","Otros candidatos",0.04,0.014,0.063
"P25","Aún no lo tengo decidido",0.042,0.025,0.074
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.176,0.093,0.095
"P26","Patricia Bullrich por Juntos por el Cambio",0.242,0.332,0.195
"P26","Facundo Manes por Juntos por el Cambio",0.061,0.113,0.055
"P26","Wado de Pedro por el Frente de Todos",0.185,0.009,0.251
"P26","Sergio Massa por el Frente de Todos",0.212,0.024,0.225
"P26","Javier Milei por los liberales libertarios",0.036,0.349,0.021
"P26","Nicolás del Caño por la izquierda",0.015,0.054,0.013
"P26","Otros candidatos",0.031,0.006,0.037
"P26","Aún no lo tengo decidido",0.042,0.02,0.108
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.424,0.035,0.492
"P27","Mauricio Macri por Juntos por el Cambio",0.302,0.358,0.225
"P27","Javier Milei por los liberales libertarios",0.037,0.513,0.029
"P27","Nicolás del Caño por la izquierda",0.037,0.006,0.016
"P27","Otro candidato",0.113,0.044,0.109
"P27","Aún no lo tengo decidido",0.087,0.044,0.129
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.402,0.213,0.274
"P29","Wado de Pedro por el Frente de Todos",0.369,0.046,0.369
"P29","Javier Milei por los liberales libertarios",0.026,0.599,0.023
"P29","Nicolás del Caño por la izquierda",0.021,0.004,0.026
"P29","Otro candidato",0.088,0.079,0.137
"P29","Aún no lo tengo decidido",0.094,0.059,0.171
"P31","Sergio Massa por el Frente de Todos",0.391,0.058,0.362
"P31","Patricia Bullrich por Juntos por el Cambio",0.387,0.393,0.266
"P31","Javier Milei por los liberales libertarios",0.027,0.477,0.034
"P31","Nicolás del Caño por la izquierda",0.048,0.017,0.029
"P31","Otro candidato",0.074,0.025,0.155
"P31","Aún no lo tengo decidido",0.073,0.03,0.154
"P33","Sergio Massa por el Frente de Todos",0.376,0.041,0.347
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.434,0.228,0.257
"P33","Javier Milei por los liberales libertarios",0.026,0.607,0.024
"P33","Nicolás del Caño por la izquierda",0.04,0.011,0.026
"P33","Otro candidato",0.065,0.063,0.194
"P33","Aún no lo tengo decidido",0.059,0.05,0.152
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.421,0.092,0.473
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.441,0.183,0.229
"P35","Javier Milei por los liberales libertarios",0.029,0.614,0.029
"P35","Nicolás del Caño por la izquierda",0.015,0.001,0.023
"P35","Otro candidato",0.036,0.081,0.13
"P35","Aún no lo tengo decidido",0.058,0.029,0.116
"P36","Sergio Massa por el Frente de Todos",0.416,0.048,0.365
"P36","Mauricio Macri por Juntos por el Cambio",0.366,0.324,0.249
"P36","Javier Milei por los liberales libertarios",0.026,0.541,0.031
"P36","Nicolás del Caño por la izquierda",0.044,0.003,0.028
"P36","Otro candidato",0.102,0.046,0.188
"P36","Aún no lo tengo decidido",0.046,0.038,0.139
"P37","Wado de Pedro por el Frente de Todos",0.375,0.031,0.39
"P37","Mauricio Macri por Juntos por el Cambio",0.366,0.34,0.241
"P37","Javier Milei por los liberales libertarios",0.022,0.516,0.03
"P37","Nicolás del Caño por la izquierda",0.04,0.018,0.028
"P37","Otro candidato",0.113,0.068,0.164
"P37","Aún no lo tengo decidido",0.084,0.027,0.147
"P38","Wado de Pedro por el Frente de Todos",0.364,0.033,0.384
"P38","Patricia Bullrich por Juntos por el Cambio",0.393,0.422,0.271
"P38","Javier Milei por los liberales libertarios",0.023,0.476,0.026
"P38","Nicolás del Caño por la izquierda",0.029,0.005,0.027
"P38","Otro candidato",0.106,0.041,0.134
"P38","Aún no lo tengo decidido",0.085,0.023,0.158
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.424,0.025,0.465
"P39","Patricia Bullrich por Juntos por el Cambio",0.394,0.43,0.26
"P39","Javier Milei por los liberales libertarios",0.029,0.48,0.028
"P39","Nicolás del Caño por la izquierda",0.021,0.005,0.024
"P39","Otro candidato",0.073,0.035,0.096
"P39","Aún no lo tengo decidido",0.059,0.025,0.127
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.529,0.084,0.412
"P40","Mauricio Macri por Juntos por el Cambio",0.351,0.631,0.364
"P40","No sabe",0.12,0.285,0.224
"P41","Wado de Pedro por el Frente de Todos",0.443,0.049,0.422
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.487,0.578,0.26
"P41","No sabe",0.07,0.373,0.318
"P42","Sergio Massa por el Frente de Todos",0.492,0.067,0.381
"P42","Patricia Bullrich por Juntos por el Cambio",0.422,0.749,0.3
"P42","No sabe",0.086,0.184,0.319
"P43","Sergio Massa por el Frente de Todos",0.503,0.062,0.406
"P43","Mauricio Macri por Juntos por el Cambio",0.388,0.747,0.277
"P43","No sabe",0.109,0.191,0.317
"P44","Sergio Massa por el Frente de Todos",0.528,0.044,0.386
"P44","Javier Milei por los liberales libertarios",0.257,0.881,0.049
"P44","No sabe",0.215,0.075,0.565
"P46","Patricia Bullrich por Juntos por el Cambio",0.517,0.676,0.242
"P46","Wado de Pedro por el Frente de Todos",0.364,0.168,0.333
"P46","No sabe",0.119,0.156,0.425
"P47","Patricia Bullrich por Juntos por el Cambio",0.469,0.782,0.301
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.437,0.062,0.487
"P47","No sabe",0.094,0.156,0.212
"P48","Muy buena",0.118,0.078,0.09
"P48","Buena",0.162,0.029,0.256
"P48","Ni buena ni mala",0.194,0.05,0.186
"P48","Mala",0.137,0.055,0.105
"P48","Muy mala",0.387,0.783,0.335
"P48","No sabe",0.002,0.005,0.028
"P49","Muy buena",0.075,0.015,0.076
"P49","Buena",0.169,0.019,0.196
"P49","Ni buena ni mala",0.207,0.032,0.234
"P49","Mala",0.139,0.087,0.107
"P49","Muy mala",0.406,0.843,0.366
"P49","No sabe",0.004,0.004,0.021
"P50","Muy buena",0.314,0.05,0.353
"P50","Buena",0.087,0.029,0.087
"P50","Ni buena ni mala",0.068,0.027,0.106
"P50","Mala",0.067,0.024,0.045
"P50","Muy mala",0.463,0.865,0.397
"P50","No sabe",0.001,0.005,0.012
"P51","Muy buena",0.218,0.216,0.157
"P51","Buena",0.163,0.218,0.139
"P51","Ni buena ni mala",0.11,0.205,0.123
"P51","Mala",0.101,0.116,0.159
"P51","Muy mala",0.395,0.243,0.402
"P51","No sabe",0.013,0.002,0.02
"P52","Muy buena",0.218,0.164,0.12
"P52","Buena",0.189,0.217,0.125
"P52","Ni buena ni mala",0.147,0.24,0.207
"P52","Mala",0.132,0.147,0.139
"P52","Muy mala",0.299,0.22,0.379
"P52","No sabe",0.015,0.012,0.03
"P53","Muy buena",0.119,0.015,0.114
"P53","Buena",0.193,0.074,0.193
"P53","Ni buena ni mala",0.175,0.108,0.192
"P53","Mala",0.132,0.112,0.165
"P53","Muy mala",0.373,0.685,0.31
"P53","No sabe",0.008,0.006,0.026
"P54","Muy buena",0.209,0.339,0.213
"P54","Buena",0.168,0.276,0.119
"P54","Ni buena ni mala",0.13,0.123,0.145
"P54","Mala",0.065,0.077,0.123
"P54","Muy mala",0.424,0.161,0.374
"P54","No sabe",0.004,0.024,0.026
"P55","Muy buena",0.052,0.423,0.041
"P55","Buena",0.124,0.292,0.034
"P55","Ni buena ni mala",0.241,0.225,0.244
"P55","Mala",0.122,0.035,0.204
"P55","Muy mala",0.444,0.02,0.439
"P55","No sabe",0.017,0.005,0.038
"P56","Muy buena",0.187,0.227,0.111
"P56","Buena",0.211,0.27,0.109
"P56","Ni buena ni mala",0.111,0.198,0.146
"P56","Mala",0.102,0.139,0.176
"P56","Muy mala",0.385,0.161,0.43
"P56","No sabe",0.004,0.005,0.028
"P57","Muy buena",0.181,0.041,0.224
"P57","Buena",0.111,0.049,0.166
"P57","Ni buena ni mala",0.184,0.168,0.16
"P57","Mala",0.168,0.157,0.159
"P57","Muy mala",0.285,0.528,0.242
"P57","No sabe",0.071,0.057,0.049
"P58","Muy buena",0.062,0.074,0.104
"P58","Buena",0.211,0.149,0.158
"P58","Ni buena ni mala",0.344,0.345,0.349
"P58","Mala",0.178,0.132,0.155
"P58","Muy mala",0.141,0.269,0.174
"P58","No sabe",0.064,0.031,0.06
"P59","Muy buena",0.057,0.042,0.044
"P59","Buena",0.155,0.151,0.117
"P59","Ni buena ni mala",0.313,0.3,0.305
"P59","Mala",0.099,0.147,0.134
"P59","Muy mala",0.283,0.22,0.313
"P59","No sabe",0.093,0.14,0.087
"P60","Siempre",0.31,0.237,0.29
"P60","Casi siempre",0.406,0.332,0.401
"P60","Casi nunca",0.221,0.292,0.238
"P60","Nunca, pero esta es una excepción",0.063,0.139,0.071
"P61","Si",0.558,0.46,0.583
"P61","No",0.442,0.54,0.417
