"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P15","Lo votaría",0.261,0.058,0.04,0.04,0.093,0.056
"P15","Puede que lo vote",0.393,0.097,0.135,0.141,0.114,0.137
"P15","Nunca lo votaría",0.294,0.808,0.789,0.633,0.682,0.556
"P15","No sabe",0.052,0.037,0.036,0.186,0.111,0.251
"P16","Lo votaría",0.258,0.051,0.008,0.036,0.013,0.052
"P16","Puede que lo vote",0.436,0.041,0.042,0.199,0.111,0.128
"P16","Nunca lo votaría",0.238,0.894,0.924,0.573,0.745,0.608
"P16","No sabe",0.068,0.014,0.026,0.192,0.131,0.212
"P17","La votaría",0.784,0.05,0.015,0.044,0.016,0.127
"P17","Puede que la vote",0.117,0.006,0.025,0.257,0.077,0.118
"P17","Nunca la votaría",0.08,0.928,0.933,0.459,0.791,0.623
"P17","No sabe",0.019,0.016,0.027,0.24,0.116,0.132
"P18","Lo votaría",0.104,0.394,0.055,0,0.013,0.054
"P18","Puede que lo vote",0.062,0.416,0.282,0.191,0.305,0.233
"P18","Nunca lo votaría",0.812,0.131,0.592,0.756,0.549,0.549
"P18","No sabe",0.022,0.059,0.071,0.053,0.133,0.164
"P19","Lo votaría",0.03,0.145,0.045,0,0.137,0.086
"P19","Puede que lo vote",0.153,0.379,0.23,0.31,0.228,0.219
"P19","Nunca lo votaría",0.68,0.404,0.631,0.642,0.441,0.425
"P19","No sabe",0.137,0.072,0.094,0.048,0.194,0.27
"P20","La votaría",0.047,0.518,0.367,0.045,0.272,0.106
"P20","Puede que la vote",0.031,0.272,0.302,0.023,0.188,0.162
"P20","Nunca la votaría",0.852,0.176,0.284,0.884,0.443,0.594
"P20","No sabe",0.07,0.034,0.047,0.048,0.097,0.138
"P21","Lo votaría",0.033,0.101,0.719,0.045,0.09,0.027
"P21","Puede que lo vote",0.038,0.29,0.204,0.177,0.217,0.187
"P21","Nunca lo votaría",0.864,0.537,0.066,0.73,0.565,0.636
"P21","No sabe",0.065,0.072,0.011,0.048,0.128,0.15
"P22","La votaría",0.02,0.278,0.111,0,0.084,0.06
"P22","Puede que la vote",0.045,0.392,0.278,0.046,0.195,0.17
"P22","Nunca la votaría",0.886,0.23,0.523,0.725,0.593,0.577
"P22","No sabe",0.049,0.1,0.088,0.229,0.128,0.193
"P23","Lo votaría",0.335,0.065,0.013,0.03,0.023,0.016
"P23","Puede que lo vote",0.295,0.085,0.067,0.096,0.116,0.046
"P23","Nunca lo votaría",0.283,0.787,0.81,0.578,0.694,0.704
"P23","No sabe",0.087,0.063,0.11,0.296,0.167,0.234
"P24","Lo votaría",0.058,0.095,0.015,0.011,0.026,0.023
"P24","Puede que lo vote",0.094,0.304,0.129,0.132,0.268,0.101
"P24","Nunca lo votaría",0.713,0.485,0.728,0.554,0.459,0.539
"P24","No sabe",0.135,0.116,0.128,0.303,0.247,0.337
"P25","Mauricio Macri por Juntos por el Cambio",0.024,0.296,0.119,0,0.146,0.087
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.279,0.01,0.112,0.045,0.04
"P25","Patricia Bullrich por Juntos por el Cambio",0.026,0.255,0.202,0.012,0.227,0.138
"P25","Facundo Manes por Juntos por el Cambio",0.01,0.057,0.032,0.011,0.161,0.107
"P25","Alberto Fernández por el Frente de Todos",0.073,0.03,0.024,0.04,0.042,0.059
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.812,0.021,0.008,0.009,0.042,0.085
"P25","Javier Milei por los liberales libertarios",0.001,0.002,0.577,0,0.014,0.013
"P25","Nicolás del Caño por la izquierda",0.005,0,0,0.569,0,0.033
"P25","Otros candidatos",0.012,0.005,0.006,0.017,0.25,0.093
"P25","Aún no lo tengo decidido",0.016,0.055,0.022,0.23,0.073,0.345
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.313,0.052,0.03,0.043,0.094
"P26","Patricia Bullrich por Juntos por el Cambio",0.043,0.477,0.26,0.094,0.313,0.151
"P26","Facundo Manes por Juntos por el Cambio",0.026,0.083,0.058,0.011,0.179,0.116
"P26","Wado de Pedro por el Frente de Todos",0.367,0.035,0.008,0.03,0.073,0.056
"P26","Sergio Massa por el Frente de Todos",0.408,0.04,0.007,0.145,0.095,0.096
"P26","Javier Milei por los liberales libertarios",0.018,0.013,0.536,0.027,0.054,0.059
"P26","Nicolás del Caño por la izquierda",0.014,0,0.068,0.325,0.004,0
"P26","Otros candidatos",0.019,0.01,0.004,0.187,0.096,0.018
"P26","Aún no lo tengo decidido",0.082,0.029,0.007,0.151,0.143,0.41
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.897,0.063,0.025,0.018,0.077,0.083
"P27","Mauricio Macri por Juntos por el Cambio",0.047,0.674,0.198,0.011,0.216,0.175
"P27","Javier Milei por los liberales libertarios",0.012,0.041,0.724,0,0.047,0.045
"P27","Nicolás del Caño por la izquierda",0.006,0.006,0.018,0.638,0.04,0.111
"P27","Otro candidato",0.018,0.14,0.016,0.072,0.486,0.05
"P27","Aún no lo tengo decidido",0.02,0.076,0.019,0.261,0.134,0.536
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.144,0.779,0.043,0.049,0.081,0.066
"P29","Wado de Pedro por el Frente de Todos",0.646,0.081,0.029,0.226,0.058,0.117
"P29","Javier Milei por los liberales libertarios",0.026,0.013,0.876,0,0.048,0.016
"P29","Nicolás del Caño por la izquierda",0.015,0.003,0.002,0.632,0.044,0.035
"P29","Otro candidato",0.069,0.078,0.013,0.038,0.628,0.064
"P29","Aún no lo tengo decidido",0.1,0.046,0.037,0.055,0.141,0.702
"P31","Sergio Massa por el Frente de Todos",0.667,0.102,0.018,0.151,0.084,0.122
"P31","Patricia Bullrich por Juntos por el Cambio",0.066,0.746,0.259,0.023,0.349,0.162
"P31","Javier Milei por los liberales libertarios",0.024,0.046,0.69,0,0.043,0.014
"P31","Nicolás del Caño por la izquierda",0.035,0.006,0.004,0.585,0.015,0.071
"P31","Otro candidato",0.101,0.055,0.008,0.045,0.44,0.03
"P31","Aún no lo tengo decidido",0.107,0.045,0.021,0.196,0.069,0.601
"P33","Sergio Massa por el Frente de Todos",0.621,0.093,0.049,0.196,0.112,0.08
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.134,0.806,0.031,0.054,0.047,0.05
"P33","Javier Milei por los liberales libertarios",0.032,0.02,0.892,0,0.039,0.001
"P33","Nicolás del Caño por la izquierda",0.024,0.002,0.014,0.75,0.004,0.073
"P33","Otro candidato",0.098,0.032,0.007,0,0.733,0.118
"P33","Aún no lo tengo decidido",0.091,0.047,0.007,0,0.065,0.678
"P36","Sergio Massa por el Frente de Todos",0.726,0.056,0.013,0.093,0.086,0.097
"P36","Mauricio Macri por Juntos por el Cambio",0.059,0.78,0.148,0.012,0.181,0.143
"P36","Javier Milei por los liberales libertarios",0.025,0.02,0.801,0,0.048,0.017
"P36","Nicolás del Caño por la izquierda",0.025,0.006,0.003,0.874,0.007,0.039
"P36","Otro candidato",0.104,0.085,0.016,0.021,0.592,0.036
"P36","Aún no lo tengo decidido",0.061,0.053,0.019,0,0.086,0.668
"P37","Wado de Pedro por el Frente de Todos",0.725,0.042,0.005,0.25,0.021,0.064
"P37","Mauricio Macri por Juntos por el Cambio",0.05,0.771,0.2,0,0.219,0.145
"P37","Javier Milei por los liberales libertarios",0.02,0.024,0.756,0,0.043,0.005
"P37","Nicolás del Caño por la izquierda",0.032,0.007,0.005,0.695,0.007,0.047
"P37","Otro candidato",0.076,0.108,0.018,0.033,0.651,0.12
"P37","Aún no lo tengo decidido",0.097,0.048,0.016,0.022,0.059,0.619
"P38","Wado de Pedro por el Frente de Todos",0.706,0.04,0.002,0.283,0.045,0.066
"P38","Patricia Bullrich por Juntos por el Cambio",0.065,0.775,0.288,0.03,0.34,0.14
"P38","Javier Milei por los liberales libertarios",0.016,0.04,0.687,0,0.051,0.006
"P38","Nicolás del Caño por la izquierda",0.017,0.01,0.006,0.628,0.018,0.003
"P38","Otro candidato",0.097,0.071,0.003,0.036,0.455,0.138
"P38","Aún no lo tengo decidido",0.099,0.064,0.014,0.023,0.091,0.647
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.855,0.049,0.001,0.062,0.073,0.093
"P39","Patricia Bullrich por Juntos por el Cambio",0.084,0.778,0.283,0.016,0.334,0.149
"P39","Javier Milei por los liberales libertarios",0.003,0.049,0.707,0,0.047,0.011
"P39","Nicolás del Caño por la izquierda",0.005,0.003,0.003,0.695,0.015,0
"P39","Otro candidato",0.027,0.07,0.003,0.19,0.467,0.093
"P39","Aún no lo tengo decidido",0.026,0.051,0.003,0.037,0.064,0.654
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.808,0.104,0.056,0.524,0.119,0.239
"P40","Mauricio Macri por Juntos por el Cambio",0.17,0.738,0.579,0.02,0.365,0.256
"P40","No sabe",0.022,0.158,0.365,0.456,0.516,0.505
"P41","Wado de Pedro por el Frente de Todos",0.775,0.051,0.036,0.433,0.049,0.133
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.085,0.89,0.448,0.148,0.259,0.305
"P41","No sabe",0.14,0.059,0.516,0.419,0.692,0.562
"P42","Sergio Massa por el Frente de Todos",0.771,0.069,0.024,0.548,0.114,0.145
"P42","Patricia Bullrich por Juntos por el Cambio",0.074,0.84,0.679,0.021,0.497,0.32
"P42","No sabe",0.155,0.091,0.297,0.431,0.389,0.535
"P43","Sergio Massa por el Frente de Todos",0.783,0.074,0.025,0.582,0.158,0.177
"P43","Mauricio Macri por Juntos por el Cambio",0.087,0.802,0.693,0.061,0.415,0.267
"P43","No sabe",0.13,0.124,0.282,0.357,0.427,0.556
"P44","Sergio Massa por el Frente de Todos",0.793,0.066,0.009,0.506,0.138,0.193
"P44","Javier Milei por los liberales libertarios",0.07,0.424,0.917,0.017,0.276,0.177
"P44","No sabe",0.137,0.51,0.074,0.477,0.586,0.63
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.371,0.471,0.04,0.318,0.125,0.24
"P45","Javier Milei por los liberales libertarios",0.086,0.209,0.908,0.017,0.297,0.13
"P45","No sabe",0.543,0.32,0.052,0.665,0.578,0.63
"P46","Patricia Bullrich por Juntos por el Cambio",0.123,0.831,0.615,0.045,0.466,0.221
"P46","Wado de Pedro por el Frente de Todos",0.656,0.061,0.157,0.457,0.058,0.098
"P46","No sabe",0.221,0.108,0.228,0.498,0.476,0.681
"P47","Patricia Bullrich por Juntos por el Cambio",0.108,0.872,0.74,0.022,0.508,0.312
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.861,0.035,0.045,0.432,0.094,0.187
"P47","No sabe",0.031,0.093,0.215,0.546,0.398,0.501
"P48","Muy buena",0.133,0.093,0.057,0,0.065,0.086
"P48","Buena",0.419,0.02,0.017,0.048,0.016,0.05
"P48","Ni buena ni mala",0.257,0.02,0.061,0.376,0.158,0.3
"P48","Mala",0.109,0.098,0.043,0.266,0.126,0.154
"P48","Muy mala",0.061,0.767,0.816,0.274,0.635,0.362
"P48","No sabe",0.021,0.002,0.006,0.036,0,0.048
"P49","Muy buena",0.148,0.004,0.01,0.036,0.01,0.026
"P49","Buena",0.336,0.024,0.009,0.048,0.026,0.1
"P49","Ni buena ni mala",0.31,0.03,0.045,0.376,0.154,0.298
"P49","Mala",0.105,0.136,0.065,0.288,0.151,0.086
"P49","Muy mala",0.09,0.796,0.865,0.252,0.659,0.451
"P49","No sabe",0.011,0.01,0.006,0,0,0.039
"P50","Muy buena",0.667,0.018,0.013,0.097,0.036,0.111
"P50","Buena",0.164,0.005,0.015,0.048,0.03,0.077
"P50","Ni buena ni mala",0.09,0.017,0.048,0.415,0.111,0.13
"P50","Mala",0.012,0.066,0.026,0.188,0.075,0.119
"P50","Muy mala",0.067,0.894,0.892,0.252,0.731,0.507
"P50","No sabe",0,0,0.006,0,0.017,0.056
"P51","Muy buena",0.15,0.353,0.125,0,0.158,0.059
"P51","Buena",0.055,0.272,0.217,0.082,0.197,0.182
"P51","Ni buena ni mala",0.045,0.166,0.266,0.183,0.218,0.075
"P51","Mala",0.176,0.053,0.138,0.092,0.117,0.188
"P51","Muy mala",0.558,0.156,0.25,0.643,0.293,0.424
"P51","No sabe",0.016,0,0.004,0,0.017,0.072
"P52","Muy buena",0.074,0.392,0.067,0.092,0.124,0.041
"P52","Buena",0.032,0.352,0.187,0.076,0.12,0.185
"P52","Ni buena ni mala",0.11,0.184,0.27,0,0.399,0.271
"P52","Mala",0.197,0.038,0.181,0.34,0.136,0.105
"P52","Muy mala",0.561,0.034,0.279,0.492,0.207,0.307
"P52","No sabe",0.026,0,0.016,0,0.014,0.091
"P53","Muy buena",0.171,0.044,0.027,0.047,0.029,0.068
"P53","Buena",0.347,0.069,0.031,0.14,0.041,0.094
"P53","Ni buena ni mala",0.253,0.104,0.062,0.202,0.201,0.178
"P53","Mala",0.112,0.151,0.125,0.438,0.137,0.206
"P53","Muy mala",0.1,0.629,0.747,0.173,0.568,0.39
"P53","No sabe",0.017,0.003,0.008,0,0.024,0.064
"P54","Muy buena",0.094,0.436,0.334,0,0.192,0.151
"P54","Buena",0.058,0.299,0.252,0.022,0.211,0.113
"P54","Ni buena ni mala",0.116,0.111,0.162,0.227,0.146,0.187
"P54","Mala",0.129,0.047,0.076,0.15,0.073,0.145
"P54","Muy mala",0.586,0.099,0.157,0.601,0.336,0.354
"P54","No sabe",0.017,0.008,0.019,0,0.042,0.05
"P55","Muy buena",0.041,0.082,0.559,0,0.07,0.038
"P55","Buena",0.029,0.178,0.323,0.017,0.069,0.107
"P55","Ni buena ni mala",0.126,0.402,0.096,0,0.424,0.373
"P55","Mala",0.165,0.169,0.003,0.187,0.158,0.097
"P55","Muy mala",0.62,0.144,0.016,0.796,0.277,0.281
"P55","No sabe",0.019,0.025,0.003,0,0.002,0.104
"P56","Muy buena",0.044,0.368,0.169,0.059,0.126,0.061
"P56","Buena",0.018,0.369,0.26,0.017,0.182,0.14
"P56","Ni buena ni mala",0.081,0.133,0.206,0.092,0.266,0.285
"P56","Mala",0.188,0.063,0.181,0.08,0.116,0.17
"P56","Muy mala",0.663,0.053,0.176,0.752,0.31,0.246
"P56","No sabe",0.006,0.014,0.008,0,0,0.098
"P57","Muy buena",0.371,0.056,0.036,0.048,0.035,0.011
"P57","Buena",0.251,0.043,0.02,0.043,0.074,0.065
"P57","Ni buena ni mala",0.174,0.147,0.157,0.303,0.235,0.173
"P57","Mala",0.086,0.218,0.17,0.258,0.179,0.225
"P57","Muy mala",0.084,0.487,0.556,0.278,0.41,0.332
"P57","No sabe",0.034,0.049,0.061,0.07,0.067,0.194
"P58","Muy buena",0.103,0.078,0.054,0.173,0.081,0.059
"P58","Buena",0.141,0.229,0.094,0.08,0.238,0.259
"P58","Ni buena ni mala",0.343,0.407,0.375,0.127,0.239,0.2
"P58","Mala",0.166,0.152,0.133,0.21,0.18,0.132
"P58","Muy mala",0.175,0.122,0.32,0.209,0.204,0.177
"P58","No sabe",0.072,0.012,0.024,0.201,0.058,0.173
"P59","Muy buena",0.03,0.081,0.039,0.022,0.038,0.033
"P59","Buena",0.04,0.273,0.099,0,0.266,0.064
"P59","Ni buena ni mala",0.234,0.398,0.27,0.284,0.263,0.457
"P59","Mala",0.156,0.071,0.167,0.187,0.094,0.13
"P59","Muy mala",0.468,0.091,0.297,0.2,0.182,0.14
"P59","No sabe",0.072,0.086,0.128,0.307,0.157,0.176
"P60","Siempre",0.305,0.298,0.279,0.089,0.193,0.227
"P60","Casi siempre",0.363,0.404,0.356,0.558,0.439,0.326
"P60","Casi nunca",0.246,0.228,0.248,0.182,0.266,0.371
"P60","Nunca, pero esta es una excepción",0.086,0.07,0.117,0.171,0.102,0.076
"P61","Si",0.618,0.501,0.508,0.409,0.538,0.37
"P61","No",0.382,0.499,0.492,0.591,0.462,0.63
