"var","categoria","Wado de Pedro por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P29","Javier Milei por los liberales libertarios",0.018,0.108,0.917,0.015,0.025,0.016
"P29","Nicolás del Caño por la izquierda",0.005,0.001,0,0.484,0.004,0.022
"P29","Otro candidato",0.033,0.064,0.005,0.092,0.546,0.086
"P29","Aún no lo tengo decidido",0.039,0.079,0.025,0.195,0.117,0.651
"P31","Sergio Massa por el Frente de Todos",0.763,0.054,0.02,0.102,0.165,0.229
"P31","Patricia Bullrich por Juntos por el Cambio",0.05,0.818,0.136,0.054,0.28,0.121
"P31","Javier Milei por los liberales libertarios",0.004,0.057,0.817,0.004,0.013,0.034
"P31","Nicolás del Caño por la izquierda",0.018,0.001,0,0.735,0.008,0.018
"P31","Otro candidato",0.068,0.026,0.012,0.061,0.419,0.071
"P31","Aún no lo tengo decidido",0.097,0.044,0.015,0.044,0.115,0.527
"P33","Sergio Massa por el Frente de Todos",0.706,0.077,0.024,0.118,0.157,0.194
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.099,0.676,0.062,0.129,0.219,0.104
"P33","Javier Milei por los liberales libertarios",0.015,0.117,0.893,0.098,0.027,0.022
"P33","Nicolás del Caño por la izquierda",0.031,0.006,0,0.571,0.006,0.005
"P33","Otro candidato",0.086,0.074,0.008,0.062,0.505,0.095
"P33","Aún no lo tengo decidido",0.063,0.05,0.013,0.022,0.086,0.58
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.909,0.055,0.036,0.343,0.194,0.312
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.043,0.697,0.037,0.066,0.226,0.126
"P35","Javier Milei por los liberales libertarios",0.004,0.141,0.902,0.038,0.029,0.033
"P35","Nicolás del Caño por la izquierda",0.017,0,0,0.412,0.005,0.004
"P35","Otro candidato",0.008,0.069,0.023,0.021,0.474,0.054
"P35","Aún no lo tengo decidido",0.019,0.038,0.002,0.12,0.072,0.471
"P36","Sergio Massa por el Frente de Todos",0.81,0.025,0.018,0.149,0.175,0.202
"P36","Mauricio Macri por Juntos por el Cambio",0.006,0.892,0.033,0.143,0.072,0.068
"P36","Javier Milei por los liberales libertarios",0.012,0.046,0.922,0.023,0.01,0.042
