"var","categoria","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P12","A Patricia Bullrich",0.106,0.423,0.377
"P12","A Facundo Manes",0.38,0.034,0.086
"P12","A Gerardo Morales",0.221,0.003,0.025
"P13","Seguro lo votaria",0.121,0.248,0.097
"P13","Quizás lo votaría",0.184,0.439,0.267
"P13","Nunca lo votaría",0.695,0.313,0.636
"P14","Lo votaría",0.052,0.339,0.277
"P14","Puede que lo vote",0.028,0.356,0.201
"P14","Nunca lo votaría",0.845,0.227,0.414
"P14","No sabe",0.075,0.078,0.108
"P15","Lo votaría",0.315,0.021,0.025
"P15","Puede que lo vote",0.44,0.105,0.087
"P15","Nunca lo votaría",0.193,0.855,0.776
"P15","No sabe",0.052,0.019,0.112
"P16","Lo votaría",0.262,0.007,0.027
"P16","Puede que lo vote",0.488,0.006,0.095
"P16","Nunca lo votaría",0.177,0.968,0.803
"P16","No sabe",0.073,0.019,0.075
"P17","La votaría",0.722,0.012,0.125
"P17","Puede que la vote",0.171,0.002,0.04
"P17","Nunca la votaría",0.083,0.955,0.78
"P17","No sabe",0.024,0.031,0.055
"P18","Lo votaría",0.133,0.163,0.179
"P18","Puede que lo vote",0.074,0.345,0.371
"P18","Nunca lo votaría",0.774,0.442,0.344
"P18","No sabe",0.019,0.05,0.106
"P19","Lo votaría",0.053,0.069,0.108
"P19","Puede que lo vote",0.156,0.305,0.332
"P19","Nunca lo votaría",0.641,0.545,0.446
"P19","No sabe",0.15,0.081,0.114
"P20","La votaría",0.027,0.468,0.333
"P20","Puede que la vote",0.047,0.286,0.232
"P20","Nunca la votaría",0.859,0.205,0.357
"P20","No sabe",0.067,0.041,0.078
"P21","Lo votaría",0.027,0.49,0.056
"P21","Puede que lo vote",0.052,0.291,0.149
"P21","Nunca lo votaría",0.858,0.162,0.693
"P21","No sabe",0.063,0.057,0.102
"P22","La votaría",0.026,0.187,0.155
"P22","Puede que la vote",0.041,0.334,0.301
"P22","Nunca la votaría",0.889,0.382,0.448
"P22","No sabe",0.044,0.097,0.096
"P23","Lo votaría",0.402,0.027,0.049
"P23","Puede que lo vote",0.282,0.093,0.094
"P23","Nunca lo votaría",0.234,0.781,0.747
"P23","No sabe",0.082,0.099,0.11
"P24","Lo votaría",0.088,0.034,0.052
"P24","Puede que lo vote",0.118,0.209,0.237
"P24","Nunca lo votaría",0.686,0.611,0.532
"P24","No sabe",0.108,0.146,0.179
"P25","Mauricio Macri por Juntos por el Cambio",0.018,0.211,0.188
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.106,0.141
"P25","Patricia Bullrich por Juntos por el Cambio",0.003,0.266,0.224
"P25","Facundo Manes por Juntos por el Cambio",0.022,0.023,0.104
"P25","Alberto Fernández por el Frente de Todos",0.087,0.006,0.012
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.743,0.017,0.141
"P25","Javier Milei por los liberales libertarios",0.003,0.312,0.027
"P25","Nicolás del Caño por la izquierda",0.016,0.003,0.017
"P25","Otros candidatos",0.036,0.035,0.051
"P25","Aún no lo tengo decidido",0.037,0.021,0.095
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.127,0.191
"P26","Patricia Bullrich por Juntos por el Cambio",0.006,0.391,0.344
"P26","Facundo Manes por Juntos por el Cambio",0.037,0.082,0.105
"P26","Wado de Pedro por el Frente de Todos",0.378,0.004,0.111
"P26","Sergio Massa por el Frente de Todos",0.446,0.012,0.03
"P26","Javier Milei por los liberales libertarios",0.013,0.307,0.033
"P26","Nicolás del Caño por la izquierda",0.022,0.038,0.018
"P26","Otros candidatos",0.024,0.013,0.041
"P26","Aún no lo tengo decidido",0.037,0.026,0.127
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.833,0.028,0.169
"P27","Mauricio Macri por Juntos por el Cambio",0.022,0.438,0.39
"P27","Javier Milei por los liberales libertarios",0.023,0.421,0.062
"P27","Nicolás del Caño por la izquierda",0.024,0.016,0.017
"P27","Otro candidato",0.049,0.055,0.171
"P27","Aún no lo tengo decidido",0.049,0.042,0.191
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.133,0.339,0.403
"P29","Wado de Pedro por el Frente de Todos",0.658,0.05,0.124
"P29","Javier Milei por los liberales libertarios",0.021,0.496,0.044
"P29","Nicolás del Caño por la izquierda",0.029,0.003,0.023
"P29","Otro candidato",0.067,0.046,0.211
"P29","Aún no lo tengo decidido",0.092,0.066,0.195
"P31","Sergio Massa por el Frente de Todos",0.76,0.039,0.056
"P31","Patricia Bullrich por Juntos por el Cambio",0.05,0.484,0.476
"P31","Javier Milei por los liberales libertarios",0.016,0.399,0.055
"P31","Nicolás del Caño por la izquierda",0.052,0.015,0.028
"P31","Otro candidato",0.064,0.02,0.202
"P31","Aún no lo tengo decidido",0.058,0.043,0.183
"P33","Sergio Massa por el Frente de Todos",0.717,0.043,0.047
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.108,0.342,0.445
"P33","Javier Milei por los liberales libertarios",0.015,0.511,0.043
"P33","Nicolás del Caño por la izquierda",0.037,0.018,0.022
"P33","Otro candidato",0.074,0.045,0.243
"P33","Aún no lo tengo decidido",0.049,0.041,0.2
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.836,0.063,0.152
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.057,0.314,0.461
"P35","Javier Milei por los liberales libertarios",0.006,0.524,0.052
"P35","Nicolás del Caño por la izquierda",0.021,0.001,0.021
"P35","Otro candidato",0.037,0.064,0.166
"P35","Aún no lo tengo decidido",0.043,0.034,0.148
"P36","Sergio Massa por el Frente de Todos",0.798,0.033,0.043
"P36","Mauricio Macri por Juntos por el Cambio",0.055,0.417,0.438
"P36","Javier Milei por los liberales libertarios",0.002,0.463,0.054
"P36","Nicolás del Caño por la izquierda",0.037,0.012,0.027
"P36","Otro candidato",0.072,0.045,0.253
"P36","Aún no lo tengo decidido",0.036,0.03,0.185
"P37","Wado de Pedro por el Frente de Todos",0.735,0.02,0.097
"P37","Mauricio Macri por Juntos por el Cambio",0.03,0.454,0.428
"P37","Javier Milei por los liberales libertarios",0.015,0.429,0.049
"P37","Nicolás del Caño por la izquierda",0.046,0.017,0.022
"P37","Otro candidato",0.085,0.055,0.231
"P37","Aún no lo tengo decidido",0.089,0.025,0.173
"P38","Wado de Pedro por el Frente de Todos",0.719,0.013,0.109
"P38","Patricia Bullrich por Juntos por el Cambio",0.038,0.519,0.486
"P38","Javier Milei por los liberales libertarios",0.016,0.398,0.043
"P38","Nicolás del Caño por la izquierda",0.038,0.004,0.022
"P38","Otro candidato",0.091,0.043,0.166
"P38","Aún no lo tengo decidido",0.098,0.023,0.174
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.802,0.021,0.164
"P39","Patricia Bullrich por Juntos por el Cambio",0.056,0.502,0.484
"P39","Javier Milei por los liberales libertarios",0.003,0.414,0.048
"P39","Nicolás del Caño por la izquierda",0.03,0.004,0.018
"P39","Otro candidato",0.067,0.022,0.131
"P39","Aún no lo tengo decidido",0.042,0.037,0.155
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.813,0.087,0.168
"P40","Mauricio Macri por Juntos por el Cambio",0.113,0.696,0.486
"P40","No sabe",0.074,0.217,0.346
"P41","Wado de Pedro por el Frente de Todos",0.813,0.037,0.119
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.074,0.669,0.503
"P41","No sabe",0.113,0.294,0.378
"P42","Sergio Massa por el Frente de Todos",0.911,0.03,0.042
"P42","Patricia Bullrich por Juntos por el Cambio",0.034,0.806,0.54
"P42","No sabe",0.055,0.164,0.418
"P43","Sergio Massa por el Frente de Todos",0.931,0.03,0.056
"P43","Mauricio Macri por Juntos por el Cambio",0.029,0.815,0.474
"P43","No sabe",0.04,0.155,0.47
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.489,0.204,0.208
"P45","Javier Milei por los liberales libertarios",0.043,0.746,0.078
"P45","No sabe",0.468,0.05,0.714
"P46","Patricia Bullrich por Juntos por el Cambio",0.113,0.727,0.495
"P46","Wado de Pedro por el Frente de Todos",0.662,0.118,0.113
"P46","No sabe",0.225,0.155,0.392
"P47","Patricia Bullrich por Juntos por el Cambio",0.081,0.815,0.551
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.861,0.052,0.151
"P47","No sabe",0.058,0.133,0.298
"P48","Muy buena",0.13,0.096,0.056
"P48","Buena",0.432,0.011,0.052
"P48","Ni buena ni mala",0.283,0.051,0.12
"P48","Mala",0.11,0.062,0.131
"P48","Muy mala",0.034,0.776,0.616
"P48","No sabe",0.011,0.004,0.025
"P49","Muy buena",0.135,0.017,0.025
"P49","Buena",0.361,0.006,0.051
"P49","Ni buena ni mala",0.34,0.041,0.128
"P49","Mala",0.101,0.094,0.139
"P49","Muy mala",0.062,0.84,0.626
"P49","No sabe",0.001,0.002,0.031
"P50","Muy buena",0.606,0.033,0.136
"P50","Buena",0.179,0.009,0.028
"P50","Ni buena ni mala",0.133,0.021,0.065
"P50","Mala",0.04,0.035,0.063
"P50","Muy mala",0.041,0.899,0.691
"P50","No sabe",0.001,0.003,0.017
"P51","Muy buena",0.127,0.218,0.232
"P51","Buena",0.052,0.256,0.189
"P51","Ni buena ni mala",0.053,0.21,0.16
"P51","Mala",0.18,0.093,0.118
"P51","Muy mala",0.573,0.221,0.277
"P51","No sabe",0.015,0.002,0.024
"P52","Muy buena",0.061,0.194,0.231
"P52","Buena",0.049,0.252,0.202
"P52","Ni buena ni mala",0.075,0.237,0.283
"P52","Mala",0.205,0.128,0.086
"P52","Muy mala",0.578,0.18,0.178
"P52","No sabe",0.032,0.009,0.02
"P53","Muy buena",0.208,0.017,0.038
"P53","Buena",0.379,0.042,0.065
"P53","Ni buena ni mala",0.235,0.099,0.16
"P53","Mala",0.085,0.128,0.207
"P53","Muy mala",0.071,0.709,0.511
"P53","No sabe",0.022,0.005,0.019
"P54","Muy buena",0.066,0.363,0.305
"P54","Buena",0.052,0.298,0.176
"P54","Ni buena ni mala",0.112,0.11,0.185
"P54","Mala",0.121,0.066,0.092
"P54","Muy mala",0.633,0.141,0.223
"P54","No sabe",0.016,0.022,0.019
"P55","Muy buena",0.018,0.375,0.059
"P55","Buena",0.013,0.323,0.052
"P55","Ni buena ni mala",0.118,0.214,0.39
"P55","Mala",0.146,0.059,0.188
"P55","Muy mala",0.683,0.019,0.278
"P55","No sabe",0.022,0.01,0.033
"P56","Muy buena",0.029,0.243,0.226
"P56","Buena",0.014,0.307,0.226
"P56","Ni buena ni mala",0.078,0.171,0.204
"P56","Mala",0.176,0.147,0.102
"P56","Muy mala",0.699,0.122,0.212
"P56","No sabe",0.004,0.01,0.03
"P57","Muy buena",0.368,0.045,0.068
"P57","Buena",0.25,0.031,0.073
"P57","Ni buena ni mala",0.158,0.16,0.193
"P57","Mala",0.103,0.195,0.178
"P57","Muy mala",0.072,0.509,0.424
"P57","No sabe",0.049,0.06,0.064
"P58","Muy buena",0.117,0.048,0.088
"P58","Buena",0.149,0.178,0.185
"P58","Ni buena ni mala",0.318,0.358,0.361
"P58","Mala",0.17,0.137,0.16
"P58","Muy mala",0.163,0.242,0.167
"P58","No sabe",0.083,0.037,0.039
"P59","Muy buena",0.032,0.04,0.072
"P59","Buena",0.047,0.185,0.179
"P59","Ni buena ni mala",0.225,0.316,0.378
"P59","Mala",0.154,0.138,0.087
"P59","Muy mala",0.452,0.191,0.193
"P59","No sabe",0.09,0.13,0.091
"P60","Siempre",0.296,0.271,0.272
"P60","Casi siempre",0.397,0.364,0.383
"P60","Casi nunca",0.234,0.255,0.261
"P60","Nunca, pero esta es una excepción",0.073,0.11,0.084
"P61","Si",0.609,0.498,0.507
"P61","No",0.391,0.502,0.493
