"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P52","Muy buena",0.059,0.383,0.082,0,0.074,0.047
"P52","Buena",0.057,0.314,0.173,0.088,0.101,0.135
"P52","Ni buena ni mala",0.097,0.184,0.256,0.079,0.374,0.225
"P52","Mala",0.215,0.053,0.171,0.239,0.097,0.177
"P52","Muy mala",0.549,0.066,0.306,0.565,0.335,0.318
"P52","No sabe",0.023,0,0.012,0.029,0.019,0.098
"P53","Muy buena",0.221,0.072,0.011,0.025,0.005,0.024
"P53","Buena",0.392,0.076,0.057,0.069,0.077,0.108
"P53","Ni buena ni mala",0.214,0.104,0.071,0.215,0.292,0.227
"P53","Mala",0.054,0.149,0.102,0.307,0.185,0.325
"P53","Muy mala",0.099,0.595,0.754,0.355,0.423,0.262
"P53","No sabe",0.02,0.004,0.005,0.029,0.018,0.054
"P54","Muy buena",0.1,0.442,0.292,0.069,0.164,0.088
"P54","Buena",0.061,0.284,0.236,0.042,0.141,0.152
"P54","Ni buena ni mala",0.075,0.124,0.172,0.126,0.167,0.206
"P54","Mala",0.115,0.051,0.097,0.041,0.081,0.182
"P54","Muy mala",0.625,0.093,0.168,0.722,0.447,0.324
"P54","No sabe",0.024,0.006,0.035,0,0,0.048
"P55","Muy buena",0.061,0.085,0.554,0.071,0.027,0.032
"P55","Buena",0.027,0.175,0.324,0.041,0.053,0.073
"P55","Ni buena ni mala",0.105,0.367,0.105,0.15,0.359,0.344
"P55","Mala",0.156,0.186,0,0.103,0.126,0.139
"P55","Muy mala",0.62,0.167,0.016,0.635,0.433,0.335
"P55","No sabe",0.031,0.02,0.001,0,0.002,0.077
"P56","Muy buena",0.042,0.333,0.184,0.104,0.069,0.08
"P56","Buena",0.043,0.342,0.241,0.01,0.105,0.119
"P56","Ni buena ni mala",0.078,0.136,0.199,0.17,0.223,0.216
"P56","Mala",0.177,0.095,0.175,0.027,0.106,0.216
"P56","Muy mala",0.65,0.082,0.195,0.689,0.488,0.301
"P56","No sabe",0.01,0.012,0.006,0,0.009,0.068
"P57","Muy buena",0.385,0.086,0.02,0.082,0.114,0.106
"P57","Buena",0.261,0.047,0.029,0.099,0.147,0.069
"P57","Ni buena ni mala",0.163,0.126,0.179,0.233,0.215,0.249
"P57","Mala",0.095,0.222,0.161,0.096,0.133,0.192
"P57","Muy mala",0.082,0.461,0.533,0.267,0.371,0.236
"P57","No sabe",0.014,0.058,0.078,0.223,0.02,0.148
"P58","Muy buena",0.085,0.11,0.054,0.034,0.094,0.035
"P58","Buena",0.158,0.227,0.094,0.008,0.185,0.219
"P58","Ni buena ni mala",0.343,0.358,0.388,0.209,0.271,0.351
"P58","Mala",0.177,0.133,0.117,0.229,0.223,0.142
"P58","Muy mala",0.181,0.146,0.3,0.221,0.2,0.137
"P58","No sabe",0.056,0.026,0.047,0.299,0.027,0.116
"P59","Muy buena",0.043,0.081,0.02,0.008,0.047,0.008
"P59","Buena",0.053,0.249,0.092,0,0.159,0.119
"P59","Ni buena ni mala",0.223,0.386,0.307,0.086,0.238,0.417
"P59","Mala",0.176,0.085,0.151,0.257,0.07,0.126
"P59","Muy mala",0.433,0.103,0.288,0.316,0.394,0.225
"P59","No sabe",0.072,0.096,0.142,0.333,0.092,0.105
"P60","Siempre",0.335,0.276,0.272,0.318,0.221,0.205
"P60","Casi siempre",0.389,0.383,0.357,0.423,0.362,0.416
"P60","Casi nunca",0.207,0.259,0.242,0.162,0.322,0.297
"P60","Nunca, pero esta es una excepción",0.069,0.082,0.129,0.097,0.095,0.082
"P61","Si",0.651,0.496,0.49,0.515,0.526,0.465
"P61","No",0.349,0.504,0.51,0.485,0.474,0.535
