"var","categoria","Camau Espinola por Unión por la patria","German Brailard por Unión por la patria","Juan Pablo Valdes por Juntos por el cambio","Eduardo Tassano por Juntos por el cambio","Pitin Aragon por Unión por la patria","Tincho Ascua por Unión por la patria","Emiliano Fernandez por Unión por la patria","Ricardo Colombi por Juntos por el cambio","Noelia Bassi por Juntos por el cambio","No sabe"
"P33","Buena",0.064,0.104,0.226,0.29,0.121,0.066,0.115,0.202,0.154,0.077
"P33","Ni buena ni mala",0.541,0.273,0.368,0.338,0.325,0.609,0.546,0.423,0.401,0.398
"P33","Mala",0.147,0.233,0.203,0.01,0.331,0.168,0.197,0.191,0.292,0.191
"P33","Muy mala",0.079,0.13,0.036,0.024,0.048,0.074,0.024,0.048,0.027,0.104
"P33","No sabe",0.104,0.11,0.076,0.042,0.039,0.073,0.052,0.062,0.057,0.198
"P34","Muy buena",0.088,0.378,0.194,0.325,0.043,0.053,0.065,0.453,0.111,0.052
"P34","Buena",0.06,0.185,0.199,0.281,0.259,0.13,0.177,0.204,0.155,0.098
"P34","Ni buena ni mala",0.493,0.16,0.304,0.226,0.349,0.286,0.495,0.235,0.389,0.412
"P34","Mala",0.225,0.122,0.201,0.143,0.248,0.385,0.203,0.079,0.29,0.206
"P34","Muy mala",0.074,0.025,0.071,0.025,0.087,0.138,0.06,0.01,0.055,0.133
"P34","No sabe",0.06,0.13,0.031,0,0.014,0.008,0,0.019,0,0.099
"P35","Muy buena",0.041,0.309,0.123,0.031,0.073,0.048,0.052,0.075,0.396,0.003
"P35","Buena",0.057,0.068,0.116,0.298,0.148,0.129,0.038,0.148,0.212,0.072
"P35","Ni buena ni mala",0.521,0.352,0.425,0.418,0.408,0.375,0.745,0.482,0.256,0.524
"P35","Mala",0.191,0.094,0.173,0.119,0.247,0.26,0.124,0.161,0.066,0.1
"P35","Muy mala",0.062,0.005,0.044,0.054,0.039,0.068,0.028,0.029,0.038,0.082
"P35","No sabe",0.128,0.172,0.119,0.08,0.085,0.12,0.013,0.105,0.032,0.219
"P36","Muy buena",0.335,0.161,0.156,0.116,0.382,0.362,0.552,0.13,0.044,0.096
"P36","Buena",0.113,0.153,0.053,0.182,0.152,0.133,0.016,0.117,0.062,0.096
"P36","Ni buena ni mala",0.292,0.213,0.202,0.222,0.232,0.207,0.244,0.246,0.158,0.162
"P36","Mala",0.144,0.175,0.352,0.197,0.112,0.146,0.107,0.232,0.504,0.217
"P36","Muy mala",0.087,0.161,0.203,0.273,0.114,0.136,0.081,0.219,0.232,0.333
"P36","No sabe",0.029,0.137,0.034,0.01,0.008,0.016,0,0.056,0,0.096
"P37","Muy buena",0.142,0.193,0.164,0.128,0.116,0.136,0.162,0.223,0.068,0.099
"P37","Buena",0.103,0.152,0.242,0.331,0.074,0.097,0.036,0.226,0.387,0.23
"P37","Ni buena ni mala",0.186,0.122,0.246,0.268,0.202,0.148,0.405,0.337,0.212,0.251
"P37","Mala",0.309,0.347,0.239,0.142,0.421,0.24,0.288,0.108,0.215,0.178
"P37","Muy mala",0.24,0.165,0.076,0.131,0.187,0.353,0.109,0.096,0.118,0.127
"P37","No sabe",0.02,0.021,0.033,0,0,0.026,0,0.01,0,0.115
"P38","Muy buena",0.225,0.35,0.133,0.031,0.297,0.229,0.318,0.125,0.048,0.075
"P38","Buena",0.166,0.138,0.084,0.24,0.177,0.227,0.062,0.126,0.028,0.128
"P38","Ni buena ni mala",0.179,0.146,0.14,0.215,0.17,0.161,0.229,0.224,0.166,0.135
"P38","Mala",0.286,0.208,0.385,0.194,0.168,0.153,0.296,0.265,0.296,0.205
"P38","Muy mala",0.142,0.158,0.25,0.314,0.188,0.181,0.095,0.254,0.462,0.362
"P38","No sabe",0.002,0,0.008,0.006,0,0.049,0,0.006,0,0.095
"P39","Muy buena",0.152,0.31,0.322,0.3,0.043,0.206,0.222,0.303,0.281,0.312
"P39","Buena",0.096,0.127,0.203,0.31,0.151,0.011,0.203,0.166,0.246,0.181
"P39","Ni buena ni mala",0.238,0.227,0.167,0.229,0.229,0.184,0.16,0.24,0.227,0.197
"P39","Mala",0.265,0.164,0.181,0.112,0.238,0.199,0.108,0.156,0.064,0.149
"P39","Muy mala",0.191,0.172,0.127,0.049,0.331,0.4,0.307,0.135,0.182,0.114
"P39","No sabe",0.058,0,0,0,0.008,0,0,0,0,0.047
"P40","Muy buena",0.125,0.31,0.317,0.459,0.118,0.135,0.166,0.373,0.381,0.342
"P40","Buena",0.103,0.125,0.303,0.254,0.19,0.132,0.134,0.233,0.334,0.218
"P40","Ni buena ni mala",0.243,0.078,0.202,0.206,0.164,0.105,0.286,0.133,0.188,0.169
"P40","Mala",0.253,0.287,0.094,0.063,0.148,0.259,0.101,0.139,0.058,0.136
"P40","Muy mala",0.22,0.179,0.072,0.012,0.376,0.369,0.313,0.118,0.039,0.088
"P40","No sabe",0.056,0.021,0.012,0.006,0.004,0,0,0.004,0,0.047
