"var","categoria","Alberto Fernández presidente – Daniel Scioli vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.043,0.6,0.143
"P38","Javier Milei – José Luis Espert por los liberales",0.029,0.244,0.375
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.054,0.012,0.05
"P38","Otro candidato",0.172,0.109,0.289
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.887,0.052,0.222
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.047,0.826,0.218
"P39","No sabe",0.066,0.122,0.56
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.781,0.035,0.141
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.036,0.857,0.262
"P41","No sabe",0.183,0.108,0.597
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.865,0.021,0.229
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.03,0.902,0.107
"P42","No sabe",0.105,0.077,0.664
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.792,0.025,0.138
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.028,0.89,0.11
"P43","No sabe",0.18,0.085,0.752
"P44","Mauricio Macri – María Eugenia Vidal",0.126,0.737,0.238
"P44","Sergio Massa – Wado de Pedro",0.69,0.152,0.156
"P44","No sabe",0.184,0.111,0.606
"P45","Sergio Massa – Wado de Pedro",0.698,0.119,0.161
"P45","Javier Milei – José Luis Espert",0.135,0.524,0.392
"P45","No sabe",0.167,0.357,0.447
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.161,0.553,0.07
"P46","Javier Milei – José Luis Espert",0.077,0.344,0.404
"P46","No sabe",0.762,0.103,0.526
"P47","Muy buena",0.149,0.074,0.021
"P47","Buena",0.337,0.052,0.088
"P47","Ni buena ni mala",0.376,0.024,0.197
"P47","Mala",0.084,0.112,0.155
"P47","Muy mala",0.038,0.736,0.514
"P47","No sabe",0.016,0.002,0.025
"P48","Muy buena",0.219,0.026,0.025
"P48","Buena",0.371,0.009,0.058
"P48","Ni buena ni mala",0.272,0.038,0.161
"P48","Mala",0.093,0.116,0.17
"P48","Muy mala",0.039,0.807,0.566
"P48","No sabe",0.006,0.004,0.02
"P49","Muy buena",0.651,0.02,0.154
"P49","Buena",0.188,0.014,0.06
"P49","Ni buena ni mala",0.093,0.012,0.092
"P49","Mala",0.022,0.055,0.096
"P49","Muy mala",0.042,0.896,0.584
"P49","No sabe",0.004,0.003,0.014
"P50","Muy buena",0.084,0.248,0.103
"P50","Buena",0.038,0.306,0.119
"P50","Ni buena ni mala",0.061,0.197,0.205
"P50","Mala",0.192,0.072,0.175
"P50","Muy mala",0.616,0.175,0.385
"P50","No sabe",0.009,0.002,0.013
"P51","Muy buena",0.027,0.283,0.036
"P51","Buena",0.027,0.412,0.096
"P51","Ni buena ni mala",0.135,0.213,0.287
"P51","Mala",0.21,0.051,0.178
"P51","Muy mala",0.567,0.034,0.365
"P51","No sabe",0.034,0.007,0.038
"P52","Muy buena",0.174,0.052,0.037
"P52","Buena",0.328,0.071,0.087
"P52","Ni buena ni mala",0.318,0.115,0.229
"P52","Mala",0.079,0.181,0.16
"P52","Muy mala",0.084,0.571,0.46
"P52","No sabe",0.017,0.01,0.027
"P53","Muy buena",0.042,0.455,0.189
"P53","Buena",0.063,0.23,0.154
"P53","Ni buena ni mala",0.118,0.141,0.203
"P53","Mala",0.142,0.065,0.106
"P53","Muy mala",0.6,0.103,0.318
"P53","No sabe",0.035,0.006,0.03
"P54","Muy buena",0.042,0.199,0.262
"P54","Buena",0.027,0.215,0.13
"P54","Ni buena ni mala",0.115,0.351,0.211
"P54","Mala",0.144,0.137,0.095
"P54","Muy mala",0.642,0.083,0.275
"P54","No sabe",0.03,0.015,0.027
"P55","Muy buena",0.012,0.31,0.103
"P55","Buena",0.034,0.358,0.136
"P55","Ni buena ni mala",0.101,0.215,0.237
"P55","Mala",0.175,0.064,0.144
"P55","Muy mala",0.659,0.045,0.342
"P55","No sabe",0.019,0.008,0.038
"P56","Muy buena",0.176,0.049,0.031
"P56","Buena",0.363,0.052,0.104
"P56","Ni buena ni mala",0.276,0.11,0.219
"P56","Mala",0.065,0.212,0.158
"P56","Muy mala",0.107,0.571,0.457
"P56","No sabe",0.013,0.006,0.031
"P57","Muy buena",0.064,0.091,0.058
"P57","Buena",0.133,0.146,0.095
"P57","Ni buena ni mala",0.421,0.309,0.287
"P57","Mala",0.156,0.181,0.172
"P57","Muy mala",0.159,0.243,0.298
"P57","No sabe",0.067,0.03,0.09
"P58","Muy buena",0.012,0.114,0.025
"P58","Buena",0.046,0.228,0.054
"P58","Ni buena ni mala",0.272,0.406,0.331
"P58","Mala",0.178,0.106,0.132
"P58","Muy mala",0.398,0.094,0.353
"P58","No sabe",0.094,0.052,0.105
"P59","Siempre",0.355,0.32,0.275
"P59","Casi siempre",0.352,0.41,0.359
"P59","Casi nunca",0.177,0.201,0.245
"P59","Nunca, pero esta es una excepción",0.116,0.069,0.121
"P60","Si",0.613,0.573,0.524
"P60","No",0.387,0.427,0.476
