"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P25","Nicolás del Caño – Myriam Bregman",0.024,0.007,0.039
"P25","Otros candidatos",0.046,0.07,0.182
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.879,0.021,0.218
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.019,0.576,0.156
"P29","Javier Milei – José Luis Espert por los liberales",0.028,0.259,0.365
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.034,0.011,0.047
"P29","Otro candidato",0.04,0.133,0.214
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.086,0.54,0.093
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.615,0.065,0.151
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.038,0.285,0.38
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.064,0.01,0.053
"P31","Otro candidato",0.197,0.1,0.323
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.748,0.049,0.061
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.054,0.625,0.202
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.024,0.215,0.35
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.047,0.012,0.057
"P33","Otro candidato",0.127,0.099,0.33
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.717,0.067,0.081
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.085,0.545,0.061
"P35","Javier Milei – José Luis Espert por los liberales",0.024,0.275,0.394
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.054,0.009,0.057
"P35","Otro candidato",0.12,0.104,0.407
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.818,0.043,0.215
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.051,0.58,0.048
"P37","Javier Milei – José Luis Espert por los liberales",0.034,0.283,0.403
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.026,0.005,0.046
"P37","Otro candidato",0.071,0.089,0.288
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.807,0.022,0.072
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.031,0.605,0.14
"P38","Javier Milei – José Luis Espert por los liberales",0.018,0.253,0.369
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.05,0.009,0.061
"P38","Otro candidato",0.094,0.111,0.358
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.866,0.054,0.231
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.056,0.794,0.247
"P39","No sabe",0.078,0.152,0.522
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.791,0.02,0.144
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.035,0.882,0.095
"P40","No sabe",0.174,0.098,0.761
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.899,0.022,0.063
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.02,0.856,0.279
"P41","No sabe",0.081,0.122,0.658
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.919,0.016,0.196
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.027,0.927,0.072
"P42","No sabe",0.054,0.057,0.732
"P44","Mauricio Macri – María Eugenia Vidal",0.142,0.749,0.205
"P44","Sergio Massa – Wado de Pedro",0.791,0.164,0.057
"P44","No sabe",0.067,0.087,0.738
"P45","Sergio Massa – Wado de Pedro",0.803,0.111,0.082
"P45","Javier Milei – José Luis Espert",0.132,0.541,0.374
"P45","No sabe",0.065,0.348,0.544
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.184,0.553,0.045
"P46","Javier Milei – José Luis Espert",0.081,0.356,0.392
"P46","No sabe",0.735,0.091,0.563
"P47","Muy buena",0.141,0.067,0.034
"P47","Buena",0.321,0.051,0.101
"P47","Ni buena ni mala",0.378,0.023,0.196
"P47","Mala",0.106,0.119,0.131
"P47","Muy mala",0.039,0.737,0.513
"P47","No sabe",0.015,0.003,0.025
"P48","Muy buena",0.174,0.015,0.072
"P48","Buena",0.362,0.012,0.059
"P48","Ni buena ni mala",0.285,0.032,0.157
"P48","Mala",0.133,0.125,0.129
"P48","Muy mala",0.04,0.813,0.562
"P48","No sabe",0.006,0.003,0.021
"P49","Muy buena",0.642,0.014,0.163
"P49","Buena",0.188,0.012,0.061
"P49","Ni buena ni mala",0.089,0.012,0.097
"P49","Mala",0.03,0.058,0.088
"P49","Muy mala",0.046,0.901,0.578
"P49","No sabe",0.005,0.003,0.013
"P50","Muy buena",0.076,0.248,0.108
"P50","Buena",0.032,0.305,0.124
"P50","Ni buena ni mala",0.059,0.2,0.205
"P50","Mala",0.177,0.079,0.18
"P50","Muy mala",0.645,0.166,0.372
"P50","No sabe",0.011,0.002,0.011
"P51","Muy buena",0.023,0.281,0.039
"P51","Buena",0.028,0.404,0.102
"P51","Ni buena ni mala",0.125,0.216,0.295
"P51","Mala",0.208,0.057,0.174
"P51","Muy mala",0.598,0.038,0.336
"P51","No sabe",0.018,0.004,0.054
"P52","Muy buena",0.195,0.045,0.027
"P52","Buena",0.344,0.066,0.077
"P52","Ni buena ni mala",0.297,0.111,0.251
"P52","Mala",0.098,0.186,0.139
"P52","Muy mala",0.062,0.587,0.462
"P52","No sabe",0.004,0.005,0.044
"P53","Muy buena",0.035,0.453,0.195
"P53","Buena",0.065,0.237,0.145
"P53","Ni buena ni mala",0.093,0.146,0.219
"P53","Mala",0.134,0.057,0.122
"P53","Muy mala",0.661,0.103,0.268
"P53","No sabe",0.012,0.004,0.051
"P54","Muy buena",0.021,0.203,0.279
"P54","Buena",0.04,0.219,0.115
"P54","Ni buena ni mala",0.09,0.347,0.235
"P54","Mala",0.143,0.137,0.095
"P54","Muy mala",0.692,0.079,0.237
"P54","No sabe",0.014,0.015,0.039
"P55","Muy buena",0.009,0.305,0.11
"P55","Buena",0.032,0.362,0.131
"P55","Ni buena ni mala",0.101,0.22,0.232
"P55","Mala",0.161,0.063,0.158
"P55","Muy mala",0.692,0.042,0.319
"P55","No sabe",0.005,0.008,0.05
"P56","Muy buena",0.169,0.043,0.041
"P56","Buena",0.375,0.057,0.085
"P56","Ni buena ni mala",0.283,0.11,0.215
"P56","Mala",0.056,0.215,0.163
"P56","Muy mala",0.107,0.568,0.462
"P56","No sabe",0.01,0.007,0.034
"P57","Muy buena",0.064,0.094,0.053
"P57","Buena",0.152,0.147,0.078
"P57","Ni buena ni mala",0.417,0.299,0.3
"P57","Mala",0.161,0.181,0.169
"P57","Muy mala",0.148,0.245,0.307
"P57","No sabe",0.058,0.034,0.093
"P58","Muy buena",0.009,0.116,0.024
"P58","Buena",0.045,0.23,0.05
"P58","Ni buena ni mala",0.267,0.396,0.347
"P58","Mala",0.178,0.102,0.136
"P58","Muy mala",0.424,0.1,0.329
"P58","No sabe",0.077,0.056,0.114
"P59","Siempre",0.361,0.318,0.271
"P59","Casi siempre",0.377,0.416,0.333
"P59","Casi nunca",0.17,0.198,0.255
"P59","Nunca, pero esta es una excepción",0.092,0.068,0.141
"P60","Si",0.612,0.553,0.546
"P60","No",0.388,0.447,0.454
