"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","Javier Milei presidente – José Luis Espert vice por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P09","De los Liberales libertarios",0.022,0.102,0.641,0.02,0.048
"P09","De la Izquierda",0.017,0.012,0.019,0.462,0.027
"P09","No sabe",0.119,0.084,0.135,0.104,0.354
"P10","A Alberto Fernández",0.201,0.296,0.276,0.228,0.279
"P10","A Sergio Massa",0.238,0.168,0.245,0.039,0.065
"P10","A algún candidato del peronismo",0.112,0.386,0.283,0.212,0.227
"P10","A algún candidato del kirchnerismo",0.449,0.15,0.196,0.521,0.429
"P11","A Alberto Fernández",0.107,0.208,0.235,0.09,0.199
"P11","A Sergio Massa",0.161,0.185,0.179,0.045,0.04
"P11","A algún candidato del peronismo",0.065,0.398,0.454,0.125,0.163
"P11","A Cristina Fernández de Kirchner",0.667,0.209,0.132,0.74,0.598
"P12","A Horacio Rodriguez Larreta",0.311,0.198,0.235,0.681,0.336
"P12","A Mauricio Macri",0.313,0.361,0.404,0.222,0.318
"P12","A Patricia Bullrich",0.103,0.38,0.243,0,0.087
"P12","A Facundo Manes",0.229,0.034,0.081,0.075,0.177
"P12","A Gerardo Morales",0.044,0.027,0.037,0.022,0.082
"P13","Seguro lo votaria",0.182,0.18,0.474,0.252,0.11
"P13","Quizás lo votaría",0.254,0.328,0.31,0.558,0.276
"P13","Nunca lo votaría",0.564,0.492,0.216,0.19,0.614
"P14","Lo votaría",0.054,0.515,0.155,0.059,0.103
"P14","Puede que lo vote",0.065,0.279,0.32,0.067,0.128
"P14","Nunca lo votaría",0.81,0.16,0.427,0.737,0.623
"P14","No sabe",0.071,0.046,0.098,0.137,0.146
"P15","Lo votaría",0.315,0.086,0.053,0.092,0.063
"P15","Puede que lo vote",0.42,0.079,0.118,0.204,0.214
"P15","Nunca lo votaría",0.192,0.798,0.76,0.579,0.539
"P15","No sabe",0.073,0.037,0.069,0.125,0.184
"P16","Lo votaría",0.281,0.039,0.046,0.142,0.151
"P16","Puede que lo vote",0.395,0.035,0.046,0.208,0.159
"P16","Nunca lo votaría",0.24,0.909,0.879,0.533,0.549
"P16","No sabe",0.084,0.017,0.029,0.117,0.141
"P17","La votaría",0.703,0.044,0.056,0.353,0.376
"P17","Puede que la vote",0.129,0.024,0.043,0.193,0.082
"P17","Nunca la votaría",0.138,0.924,0.882,0.386,0.456
"P17","No sabe",0.03,0.008,0.019,0.068,0.086
"P18","Lo votaría",0.102,0.302,0.072,0.095,0.095
"P18","Puede que lo vote",0.106,0.41,0.229,0.092,0.177
"P18","Nunca lo votaría",0.742,0.228,0.615,0.72,0.584
"P18","No sabe",0.05,0.06,0.084,0.093,0.144
"P19","Lo votaría",0.055,0.098,0.052,0.082,0.076
"P19","Puede que lo vote",0.205,0.276,0.225,0.203,0.164
"P19","Nunca lo votaría",0.617,0.536,0.571,0.588,0.531
"P19","No sabe",0.123,0.09,0.152,0.127,0.229
"P20","La votaría",0.051,0.59,0.206,0.029,0.059
"P20","Puede que la vote",0.058,0.253,0.34,0.067,0.138
"P20","Nunca la votaría",0.852,0.112,0.374,0.852,0.649
"P20","No sabe",0.039,0.045,0.08,0.052,0.154
"P21","Lo votaría",0.032,0.155,0.701,0.037,0.032
"P21","Puede que lo vote",0.062,0.329,0.197,0.09,0.123
"P21","Nunca lo votaría",0.857,0.457,0.087,0.797,0.694
"P21","No sabe",0.049,0.059,0.015,0.076,0.151
"P22","La votaría",0.04,0.279,0.149,0.018,0.037
"P22","Puede que la vote",0.083,0.395,0.212,0.099,0.139
"P22","Nunca la votaría",0.809,0.239,0.534,0.774,0.664
"P22","No sabe",0.068,0.087,0.105,0.109,0.16
"P23","Lo votaría",0.18,0.047,0.033,0.045,0.076
"P23","Puede que lo vote",0.463,0.067,0.063,0.26,0.195
"P23","Nunca lo votaría",0.297,0.851,0.851,0.564,0.568
"P23","No sabe",0.06,0.035,0.053,0.131,0.161
"P24","Lo votaría",0.035,0.1,0.024,0.037,0.046
"P24","Puede que lo vote",0.14,0.288,0.101,0.07,0.107
"P24","Nunca lo votaría",0.713,0.518,0.744,0.786,0.634
"P24","No sabe",0.112,0.094,0.131,0.107,0.213
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.043,0.533,0.067,0.034,0.084
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.051,0.218,0.058,0.091,0.104
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.095,0.015,0.014,0.047,0.065
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.76,0.036,0.044,0.297,0.39
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.007,0.088,0.795,0.024,0.03
"P25","Nicolás del Caño – Myriam Bregman",0.003,0.009,0.002,0.445,0.007
"P25","Otros candidatos",0.041,0.101,0.02,0.062,0.32
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.839,0.049,0.04,0.343,0.412
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.051,0.704,0.075,0.071,0.109
"P29","Javier Milei – José Luis Espert por los liberales",0.028,0.109,0.852,0.02,0.032
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.025,0.009,0.009,0.542,0.007
"P29","Otro candidato",0.057,0.129,0.024,0.024,0.44
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.147,0.573,0.047,0.11,0.155
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.617,0.101,0.035,0.194,0.199
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.031,0.163,0.883,0.012,0.033
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.039,0.007,0.01,0.654,0.011
"P31","Otro candidato",0.166,0.156,0.025,0.03,0.602
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.772,0.111,0.02,0.092,0.073
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.137,0.561,0.046,0.052,0.124
"P35","Javier Milei – José Luis Espert por los liberales",0.011,0.146,0.909,0.02,0.028
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.013,0.01,0.001,0.754,0.016
"P35","Otro candidato",0.067,0.172,0.024,0.082,0.759
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.82,0.057,0.037,0.322,0.394
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.104,0.584,0.059,0.111,0.139
"P37","Javier Milei – José Luis Espert por los liberales",0.017,0.176,0.869,0.033,0.037
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.005,0.007,0.004,0.494,0.009
"P37","Otro candidato",0.054,0.176,0.031,0.04,0.421
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.836,0.046,0.023,0.112,0.132
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.072,0.73,0.065,0.06,0.103
"P38","Javier Milei – José Luis Espert por los liberales",0.015,0.101,0.869,0.037,0.041
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.011,0.008,0.014,0.698,0.03
"P38","Otro candidato",0.066,0.115,0.029,0.093,0.694
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.821,0.079,0.065,0.541,0.431
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.102,0.808,0.397,0.061,0.15
"P39","No sabe",0.077,0.113,0.538,0.398,0.419
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.728,0.051,0.051,0.421,0.286
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.081,0.746,0.38,0.088,0.186
"P40","No sabe",0.191,0.203,0.569,0.491,0.528
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.839,0.041,0.046,0.387,0.183
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.063,0.884,0.48,0.041,0.124
"P41","No sabe",0.098,0.075,0.474,0.572,0.693
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.849,0.043,0.045,0.535,0.392
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.073,0.748,0.42,0.071,0.206
"P42","No sabe",0.078,0.209,0.535,0.394,0.402
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.837,0.045,0.032,0.343,0.188
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.077,0.743,0.397,0.127,0.206
"P43","No sabe",0.086,0.212,0.571,0.53,0.606
"P44","Mauricio Macri – María Eugenia Vidal",0.154,0.758,0.397,0.055,0.159
"P44","Sergio Massa – Wado de Pedro",0.765,0.108,0.118,0.419,0.205
"P44","No sabe",0.081,0.134,0.485,0.526,0.636
"P45","Sergio Massa – Wado de Pedro",0.782,0.102,0.068,0.41,0.204
"P45","Javier Milei – José Luis Espert",0.117,0.449,0.799,0.092,0.148
"P45","No sabe",0.101,0.449,0.133,0.498,0.648
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.216,0.543,0.058,0.148,0.19
"P46","Javier Milei – José Luis Espert",0.064,0.246,0.845,0.086,0.088
"P46","No sabe",0.72,0.211,0.097,0.766,0.722
"P47","Muy buena",0.145,0.081,0.011,0.042,0.059
"P47","Buena",0.318,0.035,0.108,0.143,0.131
"P47","Ni buena ni mala",0.352,0.044,0.089,0.286,0.264
"P47","Mala",0.105,0.099,0.088,0.299,0.176
"P47","Muy mala",0.063,0.734,0.692,0.221,0.346
"P47","No sabe",0.017,0.007,0.012,0.009,0.024
"P48","Muy buena",0.163,0.038,0.017,0.091,0.1
"P48","Buena",0.354,0.019,0.018,0.118,0.124
"P48","Ni buena ni mala",0.277,0.031,0.072,0.217,0.232
"P48","Mala",0.12,0.11,0.099,0.274,0.178
"P48","Muy mala",0.083,0.791,0.782,0.296,0.35
"P48","No sabe",0.003,0.011,0.012,0.004,0.016
"P49","Muy buena",0.602,0.038,0.021,0.324,0.324
"P49","Buena",0.182,0.014,0.025,0.136,0.093
"P49","Ni buena ni mala",0.078,0.014,0.056,0.144,0.114
"P49","Mala",0.045,0.05,0.063,0.175,0.074
"P49","Muy mala",0.089,0.878,0.829,0.219,0.38
"P49","No sabe",0.004,0.006,0.006,0.002,0.015
"P50","Muy buena",0.075,0.326,0.068,0.033,0.076
"P50","Buena",0.054,0.321,0.166,0.071,0.081
"P50","Ni buena ni mala",0.055,0.169,0.285,0.041,0.18
"P50","Mala",0.197,0.054,0.166,0.173,0.179
"P50","Muy mala",0.61,0.127,0.314,0.669,0.464
"P50","No sabe",0.009,0.003,0.001,0.013,0.02
"P51","Muy buena",0.048,0.275,0.055,0.028,0.087
"P51","Buena",0.057,0.398,0.161,0.079,0.109
"P51","Ni buena ni mala",0.138,0.222,0.32,0.078,0.226
"P51","Mala",0.218,0.053,0.15,0.206,0.151
"P51","Muy mala",0.522,0.044,0.285,0.581,0.367
"P51","No sabe",0.017,0.008,0.029,0.028,0.06
"P52","Muy buena",0.203,0.054,0.023,0.039,0.035
"P52","Buena",0.368,0.067,0.043,0.078,0.121
"P52","Ni buena ni mala",0.262,0.109,0.179,0.263,0.335
"P52","Mala",0.072,0.172,0.158,0.303,0.156
"P52","Muy mala",0.09,0.593,0.574,0.288,0.303
"P52","No sabe",0.005,0.005,0.023,0.029,0.05
"P53","Muy buena",0.056,0.555,0.216,0.005,0.067
"P53","Buena",0.077,0.23,0.228,0.034,0.089
"P53","Ni buena ni mala",0.086,0.092,0.271,0.12,0.24
"P53","Mala",0.138,0.031,0.11,0.124,0.155
"P53","Muy mala",0.625,0.089,0.146,0.688,0.398
"P53","No sabe",0.018,0.003,0.029,0.029,0.051
"P54","Muy buena",0.023,0.145,0.582,0.011,0.016
"P54","Buena",0.037,0.199,0.237,0.022,0.057
"P54","Ni buena ni mala",0.12,0.394,0.123,0.145,0.276
"P54","Mala",0.155,0.147,0.026,0.086,0.165
"P54","Muy mala",0.643,0.096,0.024,0.697,0.44
"P54","No sabe",0.022,0.019,0.008,0.039,0.046
"P55","Muy buena",0.027,0.345,0.137,0.016,0.058
"P55","Buena",0.057,0.373,0.189,0.067,0.095
"P55","Ni buena ni mala",0.101,0.191,0.261,0.106,0.252
"P55","Mala",0.172,0.043,0.15,0.18,0.148
"P55","Muy mala",0.633,0.038,0.24,0.584,0.397
"P55","No sabe",0.01,0.01,0.023,0.047,0.05
"P56","Muy buena",0.171,0.061,0.018,0.038,0.054
"P56","Buena",0.381,0.05,0.056,0.117,0.152
"P56","Ni buena ni mala",0.252,0.098,0.154,0.285,0.305
"P56","Mala",0.061,0.203,0.162,0.242,0.164
"P56","Muy mala",0.122,0.584,0.586,0.271,0.295
"P56","No sabe",0.013,0.004,0.024,0.047,0.03
"P57","Muy buena",0.074,0.076,0.052,0.085,0.084
"P57","Buena",0.163,0.123,0.11,0.06,0.111
"P57","Ni buena ni mala",0.412,0.296,0.307,0.283,0.325
"P57","Mala",0.163,0.192,0.149,0.188,0.169
"P57","Muy mala",0.134,0.285,0.291,0.333,0.218
"P57","No sabe",0.054,0.028,0.091,0.051,0.093
"P58","Muy buena",0.022,0.104,0.036,0.005,0.049
"P58","Buena",0.055,0.228,0.079,0.017,0.08
"P58","Ni buena ni mala",0.291,0.392,0.363,0.225,0.336
"P58","Mala",0.184,0.104,0.13,0.142,0.124
"P58","Muy mala",0.375,0.118,0.286,0.503,0.305
"P58","No sabe",0.073,0.054,0.106,0.108,0.106
"P59","Siempre",0.35,0.323,0.269,0.359,0.293
"P59","Casi siempre",0.391,0.408,0.354,0.293,0.347
"P59","Casi nunca",0.175,0.185,0.257,0.264,0.233
"P59","Nunca, pero esta es una excepción",0.084,0.084,0.12,0.084,0.127
"P60","Si",0.62,0.553,0.556,0.59,0.529
"P60","No",0.38,0.447,0.444,0.41,0.471
