"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P22","Puede que la vote",0.058,0.368,0.257,0.078,0.268
"P22","Nunca la votaría",0.827,0.257,0.49,0.8,0.501
"P22","No sabe",0.086,0.088,0.092,0.075,0.14
"P23","Lo votaría",0.17,0.044,0.026,0.036,0.079
"P23","Puede que lo vote",0.448,0.085,0.064,0.174,0.102
"P23","Nunca lo votaría",0.295,0.84,0.863,0.647,0.712
"P23","No sabe",0.087,0.031,0.047,0.143,0.107
"P24","Lo votaría",0.023,0.136,0.02,0.041,0.047
"P24","Puede que lo vote",0.116,0.312,0.124,0.08,0.137
"P24","Nunca lo votaría",0.735,0.457,0.732,0.725,0.633
"P24","No sabe",0.126,0.095,0.124,0.154,0.183
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.034,0.479,0.153,0.06,0.251
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.026,0.372,0.037,0.018,0.038
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.085,0.013,0.011,0.066,0.071
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.83,0.051,0.012,0.072,0.093
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.003,0.024,0.75,0.036,0.061
"P25","Nicolás del Caño – Myriam Bregman",0.004,0.005,0.003,0.677,0.013
"P25","Otros candidatos",0.018,0.056,0.034,0.071,0.473
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.911,0.053,0.012,0.105,0.112
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.041,0.712,0.146,0.022,0.28
"P29","Javier Milei – José Luis Espert por los liberales",0.012,0.06,0.801,0.066,0.064
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.013,0.011,0.009,0.743,0.02
"P29","Otro candidato",0.023,0.164,0.032,0.064,0.524
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.116,0.764,0.046,0.038,0.125
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.59,0.103,0.028,0.127,0.11
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.03,0.047,0.879,0.032,0.06
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.047,0.008,0.005,0.745,0.02
"P31","Otro candidato",0.217,0.078,0.042,0.058,0.685
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.64,0.101,0.017,0.048,0.083
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.057,0.728,0.219,0.097,0.352
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.025,0.049,0.731,0.039,0.042
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.036,0.016,0.005,0.74,0.009
"P33","Otro candidato",0.242,0.106,0.028,0.076,0.514
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.608,0.123,0.032,0.05,0.094
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.099,0.778,0.034,0.039,0.066
"P35","Javier Milei – José Luis Espert por los liberales",0.025,0.034,0.893,0.027,0.036
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.037,0.007,0.001,0.821,0.021
"P35","Otro candidato",0.231,0.058,0.04,0.063,0.783
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.704,0.061,0.018,0.062,0.076
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.034,0.789,0.151,0.052,0.225
"P38","Javier Milei – José Luis Espert por los liberales",0.025,0.04,0.81,0.009,0.029
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.036,0.01,0.007,0.807,0.021
"P38","Otro candidato",0.201,0.1,0.014,0.07,0.649
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.895,0.083,0.037,0.344,0.127
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.059,0.776,0.478,0.069,0.385
"P39","No sabe",0.046,0.141,0.485,0.587,0.488
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.706,0.062,0.036,0.309,0.133
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.05,0.863,0.409,0.087,0.229
"P40","No sabe",0.244,0.075,0.555,0.604,0.638
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.704,0.067,0.031,0.339,0.145
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.039,0.787,0.583,0.04,0.415
"P41","No sabe",0.257,0.146,0.386,0.621,0.44
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.891,0.052,0.02,0.332,0.111
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.043,0.861,0.456,0.107,0.242
"P42","No sabe",0.066,0.087,0.524,0.561,0.647
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.713,0.055,0.036,0.291,0.128
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.053,0.881,0.427,0.073,0.225
"P43","No sabe",0.234,0.064,0.537,0.636,0.647
"P44","Mauricio Macri – María Eugenia Vidal",0.118,0.711,0.488,0.116,0.351
"P44","Sergio Massa – Wado de Pedro",0.635,0.172,0.101,0.283,0.164
"P44","No sabe",0.247,0.117,0.411,0.601,0.485
"P45","Sergio Massa – Wado de Pedro",0.676,0.124,0.074,0.372,0.14
"P45","Javier Milei – José Luis Espert",0.091,0.379,0.817,0.142,0.216
"P45","No sabe",0.233,0.497,0.109,0.486,0.644
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.17,0.739,0.042,0.163,0.172
"P46","Javier Milei – José Luis Espert",0.052,0.104,0.876,0.072,0.137
"P46","No sabe",0.778,0.157,0.082,0.765,0.691
"P47","Muy buena",0.148,0.087,0.008,0.04,0.037
"P47","Buena",0.319,0.034,0.096,0.068,0.048
"P47","Ni buena ni mala",0.358,0.046,0.065,0.283,0.205
"P47","Mala",0.108,0.139,0.091,0.348,0.122
"P47","Muy mala",0.054,0.686,0.73,0.248,0.556
"P47","No sabe",0.013,0.008,0.01,0.013,0.032
"P48","Muy buena",0.19,0.027,0.013,0.073,0.044
"P48","Buena",0.338,0.018,0.019,0.071,0.05
"P48","Ni buena ni mala",0.279,0.057,0.049,0.176,0.165
"P48","Mala",0.127,0.138,0.101,0.288,0.137
"P48","Muy mala",0.06,0.755,0.811,0.354,0.577
"P48","No sabe",0.006,0.005,0.007,0.038,0.027
"P49","Muy buena",0.681,0.033,0.005,0.126,0.077
"P49","Buena",0.183,0.02,0.017,0.135,0.046
"P49","Ni buena ni mala",0.073,0.017,0.054,0.132,0.114
"P49","Mala",0.016,0.068,0.058,0.303,0.103
"P49","Muy mala",0.044,0.857,0.861,0.263,0.643
"P49","No sabe",0.003,0.005,0.005,0.041,0.017
"P50","Muy buena",0.08,0.27,0.128,0.037,0.174
"P50","Buena",0.043,0.323,0.197,0.032,0.145
"P50","Ni buena ni mala",0.059,0.171,0.26,0.093,0.208
"P50","Mala",0.181,0.082,0.15,0.168,0.13
"P50","Muy mala",0.628,0.149,0.261,0.666,0.326
"P50","No sabe",0.009,0.005,0.004,0.004,0.017
"P51","Muy buena",0.036,0.361,0.056,0.006,0.074
"P51","Buena",0.033,0.418,0.197,0.06,0.2
"P51","Ni buena ni mala",0.134,0.143,0.336,0.161,0.323
"P51","Mala",0.198,0.032,0.156,0.264,0.138
"P51","Muy mala",0.559,0.039,0.236,0.507,0.226
"P51","No sabe",0.04,0.007,0.019,0.002,0.039
"P52","Muy buena",0.169,0.065,0.017,0.006,0.04
"P52","Buena",0.313,0.087,0.052,0.062,0.073
"P52","Ni buena ni mala",0.315,0.121,0.155,0.245,0.227
"P52","Mala",0.098,0.178,0.148,0.345,0.157
"P52","Muy mala",0.09,0.538,0.616,0.34,0.455
"P52","No sabe",0.015,0.011,0.012,0.002,0.048
"P53","Muy buena",0.041,0.434,0.337,0.054,0.267
"P53","Buena",0.053,0.245,0.214,0.028,0.158
"P53","Ni buena ni mala",0.105,0.145,0.211,0.15,0.187
"P53","Mala",0.141,0.056,0.092,0.072,0.107
"P53","Muy mala",0.628,0.112,0.13,0.694,0.243
"P53","No sabe",0.032,0.008,0.016,0.002,0.038
"P54","Muy buena",0.024,0.091,0.534,0.054,0.052
"P54","Buena",0.03,0.149,0.281,0.014,0.094
"P54","Ni buena ni mala",0.125,0.43,0.141,0.159,0.335
"P54","Mala",0.14,0.173,0.018,0.071,0.203
"P54","Muy mala",0.65,0.131,0.023,0.695,0.276
"P54","No sabe",0.031,0.026,0.003,0.007,0.04
"P55","Muy buena",0.02,0.349,0.167,0.061,0.123
"P55","Buena",0.035,0.347,0.236,0.054,0.216
"P55","Ni buena ni mala",0.099,0.176,0.267,0.146,0.29
"P55","Mala",0.153,0.052,0.138,0.245,0.123
"P55","Muy mala",0.664,0.06,0.181,0.492,0.212
"P55","No sabe",0.029,0.016,0.011,0.002,0.036
"P56","Muy buena",0.152,0.056,0.028,0.012,0.05
"P56","Buena",0.355,0.06,0.057,0.085,0.073
"P56","Ni buena ni mala",0.295,0.104,0.139,0.248,0.212
"P56","Mala",0.063,0.23,0.163,0.279,0.175
"P56","Muy mala",0.114,0.543,0.597,0.361,0.461
"P56","No sabe",0.021,0.007,0.016,0.015,0.029
"P57","Muy buena",0.051,0.107,0.056,0.077,0.081
"P57","Buena",0.134,0.145,0.11,0.084,0.107
"P57","Ni buena ni mala",0.403,0.315,0.302,0.318,0.266
"P57","Mala",0.153,0.186,0.164,0.217,0.188
"P57","Muy mala",0.175,0.212,0.307,0.273,0.297
"P57","No sabe",0.084,0.035,0.061,0.031,0.061
"P58","Muy buena",0.014,0.142,0.037,0.006,0.037
"P58","Buena",0.043,0.259,0.094,0.033,0.097
"P58","Ni buena ni mala",0.256,0.4,0.384,0.289,0.372
"P58","Mala",0.176,0.081,0.129,0.122,0.15
"P58","Muy mala",0.416,0.064,0.277,0.482,0.24
"P58","No sabe",0.095,0.054,0.079,0.068,0.104
"P59","Siempre",0.351,0.333,0.28,0.276,0.271
"P59","Casi siempre",0.372,0.402,0.379,0.312,0.353
"P59","Casi nunca",0.175,0.178,0.241,0.331,0.261
"P59","Nunca, pero esta es una excepción",0.102,0.087,0.1,0.081,0.115
"P60","Si",0.614,0.566,0.557,0.613,0.48
"P60","No",0.386,0.434,0.443,0.387,0.52
