"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","No sabe"
"P18","Nunca lo votaría",0.796,0.299,0.603
"P18","No sabe",0.042,0.055,0.132
"P19","Lo votaría",0.043,0.094,0.065
"P19","Puede que lo vote",0.2,0.271,0.187
"P19","Nunca lo votaría",0.637,0.544,0.544
"P19","No sabe",0.12,0.091,0.204
"P20","La votaría",0.025,0.551,0.073
"P20","Puede que la vote",0.045,0.299,0.192
"P20","Nunca la votaría",0.893,0.114,0.595
"P20","No sabe",0.037,0.036,0.14
"P21","Lo votaría",0.028,0.302,0.266
"P21","Puede que lo vote",0.064,0.308,0.145
"P21","Nunca lo votaría",0.871,0.352,0.486
"P21","No sabe",0.037,0.038,0.103
"P22","La votaría",0.025,0.27,0.075
"P22","Puede que la vote",0.046,0.393,0.131
"P22","Nunca la votaría",0.87,0.268,0.638
"P22","No sabe",0.059,0.069,0.156
"P23","Lo votaría",0.19,0.037,0.061
"P23","Puede que lo vote",0.453,0.056,0.162
"P23","Nunca lo votaría",0.293,0.878,0.651
"P23","No sabe",0.064,0.029,0.126
"P24","Lo votaría",0.029,0.086,0.044
"P24","Puede que lo vote",0.122,0.254,0.096
"P24","Nunca lo votaría",0.742,0.576,0.661
"P24","No sabe",0.107,0.084,0.199
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.016,0.431,0.084
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.027,0.188,0.103
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.088,0.005,0.064
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.778,0.011,0.254
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.019,0.266,0.292
"P25","Nicolás del Caño – Myriam Bregman",0.026,0.006,0.04
"P25","Otros candidatos",0.046,0.093,0.163
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.852,0.014,0.276
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.023,0.571,0.099
"P29","Javier Milei – José Luis Espert por los liberales",0.036,0.293,0.333
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.039,0.01,0.048
"P29","Otro candidato",0.05,0.112,0.244
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.098,0.453,0.15
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.604,0.056,0.179
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.04,0.339,0.328
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.074,0.008,0.05
"P31","Otro candidato",0.184,0.144,0.293
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.745,0.037,0.081
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.047,0.668,0.081
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.035,0.238,0.336
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.05,0.003,0.069
"P33","Otro candidato",0.123,0.054,0.433
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.715,0.065,0.083
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.097,0.451,0.116
"P35","Javier Milei – José Luis Espert por los liberales",0.027,0.33,0.334
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.055,0.005,0.065
"P35","Otro candidato",0.106,0.149,0.402
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.802,0.029,0.272
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.062,0.473,0.126
"P37","Javier Milei – José Luis Espert por los liberales",0.029,0.35,0.332
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.029,0.002,0.049
"P37","Otro candidato",0.078,0.146,0.221
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.797,0.015,0.093
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.032,0.589,0.095
"P38","Javier Milei – José Luis Espert por los liberales",0.026,0.287,0.343
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.054,0.008,0.062
"P38","Otro candidato",0.091,0.101,0.407
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.863,0.035,0.288
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.056,0.813,0.142
"P39","No sabe",0.081,0.152,0.57
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.777,0.023,0.169
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.048,0.764,0.138
"P40","No sabe",0.175,0.213,0.693
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.9,0.007,0.245
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.038,0.788,0.135
"P42","No sabe",0.062,0.205,0.62
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.892,0.013,0.076
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.03,0.767,0.16
"P43","No sabe",0.078,0.22,0.764
"P44","Mauricio Macri – María Eugenia Vidal",0.13,0.76,0.119
"P44","Sergio Massa – Wado de Pedro",0.79,0.115,0.109
"P44","No sabe",0.08,0.125,0.772
"P45","Sergio Massa – Wado de Pedro",0.811,0.096,0.088
"P45","Javier Milei – José Luis Espert",0.123,0.553,0.339
"P45","No sabe",0.066,0.351,0.573
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.199,0.447,0.111
"P46","Javier Milei – José Luis Espert",0.081,0.41,0.317
"P46","No sabe",0.72,0.143,0.572
"P47","Muy buena",0.143,0.057,0.043
"P47","Buena",0.318,0.052,0.107
"P47","Ni buena ni mala",0.364,0.021,0.237
"P47","Mala",0.127,0.086,0.163
"P47","Muy mala",0.038,0.779,0.42
"P47","No sabe",0.01,0.005,0.03
"P48","Muy buena",0.179,0.017,0.072
"P48","Buena",0.348,0.009,0.081
"P48","Ni buena ni mala",0.286,0.019,0.194
"P48","Mala",0.136,0.093,0.177
"P48","Muy mala",0.046,0.857,0.454
"P48","No sabe",0.005,0.005,0.022
"P49","Muy buena",0.635,0.013,0.19
"P49","Buena",0.184,0.008,0.078
"P49","Ni buena ni mala",0.087,0.009,0.118
"P49","Mala",0.044,0.04,0.108
"P49","Muy mala",0.045,0.927,0.492
"P49","No sabe",0.005,0.003,0.014
"P50","Muy buena",0.071,0.263,0.067
"P50","Buena",0.039,0.308,0.085
"P50","Ni buena ni mala",0.055,0.209,0.196
"P50","Mala",0.185,0.059,0.22
"P50","Muy mala",0.646,0.156,0.417
"P50","No sabe",0.004,0.005,0.015
"P51","Muy buena",0.039,0.233,0.058
"P51","Buena",0.031,0.369,0.105
"P51","Ni buena ni mala",0.129,0.245,0.261
"P51","Mala",0.205,0.074,0.169
"P51","Muy mala",0.583,0.068,0.351
"P51","No sabe",0.013,0.011,0.056
"P52","Muy buena",0.193,0.037,0.037
"P52","Buena",0.351,0.053,0.088
"P52","Ni buena ni mala",0.297,0.103,0.285
"P52","Mala",0.095,0.17,0.16
"P52","Muy mala",0.06,0.629,0.384
"P52","No sabe",0.004,0.008,0.046
"P53","Muy buena",0.03,0.509,0.075
"P53","Buena",0.059,0.262,0.1
"P53","Ni buena ni mala",0.1,0.114,0.275
"P53","Mala",0.128,0.039,0.165
"P53","Muy mala",0.666,0.074,0.328
"P53","No sabe",0.017,0.002,0.057
"P54","Muy buena",0.017,0.242,0.238
"P54","Buena",0.049,0.218,0.092
"P54","Ni buena ni mala",0.098,0.338,0.225
"P54","Mala",0.137,0.121,0.118
"P54","Muy mala",0.684,0.067,0.283
"P54","No sabe",0.015,0.014,0.044
"P55","Muy buena",0.008,0.302,0.086
"P55","Buena",0.032,0.364,0.093
"P55","Ni buena ni mala",0.099,0.215,0.247
"P55","Mala",0.166,0.064,0.165
"P55","Muy mala",0.682,0.049,0.356
"P55","No sabe",0.013,0.006,0.053
"P56","Muy buena",0.157,0.039,0.057
"P56","Buena",0.359,0.048,0.115
"P56","Ni buena ni mala",0.29,0.096,0.245
"P56","Mala",0.072,0.201,0.161
"P56","Muy mala",0.115,0.611,0.377
"P56","No sabe",0.007,0.005,0.045
"P57","Muy buena",0.072,0.078,0.064
"P57","Buena",0.147,0.13,0.098
"P57","Ni buena ni mala",0.413,0.285,0.324
"P57","Mala",0.158,0.193,0.151
"P57","Muy mala",0.153,0.286,0.25
"P57","No sabe",0.057,0.028,0.113
"P58","Muy buena",0.013,0.094,0.04
"P58","Buena",0.044,0.205,0.061
"P58","Ni buena ni mala",0.268,0.384,0.357
"P58","Mala",0.175,0.118,0.119
"P58","Muy mala",0.423,0.144,0.298
"P58","No sabe",0.077,0.055,0.125
"P59","Siempre",0.348,0.319,0.273
"P59","Casi siempre",0.365,0.418,0.326
"P59","Casi nunca",0.208,0.185,0.249
"P59","Nunca, pero esta es una excepción",0.079,0.078,0.152
"P60","Si",0.608,0.553,0.549
"P60","No",0.392,0.447,0.451
