"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P18","Puede que lo vote",0.103,0.377,0.278,0.091,0.219
"P18","Nunca lo votaría",0.763,0.175,0.573,0.77,0.562
"P18","No sabe",0.042,0.045,0.088,0.069,0.139
"P19","Lo votaría",0.064,0.112,0.053,0.057,0.066
"P19","Puede que lo vote",0.211,0.321,0.208,0.169,0.158
"P19","Nunca lo votaría",0.61,0.47,0.596,0.607,0.587
"P19","No sabe",0.115,0.097,0.143,0.167,0.189
"P20","La votaría",0.07,0.459,0.311,0.076,0.195
"P20","Puede que la vote",0.065,0.284,0.314,0.075,0.135
"P20","Nunca la votaría",0.822,0.21,0.301,0.784,0.546
"P20","No sabe",0.043,0.047,0.074,0.065,0.124
"P21","Lo votaría",0.049,0.103,0.666,0.024,0.055
"P21","Puede que lo vote",0.077,0.27,0.246,0.096,0.162
"P21","Nunca lo votaría",0.828,0.563,0.07,0.797,0.659
"P21","No sabe",0.046,0.064,0.018,0.083,0.124
"P22","La votaría",0.052,0.275,0.163,0.051,0.061
"P22","Puede que la vote",0.088,0.351,0.25,0.072,0.203
"P22","Nunca la votaría",0.795,0.282,0.481,0.786,0.597
"P22","No sabe",0.065,0.092,0.106,0.091,0.139
"P23","Lo votaría",0.191,0.036,0.028,0.077,0.078
"P23","Puede que lo vote",0.447,0.089,0.06,0.253,0.184
"P23","Nunca lo votaría",0.301,0.836,0.862,0.536,0.613
"P23","No sabe",0.061,0.039,0.05,0.134,0.125
"P24","Lo votaría",0.031,0.135,0.023,0.061,0.032
"P24","Puede que lo vote",0.141,0.323,0.116,0.066,0.113
"P24","Nunca lo votaría",0.726,0.448,0.726,0.729,0.672
"P24","No sabe",0.102,0.094,0.135,0.144,0.183
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.073,0.472,0.145,0.041,0.166
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.036,0.354,0.041,0.066,0.044
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.087,0.016,0.015,0.05,0.066
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.726,0.08,0.028,0.322,0.333
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.023,0.022,0.739,0.015,0.053
"P25","Nicolás del Caño – Myriam Bregman",0.004,0.002,0.004,0.465,0.011
"P25","Otros candidatos",0.051,0.054,0.028,0.041,0.327
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.795,0.097,0.028,0.384,0.365
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.092,0.69,0.144,0.046,0.19
"P29","Javier Milei – José Luis Espert por los liberales",0.035,0.061,0.794,0.028,0.045
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.021,0.008,0.009,0.51,0.013
"P29","Otro candidato",0.057,0.144,0.025,0.032,0.387
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.128,0.777,0.044,0.032,0.115
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.61,0.109,0.024,0.232,0.201
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.042,0.046,0.886,0.026,0.054
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.041,0.005,0.008,0.633,0.01
"P31","Otro candidato",0.179,0.063,0.038,0.077,0.62
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.769,0.137,0.01,0.087,0.073
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.142,0.717,0.183,0.087,0.238
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.018,0.04,0.783,0.005,0.023
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.013,0.008,0.003,0.737,0.013
"P33","Otro candidato",0.058,0.098,0.021,0.084,0.653
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.776,0.125,0.031,0.319,0.327
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.126,0.794,0.035,0.051,0.065
"P37","Javier Milei – José Luis Espert por los liberales",0.033,0.035,0.908,0.008,0.045
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.005,0.004,0.003,0.531,0.007
"P37","Otro candidato",0.06,0.042,0.023,0.091,0.556
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.815,0.093,0.017,0.074,0.103
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.088,0.728,0.155,0.084,0.183
"P38","Javier Milei – José Luis Espert por los liberales",0.028,0.059,0.798,0.015,0.038
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.012,0.006,0.012,0.676,0.026
"P38","Otro candidato",0.057,0.114,0.018,0.151,0.65
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.782,0.119,0.052,0.562,0.388
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.136,0.744,0.472,0.06,0.265
"P39","No sabe",0.082,0.137,0.476,0.378,0.347
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.685,0.087,0.039,0.473,0.259
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.118,0.816,0.411,0.08,0.17
"P40","No sabe",0.197,0.097,0.55,0.447,0.571
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.792,0.106,0.031,0.414,0.138
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.11,0.758,0.568,0.057,0.299
"P41","No sabe",0.098,0.136,0.401,0.529,0.563
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.81,0.087,0.039,0.539,0.333
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.104,0.824,0.447,0.057,0.19
"P42","No sabe",0.086,0.089,0.514,0.404,0.477
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.785,0.091,0.027,0.389,0.155
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.104,0.827,0.429,0.095,0.19
"P43","No sabe",0.111,0.082,0.544,0.516,0.655
"P44","Mauricio Macri – María Eugenia Vidal",0.144,0.728,0.479,0.13,0.257
"P44","Sergio Massa – Wado de Pedro",0.752,0.142,0.095,0.369,0.183
"P44","No sabe",0.104,0.13,0.426,0.501,0.56
"P45","Sergio Massa – Wado de Pedro",0.743,0.154,0.066,0.453,0.158
"P45","Javier Milei – José Luis Espert",0.143,0.348,0.824,0.115,0.189
"P45","No sabe",0.114,0.498,0.11,0.432,0.653
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.194,0.741,0.036,0.149,0.144
"P46","Javier Milei – José Luis Espert",0.091,0.103,0.875,0.074,0.113
"P46","No sabe",0.715,0.156,0.089,0.777,0.743
"P47","Muy buena",0.156,0.085,0.012,0.058,0.05
"P47","Buena",0.302,0.045,0.098,0.172,0.111
"P47","Ni buena ni mala",0.328,0.069,0.072,0.264,0.238
"P47","Mala",0.113,0.132,0.075,0.314,0.129
"P47","Muy mala",0.091,0.664,0.731,0.184,0.441
"P47","No sabe",0.01,0.005,0.012,0.008,0.031
"P48","Muy buena",0.173,0.036,0.014,0.086,0.087
"P48","Buena",0.322,0.037,0.018,0.16,0.106
"P48","Ni buena ni mala",0.259,0.064,0.055,0.211,0.191
"P48","Mala",0.114,0.141,0.087,0.277,0.153
"P48","Muy mala",0.128,0.716,0.815,0.239,0.446
"P48","No sabe",0.004,0.006,0.011,0.027,0.017
"P49","Muy buena",0.598,0.055,0.016,0.345,0.258
"P49","Buena",0.152,0.031,0.026,0.14,0.087
"P49","Ni buena ni mala",0.068,0.023,0.044,0.136,0.106
"P49","Mala",0.042,0.068,0.052,0.189,0.061
"P49","Muy mala",0.138,0.817,0.857,0.164,0.475
"P49","No sabe",0.002,0.006,0.005,0.026,0.013
"P50","Muy buena",0.087,0.279,0.125,0.039,0.14
"P50","Buena",0.059,0.322,0.193,0.059,0.111
"P50","Ni buena ni mala",0.061,0.165,0.273,0.08,0.169
"P50","Mala",0.19,0.077,0.138,0.159,0.153
"P50","Muy mala",0.597,0.153,0.269,0.653,0.407
"P50","No sabe",0.006,0.004,0.002,0.01,0.02
"P51","Muy buena",0.056,0.354,0.054,0.043,0.05
"P51","Buena",0.065,0.406,0.193,0.077,0.146
"P51","Ni buena ni mala",0.147,0.14,0.337,0.097,0.279
"P51","Mala",0.212,0.031,0.151,0.2,0.148
"P51","Muy mala",0.497,0.06,0.245,0.558,0.325
"P51","No sabe",0.023,0.009,0.02,0.025,0.052
"P52","Muy buena",0.208,0.061,0.019,0.017,0.031
"P52","Buena",0.339,0.093,0.043,0.117,0.102
"P52","Ni buena ni mala",0.272,0.13,0.157,0.259,0.28
"P52","Mala",0.074,0.178,0.148,0.319,0.162
"P52","Muy mala",0.098,0.534,0.619,0.26,0.376
"P52","No sabe",0.009,0.004,0.014,0.028,0.049
"P53","Muy buena",0.078,0.43,0.32,0.086,0.199
"P53","Buena",0.069,0.253,0.213,0.034,0.113
"P53","Ni buena ni mala",0.098,0.128,0.221,0.095,0.195
"P53","Mala",0.129,0.056,0.096,0.097,0.124
"P53","Muy mala",0.604,0.126,0.133,0.663,0.325
"P53","No sabe",0.022,0.007,0.017,0.025,0.044
"P54","Muy buena",0.048,0.084,0.539,0.055,0.044
"P54","Buena",0.059,0.155,0.274,0.017,0.06
"P54","Ni buena ni mala",0.126,0.419,0.146,0.125,0.293
"P54","Mala",0.146,0.173,0.02,0.111,0.168
"P54","Muy mala",0.597,0.153,0.018,0.664,0.381
"P54","No sabe",0.024,0.016,0.003,0.028,0.054
"P55","Muy buena",0.059,0.33,0.166,0.032,0.086
"P55","Buena",0.057,0.343,0.232,0.075,0.161
"P55","Ni buena ni mala",0.101,0.181,0.265,0.141,0.238
"P55","Mala",0.175,0.049,0.131,0.165,0.126
"P55","Muy mala",0.596,0.079,0.192,0.56,0.345
"P55","No sabe",0.012,0.018,0.014,0.027,0.044
"P56","Muy buena",0.184,0.042,0.026,0.028,0.059
"P56","Buena",0.353,0.074,0.055,0.135,0.129
"P56","Ni buena ni mala",0.257,0.119,0.129,0.322,0.254
"P56","Mala",0.059,0.224,0.164,0.239,0.155
"P56","Muy mala",0.136,0.533,0.609,0.245,0.371
"P56","No sabe",0.011,0.008,0.017,0.031,0.032
"P57","Muy buena",0.064,0.107,0.059,0.061,0.058
"P57","Buena",0.132,0.169,0.102,0.087,0.098
"P57","Ni buena ni mala",0.408,0.311,0.297,0.299,0.311
"P57","Mala",0.164,0.177,0.16,0.176,0.187
"P57","Muy mala",0.169,0.195,0.31,0.308,0.281
"P57","No sabe",0.063,0.041,0.072,0.069,0.065
"P58","Muy buena",0.023,0.136,0.043,0.003,0.025
"P58","Buena",0.061,0.264,0.088,0.04,0.065
"P58","Ni buena ni mala",0.307,0.371,0.368,0.226,0.353
"P58","Mala",0.164,0.093,0.13,0.151,0.149
"P58","Muy mala",0.371,0.075,0.28,0.46,0.313
"P58","No sabe",0.074,0.061,0.091,0.12,0.095
"P59","Siempre",0.335,0.349,0.275,0.322,0.291
"P59","Casi siempre",0.384,0.402,0.376,0.313,0.352
"P59","Casi nunca",0.19,0.173,0.244,0.302,0.22
"P59","Nunca, pero esta es una excepción",0.091,0.076,0.105,0.063,0.137
"P60","Si",0.613,0.579,0.549,0.6,0.509
"P60","No",0.387,0.421,0.451,0.4,0.491
