"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.123,0.065,0.042,0.35,0.213
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.698,0.855,0.828,0.406,0.507
"P39","No sabe",0.179,0.08,0.13,0.244,0.28
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.078,0.052,0.01,0.297,0.265
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.81,0.707,0.745,0.516,0.586
"P40","No sabe",0.112,0.241,0.245,0.187,0.149
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.085,0.028,0.004,0.343,0.141
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.723,0.807,0.948,0.388,0.479
"P41","No sabe",0.192,0.165,0.048,0.269,0.38
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.062,0.035,0.009,0.297,0.196
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.821,0.706,0.75,0.539,0.586
"P42","No sabe",0.117,0.259,0.241,0.164,0.218
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.043,0.028,0.008,0.342,0.203
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.831,0.727,0.741,0.49,0.563
"P43","No sabe",0.126,0.245,0.251,0.168,0.234
"P44","Mauricio Macri – María Eugenia Vidal",0.647,0.812,0.807,0.414,0.558
"P44","Sergio Massa – Wado de Pedro",0.174,0.091,0.075,0.287,0.121
"P44","No sabe",0.179,0.097,0.118,0.299,0.321
"P45","Sergio Massa – Wado de Pedro",0.112,0.115,0.085,0.299,0.193
"P45","Javier Milei – José Luis Espert",0.366,0.413,0.489,0.377,0.211
"P45","No sabe",0.522,0.472,0.426,0.324,0.596
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.683,0.542,0.494,0.529,0.617
"P46","Javier Milei – José Luis Espert",0.1,0.23,0.317,0.152,0.05
"P46","No sabe",0.217,0.228,0.189,0.319,0.333
"P47","Muy buena",0.075,0.089,0.055,0.098,0.079
"P47","Buena",0.018,0.029,0.051,0.082,0
"P47","Ni buena ni mala",0.058,0.045,0.02,0.203,0.119
"P47","Mala",0.123,0.074,0.082,0.125,0.075
"P47","Muy mala",0.722,0.749,0.789,0.492,0.643
"P47","No sabe",0.004,0.014,0.003,0,0.084
"P48","Muy buena",0.015,0.022,0.014,0.112,0.062
"P48","Buena",0.024,0.013,0.006,0.132,0.055
"P48","Ni buena ni mala",0.053,0.033,0.02,0.094,0.194
"P48","Mala",0.134,0.076,0.088,0.211,0.14
"P48","Muy mala",0.771,0.839,0.866,0.439,0.529
