"var","categoria","Lo votaría","Puede que la vote","Nunca la votaría","No sabe"
"P11","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.081,0.123,0.049,0.058
"P11","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.044,0.016,0.022,0.036
"P11","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0,0.066,0.023,0.009
"P11","En blanco",0.019,0.007,0.107,0.046
"P11","No sabe",0,0.028,0.06,0.172
"P15","Lo votaría",0.188,0.135,0.087,0.076
"P15","Puede que lo vote",0.139,0.269,0.158,0.138
"P15","Nunca lo votaría",0.469,0.351,0.564,0.209
"P15","No sabe",0.204,0.245,0.191,0.577
"P16","La votaría",0.237,0.234,0.208,0.157
"P16","Puede que la vote",0.256,0.293,0.104,0.181
"P16","Nunca la votaría",0.387,0.402,0.648,0.376
"P16","No sabe",0.12,0.071,0.04,0.286
"P17","Lo votaría",0.391,0.287,0.174,0.193
"P17","Puede que lo vote",0.153,0.25,0.144,0.183
"P17","Nunca lo votaría",0.364,0.392,0.649,0.35
"P17","No sabe",0.092,0.071,0.033,0.274
"P18","La votaría",0.306,0.094,0.089,0.053
"P18","Puede que la vote",0.083,0.337,0.07,0.119
"P18","Nunca la votaría",0.47,0.4,0.699,0.183
"P18","No sabe",0.141,0.169,0.142,0.645
"P19","La votaría",0.148,0.116,0.106,0.086
"P19","Puede que la vote",0.257,0.45,0.147,0.157
"P19","Nunca la votaría",0.422,0.348,0.703,0.294
"P19","No sabe",0.173,0.086,0.044,0.463
"P20","Lo votaría",0.314,0.204,0.206,0.131
"P20","Puede que lo vote",0.109,0.364,0.11,0.136
"P20","Nunca lo votaría",0.499,0.335,0.639,0.327
"P20","No sabe",0.078,0.097,0.045,0.406
"P21","Lo votaría",0.299,0.123,0.102,0.098
"P21","Puede que lo vote",0.101,0.401,0.087,0.138
"P21","Nunca lo votaría",0.522,0.341,0.763,0.299
"P21","No sabe",0.078,0.135,0.048,0.465
"P22","Lo votaría",0.305,0.084,0.056,0.056
"P22","Puede que lo vote",0.105,0.449,0.09,0.076
"P22","Nunca lo votaría",0.406,0.302,0.731,0.197
"P22","No sabe",0.184,0.165,0.123,0.671
"P23","Lo votaría",0.192,0.064,0.072,0.072
"P23","Puede que lo vote",0.122,0.448,0.081,0.087
"P23","Nunca lo votaría",0.502,0.396,0.782,0.216
"P23","No sabe",0.184,0.092,0.065,0.625
"P24","Lo votaría",0.221,0.096,0.055,0.063
"P24","Puede que lo vote",0.124,0.36,0.091,0.095
"P24","Nunca lo votaría",0.455,0.403,0.799,0.266
"P24","No sabe",0.2,0.141,0.055,0.576
"P25","Lo votaría",0.087,0.073,0.099,0.071
"P25","Puede que lo vote",0.245,0.457,0.133,0.121
"P25","Nunca lo votaría",0.504,0.325,0.729,0.23
"P25","No sabe",0.164,0.145,0.039,0.578
"P26","Lo votaría",0.174,0.035,0.033,0.007
"P26","Puede que la vote",0.133,0.38,0.062,0.051
"P26","Nunca la votaría",0.429,0.335,0.808,0.118
"P26","No sabe",0.264,0.25,0.097,0.824
"P27","La votaría",0.155,0.098,0.055,0.014
"P27","Puede que la vote",0.296,0.455,0.083,0.068
"P27","Nunca la votaría",0.437,0.249,0.797,0.155
"P27","No sabe",0.112,0.198,0.065,0.763
"P28","Lo votaría",0.123,0.043,0.033,0.006
"P28","Puede que la vote",0.103,0.501,0.047,0.037
"P28","Nunca la votaría",0.497,0.342,0.841,0.095
"P28","No sabe",0.277,0.114,0.079,0.862
"P29","La votaría",0.336,0.087,0.063,0.057
"P29","Puede que la vote",0.073,0.58,0.07,0.057
"P29","Nunca la votaría",0.319,0.253,0.82,0.106
"P29","No sabe",0.272,0.08,0.047,0.78
"P31","La votaría",0.34,0.083,0.057,0.033
"P31","Puede que la vote",0.197,0.53,0.078,0.115
"P31","Nunca la votaría",0.453,0.321,0.838,0.202
"P31","No sabe",0.01,0.066,0.027,0.65
"P32","La votaría",0.346,0.057,0.037,0.015
"P32","Puede que la vote",0.123,0.475,0.034,0.034
"P32","Nunca la votaría",0.367,0.344,0.875,0.119
"P32","No sabe",0.164,0.124,0.054,0.832
"P33","Lo votaría",0.083,0.058,0.018,0.022
"P33","Puede que la vote",0.089,0.551,0.059,0.046
"P33","Nunca la votaría",0.472,0.292,0.83,0.105
"P33","No sabe",0.356,0.099,0.093,0.827
"P34","La votaría",0.154,0.024,0.02,0.012
"P34","Puede que la vote",0.024,0.51,0.053,0.026
"P34","Nunca la votaría",0.52,0.322,0.833,0.075
"P34","No sabe",0.302,0.144,0.094,0.887
"P35","Si",0.655,0.472,0.393,0.416
"P35","No",0.345,0.528,0.607,0.584
