"var","categoria","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda","En blanco"
"P15","No sabe",0.398,0.401,0.424,0.322,0.397,0.444,0.37,0.279,0.296
"P16","La votaría",0.536,0.11,0.022,0.087,0.07,0.098,0.144,0.012,0.029
"P16","Puede que la vote",0.177,0.232,0.122,0.098,0.086,0.156,0.038,0.141,0.105
"P16","Nunca la votaría",0.152,0.474,0.57,0.688,0.706,0.494,0.73,0.646,0.654
"P16","No sabe",0.135,0.184,0.286,0.127,0.138,0.252,0.088,0.201,0.212
"P17","Lo votaría",0.152,0.614,0.077,0.051,0.084,0.08,0.099,0.013,0.006
"P17","Puede que lo vote",0.243,0.169,0.25,0.139,0.054,0.095,0.076,0.097,0.112
"P17","Nunca lo votaría",0.403,0.123,0.426,0.702,0.719,0.61,0.707,0.79,0.631
"P17","No sabe",0.202,0.094,0.247,0.108,0.143,0.215,0.118,0.1,0.251
"P18","La votaría",0.067,0.121,0.01,0.125,0.105,0.101,0.096,0,0.005
"P18","Puede que la vote",0.141,0.094,0.09,0.108,0.167,0.116,0.074,0.116,0.006
"P18","Nunca la votaría",0.448,0.374,0.447,0.479,0.359,0.372,0.423,0.558,0.62
"P18","No sabe",0.344,0.411,0.453,0.288,0.369,0.411,0.407,0.326,0.369
"P19","La votaría",0.05,0.126,0.438,0.098,0.035,0.056,0.118,0.012,0.033
"P19","Puede que la vote",0.208,0.196,0.18,0.142,0.219,0.07,0.2,0.151,0.03
"P19","Nunca la votaría",0.522,0.368,0.173,0.557,0.489,0.554,0.423,0.774,0.68
"P19","No sabe",0.22,0.31,0.209,0.203,0.257,0.32,0.259,0.063,0.257
"P20","Lo votaría",0.06,0.071,0.138,0.593,0.162,0.232,0.18,0.151,0.013
"P20","Puede que lo vote",0.106,0.094,0.122,0.134,0.3,0.188,0.274,0.243,0.102
"P20","Nunca lo votaría",0.622,0.568,0.517,0.155,0.33,0.304,0.328,0.507,0.615
"P20","No sabe",0.212,0.267,0.223,0.118,0.208,0.276,0.218,0.099,0.27
"P21","Lo votaría",0.052,0.024,0.033,0.222,0.508,0.169,0.131,0,0.023
"P21","Puede que lo vote",0.08,0.105,0.066,0.264,0.151,0.156,0.292,0.23,0
"P21","Nunca lo votaría",0.622,0.591,0.628,0.368,0.179,0.387,0.39,0.538,0.65
"P21","No sabe",0.246,0.28,0.273,0.146,0.162,0.288,0.187,0.232,0.327
"P22","Lo votaría",0.023,0.037,0.007,0.163,0.126,0.221,0.147,0.032,0
"P22","Puede que lo vote",0.078,0.08,0.085,0.196,0.188,0.108,0.161,0.263,0
"P22","Nunca lo votaría",0.513,0.485,0.521,0.365,0.311,0.27,0.39,0.409,0.646
"P22","No sabe",0.386,0.398,0.387,0.276,0.375,0.401,0.302,0.296,0.354
"P23","Lo votaría",0.018,0.031,0.003,0.144,0.119,0.37,0.106,0.065,0.008
"P23","Puede que lo vote",0.092,0.052,0.086,0.198,0.18,0.144,0.21,0.322,0.005
"P23","Nunca lo votaría",0.572,0.55,0.604,0.43,0.348,0.272,0.333,0.399,0.697
"P23","No sabe",0.318,0.367,0.307,0.228,0.353,0.214,0.351,0.214,0.29
"P24","Lo votaría",0.026,0.023,0.021,0.096,0.126,0.179,0.563,0.069,0
"P24","Puede que lo vote",0.079,0.025,0.093,0.249,0.205,0.17,0.038,0.287,0.02
"P24","Nunca lo votaría",0.603,0.611,0.617,0.418,0.316,0.353,0.249,0.358,0.701
"P24","No sabe",0.292,0.341,0.269,0.237,0.353,0.298,0.15,0.286,0.279
"P25","Lo votaría",0.211,0.066,0.053,0.029,0.061,0.006,0.08,0.143,0.01
"P25","Puede que lo vote",0.191,0.19,0.142,0.157,0.078,0.22,0.174,0.129,0.02
"P25","Nunca lo votaría",0.316,0.419,0.502,0.617,0.477,0.542,0.509,0.531,0.712
"P25","No sabe",0.282,0.325,0.303,0.197,0.384,0.232,0.237,0.197,0.258
"P26","Lo votaría",0.048,0.033,0.004,0.038,0.007,0.041,0.026,0,0
"P26","Puede que la vote",0.107,0.124,0.044,0.078,0.057,0.1,0.046,0.092,0.003
"P26","Nunca la votaría",0.4,0.365,0.519,0.6,0.439,0.42,0.493,0.521,0.693
"P26","No sabe",0.445,0.478,0.433,0.284,0.497,0.439,0.435,0.387,0.304
"P27","La votaría",0.025,0.151,0.036,0.013,0.029,0.004,0.026,0,0.008
"P27","Puede que la vote",0.15,0.149,0.084,0.087,0.091,0.138,0.091,0.137,0.008
"P27","Nunca la votaría",0.425,0.284,0.529,0.587,0.469,0.523,0.505,0.544,0.744
"P27","No sabe",0.4,0.416,0.351,0.313,0.411,0.335,0.378,0.319,0.24
"P28","Lo votaría",0.03,0.041,0.053,0.008,0.007,0.042,0.027,0.03,0
"P28","Puede que la vote",0.099,0.068,0.078,0.097,0.031,0.117,0.042,0.247,0
"P28","Nunca la votaría",0.431,0.398,0.503,0.56,0.451,0.475,0.47,0.51,0.733
"P28","No sabe",0.44,0.493,0.366,0.335,0.511,0.366,0.461,0.213,0.267
"P29","La votaría",0.036,0.013,0.018,0.239,0.091,0.094,0.092,0,0
"P29","Puede que la vote",0.09,0.096,0.089,0.114,0.125,0.186,0.145,0.282,0.021
"P29","Nunca la votaría",0.504,0.45,0.482,0.392,0.338,0.383,0.335,0.556,0.718
"P29","No sabe",0.37,0.441,0.411,0.255,0.446,0.337,0.428,0.162,0.261
"P30","Lo votaría",0.015,0.071,0,0.06,0.048,0.047,0.058,0,0.01
"P30","Puede que la vote",0.094,0.057,0.068,0.078,0.059,0.141,0.041,0.238,0.008
"P30","Nunca la votaría",0.477,0.364,0.523,0.513,0.418,0.369,0.373,0.54,0.707
"P30","No sabe",0.414,0.508,0.409,0.349,0.475,0.443,0.528,0.222,0.275
"P31","La votaría",0.018,0.016,0.002,0.127,0.241,0.122,0.085,0.032,0
"P31","Puede que la vote",0.099,0.086,0.077,0.251,0.167,0.224,0.213,0.173,0.013
"P31","Nunca la votaría",0.584,0.583,0.61,0.391,0.237,0.386,0.369,0.576,0.734
"P31","No sabe",0.299,0.315,0.311,0.231,0.355,0.268,0.333,0.219,0.253
"P32","La votaría",0.029,0.001,0,0.036,0.106,0.227,0.071,0.116,0
"P32","Puede que la vote",0.044,0.045,0.051,0.13,0.092,0.139,0.142,0.138,0
"P32","Nunca la votaría",0.539,0.494,0.543,0.476,0.343,0.312,0.389,0.549,0.746
"P32","No sabe",0.388,0.46,0.406,0.358,0.459,0.322,0.398,0.197,0.254
"P33","Lo votaría",0.011,0.012,0.076,0.035,0.033,0.046,0.039,0.034,0
"P33","Puede que la vote",0.101,0.061,0.073,0.104,0.126,0.178,0.134,0.205,0
"P33","Nunca la votaría",0.456,0.412,0.503,0.526,0.393,0.438,0.343,0.479,0.735
"P33","No sabe",0.432,0.515,0.348,0.335,0.448,0.338,0.484,0.282,0.265
"P34","La votaría",0.019,0.008,0.027,0.03,0.023,0.055,0.087,0,0
"P34","Puede que la vote",0.083,0.048,0.069,0.105,0.029,0.15,0.111,0.264,0
"P34","Nunca la votaría",0.459,0.425,0.46,0.505,0.417,0.326,0.417,0.497,0.75
"P34","No sabe",0.439,0.519,0.444,0.36,0.531,0.469,0.385,0.239,0.25
"P35","Si",0.437,0.438,0.385,0.43,0.44,0.403,0.561,0.404,0.262
"P35","No",0.563,0.562,0.615,0.57,0.56,0.597,0.439,0.596,0.738
