"var","categoria","Diego Santilli y Facundo Manes por “Juntos”","Victoria Tolosa Paz por el Frente de todos","Nicolás del Caño por el Frente de Izquierda","José Luis Espert por “Avanza Libertad”","Florencio Randazzo por “Vamos con vos”","Cynthia Hotton por “+Valores”","Ninguna en particular","No sabe"
"P19","Cynthia Hotton por “+Valores”",0.004,0.003,0,0,0.056,0.664,0.099,0
"P19","Ninguna en particular",0.044,0.061,0.012,0.008,0.244,0.162,0.352,0.026
"P19","No sabe",0.005,0.004,0,0,0.053,0,0.036,0.597
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.244,0.161,0.582,0.176,0.295,0,0.336,0.224
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.301,0.341,0.061,0.117,0.383,0,0.121,0.1
"P20","No alcanzan para cubrir los gastos totales de la familia",0.154,0.085,0.19,0.16,0,0.165,0.056,0
"P20","Alcanzan para cubrir los gastos totales de la familia",0.158,0.2,0.041,0.353,0.091,0,0.19,0.272
"P20","Tenemos un pequeño excedente, pero es excepcional",0.054,0.064,0.066,0.146,0.049,0.074,0.087,0
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.05,0.087,0,0.03,0.128,0.761,0.084,0.184
"P20","Tenemos un gran excedente pero es excepcional",0.001,0.009,0,0.002,0,0,0,0
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0.007,0.009,0.022,0,0,0,0.041,0.198
"P20","No sabe",0.031,0.044,0.038,0.016,0.054,0,0.085,0.022
"P21","Muy buena",0.013,0.307,0.137,0.031,0.058,0,0.065,0
"P21","Buena",0.046,0.405,0.035,0.044,0.362,0.073,0.085,0
"P21","Ni buena ni mala",0.056,0.151,0.133,0.042,0.092,0,0.23,0.325
"P21","Mala",0.153,0.036,0.329,0.042,0.104,0,0.141,0
"P21","Muy mala",0.721,0.088,0.366,0.81,0.384,0.927,0.4,0.409
"P21","No sabe",0.011,0.013,0,0.031,0,0,0.079,0.266
"P22","Muy buena",0.025,0.632,0.282,0,0,0,0.033,0
"P22","Buena",0.034,0.165,0.172,0,0.04,0,0.109,0
"P22","Ni buena ni mala",0.018,0.054,0.11,0.048,0.08,0,0.242,0.232
"P22","Mala",0.041,0.026,0.05,0.008,0.205,0,0.047,0.095
"P22","Muy mala",0.87,0.11,0.386,0.913,0.615,1,0.504,0.406
"P22","No sabe",0.012,0.013,0,0.031,0.06,0,0.065,0.267
"P23","Muy buena",0.001,0.186,0.134,0,0.039,0,0.083,0
"P23","Buena",0.038,0.276,0.107,0,0.039,0,0.021,0
"P23","Ni buena ni mala",0.056,0.276,0.034,0.079,0.093,0,0.348,0
"P23","Mala",0.142,0.117,0.309,0.065,0.445,0.071,0.067,0.278
"P23","Muy mala",0.751,0.135,0.416,0.856,0.384,0.929,0.417,0.452
"P23","No sabe",0.012,0.01,0,0,0,0,0.064,0.27
"P24","Muy buena",0.286,0.06,0.106,0.035,0.009,0,0.038,0.025
"P24","Buena",0.305,0.042,0.03,0.148,0.089,0,0.01,0.203
"P24","Ni buena ni mala",0.219,0.055,0.073,0.309,0.039,0,0.1,0
"P24","Mala",0.114,0.168,0,0.242,0.382,0.774,0.307,0.126
"P24","Muy mala",0.068,0.639,0.769,0.264,0.414,0.226,0.526,0.406
"P24","No sabe",0.008,0.036,0.022,0.002,0.067,0,0.019,0.24
"P25","Muy buena",0.425,0.052,0.135,0.039,0.077,0,0.126,0.032
"P25","Buena",0.337,0.059,0.058,0.174,0.455,0,0.146,0.207
"P25","Ni buena ni mala",0.17,0.178,0.212,0.364,0.201,0,0.459,0.221
"P25","Mala",0.042,0.174,0.192,0.134,0.227,0.851,0.118,0
"P25","Muy mala",0.025,0.529,0.38,0.289,0.04,0.149,0.151,0.213
"P25","No sabe",0.001,0.008,0.023,0,0,0,0,0.327
