"var","categoria","Sí, absolutamente","Sí, en cierta medida","No, en absoluto"
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.69,0.33,0.062
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.145,0.222,0.499
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.066,0.261,0.433
"P20","El candidato a gobernador de la Izquierda",0.024,0.02,0
"P20","En blanco",0.015,0.006,0
"P20","No sabe",0.06,0.161,0.006
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.381,0.187,0.006
"P23","Zencich a intendente por Juntos por el Cambio",0.088,0.252,0.263
"P23","Eduardo Varela a intendente por la Libertad Avanza",0.063,0.2,0.462
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0.105,0.044,0.243
"P23","El candidato a intendente de la Izquierda",0.207,0.113,0
"P23","En blanco",0.087,0.035,0.01
"P23","No sabe",0.069,0.169,0.016
"P26","Totalmente seguro.",0.655,0.611,0.72
"P26","Bastante seguro",0.183,0.172,0.139
"P26","Algo seguro",0.092,0.081,0.037
"P26","Para nada seguro",0.07,0.136,0.104
"P27","Tiene Decidido que va a ir a votar.",0.912,0.904,0.888
"P27","Tiene dudas sobre si va a ir a  votar",0.065,0.077,0.057
"P27","Tiene Decidido que no va a ir a votar",0.023,0.019,0.055
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.36,0.332,0.742
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.112,0.2,0.182
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.292,0.22,0.045
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.077,0.095,0.001
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.079,0.09,0
"P28","No sabe",0.08,0.063,0.03
"P29","No estaba enterado del tema",0.151,0.075,0.039
"P29","Un tema de la vida privada de él",0.127,0.157,0.005
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.379,0.284,0.043
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.15,0.138,0.453
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.121,0.269,0.448
"P29","No sabe",0.072,0.077,0.012
"P30","Si",0.791,0.759,0.929
"P30","No",0.209,0.241,0.071
"P31","Sergio Massa",0.509,0.298,0.068
"P31","Patria Bullrich",0.107,0.183,0.222
"P31","Javier Milei",0.133,0.26,0.593
"P31","Myriam Bregman",0.19,0.216,0.047
"P31","Juan Schiaretti",0.061,0.043,0.07
"P32","Ha aumentado significativamente",0.181,0.069,0.009
"P32","Ha aumentado ligeramente",0.229,0.216,0.096
"P32","Se mantiene igual",0.31,0.325,0.213
"P32","Ha disminuido ligeramente",0.136,0.188,0.313
"P32","Ha disminuido significativamente",0.144,0.202,0.369
"P33","No, ninguna dificultad",0.307,0.183,0.141
"P33","Alguna dificultad ocasional",0.328,0.5,0.269
"P33","Sí, dificultades frecuentes",0.365,0.317,0.59
"P35","Reducir la inflación",0.454,0.363,0.221
"P35","Implementar reformas fiscales",0.052,0.123,0.057
"P35","Establecer políticas de control de precios",0.269,0.124,0.052
"P35","Reducir el gasto público",0.148,0.287,0.652
"P35","Estimular la inversión extranjera",0.027,0.064,0.008
"P35","Aumentar los subsidios a los servicios públicos",0.05,0.039,0.01
"P36","Muy positiva",0.234,0.105,0.147
"P36","Positiva",0.211,0.213,0.106
"P36","Neutral",0.201,0.293,0.241
"P36","Algo negativa",0.039,0.066,0.22
"P36","Negativa",0.076,0.028,0.133
"P36","No sabe",0.239,0.295,0.153
"P37","Muy positiva",0.526,0.334,0.154
"P37","Positiva",0.171,0.304,0.163
"P37","Neutral",0.16,0.218,0.304
"P37","Algo negativa",0.04,0.042,0.094
"P37","Negativa",0.017,0.03,0.26
"P37","No sabe",0.086,0.072,0.025
"P38","Muy positiva",0.285,0.207,0.12
"P38","Positiva",0.218,0.265,0.142
"P38","Neutral",0.247,0.248,0.275
"P38","Algo negativa",0.101,0.067,0.13
"P38","Negativa",0.041,0.079,0.284
"P38","No sabe",0.108,0.134,0.049
"P39","Muy positiva",0.482,0.481,0.291
"P39","Positiva",0.228,0.23,0.208
"P39","Neutral",0.169,0.211,0.289
"P39","Algo negativa",0.051,0.032,0.035
"P39","Negativa",0.033,0.025,0.154
"P39","No sabe",0.037,0.021,0.023
"P40","Muy positiva",0.48,0.367,0.216
"P40","Positiva",0.252,0.191,0.152
"P40","Neutral",0.105,0.196,0.416
"P40","Algo negativa",0.045,0.058,0.041
"P40","Negativa",0.039,0.049,0.135
"P40","No sabe",0.079,0.139,0.04
"P41","Lo votaría",0.529,0.307,0.02
"P41","Puede que lo vote",0.091,0.101,0.042
"P41","Nunca lo votaría",0.27,0.479,0.919
"P41","No sabe",0.11,0.113,0.019
"P42","Lo votaría",0.111,0.181,0.279
"P42","Puede que lo vote",0.046,0.123,0.208
"P42","Nunca lo votaría",0.718,0.556,0.481
"P42","No sabe",0.125,0.14,0.032
"P43","Lo votaría",0.101,0.212,0.518
"P43","Puede que lo vote",0.059,0.09,0.107
"P43","Nunca lo votaría",0.799,0.588,0.361
"P43","No sabe",0.041,0.11,0.014
"P44","Lo votaría",0.102,0.08,0.174
"P44","Puede que lo vote",0.134,0.101,0.048
"P44","Nunca lo votaría",0.638,0.68,0.684
"P44","No sabe",0.126,0.139,0.094
"P45","Si",0.415,0.412,0.256
"P45","No",0.585,0.588,0.744
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.612,0.358,0.065
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.166,0.202,0.262
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.121,0.264,0.603
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.019,0.077,0
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.041,0.007,0.002
"PRESIDENTE","En blanco",0.031,0.001,0.006
"PRESIDENTE","No sabe",0.01,0.091,0.062
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.685,0.386,0.061
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.141,0.202,0.354
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.087,0.255,0.516
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.019,0.052,0
"GOBERNADOR","En blanco",0.042,0.003,0.006
"GOBERNADOR","No sabe",0.026,0.102,0.063
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria.",0.529,0.32,0.037
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.116,0.212,0.29
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.081,0.219,0.534
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.062,0.029,0.067
"INTENDENTE","El candidato a intendente de la Izquierda",0.096,0.084,0
"INTENDENTE","En blanco",0.079,0.017,0.006
"INTENDENTE","No sabe",0.037,0.119,0.066
"CORTA_PRESIDENTE","Si",0.106,0.111,0.059
"CORTA_PRESIDENTE","No",0.894,0.889,0.941
"CORTA_GOBERNADOR","Si",0.147,0.151,0.102
"CORTA_GOBERNADOR","No",0.853,0.849,0.898
"CORTA_INTENDENTE","Si",0.297,0.165,0.132
"CORTA_INTENDENTE","No",0.703,0.835,0.868
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.616,0.402,0.111
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.146,0.258,0.27
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.13,0.263,0.58
"P13_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.016,0.01,0.008
"P13_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.018,0.054,0
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.032,0.01,0.026
"P13_imputada","En blanco",0.042,0.003,0.005
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.498,0.398,0.079
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.222,0.174,0.203
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.167,0.326,0.712
"P17_imputada","Los candidatos a presidente de la Izquierda",0.022,0.061,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.038,0.039,0.006
"P17_imputada","En blanco",0.053,0.002,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.697,0.388,0.062
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.157,0.253,0.505
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.066,0.267,0.433
"P20_imputada","El candidato a gobernador de la Izquierda",0.024,0.02,0
"P20_imputada","En blanco",0.056,0.072,0
"P23_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.383,0.29,0.006
"P23_imputada","Zencich a intendente por Juntos por el Cambio",0.096,0.289,0.279
"P23_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.113,0.2,0.462
"P23_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.109,0.051,0.243
"P23_imputada","El candidato a intendente de la Izquierda",0.207,0.119,0
"P23_imputada","En blanco",0.092,0.051,0.01
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.615,0.418,0.115
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.168,0.212,0.262
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.124,0.27,0.615
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.021,0.077,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.041,0.022,0.002
"PRESIDENTE_imputada","En blanco",0.031,0.001,0.006
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.69,0.427,0.111
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.149,0.225,0.355
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.09,0.258,0.528
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.02,0.052,0
"GOBERNADOR_imputada","En blanco",0.051,0.038,0.006
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.532,0.4,0.087
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.118,0.232,0.294
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.107,0.219,0.546
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.064,0.033,0.067
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0.097,0.087,0
"INTENDENTE_imputada","En blanco",0.082,0.029,0.006
