"var","categoria","No estaba enterado del tema","Un tema de la vida privada de él","Un hecho vergonzoso de exclusiva responsabilidad de él","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa","No sabe"
"P23","Zencich a intendente por Juntos por el Cambio",0.153,0.028,0.15,0.291,0.151,0.016
"P23","Eduardo Varela a intendente por la Libertad Avanza",0.006,0.266,0.107,0.115,0.291,0.036
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0.246,0.056,0.088,0.152,0.138,0
"P23","El candidato a intendente de la Izquierda",0.157,0.094,0.21,0.085,0.049,0.303
"P23","En blanco",0.034,0.018,0.109,0.005,0.017,0.224
"P23","No sabe",0.016,0.094,0.012,0.268,0.144,0.35
"P26","Totalmente seguro.",0.443,0.736,0.703,0.603,0.658,0.562
"P26","Bastante seguro",0.292,0.107,0.174,0.237,0.172,0.057
"P26","Algo seguro",0.225,0.051,0.079,0.016,0.047,0.038
"P26","Para nada seguro",0.04,0.106,0.044,0.144,0.123,0.343
"P27","Tiene Decidido que va a ir a votar.",0.737,0.861,0.958,0.877,0.827,0.893
"P27","Tiene dudas sobre si va a ir a  votar",0.245,0.139,0.013,0.089,0.148,0.082
"P27","Tiene Decidido que no va a ir a votar",0.018,0,0.029,0.034,0.025,0.025
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.611,0.159,0.207,0.631,0.629,0.022
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.178,0.262,0.076,0.182,0.124,0.234
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.06,0.341,0.509,0.037,0.036,0.177
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.013,0.201,0.09,0.018,0.056,0.083
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.053,0.01,0.113,0.052,0.094,0.032
"P28","No sabe",0.085,0.027,0.005,0.08,0.061,0.452
"P30","Si",0.538,0.645,0.848,0.875,0.873,0.778
"P30","No",0.462,0.355,0.152,0.125,0.127,0.222
"P31","Sergio Massa",0.443,0.525,0.606,0.121,0.111,0.497
"P31","Patria Bullrich",0.159,0.067,0.059,0.226,0.23,0.009
"P31","Javier Milei",0.332,0.076,0.081,0.397,0.505,0.115
"P31","Myriam Bregman",0.03,0.21,0.208,0.208,0.103,0.376
"P31","Juan Schiaretti",0.036,0.122,0.046,0.048,0.051,0.003
"P32","Ha aumentado significativamente",0.328,0.163,0.127,0.013,0.026,0.324
"P32","Ha aumentado ligeramente",0.13,0.214,0.348,0.177,0.113,0.021
"P32","Se mantiene igual",0.483,0.36,0.341,0.125,0.26,0.283
"P32","Ha disminuido ligeramente",0.01,0.191,0.08,0.336,0.27,0.067
"P32","Ha disminuido significativamente",0.049,0.072,0.104,0.349,0.331,0.305
"P33","No, ninguna dificultad",0.148,0.286,0.38,0.127,0.129,0.357
"P33","Alguna dificultad ocasional",0.379,0.42,0.383,0.262,0.392,0.342
"P33","Sí, dificultades frecuentes",0.473,0.294,0.237,0.611,0.479,0.301
"P34","Sí, absolutamente",0.718,0.574,0.673,0.37,0.267,0.589
"P34","Sí, en cierta medida",0.211,0.417,0.298,0.199,0.351,0.373
"P34","No, en absoluto",0.071,0.009,0.029,0.431,0.382,0.038
"P35","Reducir la inflación",0.685,0.42,0.386,0.416,0.221,0.309
"P35","Implementar reformas fiscales",0.064,0.153,0.106,0.044,0.039,0.037
"P35","Establecer políticas de control de precios",0.188,0.316,0.3,0.053,0.063,0.31
"P35","Reducir el gasto público",0.05,0.107,0.109,0.444,0.584,0.151
"P35","Estimular la inversión extranjera",0,0.004,0.046,0.043,0.048,0.005
"P35","Aumentar los subsidios a los servicios públicos",0.013,0,0.053,0,0.045,0.188
"P36","Muy positiva",0.206,0.208,0.33,0.128,0.056,0.05
"P36","Positiva",0.104,0.401,0.27,0.082,0.132,0.24
"P36","Neutral",0.238,0.236,0.211,0.161,0.348,0.139
"P36","Algo negativa",0.036,0.019,0.017,0.181,0.137,0.027
"P36","Negativa",0.092,0.044,0.036,0.17,0.056,0
"P36","No sabe",0.324,0.092,0.136,0.278,0.271,0.544
"P37","Muy positiva",0.429,0.534,0.664,0.199,0.239,0.116
"P37","Positiva",0.215,0.253,0.214,0.137,0.202,0.377
"P37","Neutral",0.043,0.15,0.06,0.341,0.384,0.074
"P37","Algo negativa",0.054,0.055,0.018,0.126,0.031,0.019
"P37","Negativa",0.061,0,0.002,0.164,0.116,0.009
"P37","No sabe",0.198,0.008,0.042,0.033,0.028,0.405
"P38","Muy positiva",0.265,0.267,0.409,0.123,0.127,0.006
"P38","Positiva",0.085,0.308,0.336,0.165,0.128,0.272
"P38","Neutral",0.358,0.325,0.084,0.237,0.383,0.258
"P38","Algo negativa",0.073,0.03,0.078,0.149,0.13,0.023
"P38","Negativa",0.014,0.022,0.02,0.234,0.134,0.206
"P38","No sabe",0.205,0.048,0.073,0.092,0.098,0.235
"P39","Muy positiva",0.49,0.52,0.646,0.321,0.316,0.154
"P39","Positiva",0.146,0.342,0.191,0.173,0.216,0.537
"P39","Neutral",0.293,0.118,0.082,0.202,0.348,0.273
"P39","Algo negativa",0.007,0,0.06,0.08,0.029,0
"P39","Negativa",0.017,0,0,0.194,0.056,0
"P39","No sabe",0.047,0.02,0.021,0.03,0.035,0.036
"P40","Muy positiva",0.452,0.548,0.626,0.244,0.206,0.149
"P40","Positiva",0.242,0.326,0.166,0.191,0.214,0.276
"P40","Neutral",0.247,0.093,0.06,0.265,0.331,0.188
"P40","Algo negativa",0.003,0.028,0.027,0.045,0.111,0
"P40","Negativa",0.035,0,0.055,0.145,0.044,0.029
"P40","No sabe",0.021,0.005,0.066,0.11,0.094,0.358
"P41","Lo votaría",0.313,0.656,0.717,0.048,0.032,0.587
"P41","Puede que lo vote",0.028,0.097,0.111,0.119,0.046,0.033
"P41","Nunca lo votaría",0.341,0.201,0.107,0.779,0.869,0.124
"P41","No sabe",0.318,0.046,0.065,0.054,0.053,0.256
"P42","Lo votaría",0.096,0.072,0.063,0.316,0.249,0.075
"P42","Puede que lo vote",0.063,0.071,0.044,0.151,0.164,0.073
"P42","Nunca lo votaría",0.477,0.772,0.815,0.467,0.524,0.57
"P42","No sabe",0.364,0.085,0.078,0.066,0.063,0.282
"P43","Lo votaría",0.096,0.043,0.045,0.315,0.516,0.036
"P43","Puede que lo vote",0.062,0.122,0.062,0.106,0.077,0.009
"P43","Nunca lo votaría",0.595,0.781,0.881,0.559,0.355,0.831
"P43","No sabe",0.247,0.054,0.012,0.02,0.052,0.124
"P44","Lo votaría",0.08,0.063,0.068,0.192,0.129,0.076
"P44","Puede que lo vote",0.069,0.136,0.108,0.093,0.128,0.048
"P44","Nunca lo votaría",0.502,0.735,0.732,0.576,0.689,0.598
"P44","No sabe",0.349,0.066,0.092,0.139,0.054,0.278
"P45","Si",0.343,0.339,0.481,0.379,0.36,0.089
"P45","No",0.657,0.661,0.519,0.621,0.64,0.911
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.425,0.642,0.765,0.235,0.09,0.642
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.235,0.083,0.078,0.282,0.26,0.018
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.205,0.122,0.103,0.374,0.468,0.075
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.002,0.066,0.021,0.008,0.062,0.019
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.126,0.029,0.007,0.005,0.01,0
"PRESIDENTE","En blanco",0,0.058,0,0,0.024,0.057
"PRESIDENTE","No sabe",0.007,0,0.026,0.096,0.086,0.189
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.492,0.803,0.791,0.224,0.095,0.642
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.207,0.061,0.051,0.333,0.305,0.024
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.161,0.121,0.095,0.329,0.419,0.044
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.002,0.009,0.014,0.014,0.058,0.044
"GOBERNADOR","En blanco",0.126,0,0.003,0.005,0.015,0.057
"GOBERNADOR","No sabe",0.012,0.006,0.046,0.095,0.108,0.189
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria.",0.459,0.699,0.591,0.104,0.096,0.425
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.134,0.049,0.08,0.329,0.238,0.008
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.1,0.113,0.086,0.317,0.398,0.059
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.106,0.029,0.067,0.053,0.076,0
"INTENDENTE","El candidato a intendente de la Izquierda",0.056,0.025,0.1,0.035,0.078,0.122
"INTENDENTE","En blanco",0.134,0.023,0.05,0.006,0.017,0.197
"INTENDENTE","No sabe",0.011,0.062,0.026,0.156,0.097,0.189
"CORTA_PRESIDENTE","Si",0.125,0.1,0.084,0.127,0.094,0.036
"CORTA_PRESIDENTE","No",0.875,0.9,0.916,0.873,0.906,0.964
"CORTA_GOBERNADOR","Si",0.196,0.177,0.159,0.106,0.189,0.03
"CORTA_GOBERNADOR","No",0.804,0.823,0.841,0.894,0.811,0.97
"CORTA_INTENDENTE","Si",0.293,0.191,0.273,0.215,0.172,0.291
"CORTA_INTENDENTE","No",0.707,0.809,0.727,0.785,0.828,0.709
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.366,0.648,0.78,0.258,0.11,0.809
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.204,0.09,0.078,0.356,0.28,0.029
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.233,0.172,0.101,0.332,0.474,0.069
"P13_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.009,0.011,0.013,0.017,0.016,0
"P13_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.002,0.009,0.02,0.009,0.062,0.022
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.132,0.012,0.008,0.028,0.042,0
"P13_imputada","En blanco",0.054,0.058,0,0,0.016,0.071
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.182,0.229,0.654,0.353,0.206,0.798
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.414,0.119,0.108,0.366,0.189,0.036
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.404,0.269,0.187,0.265,0.457,0.07
"P17_imputada","Los candidatos a presidente de la Izquierda",0,0.076,0.037,0.013,0.022,0.025
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.137,0.014,0.003,0.111,0
"P17_imputada","En blanco",0,0.17,0,0,0.015,0.071
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.498,0.644,0.714,0.448,0.344,0.448
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.32,0.056,0.056,0.377,0.322,0.052
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.182,0.3,0.137,0.141,0.317,0
"P20_imputada","El candidato a gobernador de la Izquierda",0,0,0.015,0.031,0.007,0.079
"P20_imputada","En blanco",0,0,0.078,0.003,0.01,0.421
"P23_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.404,0.516,0.325,0.213,0.23,0.421
"P23_imputada","Zencich a intendente por Juntos por el Cambio",0.153,0.028,0.152,0.331,0.181,0.016
"P23_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.006,0.266,0.107,0.193,0.302,0.036
"P23_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.246,0.056,0.088,0.171,0.141,0
"P23_imputada","El candidato a intendente de la Izquierda",0.157,0.116,0.213,0.085,0.049,0.303
"P23_imputada","En blanco",0.034,0.018,0.115,0.007,0.097,0.224
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.425,0.642,0.785,0.27,0.101,0.814
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.235,0.083,0.078,0.332,0.268,0.018
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.212,0.122,0.106,0.383,0.478,0.075
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.002,0.066,0.021,0.008,0.065,0.022
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.126,0.029,0.01,0.007,0.063,0
"PRESIDENTE_imputada","En blanco",0,0.058,0,0,0.025,0.071
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.497,0.803,0.81,0.305,0.165,0.649
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.207,0.061,0.056,0.337,0.342,0.024
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.168,0.127,0.098,0.337,0.42,0.043
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.002,0.009,0.013,0.014,0.058,0.048
"GOBERNADOR_imputada","En blanco",0.126,0,0.023,0.007,0.015,0.236
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.463,0.754,0.606,0.185,0.109,0.597
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.134,0.049,0.081,0.341,0.257,0.008
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.107,0.113,0.088,0.371,0.407,0.059
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.106,0.029,0.067,0.06,0.079,0
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0.056,0.032,0.104,0.035,0.078,0.126
"INTENDENTE_imputada","En blanco",0.134,0.023,0.054,0.008,0.07,0.21
